Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,4,360,4.0,5,1.25,20,15,75.0,1,2,1,1,25.0,0,0,0,0,
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,12,1080,12.0,13,1.08,32,19,62.5,6,1,5,4,33.3,2,1,1,0,50.0
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,36,3240,36.0,24,0.67,97,73,75.3,27,7,2,20,55.6,0,0,0,0,
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,6,540,6.0,9,1.50,27,19,70.4,2,2,2,0,0.0,1,1,0,0,0.0
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,29,29,2560,28.4,48,1.69,131,85,64.1,8,5,16,5,17.2,2,1,1,0,50.0
Daniel Bachmann,AUT,GK,Watford,Premier League,27,1994,12,12,1080,12.0,28,2.33,69,45,63.8,1,0,11,0,0.0,3,3,0,0,0.0
Édgar Badía,ESP,GK,Elche,La Liga,29,1992,24,24,2160,24.0,35,1.46,106,77,73.6,8,5,11,5,20.8,9,7,1,1,12.5
Nicola Bagnolini,ITA,GK,Bologna,Serie A,17,2004,1,0,3,0.0,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,19,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0.0,2,2,0,0,0.0
Francesco Bardi,ITA,GK,Bologna,Serie A,29,1992,2,2,177,2.0,2,1.02,9,7,77.8,1,1,0,1,50.0,0,0,0,0,
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,31,1990,33,33,2970,33.0,57,1.73,154,100,64.3,12,7,14,8,24.2,4,2,1,1,33.3
Asmir Begović,BIH,GK,Everton,Premier League,34,1987,3,3,270,3.0,8,2.67,17,11,58.8,1,0,2,1,33.3,1,1,0,0,0.0
Vid Belec,SVN,GK,Salernitana,Serie A,31,1990,23,21,1938,21.5,49,2.28,129,84,64.3,3,2,16,1,4.8,5,3,1,1,25.0
Walter Benítez,ARG,GK,Nice,Ligue 1,28,1993,37,37,3330,37.0,35,0.95,138,107,77.5,20,7,10,14,37.8,5,4,1,0,20.0
Alessandro Berardi,ITA,GK,Hellas Verona,Serie A,30,1991,1,1,90,1.0,3,3.00,7,3,57.1,0,1,0,0,0.0,0,0,0,0,
Etrit Berisha,ALB,GK,Torino,Serie A,32,1989,10,10,900,10.0,8,0.80,38,31,84.2,3,4,3,4,40.0,3,2,1,0,33.3
Paul Bernardoni,FRA,GK,Saint-Étienne,Ligue 1,24,1997,19,19,1710,19.0,33,1.74,87,57,67.8,5,5,9,3,15.8,5,5,0,0,0.0
Paul Bernardoni,FRA,GK,Angers,Ligue 1,24,1997,13,13,1170,13.0,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0.0
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,23,1998,11,9,833,9.3,20,2.16,53,36,66.0,2,3,4,2,22.2,2,2,0,0,0.0
Marco Bizot,NED,GK,Brest,Ligue 1,30,1991,38,38,3420,38.0,57,1.50,169,117,68.6,13,9,16,7,18.4,4,4,0,0,0.0
Yassine Bounou,MAR,GK,Sevilla,La Liga,30,1991,31,31,2790,31.0,24,0.77,98,75,77.6,14,13,4,13,41.9,4,2,1,1,33.3
Claudio Bravo,CHI,GK,Betis,La Liga,38,1983,17,17,1456,16.2,19,1.17,55,39,67.3,8,4,5,5,29.4,1,1,0,0,0.0
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,26,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,
Marcin Bułka,POL,GK,Nice,Ligue 1,21,1999,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
Sascha Burchert,GER,GK,Greuther Fürth,Bundesliga,31,1989,14,14,1260,14.0,28,2.00,69,44,63.8,2,4,8,3,21.4,3,3,0,0,0.0
Roman Bürki,SUI,GK,Dortmund,Bundesliga,30,1990,1,1,90,1.0,1,1.00,0,0,,1,0,0,0,0.0,1,1,0,0,0.0
Jack Butland,ENG,GK,Crystal Palace,Premier League,28,1993,9,8,765,8.5,13,1.53,28,17,53.6,2,4,2,1,12.5,1,0,1,0,100.0
Willy Caballero,ARG,GK,Southampton,Premier League,39,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,27,1994,19,17,1542,17.1,30,1.75,85,56,67.1,4,5,8,5,29.4,2,2,0,0,0.0
Cárdenas,ESP,GK,Levante,La Liga,24,1997,24,24,2160,24.0,46,1.92,115,71,63.5,6,6,12,5,20.8,4,4,0,0,0.0
Kiko Casilla,ESP,GK,Elche,La Liga,34,1986,14,14,1260,14.0,17,1.21,60,43,71.7,3,4,7,3,21.4,0,0,0,0,
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,29,1992,28,28,2520,28.0,40,1.43,111,74,66.7,11,6,11,10,35.7,6,3,2,1,40.0
Leonardo César Jardim,BRA,GK,Lille,Ligue 1,26,1995,17,17,1530,17.0,20,1.18,62,46,74.2,6,6,5,8,47.1,5,4,1,0,20.0
Jasper Cillessen,NED,GK,Valencia,La Liga,32,1989,17,17,1457,16.2,29,1.79,71,47,66.2,4,8,5,3,17.6,6,5,1,0,16.7
Diego Conde,ESP,GK,Getafe,La Liga,22,1998,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Andrea Consigli,ITA,GK,Sassuolo,Serie A,34,1987,37,37,3322,36.9,63,1.71,159,103,65.4,13,11,13,3,8.1,9,8,1,0,11.1
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,34,1987,25,25,2250,25.0,62,2.48,129,72,55.8,3,8,14,0,0.0,5,5,0,0,0.0
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,29,1992,36,36,3240,36.0,29,0.81,116,88,76.7,26,7,3,16,44.4,3,2,1,0,33.3
Alessio Cragno,ITA,GK,Cagliari,Serie A,27,1994,35,35,3150,35.0,63,1.80,167,108,65.9,6,10,19,2,5.7,8,6,2,0,25.0
Finn Dahmen,GER,GK,Mainz 05,Bundesliga,23,1998,2,2,180,2.0,3,1.50,4,2,50.0,1,1,0,0,0.0,1,1,0,0,0.0
Karl Darlow,ENG,GK,Newcastle Utd,Premier League,30,1990,8,8,720,8.0,15,1.87,37,25,64.9,0,5,3,0,0.0,2,2,0,0,0.0
Arthur Desmas,FRA,GK,Clermont Foot,Ligue 1,27,1994,15,15,1304,14.5,33,2.28,64,35,53.1,3,5,7,3,20.0,3,3,0,0,0.0
Javier Díaz,ESP,GK,Sevilla,La Liga,24,1997,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,27,1993,31,30,2772,30.8,37,1.20,116,86,74.1,11,8,11,9,30.0,9,7,2,0,22.2
Matías Dituro,ARG,GK,Celta Vigo,La Liga,34,1987,38,38,3420,38.0,43,1.13,128,91,69.5,12,10,16,14,36.8,8,4,4,0,50.0
Ouparine Djoco,SEN,GK,Clermont Foot,Ligue 1,23,1998,24,23,2116,23.5,36,1.53,96,63,64.6,6,4,13,5,21.7,2,2,0,0,0.0
Marko Dmitrović,SRB,GK,Sevilla,La Liga,29,1992,6,6,540,6.0,5,0.83,18,13,72.2,4,2,0,4,66.7,0,0,0,0,
Jaume Doménech,ESP,GK,Valencia,La Liga,30,1990,4,3,343,3.8,4,1.05,11,8,63.6,2,0,1,1,33.3,0,0,0,0,
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,22,1999,17,17,1530,17.0,17,1.00,60,44,73.3,13,2,2,5,29.4,1,1,0,0,0.0
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,23,1997,7,7,556,6.2,8,1.29,23,16,69.6,3,0,4,2,28.6,2,1,1,0,50.0
Matthieu Dreyer,FRA,GK,Lorient,Ligue 1,32,1989,16,16,1440,16.0,25,1.56,57,33,57.9,5,4,7,7,43.8,1,1,0,0,0.0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,32,1989,26,26,2340,26.0,35,1.35,106,71,67.9,13,4,9,8,30.8,1,1,0,0,0.0
Ederson,BRA,GK,Manchester City,Premier League,27,1993,37,37,3330,37.0,26,0.70,83,56,69.9,28,6,3,20,54.1,1,1,0,0,0.0
Aarón Escandell,ESP,GK,Granada,La Liga,25,1995,4,3,284,3.2,6,1.90,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0.0
Michael Esser,GER,GK,Bochum,Bundesliga,33,1987,3,3,270,3.0,7,2.33,18,13,72.2,2,0,1,0,0.0,2,2,0,0,0.0
Łukasz Fabiański,POL,GK,West Ham,Premier League,36,1985,37,37,3330,37.0,50,1.35,156,105,69.2,16,8,13,8,21.6,6,2,3,1,60.0
Wladimiro Falcone,ITA,GK,Sampdoria,Serie A,26,1995,10,9,855,9.5,14,1.47,53,41,75.5,2,1,6,2,22.2,1,1,0,0,0.0
Wuilker Faríñez,VEN,GK,Lens,Ligue 1,23,1998,13,11,1105,12.3,15,1.22,42,28,66.7,7,3,1,3,27.3,1,1,0,0,0.0
Aitor Fernández,ESP,GK,Levante,La Liga,30,1991,13,13,1166,13.0,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50.0
Álvaro Fernández,ESP,GK,Brentford,Premier League,23,1998,12,12,1080,12.0,24,2.00,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0.0
Vincenzo Fiorillo,ITA,GK,Salernitana,Serie A,31,1990,1,1,90,1.0,5,5.00,8,3,37.5,0,0,1,0,0.0,0,0,0,0,
Mark Flekken,NED,GK,Freiburg,Bundesliga,28,1993,32,32,2880,32.0,39,1.22,140,103,73.6,15,9,8,10,31.3,2,2,0,0,0.0
Fraser Forster,ENG,GK,Southampton,Premier League,33,1988,19,19,1710,19.0,35,1.84,98,67,66.3,6,5,8,3,15.8,2,2,0,0,0.0
Ben Foster,ENG,GK,Watford,Premier League,38,1983,26,26,2340,26.0,49,1.88,111,63,58.6,5,5,16,4,15.4,4,3,1,0,25.0
Christian Früchtl,GER,GK,Bayern Munich,Bundesliga,21,2000,1,0,10,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Marius Funk,GER,GK,Greuther Fürth,Bundesliga,25,1996,8,8,720,8.0,30,3.75,52,26,46.2,0,0,8,0,0.0,2,2,0,0,0.0
Gauthier Gallon,FRA,GK,Troyes,Ligue 1,28,1993,31,31,2790,31.0,45,1.45,128,92,71.1,8,8,15,8,25.8,8,8,0,0,0.0
Joan García,ESP,GK,Espanyol,La Liga,20,2001,2,1,108,1.2,3,2.50,3,0,0.0,0,0,1,0,0.0,0,0,0,0,
David de Gea,ESP,GK,Manchester Utd,Premier League,30,1990,38,38,3420,38.0,57,1.50,177,124,69.5,16,10,12,8,21.1,6,3,3,0,50.0
Luca Gemello,ITA,GK,Torino,Serie A,21,2000,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
Rafał Gikiewicz,POL,GK,Augsburg,Bundesliga,33,1987,34,34,3060,34.0,56,1.65,152,100,66.4,10,8,16,9,26.5,5,5,0,0,0.0
Alfred Gomis,SEN,GK,Rennes,Ligue 1,27,1993,25,25,2250,25.0,25,1.00,62,40,66.1,14,5,6,10,40.0,4,4,0,0,0.0
Jens Grahl,GER,GK,Eint Frankfurt,Bundesliga,32,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
Ivo Grbić,CRO,GK,Lille,Ligue 1,25,1996,21,21,1890,21.0,28,1.33,88,63,70.5,8,7,6,2,9.5,2,2,0,0,0.0
Etienne Green,ENG,GK,Saint-Étienne,Ligue 1,21,2000,15,15,1197,13.3,27,2.03,67,43,61.2,2,5,8,1,6.7,1,1,0,0,0.0
Dominik Greif,SVK,GK,Mallorca,La Liga,24,1997,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Lennart Grill,GER,GK,Leverkusen,Bundesliga,22,1999,1,1,90,1.0,2,2.00,6,5,66.7,1,0,0,0,0.0,0,0,0,0,
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,34,1987,30,30,2655,29.5,33,1.12,113,83,73.5,9,11,10,11,36.7,3,3,0,0,0.0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,31,1990,33,33,2967,33.0,34,1.03,107,77,71.0,17,7,9,10,30.3,3,3,0,0,0.0
Angus Gunn,ENG,GK,Norwich City,Premier League,25,1996,9,9,810,9.0,22,2.44,54,34,63.0,1,2,6,1,11.1,4,2,1,1,33.3
Samir Handanović,SVN,GK,Inter,Serie A,37,1984,37,37,3330,37.0,30,0.81,121,94,78.5,25,9,3,15,40.5,4,4,0,0,0.0
Wayne Hennessey,WAL,GK,Burnley,Premier League,34,1987,2,2,180,2.0,6,3.00,13,7,53.8,0,0,2,0,0.0,0,0,0,0,
Sergio Herrera,ESP,GK,Osasuna,La Liga,28,1993,36,36,3240,36.0,48,1.33,136,92,67.6,12,10,14,12,33.3,7,4,3,0,42.9
Marwin Hitz,SUI,GK,Dortmund,Bundesliga,33,1987,5,4,405,4.5,12,2.67,23,13,56.5,1,0,3,0,0.0,2,2,0,0,0.0
Timo Horn,GER,GK,Köln,Bundesliga,28,1993,13,13,1170,13.0,21,1.62,55,35,61.8,4,6,3,1,7.7,0,0,0,0,
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,31,1989,32,32,2880,32.0,44,1.37,153,110,72.5,17,7,8,8,25.0,4,2,1,1,33.3
Stefanos Kapino,GRE,GK,Arminia,Bundesliga,27,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,38,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,22,1998,2,2,180,2.0,2,1.00,8,5,75.0,1,1,0,1,50.0,0,0,0,0,
Kristoffer Klaesson,NOR,GK,Leeds United,Premier League,20,2000,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,23,1997,29,29,2565,28.5,39,1.37,105,71,65.7,20,3,6,7,24.1,3,3,0,0,0.0
Tim Krul,NED,GK,Norwich City,Premier League,33,1988,29,29,2610,29.0,62,2.14,158,101,65.2,4,5,20,5,17.2,9,7,1,1,12.5
Alban Lafont,FRA,GK,Nantes,Ligue 1,22,1999,38,38,3420,38.0,48,1.26,150,106,70.7,15,10,13,8,21.1,7,4,3,0,42.9
Jean-Louis Leca,FRA,GK,Lens,Ligue 1,35,1985,27,27,2313,25.7,33,1.28,94,64,68.1,10,8,9,5,18.5,4,3,1,0,25.0
Jeremías Ledesma,ARG,GK,Cádiz,La Liga,28,1993,38,38,3420,38.0,51,1.34,159,117,74.8,8,15,15,13,34.2,13,11,2,0,15.4
Bernd Leno,GER,GK,Arsenal,Premier League,29,1992,4,4,360,4.0,9,2.25,19,9,52.6,1,0,3,1,25.0,0,0,0,0,
Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,30,1990,1,0,8,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Luca Lezzerini,ITA,GK,Venezia,Serie A,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0.0,0,0,0,0,
Andreas Linde,SWE,GK,Greuther Fürth,Bundesliga,28,1993,12,12,1080,12.0,24,2.00,61,37,62.3,1,5,6,3,25.0,1,1,0,0,0.0
Hugo Lloris,FRA,GK,Tottenham,Premier League,34,1986,38,38,3420,38.0,40,1.05,133,95,71.4,22,5,11,16,42.1,2,2,0,0,0.0
Anthony Lopes,POR,GK,Lyon,Ligue 1,30,1990,34,34,2982,33.1,45,1.36,146,106,71.2,14,11,9,8,23.5,4,3,1,0,25.0
Diego López,ESP,GK,Espanyol,La Liga,39,1981,36,36,3177,35.3,49,1.39,152,106,69.7,10,12,14,10,27.8,4,3,0,1,0.0
Pau López,ESP,GK,Marseille,Ligue 1,26,1994,29,29,2610,29.0,29,1.00,81,53,69.1,15,6,8,10,34.5,4,4,0,0,0.0
Jonas Lössl,DEN,GK,Brentford,Premier League,32,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,
Marcel Lotka,POL,GK,Hertha BSC,Bundesliga,20,2001,10,9,885,9.8,20,2.03,44,27,61.4,2,1,6,2,22.2,3,3,0,0,0.0
Andriy Lunin,UKR,GK,Real Madrid,La Liga,22,1999,2,2,180,2.0,2,1.00,7,6,85.7,0,1,1,0,0.0,2,1,1,0,50.0
Andrey Lunyov,RUS,GK,Leverkusen,Bundesliga,29,1991,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Andreas Luthe,GER,GK,Union Berlin,Bundesliga,34,1987,27,27,2430,27.0,39,1.44,105,70,64.8,11,7,9,6,22.2,2,2,0,0,0.0
Niki Mäenpää,FIN,GK,Venezia,Serie A,36,1985,17,16,1485,16.5,27,1.64,78,56,71.8,1,4,11,1,6.3,6,5,0,1,0.0
Mike Maignan,FRA,GK,Milan,Serie A,26,1995,32,32,2880,32.0,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0.0
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,20,2000,18,18,1620,18.0,20,1.11,74,56,75.7,5,7,6,8,44.4,2,2,0,0,0.0
Steve Mandanda,FRA,GK,Marseille,Ligue 1,36,1985,9,9,810,9.0,7,0.78,26,19,73.1,6,2,1,5,55.6,0,0,0,0,
Anthony Mandrea,ALG,GK,Angers,Ligue 1,24,1996,10,10,900,10.0,14,1.40,45,32,68.9,3,3,4,2,20.0,0,0,0,0,
Davide Marfella,ITA,GK,Napoli,Serie A,21,1999,1,0,11,0.1,0,0.00,1,1,100.0,0,0,0,1,,0,0,0,0,
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,28,1992,36,36,3240,36.0,48,1.33,136,93,67.6,13,6,17,11,30.6,6,4,1,1,20.0
Josep Martinez,ESP,GK,RB Leipzig,Bundesliga,23,1998,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
Luís Maximiano,POR,GK,Granada,La Liga,22,1999,35,35,3136,34.8,55,1.58,170,121,70.6,8,12,15,7,20.0,7,5,2,0,28.6
Alex McCarthy,ENG,GK,Southampton,Premier League,31,1989,17,17,1530,17.0,27,1.59,71,43,62.0,3,7,7,5,29.4,0,0,0,0,
Edouard Mendy,SEN,GK,Chelsea,Premier League,29,1992,34,34,3060,34.0,31,0.91,95,70,73.7,19,10,5,14,41.2,6,6,0,0,0.0
Alex Meret,ITA,GK,Napoli,Serie A,24,1997,7,7,619,6.9,6,0.87,29,23,79.3,5,1,1,3,42.9,0,0,0,0,
Illan Meslier,FRA,GK,Leeds United,Premier League,21,2000,38,38,3384,37.6,79,2.10,215,139,65.6,9,11,18,5,13.2,5,5,0,0,0.0
Vanja Milinković-Savić,SRB,GK,Torino,Serie A,24,1997,27,27,2430,27.0,33,1.22,73,47,64.4,9,7,11,4,14.8,8,7,1,0,12.5
Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,25,1996,34,34,3060,34.0,50,1.47,135,85,64.4,13,10,11,4,11.8,3,2,1,0,33.3
