Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,58,39,33,15,10,21,35,60,14,293,99,33.8,132,119,42,36,4,0,32,31,89,30,0
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,16,9,4,6,6,2,15,13.3,13,332,87,26.2,38,132,162,25,4,0,21,10,26,15,0
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15,26,16,6,17,3,8,28,28.6,20,325,104,32,89,198,38,32,1,0,31,23,49,20,1
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,13,8,8,4,1,5,13,38.5,8,81,27,33.3,17,41,23,5,0,0,5,3,16,2,0
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,14,12,8,5,1,5,15,33.3,10,102,28,27.5,37,44,21,4,0,0,4,14,28,6,0
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14,38,25,14,18,6,17,29,58.6,12,300,93,31,63,123,114,35,4,0,31,17,55,8,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,48,34,26,17,5,15,67,22.4,52,625,182,29.1,166,319,140,41,3,0,38,54,102,15,1
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,15,8,6,7,2,5,10,50,5,128,27,21.1,45,66,17,5,0,0,5,5,20,3,0
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,8,4,1,6,1,4,9,44.4,5,222,55,24.8,27,92,103,5,0,0,5,5,13,0,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18,42,23,22,12,8,22,43,51.2,21,231,58,25.1,97,104,30,33,3,0,30,24,66,44,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,57,42,25,26,6,16,29,55.2,13,378,121,32,118,209,51,38,11,0,27,56,113,32,0
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,41,27,14,20,7,8,19,42.1,11,400,88,22,80,212,108,27,0,0,27,18,59,4,0
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,30,12,17,13,0,7,18,38.9,11,190,66,34.7,102,84,4,30,13,0,17,54,84,152,2
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,1,1,0,0,1,0,1,0,1,18,4,22.2,0,8,10,0,0,0,0,0,1,0,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,91,51,48,33,10,45,73,61.6,28,417,137,32.9,189,170,58,39,7,0,32,59,150,70,1
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,1,1,0,0,1,0,0,,0,3,1,33.3,0,0,3,0,0,0,0,0,1,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,0,0,0,0,0,0,1,0,1,17,6,35.3,4,10,3,2,0,0,2,0,0,2,0
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15,35,22,27,7,1,13,27,48.1,14,149,50,33.6,87,47,15,19,8,0,11,34,69,46,0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,20,10,5,11,4,8,14,57.1,6,199,43,21.6,51,111,37,8,1,0,7,23,43,11,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,58,41,46,8,4,22,33,66.7,11,318,124,39,207,98,13,49,17,0,32,55,113,130,2
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16,32,15,15,13,4,17,25,68,8,168,54,32.1,58,70,40,25,3,0,22,33,65,33,0
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,76,43,54,14,8,28,45,62.2,17,402,135,33.6,231,116,55,34,3,0,31,38,114,32,1
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,40,22,25,12,3,20,36,55.6,16,206,73,35.4,107,70,29,36,13,1,23,49,89,81,1
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,30.4,46,25,4,23,19,8,40,20,32,520,143,27.5,59,234,227,24,5,0,19,15,61,32,1
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,25.1,50,36,29,16,5,22,36,61.1,14,246,113,45.9,140,92,14,38,18,0,20,47,97,73,0
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,20.5,53,34,34,14,5,12,31,38.7,19,291,104,35.7,164,95,32,35,8,0,27,65,118,53,0
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,0.9,0,0,0,0,0,0,1,0,1,30,2,6.7,10,14,6,0,0,0,0,2,2,0,0
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,10.3,15,5,6,8,1,4,7,57.1,3,70,23,32.9,26,37,7,12,5,0,7,18,33,31,0
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,1.4,2,0,0,1,1,0,0,,0,7,1,14.3,1,1,5,1,0,0,1,0,2,0,0
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,0.6,2,1,1,1,0,0,1,0,1,21,7,33.3,4,10,7,2,0,0,2,0,2,0,0
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,5.7,17,12,5,9,3,9,13,69.2,4,113,38,33.6,34,67,12,7,0,0,7,12,29,9,0
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,3.5,16,9,6,9,1,3,10,30,7,105,29,27.6,24,57,24,4,2,0,2,3,19,4,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,17,37,20,17,12,8,18,32,56.3,14,254,75,29.5,100,102,52,56,2,0,54,35,72,32,2
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,29.4,25,18,13,10,2,9,16,56.3,7,223,83,37.2,100,100,23,37,17,1,20,41,66,67,2
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,1.8,8,6,4,4,0,3,6,50,3,52,12,23.1,21,24,7,6,0,0,6,6,14,2,0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,15.8,30,15,14,11,5,10,22,45.5,12,260,85,32.7,128,104,28,32,6,0,26,27,57,45,0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,7.3,5,4,0,4,1,2,3,66.7,1,102,30,29.4,6,40,56,7,0,0,7,3,8,6,0
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,29.4,44,25,12,26,6,22,46,47.8,24,318,99,31.1,103,154,61,56,7,0,49,48,92,38,2
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,0.2,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,26.1,31,18,9,12,10,11,45,24.4,34,413,106,25.7,113,188,112,29,4,0,25,22,53,6,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,27.4,27,15,17,10,0,9,14,64.3,5,168,68,40.5,89,73,6,38,16,1,22,37,64,143,0
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,12.6,33,16,17,9,7,10,41,24.4,31,289,63,21.8,98,141,50,27,5,1,22,25,58,10,0
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,8.7,5,3,1,3,1,2,5,40,3,111,28,25.2,7,48,56,8,0,0,8,4,9,1,0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,17,58,40,17,31,10,12,40,30,28,319,117,36.7,86,163,70,26,2,0,24,35,93,18,2
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,12.3,43,30,17,25,1,14,34,41.2,20,301,103,34.2,110,159,32,15,2,0,13,15,58,15,0
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,26.7,65,45,41,23,1,30,53,56.6,23,247,92,37.2,143,94,10,36,18,0,18,70,135,185,0
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,11.8,33,20,22,8,3,15,38,39.5,23,341,86,25.2,127,138,76,15,0,0,15,16,49,12,0
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,1
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,34,22,16,13,5,16,48,33.3,32,551,128,23.2,117,311,123,27,2,0,25,19,53,10,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,44,24,22,15,7,23,59,39,36,288,97,33.7,114,88,86,39,5,1,34,76,120,43,1
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,0,0,0,0,0,0,0,,0,4,2,50,0,2,2,1,0,0,1,1,1,1,0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,10,7,2,4,4,1,13,7.7,12,476,106,22.3,32,218,226,19,1,0,18,13,23,1,0
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,0,0,0,0,0,0,2,0,2,6,3,50,6,0,0,1,0,0,1,0,0,1,2
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,77,61,31,41,5,26,88,29.5,62,648,204,31.5,260,327,61,46,9,0,37,42,119,40,0
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,24,15,7,11,6,7,17,41.2,10,209,56,26.8,51,91,67,13,2,0,11,10,34,3,0
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,19,7,11,6,2,5,17,29.4,12,209,55,26.3,81,92,36,25,5,0,20,17,36,12,0
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,15,10,6,6,3,5,12,41.7,7,127,34,26.8,35,62,30,9,2,0,7,10,25,7,0
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,57,33,27,22,8,13,47,27.7,34,432,109,25.2,127,166,139,22,1,1,21,25,82,12,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,45,28,21,13,11,14,32,43.8,18,300,85,28.3,121,101,78,39,6,0,33,66,111,55,0
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,42,28,17,20,5,15,26,57.7,11,166,63,38,61,89,16,26,7,0,19,44,86,75,0
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,2,1,0,1,0,0,1,0,0,1,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,34,19,18,16,0,7,14,50,7,137,60,43.8,64,66,7,28,18,1,10,54,88,103,0
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,35,19,16,15,4,14,29,48.3,15,166,44,26.5,63,76,27,18,3,0,15,23,58,8,0
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,9,8,3,5,1,3,5,60,2,79,20,25.3,30,37,12,5,1,0,4,14,23,10,0
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9,18,10,10,8,0,6,17,35.3,11,166,48,28.9,80,82,4,11,2,0,9,20,38,30,0
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,0.9,0,0,0,0,0,0,2,0,2,12,4,33.3,6,6,0,3,0,0,3,0,0,0,0
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,23.6,25,12,15,9,1,16,32,50,16,172,54,31.4,97,67,8,48,24,1,24,30,55,110,2
Amath,SEN,FW,Mallorca,La Liga,25,1996,9.8,26,13,11,12,3,7,20,35,13,207,46,22.2,50,90,67,18,2,0,16,11,37,4,0
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,4.6,14,5,7,7,0,10,18,55.6,8,52,17,32.7,29,16,7,13,1,0,12,13,27,8,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,1.4,7,3,4,2,1,5,9,55.6,4,13,2,15.4,6,6,1,1,0,0,1,1,8,1,0
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,0.8,2,0,0,2,0,0,1,0,1,10,3,30,3,7,0,1,0,0,1,2,4,3,0
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,29.4,68,39,44,15,9,23,40,57.5,17,444,155,34.9,238,143,63,68,23,0,45,48,116,72,0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,4.1,8,4,4,2,2,4,7,57.1,3,57,23,40.4,14,30,13,5,1,0,4,5,13,2,0
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,7.6,11,7,3,5,3,3,10,30,7,155,43,27.7,26,82,47,7,0,0,7,5,16,0,0
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,25.4,76,43,44,25,7,20,45,44.4,25,429,124,28.9,215,182,32,61,21,0,40,55,131,76,0
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,10.5,31,22,15,11,5,16,31,51.6,15,254,75,29.5,71,145,38,27,8,0,19,10,41,7,1
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,32.4,36,23,26,10,0,14,28,50,14,157,58,36.9,95,55,7,41,21,0,20,60,96,156,2
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,32.1,82,50,34,33,15,28,92,30.4,64,784,180,23,183,342,259,65,5,1,60,37,119,16,1
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,14,13,9,1,4,8,7,11,63.6,4,192,59,30.7,2,76,114,7,0,0,7,3,16,9,0
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,2,0,0,0,0,0,0,0,,0,28,8,28.6,1,14,13,2,0,0,2,1,1,1,0
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,11.6,29,20,19,8,2,16,31,51.6,15,180,63,35,105,62,13,22,10,0,12,26,55,53,1
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,30.6,115,78,43,59,13,31,97,32,66,686,219,31.9,227,367,92,77,15,0,62,76,191,63,1
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,3.9,11,7,8,2,1,5,8,62.5,3,66,16,24.2,35,20,11,8,1,0,7,6,17,7,1
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,20.2,42,33,23,18,1,12,29,41.4,17,357,121,33.9,133,181,43,33,8,0,25,46,88,49,2
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,12,29,24,12,14,3,13,21,61.9,8,117,38,32.5,45,56,16,16,1,0,15,18,47,22,0
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,25.5,35,18,16,16,3,16,31,51.6,15,263,94,35.7,103,97,63,46,4,0,42,35,70,50,0
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,0.3,2,0,2,0,0,0,0,,0,5,0,0,5,0,0,0,0,0,0,2,4,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,7.7,21,9,13,7,1,11,14,78.6,3,87,24,27.6,34,30,23,13,1,0,12,5,26,10,0
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,8.8,18,11,4,7,7,5,17,29.4,12,200,57,28.5,42,64,94,9,1,0,8,8,26,8,1
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,28.8,47,33,27,18,2,21,42,50,21,329,128,38.9,167,139,23,51,18,1,33,66,113,159,1
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,0.6,0,0,0,0,0,0,0,,0,6,0,0,5,1,0,1,0,0,1,3,3,1,1
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,33,28,23,7,9,12,6,20,30,14,460,133,28.9,34,166,260,26,1,0,25,14,42,17,0
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,12.6,27,19,9,12,6,8,21,38.1,13,257,77,30,46,108,103,18,1,0,17,7,34,8,0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,27.8,53,33,16,25,12,19,51,37.3,32,521,127,24.4,111,237,173,22,1,0,21,38,91,7,0
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,12,21,13,6,10,5,6,29,20.7,23,337,88,26.1,63,203,71,21,1,0,20,21,42,8,0
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,23.3,68,36,46,18,4,25,55,45.5,30,376,122,32.4,214,127,35,43,13,0,30,47,115,73,0
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,29.6,64,37,22,32,10,17,57,29.8,40,634,162,25.6,175,385,74,54,5,0,49,47,111,24,1
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,23.3,21,11,3,12,6,6,28,21.4,22,463,114,24.6,99,210,154,29,3,0,26,14,35,21,0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,17.5,51,33,23,21,7,16,62,25.8,46,443,138,31.2,163,234,46,34,3,0,31,42,93,19,0
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,29.1,27,17,22,5,0,9,18,50,9,191,73,38.2,101,81,9,30,12,1,18,53,80,146,0
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,25.2,49,33,37,11,1,23,30,76.7,7,220,85,38.6,117,92,11,50,21,1,29,37,86,78,2
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,0.3,0,0,0,0,0,0,0,,0,4,0,0,0,2,2,0,0,0,0,1,1,1,0
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,2.1,5,3,1,3,1,1,2,50,1,24,11,45.8,11,11,2,1,0,0,1,1,6,3,0
Matias Arezo,URU,FW,Granada,La Liga,18,2002,1.8,5,2,1,1,3,3,9,33.3,6,39,11,28.2,8,14,17,1,0,0,1,1,6,1,0
Santiago Arias,COL,DF,Granada,La Liga,29,1992,4.9,13,6,9,3,1,4,10,40,6,75,26,34.7,47,19,9,11,5,0,6,4,17,10,0
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,15.7,10,7,3,3,4,0,6,0,6,239,64,26.8,21,89,129,10,1,0,9,9,19,6,0
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,16.4,26,15,14,5,7,7,29,24.1,22,266,85,32,76,120,70,17,1,0,16,14,40,15,0
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,29.9,22,15,1,15,6,7,32,21.9,25,461,137,29.7,52,198,211,14,2,0,12,15,37,16,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,33.3,50,34,27,19,4,14,47,29.8,33,562,189,33.6,216,288,58,46,15,1,31,68,118,45,0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,18.4,32,23,15,11,6,12,46,26.1,34,330,88,26.7,97,185,48,27,3,0,24,32,64,23,0
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,8.3,9,6,3,3,3,2,6,33.3,4,133,39,29.3,8,48,77,4,1,0,3,3,12,8,0
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,5.2,14,12,9,4,1,7,16,43.8,9,97,30,30.9,39,36,22,9,0,0,9,8,22,15,0
Takuma Asano,JPN,FW,Bochum,Bundesliga,26,1994,17.9,16,11,5,8,3,7,24,29.2,17,373,104,27.9,69,154,150,22,4,0,18,17,33,10,0
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,24,1997,26.4,96,61,53,36,7,35,89,39.3,54,620,200,32.3,261,299,60,48,6,0,42,54,150,38,1
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,20,2000,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,1,1,1,0,0,0,0,0,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,25,1996,19.2,16,10,8,6,2,7,20,35,13,184,44,23.9,37,76,71,15,1,0,14,25,41,5,1
Harrison Ashby,SCO,DF,West Ham,Premier League,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,1,1,0,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,20,2001,8.4,16,10,5,10,1,7,16,43.8,9,138,37,26.8,45,67,26,22,10,0,12,18,34,19,0
Fisnik Asllani,KVX,MF,Hoffenheim,Bundesliga,18,2002,0.1,0,0,0,0,0,0,0,,0,5,3,60,0,3,2,0,0,0,0,0,0,0,0
Kristjan Asllani,ALB,MF,Empoli,Serie A,19,2002,15,27,14,14,11,2,10,27,37,17,255,61,23.9,108,129,18,19,8,1,11,34,61,21,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,33,1987,34.3,14,7,3,4,7,4,22,18.2,18,410,102,24.9,47,158,205,35,3,1,32,21,35,14,0
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,6.8,14,10,9,4,1,4,12,33.3,8,97,32,33,40,30,27,17,3,0,14,14,28,14,0
Simon Asta,GER,DF,Greuther Fürth,Bundesliga,20,2001,8.7,14,8,7,4,3,6,12,50,6,152,48,31.6,61,53,38,18,3,0,15,26,40,9,0
Youcef Atal,ALG,DF,Nice,Ligue 1,25,1996,12.7,32,21,23,6,3,11,24,45.8,13,158,50,31.6,57,57,44,21,2,0,19,40,72,23,0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,11.5,12,7,5,5,2,2,6,33.3,4,201,53,26.4,23,78,100,19,3,0,16,1,13,3,0
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,12,2,2,0,1,1,0,2,0,2,194,42,21.6,7,63,124,17,3,0,14,5,7,3,0
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,0,0,0,0,0,0,1,0,1,5,1,20,5,0,0,0,0,0,0,0,0,0,0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,26,1994,26.6,45,24,27,11,7,13,27,48.1,14,255,78,30.6,126,75,54,47,5,0,42,46,91,57,1
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,24,1997,0.9,0,0,0,0,0,0,1,0,1,12,0,0,0,6,6,2,0,0,2,0,0,0,0
Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,27,1994,8.8,19,13,11,4,4,6,13,46.2,7,114,39,34.2,57,30,27,19,4,0,15,9,28,28,0
Serge Aurier,CIV,DF,Villarreal,La Liga,28,1992,11.2,21,14,12,7,2,6,10,60,4,136,42,30.9,61,49,26,22,7,1,15,23,44,18,0
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,27,1994,20.8,16,9,6,9,1,12,26,46.2,14,268,78,29.1,38,112,118,26,2,0,24,24,40,14,0
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,23,1997,24.2,17,9,3,8,6,1,13,7.7,12,366,121,33.1,32,162,172,17,4,0,13,6,23,23,0
Ramzi Aya,ITA,DF,Salernitana,Serie A,30,1990,1.5,1,1,1,0,0,1,1,100,0,6,1,16.7,4,2,0,0,0,0,0,2,3,1,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,29,1991,22.4,52,34,19,22,11,11,22,50,11,515,146,28.3,121,227,167,37,4,0,33,28,80,9,0
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,26,1994,15,22,9,15,7,0,3,12,25,9,124,38,30.6,73,48,3,23,14,1,9,24,46,57,0
Luke Ayling,ENG,DF,Leeds United,Premier League,29,1991,25.2,79,45,50,24,5,49,101,48.5,52,392,137,34.9,215,137,40,49,28,0,21,54,133,68,1
Karim Azamoum,FRA,DF,Troyes,Ligue 1,31,1990,4.3,8,6,3,5,0,1,4,25,3,67,22,32.8,33,34,0,5,2,0,3,2,10,11,0
Sardar Azmoun,IRN,FW,Leverkusen,Bundesliga,26,1995,4,1,1,0,0,1,0,2,0,2,77,18,23.4,10,34,33,3,0,0,3,2,3,8,0
César Azpilicueta,ESP,DF,Chelsea,Premier League,31,1989,23,54,31,22,27,5,21,43,48.8,22,356,104,29.2,143,158,55,62,11,0,51,37,91,71,1
Iddrisu Baba,GHA,MF,Mallorca,La Liga,25,1996,21.5,71,51,37,31,3,21,37,56.8,16,388,127,32.7,150,206,32,34,6,0,28,36,107,44,1
Carlos Bacca,COL,FW,Granada,La Liga,34,1986,5.7,5,3,2,1,2,1,4,25,3,61,17,27.9,10,29,22,8,2,0,6,1,6,5,0
