Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32,69,37,50,19,0,37,58,63.8,21,434,113,26,255,140,39,86,22,1,64,56,125,69,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,62,46,41,20,1,13,27,48.1,14,451,162,35.9,252,170,29,62,26,2,36,103,165,106,0
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,55,34,25,25,5,19,59,32.2,40,641,179,27.9,197,336,108,27,1,0,26,51,106,15,0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,117,73,49,56,12,59,163,36.2,104,918,259,28.2,304,502,112,55,3,0,52,84,201,11,0
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,0,0,0,0,0,0,1,0,1,14,1,7.1,0,11,3,1,0,0,1,0,0,0,0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,14,7,3,7,4,2,11,18.2,9,190,39,20.5,21,81,88,10,3,0,7,8,22,7,0
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,0,0,0,0,0,0,1,0,1,26,4,15.4,4,14,8,2,0,0,2,1,1,1,0
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,34,22,10,15,9,10,23,43.5,13,467,138,29.6,46,196,225,33,11,0,22,15,49,31,0
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,7,6,5,1,1,3,4,75,1,35,13,37.1,14,20,1,13,5,2,8,11,18,39,1
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,27,12,18,9,0,9,20,45,11,165,48,29.1,86,68,11,48,30,0,18,48,75,115,1
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,2,2,0,1,1,2,3,66.7,1,69,20,29,5,29,35,3,0,0,3,0,2,1,0
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,1,1,0,0,1,0,0,,0,2,2,100,2,0,0,0,0,0,0,0,1,0,0
