Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,23.3,804,632,172,38,2,139,42,60,68,33,29,1,478,105,221,662,85,15,22,11,529,6,19,40,36
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,17.5,1087,1041,46,40,1,151,31,8,0,0,0,0,765,134,188,124,892,47,6,7,911,6,9,29,27
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,29.1,1520,1487,33,30,0,122,38,3,0,0,0,0,1203,96,221,230,1145,100,3,2,1330,6,26,24,10
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,25.2,1643,1554,89,43,1,138,54,5,0,0,0,0,1326,102,215,128,1379,46,44,5,1485,3,17,25,6
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,0.3,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,1,3,0,0,1,5,0,0,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1.0,41,24,17,3,0,6,0,0,0,0,0,0,11,1,29,2,35,0,0,3,20,0,0,1,0
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,2.1,74,41,33,0,0,6,2,2,0,0,0,0,24,11,39,0,32,7,33,0,49,0,2,2,0
Matias Arezo,URU,FW,Granada,La Liga,18,2002,1.8,39,35,4,1,0,15,0,3,0,0,0,0,19,12,8,7,19,4,1,0,23,0,1,2,2
Santiago Arias,COL,DF,Granada,La Liga,29,1992,4.9,223,174,49,1,0,32,4,13,0,0,0,0,94,59,70,16,138,12,48,3,164,2,1,6,7
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,15.7,315,284,31,0,1,65,9,22,0,0,0,0,215,56,44,64,219,18,2,4,223,1,3,14,13
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,16.4,734,702,32,2,1,124,9,32,2,0,1,0,564,95,75,125,577,16,7,5,583,3,10,38,23
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,29.9,927,872,55,0,3,268,12,20,0,0,0,0,607,186,134,108,687,68,8,23,683,3,6,49,35
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,33.3,1848,1591,257,147,3,262,120,46,102,62,35,0,1128,159,561,1371,384,53,6,10,1445,11,39,46,28
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4.0,139,110,29,8,0,18,4,0,0,0,0,0,95,7,37,13,96,0,0,28,115,0,3,0,0
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,18.4,681,647,34,21,2,109,13,25,7,2,5,0,509,68,104,72,570,27,3,3,547,0,8,24,25
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,8.3,144,128,16,0,0,33,4,2,0,0,0,0,103,16,25,12,115,7,0,3,114,0,3,2,6
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,5.2,170,147,23,4,0,38,8,13,5,2,2,1,80,35,55,104,19,17,14,3,109,4,6,6,5
Takuma Asano,JPN,FW,Bochum,Bundesliga,26,1994,17.9,378,371,7,1,2,89,9,25,0,0,0,0,253,63,62,112,229,14,4,5,263,1,9,15,26
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,24,1997,26.4,1182,1119,63,54,0,194,23,3,0,0,0,0,843,166,173,221,832,88,7,5,978,5,21,37,30
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6.0,222,163,59,3,0,12,5,0,0,0,0,0,151,15,56,34,142,3,0,39,183,1,6,0,1
Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,20,2000,0.1,8,8,0,0,0,1,1,1,0,0,0,0,5,0,3,7,0,1,0,0,7,0,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,25,1996,19.2,904,823,81,16,1,133,39,43,45,24,3,4,694,93,117,786,85,13,14,5,740,5,7,34,29
Harrison Ashby,SCO,DF,West Ham,Premier League,19,2001,0.1,8,7,1,0,0,0,0,0,0,0,0,0,5,2,1,0,6,1,1,0,7,0,0,0,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,20,2001,8.4,228,219,9,7,0,53,2,1,0,0,0,0,113,51,64,43,144,15,2,5,156,3,4,12,10
Fisnik Asllani,KVX,MF,Hoffenheim,Bundesliga,18,2002,0.1,8,8,0,0,0,4,0,0,0,0,0,0,6,2,0,1,7,0,0,0,6,0,0,0,1
Kristjan Asllani,ALB,MF,Empoli,Serie A,19,2002,15.0,746,694,52,31,0,76,39,13,16,9,4,0,545,50,151,188,537,12,3,1,617,1,14,22,9
Iago Aspas,ESP,FW,Celta Vigo,La Liga,33,1987,34.3,1357,1259,98,38,2,292,56,86,30,16,5,2,982,191,184,959,295,52,17,11,976,6,32,86,60
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,6.8,387,306,81,5,1,43,8,15,0,0,0,0,243,92,52,25,265,12,76,2,311,2,13,15,17
Simon Asta,GER,DF,Greuther Fürth,Bundesliga,20,2001,8.7,401,308,93,3,0,41,4,16,0,0,0,0,210,80,111,16,272,19,90,0,287,1,12,20,18
Youcef Atal,ALG,DF,Nice,Ligue 1,25,1996,12.7,729,610,119,9,2,85,12,48,2,0,0,0,432,149,148,39,535,27,108,2,559,1,14,34,24
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,11.5,205,198,7,0,1,62,3,9,0,0,0,0,120,47,38,27,151,8,1,1,145,1,2,8,11
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,12.0,244,223,21,0,1,57,0,9,0,0,0,0,180,36,28,29,201,4,1,2,184,0,2,17,4
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,999,700,299,84,1,89,14,0,0,0,0,0,440,44,515,98,754,0,1,118,693,7,18,8,1
Tommaso Augello,ITA,DF,Sampdoria,Serie A,26,1994,26.6,1384,1115,269,32,1,167,18,61,4,0,0,0,724,315,345,989,65,62,233,3,1062,3,16,38,65
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,24,1997,0.9,18,16,2,0,0,4,0,0,0,0,0,0,14,3,1,2,14,0,0,0,15,0,0,1,0
Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,27,1994,8.8,560,445,115,13,0,34,26,21,19,0,16,0,335,98,127,391,57,15,83,5,452,2,11,8,14
Serge Aurier,CIV,DF,Villarreal,La Liga,28,1992,11.2,734,640,94,10,0,82,20,22,0,0,0,0,533,108,93,63,529,39,84,2,627,2,7,13,13
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,27,1994,20.8,545,522,23,6,0,127,34,58,4,1,1,1,215,142,188,125,292,69,6,13,307,4,30,26,38
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,23,1997,24.2,484,475,9,0,6,162,3,9,0,0,0,0,304,112,68,90,290,41,1,23,334,2,12,28,25
Ramzi Aya,ITA,DF,Salernitana,Serie A,30,1990,1.5,28,23,5,1,0,0,0,1,0,0,0,0,14,3,11,2,20,2,4,0,18,0,2,0,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,29,1991,22.4,745,732,13,2,1,136,15,50,1,0,0,0,533,108,104,37,638,28,10,7,570,2,13,27,42
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,26,1994,15.0,869,824,45,38,0,88,38,1,0,0,0,0,705,44,120,52,758,31,3,5,788,4,12,10,3
Luke Ayling,ENG,DF,Leeds United,Premier League,29,1991,25.2,1558,1384,174,36,2,209,48,25,0,0,0,0,939,247,372,137,1184,64,137,6,1218,9,29,70,26
