Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32.0,1440,1102,338,27,2,173,19,45,0,0,0,0,847,307,286,157,929,29,311,2,1087,7,28,52,56
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,1555,1455,100,81,0,188,55,2,0,0,0,0,1167,125,263,1050,402,49,14,4,1281,5,32,41,29
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,1671,1651,20,16,1,220,22,10,0,0,0,0,1440,129,102,132,1454,52,4,8,1532,2,16,34,23
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,1635,1607,28,21,6,311,49,26,1,0,0,0,1232,185,218,147,1441,24,5,5,1334,7,18,60,55
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,6,6,0,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,2,0,0,2,0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,139,130,9,1,1,42,2,2,0,0,0,0,87,32,20,27,76,19,0,3,90,2,5,5,9
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,10,10,0,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,8,0,0,1,0
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,694,626,68,6,5,203,11,24,0,0,0,0,440,150,104,63,482,66,1,24,500,0,10,35,24
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,220,211,9,5,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,194,1,1,2,1
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,2006,1935,71,62,2,168,75,1,0,0,0,0,1489,158,359,1525,343,78,1,8,1812,1,22,24,12
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,71,69,2,0,0,26,1,6,0,0,0,0,35,18,18,12,35,5,2,1,42,1,2,4,5
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,5,5,0,0,0,2,0,0,0,0,0,0,4,1,0,0,5,0,0,0,3,0,1,0,1
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,1971,1640,331,60,3,167,106,124,40,0,30,1,1157,310,504,1468,193,47,231,5,1564,6,29,64,41
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,484,468,16,0,4,137,10,11,0,0,0,0,307,99,78,44,350,28,1,16,337,2,10,26,31
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15.0,914,874,40,25,1,151,6,3,0,0,0,0,717,86,111,130,702,43,14,4,792,4,9,24,22
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,98,93,5,0,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,73,0,3,5,7
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,146,140,6,2,0,49,1,2,4,0,4,0,116,10,20,25,116,3,0,0,107,1,8,12,8
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14.0,520,501,19,2,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,392,5,7,39,20
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,1237,1110,127,43,3,197,91,39,67,39,16,1,814,141,282,126,1054,23,10,4,910,7,31,60,39
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,243,228,15,7,0,43,10,2,7,0,4,0,199,25,19,37,193,6,1,1,216,1,1,5,4
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,164,155,9,1,0,25,4,8,0,0,0,0,128,22,14,10,140,1,6,3,125,0,2,10,10
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18.0,788,607,181,7,0,78,17,39,1,0,0,0,377,178,233,37,505,53,173,2,563,3,20,31,28
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4.0,82,48,34,8,0,3,1,0,0,0,0,0,48,1,33,30,36,0,0,10,61,0,4,0,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,981,947,34,27,1,154,31,4,1,0,0,1,722,110,149,121,794,37,0,4,828,3,11,31,24
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,385,373,12,1,0,121,7,13,4,3,1,0,289,52,44,321,29,17,4,1,284,2,10,20,18
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,2174,2107,67,62,1,186,99,2,0,0,0,0,1793,98,283,1842,222,59,5,4,1956,3,23,37,16
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,43,41,2,0,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,31,0,0,0,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,1715,1437,278,36,3,163,34,52,1,0,1,0,1096,345,274,27,1369,42,241,10,1438,6,20,50,39
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,34,33,1,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,30,0,1,1,0
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15.0,869,836,33,22,1,101,28,7,0,0,0,0,696,64,109,133,664,41,11,1,770,1,14,11,9
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,411,401,10,10,0,58,4,4,0,0,0,0,321,49,41,288,91,19,0,3,348,0,6,11,10
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,1523,1487,36,16,2,162,36,2,0,0,0,0,1115,115,293,251,1115,92,20,10,1263,4,31,40,15
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16.0,757,606,151,9,2,85,9,30,0,0,0,0,407,143,207,151,421,29,142,3,546,4,11,23,40
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,1003,788,215,16,1,135,36,56,29,8,17,2,557,215,231,672,108,42,170,0,754,2,28,33,31
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,873,721,152,8,0,138,15,12,0,0,0,0,449,217,207,42,577,63,144,2,629,4,23,33,40
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,30.4,909,888,21,0,1,292,17,18,0,0,0,0,507,244,158,519,169,62,2,32,670,1,13,48,32
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,25.1,1986,1922,64,58,0,199,69,2,0,0,0,0,1633,121,232,393,1489,64,6,1,1801,3,22,26,15
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,20.5,849,685,164,18,1,117,20,32,0,0,0,0,448,181,220,34,574,62,146,3,630,2,30,25,30
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,0.9,17,16,1,0,0,4,1,1,0,0,0,0,13,2,2,2,14,0,1,0,13,0,0,3,0
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,10.3,855,813,42,16,0,71,5,0,0,0,0,0,716,67,72,621,155,28,26,2,780,0,10,7,8
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,1.4,53,53,0,0,0,9,1,5,0,0,0,0,45,3,5,49,3,1,0,0,45,0,0,1,2
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,0.6,22,22,0,0,1,5,0,0,0,0,0,0,20,2,0,16,6,0,0,0,20,0,0,0,0
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,5.7,328,325,3,3,0,39,10,0,0,0,0,0,259,27,42,27,280,14,0,1,287,1,9,6,4
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,3.5,113,112,1,1,0,25,1,0,0,0,0,0,84,24,5,20,80,5,0,2,92,0,2,5,5
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,17.0,930,752,178,17,2,124,19,29,0,0,0,0,562,204,164,88,639,27,161,1,721,3,23,36,36
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,29.4,1967,1883,84,40,2,158,19,32,3,3,0,0,1680,123,164,1623,251,40,34,3,1804,5,14,19,20
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,1.8,102,89,13,1,0,8,1,1,0,0,0,0,77,16,9,6,82,1,12,0,84,0,0,4,6
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,15.8,580,513,67,33,1,112,46,23,32,14,13,0,300,79,201,39,488,36,1,1,414,5,18,9,16
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,7.3,155,147,8,0,1,47,1,3,0,0,0,0,96,33,26,12,108,14,2,2,106,0,3,8,4
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,29.4,2770,2422,348,84,9,186,51,104,1,0,0,0,1896,467,407,2140,289,61,262,4,2336,12,26,76,66
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,0.2,8,7,1,0,0,0,0,0,0,0,0,0,6,1,1,4,2,1,1,0,6,0,0,1,0
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,26.1,1976,1774,202,80,12,313,78,50,102,45,37,3,1514,178,284,101,1822,25,11,8,1643,6,18,65,34
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,27.4,1528,1475,53,48,0,164,53,0,0,0,0,0,1149,116,263,242,1181,78,3,1,1337,1,21,18,18
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,12.6,551,450,101,15,0,96,33,31,37,26,6,1,308,111,132,39,437,20,48,1,345,5,5,31,38
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,8.7,171,154,17,0,1,35,3,2,0,0,0,0,113,31,27,32,112,10,2,2,124,2,1,8,10
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,17.0,1479,1460,19,12,3,215,63,2,1,0,1,0,1139,138,202,97,1308,35,3,5,1325,2,15,42,23
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,12.3,654,611,43,35,2,110,39,12,6,1,2,0,457,67,130,91,505,30,2,6,551,1,7,14,10
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,26.7,930,871,59,50,2,125,83,2,0,0,0,0,402,78,450,719,64,94,3,2,578,4,39,28,13
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,11.8,343,330,13,3,0,62,22,77,0,0,0,0,173,65,105,22,275,24,10,1,202,1,16,8,22
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12.0,392,293,99,29,0,34,6,0,0,0,0,0,213,8,171,16,321,0,0,53,286,0,11,2,0
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,860,821,39,24,5,202,36,22,11,5,4,1,632,89,139,734,79,32,2,1,689,2,15,31,23
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,2706,2155,551,90,20,237,199,127,131,28,89,2,1403,476,827,279,2018,60,330,6,2013,6,38,102,77
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,14,8,6,0,0,4,0,1,0,0,0,0,4,2,8,0,6,1,6,0,10,0,0,0,1
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,322,313,9,2,0,82,10,29,0,0,0,0,235,54,33,221,76,6,2,7,228,1,13,17,18
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36.0,1360,1127,233,62,2,96,37,0,0,0,0,0,969,68,323,100,1030,3,0,195,1178,0,18,19,0
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,967,905,62,21,0,156,17,6,0,0,0,0,666,112,189,87,824,34,10,3,757,5,16,44,29
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,550,533,17,4,1,116,17,31,9,5,1,0,423,61,66,88,421,26,4,1,414,4,13,22,23
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,214,202,12,6,0,42,2,3,0,0,0,0,149,33,32,10,180,12,3,3,167,1,2,11,7
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,152,140,12,2,1,34,1,4,1,0,0,0,110,24,18,5,132,4,4,1,114,3,3,9,5
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,505,496,9,2,1,86,5,22,1,1,0,0,403,47,55,457,21,15,5,3,406,2,7,14,20
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,1456,1162,294,26,1,234,50,64,65,34,23,2,867,292,297,1060,110,38,203,3,1132,3,25,48,42
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,818,728,90,21,0,92,19,15,0,0,0,0,403,106,309,151,495,77,69,1,563,4,22,21,18
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,2,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,996,946,50,49,0,110,43,2,0,0,0,0,687,98,211,74,806,65,1,7,825,2,22,14,15
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,1083,923,160,33,4,119,60,37,35,8,17,5,735,141,207,117,850,13,92,5,920,4,12,26,10
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,234,231,3,2,0,33,4,2,0,0,0,0,178,24,32,15,199,12,1,0,207,0,2,6,3
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9.0,440,431,9,9,0,47,16,0,0,0,0,0,359,26,55,29,385,20,0,1,386,0,4,9,5
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,0.9,40,32,8,0,0,6,1,1,0,0,0,0,21,11,8,24,2,3,8,1,27,0,1,1,2
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,23.6,1475,1447,28,21,0,137,23,0,0,0,0,0,1274,80,121,132,1259,55,6,3,1353,2,9,22,18
Amath,SEN,FW,Mallorca,La Liga,25,1996,9.8,211,204,7,1,0,48,2,7,1,0,0,0,158,31,22,41,149,10,4,4,166,1,1,13,9
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,4.6,316,270,46,5,0,43,8,7,0,0,0,0,220,55,41,198,61,9,41,0,268,1,7,5,7
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,1.4,88,71,17,2,1,8,3,2,0,0,0,0,60,19,9,53,17,0,15,0,76,0,2,6,2
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,0.8,29,24,5,5,0,1,3,0,0,0,0,0,18,3,8,9,18,1,0,0,20,0,1,0,0
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,29.4,1137,870,267,21,1,176,11,16,0,0,0,0,644,310,183,93,731,44,246,2,900,4,26,43,38
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,4.1,223,214,9,1,0,45,14,3,5,1,4,0,178,19,26,19,200,2,2,0,184,1,3,5,2
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,7.6,307,267,40,14,2,42,7,8,13,3,7,0,221,25,61,25,268,8,2,2,227,2,7,13,4
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,25.4,1154,1039,115,40,2,185,25,19,0,0,0,0,730,143,281,165,810,52,73,7,866,6,26,32,25
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,10.5,711,684,27,27,0,84,32,3,0,0,0,0,558,56,97,33,640,28,0,4,642,0,0,18,14
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,32.4,2195,2113,82,74,2,186,110,14,1,0,0,1,1453,156,586,183,1838,110,4,7,1812,5,55,52,14
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,32.1,1424,1345,79,8,2,210,29,71,13,8,2,1,1066,198,160,216,1117,42,26,8,1108,3,18,73,53
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,14.0,253,242,11,0,0,109,1,15,0,0,0,0,119,78,56,33,130,25,1,28,168,0,4,11,14
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,2.0,40,36,4,0,0,14,0,0,0,0,0,0,19,11,10,9,17,7,0,2,28,0,4,0,3
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,11.6,517,421,96,9,0,73,9,11,0,0,0,0,258,103,156,309,60,41,87,1,353,1,9,28,18
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,30.6,1770,1713,57,44,3,363,63,17,1,0,0,0,1220,267,283,237,1335,75,11,20,1429,5,33,78,41
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,3.9,164,130,34,2,0,25,0,4,0,0,0,0,98,36,30,89,37,6,32,0,131,0,0,6,8
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,20.2,1011,990,21,18,4,131,10,5,0,0,0,0,721,126,164,191,715,64,3,9,832,5,20,25,22
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,12.0,788,637,151,19,0,91,57,32,0,0,0,0,384,136,268,529,80,28,132,4,599,2,16,37,16
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,25.5,1508,1201,307,48,2,184,66,128,53,25,9,1,769,248,491,1147,99,43,206,1,1094,9,28,41,40
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,0.3,11,8,3,0,0,0,1,0,0,0,0,0,3,2,6,7,1,0,3,0,4,0,0,0,1
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,7.7,413,333,80,8,1,44,18,35,8,4,1,0,189,78,146,111,225,10,64,0,293,3,11,9,17
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,8.8,212,194,18,0,1,45,1,10,0,0,0,0,134,34,44,29,145,19,5,2,139,2,2,9,11
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,28.8,1801,1716,85,48,2,184,50,12,0,0,0,0,1350,160,291,288,1361,71,34,5,1541,2,34,25,22
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,0.6,25,23,2,0,0,1,1,0,0,0,0,0,20,0,5,8,14,3,0,0,20,0,0,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,33.0,708,671,37,3,7,220,22,54,1,0,0,0,405,157,146,105,493,28,15,8,466,6,19,34,55
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,12.6,262,234,28,0,1,59,4,28,1,0,0,0,151,52,59,45,164,16,27,1,164,1,7,18,20
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,27.8,1460,1395,65,28,6,247,21,14,11,4,2,2,1235,128,97,139,1274,15,12,11,1274,2,9,50,31
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,12.0,631,569,62,19,1,109,47,24,36,12,15,1,438,57,136,90,502,19,3,5,480,3,14,32,16
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,23.3,995,854,141,12,0,92,14,27,0,0,0,0,641,149,205,88,712,48,129,2,776,2,35,43,28
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,29.6,1262,1109,153,85,0,192,99,25,65,24,34,4,742,142,378,103,1055,71,3,3,947,4,23,35,39
