Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Christoph Baumgartner,AUT,MF,Hoffenheim,Bundesliga,21,1999,21.0,542,753,72.0,9417,2514,251,314,79.9,209,275,76.0,64,115,55.7,2,3.2,-1.2,20,44,23,6,69
Jon Bautista,ESP,FW,Real Sociedad,La Liga,26,1995,0.5,6,8,75.0,81,21,4,5,80.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,1,0,2
Paul Baysse,FRA,DF,Bordeaux,Ligue 1,33,1988,0.1,2,4,50.0,31,6,1,1,100.0,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
Noah Joel Sarenren Bazee,NGA,MF,Augsburg,Bundesliga,24,1996,2.7,31,51,60.8,496,172,15,22,68.2,8,13,61.5,4,6,66.7,0,0.2,-0.2,2,0,4,3,1
Bebé,CPV,FW,Rayo Vallecano,La Liga,31,1990,9.6,211,342,61.7,3999,1039,103,122,84.4,68,107,63.6,34,89,38.2,2,1.9,+0.1,16,13,11,5,18
Ihlas Bebou,TOG,FW,Hoffenheim,Bundesliga,27,1994,23.2,456,631,72.3,7027,2245,247,315,78.4,151,206,73.3,33,52,63.5,2,1.9,+0.1,19,16,33,11,48
Rodrigo Becão,BRA,DF,Udinese,Serie A,25,1996,34.8,1114,1398,79.7,21142,7922,424,467,90.8,533,621,85.8,131,254,51.6,1,0.8,+0.2,9,41,5,1,51
Mads Bech Sørensen,DEN,DF,Brentford,Premier League,22,1999,9.3,387,500,77.4,7991,3011,130,153,85.0,188,222,84.7,65,110,59.1,0,0.4,-0.4,7,21,4,3,15
Sheraldo Becker,SUR,FW,Union Berlin,Bundesliga,26,1995,19.5,385,610,63.1,7226,2266,168,232,72.4,148,229,64.6,58,107,54.2,6,6.6,-0.6,45,23,43,30,47
Jan Bednarek,POL,DF,Southampton,Premier League,25,1996,29.2,1185,1431,82.8,24493,7355,395,434,91.0,605,674,89.8,171,295,58.0,0,0.6,-0.6,6,75,1,1,51
Donny van de Beek,NED,MF,Everton,Premier League,24,1997,5.4,202,241,83.8,3132,897,104,118,88.1,80,88,90.9,10,23,43.5,0,0.1,-0.1,2,15,3,0,14
Donny van de Beek,NED,MF,Manchester Utd,Premier League,24,1997,0.8,25,32,78.1,385,184,14,18,77.8,8,10,80.0,2,2,100.0,0,0.5,-0.5,3,2,2,0,3
Asmir Begović,BIH,GK,Everton,Premier League,34,1987,3.0,35,84,41.7,1599,1285,2,2,100.0,10,10,100.0,23,71,32.4,0,0.0,0.0,0,1,0,0,0
Valon Behrami,SUI,MF,Genoa,Serie A,36,1985,3.5,51,70,72.9,877,243,20,25,80.0,22,27,81.5,5,9,55.6,0,0.1,-0.1,1,4,0,0,4
Kevin Behrens,GER,FW,Union Berlin,Bundesliga,30,1991,5.5,127,184,69.0,1872,389,74,100,74.0,42,59,71.2,8,14,57.1,2,1.9,+0.1,6,9,5,0,15
Youcef Belaïli,ALG,MF,Brest,Ligue 1,29,1992,9.2,274,390,70.3,5458,1822,125,149,83.9,84,107,78.5,57,108,52.8,2,2.8,-0.8,20,33,16,1,34
Vid Belec,SVN,GK,Salernitana,Serie A,31,1990,21.5,363,579,62.7,13951,10170,43,44,97.7,121,121,100.0,195,408,47.8,0,0.0,0.0,0,14,1,0,0
Ishak Belfodil,ALG,FW,Hertha BSC,Bundesliga,29,1992,18.2,331,471,70.3,4344,883,214,276,77.5,91,137,66.4,10,23,43.5,2,1.7,+0.3,19,9,12,1,27
Haris Belkebla,ALG,MF,Brest,Ligue 1,27,1994,25.7,847,1008,84.0,15871,3811,351,399,88.0,357,411,86.9,114,147,77.6,0,0.6,-0.6,13,59,14,7,68
Stefan Bell,GER,DF,Mainz 05,Bundesliga,29,1991,31.8,1166,1479,78.8,23324,9556,388,437,88.8,620,711,87.2,144,293,49.1,0,1.6,-1.6,10,74,7,1,84
Armel Bella Kotchap,GER,DF,Bochum,Bundesliga,19,2001,19.6,585,743,78.7,14516,3641,118,152,77.6,297,329,90.3,164,249,65.9,0,0.3,-0.3,3,39,2,1,28
Raoul Bellanova,ITA,DF,Cagliari,Serie A,21,2000,27.7,678,940,72.1,12758,3230,290,362,80.1,287,376,76.3,93,167,55.7,2,3.8,-1.8,32,30,28,19,49
Karim Bellarabi,GER,FW,Leverkusen,Bundesliga,31,1990,7.6,199,267,74.5,3330,961,106,128,82.8,62,84,73.8,23,40,57.5,2,1.2,+0.8,9,17,8,3,20
Jean-Ricner Bellegarde,FRA,MF,Strasbourg,Ligue 1,23,1998,25.9,897,1079,83.1,15874,3130,411,456,90.1,364,422,86.3,101,158,63.9,3,2.4,+0.6,23,65,22,4,79
Héctor Bellerín,ESP,DF,Betis,La Liga,26,1995,22.0,813,1064,76.4,13375,5458,422,494,85.4,299,379,78.9,72,127,56.7,2,2.4,-0.4,26,54,20,3,69
