Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,34,32,2881,32,0,2,0,0,0,8,0,0,0.06,0.06,0,0.06,0.7,0.7,1.4,2.1,0.02,0.04,0.06,0.02,0.06
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,34,34,2983,33.1,2,0,2,0,0,5,1,0.06,0,0.06,0.06,0.06,1.2,1.2,0.8,2.1,0.04,0.02,0.06,0.04,0.06
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,31,29,2462,27.4,1,0,1,0,0,12,3,0.04,0,0.04,0.04,0.04,0.8,0.8,1.1,1.9,0.03,0.04,0.07,0.03,0.07
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,34,34,2956,32.8,0,2,0,0,0,9,0,0,0.06,0.06,0,0.06,2,2,2.9,4.9,0.06,0.09,0.15,0.06,0.15
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,24,5,726,8.1,0,1,0,0,0,3,0,0,0.12,0.12,0,0.12,2.2,2.2,1.1,3.3,0.27,0.14,0.41,0.27,0.41
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,37,36,3084,34.3,17,4,14,3,3,9,0,0.5,0.12,0.61,0.41,0.53,20.5,18.3,3.6,21.8,0.6,0.1,0.7,0.53,0.64
Luis Abram,PER,DF,Granada,La Liga,25,1996,8,6,560,6.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,30,29,2536,28.2,4,0,4,0,0,2,1,0.14,0,0.14,0.14,0.14,2.2,2.2,0.4,2.6,0.08,0.02,0.09,0.08,0.09
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,13,1,259,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0.5,0.5,0.3,0.8,0.19,0.1,0.29,0.19,0.29
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,31,26,2260,25.1,1,3,1,0,0,10,0,0.04,0.12,0.16,0.04,0.16,1.4,1.4,3,4.4,0.06,0.12,0.18,0.06,0.18
Che Adams,SCO,FW,Southampton,Premier League,25,1996,30,23,2039,22.7,7,3,7,0,0,0,0,0.31,0.13,0.44,0.31,0.44,7.1,7.1,2.6,9.7,0.31,0.12,0.43,0.31,0.43
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,24,12,1351,15,0,1,0,0,0,5,0,0,0.07,0.07,0,0.07,0.2,0.2,0.8,1,0.01,0.05,0.07,0.01,0.07
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,8,2,352,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,25,13,1256,14,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,36,25,2260,25.1,1,7,1,0,0,5,0,0.04,0.28,0.32,0.04,0.32,2.2,2.2,5.5,7.7,0.09,0.22,0.3,0.09,0.3
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,12,4,443,4.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.08,0.11,0.03,0.11
