Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,17,6,668,7.4,2,0,2,0,0,5,1,0.27,0,0.27,0.27,0.27,1.9,1.9,0.2,2.1,0.25,0.03,0.28,0.25,0.28
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,24,17,1616,18,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.2,0.2,1,1.2,0.01,0.05,0.07,0.01,0.07
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,27,21,1868,20.8,0,0,0,0,0,6,0,0,0,0,0,0,1.2,1.1,0.4,1.5,0.06,0.02,0.08,0.05,0.07
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,23,12,1237,13.7,3,1,3,0,0,2,1,0.22,0.07,0.29,0.22,0.29,2.4,2.4,0.8,3.2,0.17,0.06,0.23,0.17,0.23
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,31,31,2735,30.4,2,2,2,0,0,3,1,0.07,0.07,0.13,0.07,0.13,1.9,1.9,0.4,2.3,0.06,0.01,0.07,0.06,0.07
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,28,22,2140,23.8,0,2,0,0,0,4,0,0,0.08,0.08,0,0.08,0.3,0.3,0.8,1.1,0.01,0.03,0.05,0.01,0.05
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15,15,1350,15,0,1,0,0,0,6,0,0,0.07,0.07,0,0.07,0.4,0.4,0.7,1.1,0.03,0.04,0.07,0.03,0.07
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,25,11,1004,11.2,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,1.6,1.6,1.1,2.7,0.14,0.1,0.24,0.14,0.24
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,32,30,2637,29.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.5,0.01,0,0.02,0.01,0.02
Ola Aina,NGA,DF,Torino,Serie A,24,1996,21,17,1437,16,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,1.4,1.7,0.02,0.09,0.11,0.02,0.11
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,23,20,1828,20.3,1,2,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,0.7,0.7,1.3,2.1,0.04,0.07,0.1,0.04,0.1
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,24,23,1995,22.2,1,3,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.4,2.2,0.04,0.06,0.1,0.04,0.1
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,36,31,2738,30.4,12,8,9,3,3,5,1,0.39,0.26,0.66,0.3,0.56,11,8.7,5.5,14.2,0.36,0.18,0.54,0.29,0.47
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,26,25,2261,25.1,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,1.8,1.8,0.1,2,0.07,0,0.08,0.07,0.08
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,25,21,1844,20.5,0,0,0,0,0,4,0,0,0,0,0,0,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,4,0,77,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,14,10,923,10.3,2,0,2,0,0,0,0,0.2,0,0.2,0.2,0.2,1.1,1.1,0.5,1.6,0.11,0.05,0.16,0.11,0.16
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,7,0,54,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.29,0.08,0.37,0.29,0.37
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,8,6,516,5.7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,10,4,315,3.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.5,0.12,0.01,0.13,0.12,0.13
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,26,19,1527,17,2,2,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,30,30,2642,29.4,2,3,2,0,0,2,0,0.07,0.1,0.17,0.07,0.17,1.6,1.6,2.4,3.9,0.05,0.08,0.13,0.05,0.13
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,4,0,158,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,23,16,1425,15.8,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,1,1,1.1,2.1,0.06,0.07,0.14,0.06,0.14
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,27,5,655,7.3,6,0,6,0,1,2,0,0.82,0,0.82,0.82,0.82,6.5,5.8,1.1,6.9,0.9,0.16,1.05,0.79,0.95
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,30,30,2644,29.4,2,10,2,0,0,11,0,0.07,0.34,0.41,0.07,0.41,1.3,1.3,5.9,7.1,0.04,0.2,0.24,0.04,0.24
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.19,0.19,0.19
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,34,27,2353,26.1,5,9,5,0,0,5,0,0.19,0.34,0.54,0.19,0.54,3.5,3.5,7.8,11.3,0.14,0.3,0.43,0.14,0.43
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,28,28,2465,27.4,0,0,0,0,0,8,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.02,0,0.02,0.02,0.02
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,17,11,1132,12.6,1,2,1,0,0,3,0,0.08,0.16,0.24,0.08,0.24,0.5,0.5,1.7,2.2,0.04,0.13,0.18,0.04,0.18
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,18,10,787,8.7,1,3,1,0,0,1,0,0.11,0.34,0.46,0.11,0.46,3.7,3.7,1.7,5.5,0.43,0.2,0.63,0.43,0.63
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,25,17,1534,17,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.9,1.9,2.3,4.2,0.11,0.14,0.25,0.11,0.25
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,14,12,1105,12.3,2,0,2,0,0,7,0,0.16,0,0.16,0.16,0.16,1.3,1.3,1.1,2.4,0.1,0.09,0.19,0.1,0.19
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,29,28,2403,26.7,2,0,2,0,0,15,0,0.07,0,0.07,0.07,0.07,0.9,0.9,0.3,1.2,0.04,0.01,0.05,0.04,0.05
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,20,11,1065,11.8,2,2,2,0,0,7,0,0.17,0.17,0.34,0.17,0.34,1,1,2.3,3.3,0.08,0.2,0.28,0.08,0.28
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,12,1080,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,33,30,2320,25.8,1,2,1,0,0,6,1,0.04,0.08,0.12,0.04,0.12,2,2,1.6,3.6,0.08,0.06,0.14,0.08,0.14
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,32,32,2853,31.7,2,12,2,0,0,2,0,0.06,0.38,0.44,0.06,0.44,2.6,2.6,11.2,13.8,0.08,0.35,0.44,0.08,0.44
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,32,21,1837,20.4,4,1,4,0,0,6,2,0.2,0.05,0.24,0.2,0.24,7,7,2.5,9.5,0.34,0.12,0.47,0.34,0.47
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,36,3240,36,0,1,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01
Allan,BRA,MF,Everton,Premier League,30,1991,28,25,2183,24.3,0,2,0,0,0,7,1,0,0.08,0.08,0,0.08,0.2,0.2,0.9,1.1,0.01,0.04,0.04,0.01,0.04
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,30,13,1488,16.5,1,2,1,0,0,1,0,0.06,0.12,0.18,0.06,0.18,3.4,3.4,1.7,5.1,0.2,0.1,0.31,0.2,0.31
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0,0.14,0,0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21
Dele Alli,ENG,MF,Everton,Premier League,25,1996,11,1,338,3.8,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.02,0.09,0.11,0.02,0.11
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,30,19,1716,19.1,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,2.1,2.1,0.7,2.7,0.11,0.03,0.14,0.11,0.14
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,28,25,2167,24.1,4,4,4,0,0,8,0,0.17,0.17,0.33,0.17,0.33,3.3,3.3,4.6,7.9,0.14,0.19,0.33,0.14,0.33
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,19,17,1466,16.3,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,1.4,1.4,0.5,1.9,0.08,0.03,0.11,0.08,0.11
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1.91,0,1.91,1.91,1.91
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,22,21,1860,20.7,0,0,0,0,0,6,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.02,0,0.02,0.02,0.02
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,14,13,1098,12.2,1,3,1,0,0,2,1,0.08,0.25,0.33,0.08,0.33,0.2,0.2,1.9,2.1,0.01,0.16,0.17,0.01,0.17
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,9,5,404,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,10,10,812,9,1,0,1,0,0,4,0,0.11,0,0.11,0.11,0.11,0.3,0.3,0,0.4,0.04,0.01,0.04,0.04,0.04
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,3,1,79,0.9,0,1,0,0,0,0,0,0,1.14,1.14,0,1.14,0,0,0,0.1,0.04,0.05,0.08,0.04,0.08
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,28,23,2123,23.6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01
Amath,SEN,FW,Mallorca,La Liga,25,1996,19,9,884,9.8,0,1,0,0,0,5,0,0,0.1,0.1,0,0.1,1.3,1.3,0.4,1.7,0.13,0.04,0.17,0.13,0.17
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,8,4,413,4.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,2,2,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,32,31,2646,29.4,1,1,1,0,0,9,2,0.03,0.03,0.07,0.03,0.07,2.4,2.4,1.2,3.6,0.08,0.04,0.12,0.08,0.12
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,13,9,683,7.6,0,1,0,0,0,0,0,0,0.13,0.13,0,0.13,1.1,1.1,1.6,2.7,0.14,0.21,0.35,0.14,0.35
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,29,26,2282,25.4,0,3,0,0,0,13,2,0,0.12,0.12,0,0.12,0.3,0.3,1.4,1.7,0.01,0.06,0.07,0.01,0.07
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,23,8,944,10.5,1,0,1,0,0,6,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,34,32,2916,32.4,0,3,0,0,0,4,0,0,0.09,0.09,0,0.09,0.6,0.6,1.8,2.3,0.02,0.05,0.07,0.02,0.07
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,38,33,2888,32.1,6,8,6,0,0,2,0,0.19,0.25,0.44,0.19,0.44,5.5,5.5,6.9,12.5,0.17,0.22,0.39,0.17,0.39
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,26,13,1257,14,3,1,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,4.7,4.7,1.3,6,0.34,0.09,0.43,0.34,0.43
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,5,1,176,2,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0.02,0.15,0.13,0.15
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,17,12,1046,11.6,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,33,33,2752,30.6,2,1,2,0,0,12,1,0.07,0.03,0.1,0.07,0.1,1.6,1.6,1.8,3.4,0.05,0.06,0.11,0.05,0.11
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,9,2,353,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,26,21,1817,20.2,4,2,4,0,0,5,1,0.2,0.1,0.3,0.2,0.3,3.2,3.2,0.9,4.1,0.16,0.05,0.2,0.16,0.2
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,23,12,1083,12,1,1,1,0,0,2,1,0.08,0.08,0.17,0.08,0.17,0.2,0.2,1.3,1.5,0.02,0.11,0.13,0.02,0.13
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,29,26,2298,25.5,2,5,2,0,0,3,0,0.08,0.2,0.27,0.08,0.27,1.4,1.4,5.9,7.3,0.06,0.23,0.29,0.06,0.29
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,19,5,691,7.7,0,3,0,0,0,2,0,0,0.39,0.39,0,0.39,0.3,0.3,1.4,1.7,0.04,0.19,0.22,0.04,0.22
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,18,9,796,8.8,1,0,1,0,0,0,0,0.11,0,0.11,0.11,0.11,1.4,1.4,0.3,1.7,0.16,0.03,0.19,0.16,0.19
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,29,29,2595,28.8,2,1,2,0,0,6,1,0.07,0.03,0.1,0.07,0.1,1.7,1.7,1.5,3.2,0.06,0.05,0.11,0.06,0.11
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,1,1,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,36,34,2971,33,10,8,10,0,1,8,1,0.3,0.24,0.55,0.3,0.55,11,10.7,6.7,17.4,0.33,0.2,0.54,0.33,0.53
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,25,12,1130,12.6,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,2.5,2.5,0.9,3.4,0.2,0.07,0.27,0.2,0.27
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,36,29,2504,27.8,6,4,6,0,0,1,0,0.22,0.14,0.36,0.22,0.36,7.9,7.9,5.1,13,0.28,0.18,0.47,0.28,0.47
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,35,11,1081,12,0,4,0,0,0,2,0,0,0.33,0.33,0,0.33,1.4,1.4,1.6,2.9,0.11,0.13,0.24,0.11,0.24
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,32,22,2099,23.3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.3,0.4,0,0.01,0.02,0,0.02
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,31,31,2663,29.6,0,5,0,0,0,13,0,0,0.17,0.17,0,0.17,1.1,1.1,1.9,3,0.04,0.06,0.1,0.04,0.1
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,32,25,2100,23.3,7,5,4,3,4,6,0,0.3,0.21,0.51,0.17,0.39,7,3.9,4.4,8.3,0.3,0.19,0.49,0.17,0.36
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,26,16,1578,17.5,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.6,1.6,1.7,3.3,0.09,0.09,0.19,0.09,0.19
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,34,29,2617,29.1,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.01,0.01,0.01,0.01,0.01
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,30,25,2272,25.2,4,0,4,0,0,6,0,0.16,0,0.16,0.16,0.16,1.4,1.4,0.4,1.9,0.06,0.02,0.07,0.06,0.07
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,3,2,188,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Matias Arezo,URU,FW,Granada,La Liga,18,2002,8,1,162,1.8,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.3,1.3,0.54,0.18,0.72,0.54,0.72
Santiago Arias,COL,DF,Granada,La Liga,29,1992,12,4,440,4.9,1,0,1,0,0,1,0,0.2,0,0.2,0.2,0.2,0.6,0.6,0.4,1,0.13,0.08,0.21,0.13,0.21
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,23,17,1413,15.7,2,2,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,4.3,4.3,1.7,6,0.27,0.11,0.38,0.27,0.38
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,25,15,1473,16.4,2,0,2,0,0,1,0,0.12,0,0.12,0.12,0.12,2.8,2.8,1.4,4.1,0.17,0.08,0.25,0.17,0.25
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,33,32,2694,29.9,14,1,12,2,3,6,0,0.47,0.03,0.5,0.4,0.43,14.7,12.5,4.4,16.9,0.49,0.15,0.64,0.42,0.57
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,34,34,2994,33.3,4,2,4,0,0,4,0,0.12,0.06,0.18,0.12,0.18,1.5,1.5,4.7,6.3,0.05,0.14,0.19,0.05,0.19
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,30,22,1658,18.4,1,0,1,0,0,9,0,0.05,0,0.05,0.05,0.05,1.2,1.2,1.7,2.9,0.07,0.09,0.16,0.07,0.16
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,14,8,749,8.3,2,2,2,0,0,1,0,0.24,0.24,0.48,0.24,0.48,3.7,3.7,0.3,4,0.45,0.03,0.48,0.45,0.48
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,14,5,469,5.2,1,0,1,0,0,2,0,0.19,0,0.19,0.19,0.19,0.2,0.2,0,0.2,0.04,0,0.04,0.04,0.04
