Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Thomas Strakosha,ALB,GK,Lazio,Serie A,26,1995,23.0,29,1,1,4,1,27.1,0.30,-0.9,-0.04,108,213,50.7,610,89,30.2,30.9,121,24.0,25.5,182,9,4.9,7,0.30,15.0
Wojciech Szczęsny,POL,GK,Juventus,Serie A,31,1990,33.0,29,3,2,5,0,32.1,0.28,+3.1,+0.09,170,342,49.7,838,149,33.4,34.0,177,35.0,33.3,315,21,6.7,14,0.42,13.0
Ciprian Tătărușanu,ROU,GK,Milan,Serie A,35,1986,6.0,10,2,0,1,1,9.0,0.30,0.0,-0.01,37,79,46.8,168,12,39.3,36.8,38,34.2,37.6,49,2,4.1,4,0.67,13.0
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,29,1992,35.0,34,2,0,6,0,33.6,0.29,-0.4,-0.01,211,355,59.4,1076,148,25.9,29.8,204,37.3,34.8,216,14,6.5,10,0.29,13.2
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,31,1990,31.8,43,2,0,3,2,35.4,0.35,-5.6,-0.18,279,557,50.1,1353,137,36.1,35.6,170,40.0,35.8,187,18,9.6,28,0.88,15.7
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,31,1990,32.0,46,4,0,4,1,46.3,0.28,+1.3,+0.04,194,610,31.8,997,142,47.9,38.1,249,53.0,44.9,265,11,4.2,32,1.00,15.6
Philipp Tschauner,GER,GK,RB Leipzig,Bundesliga,35,1985,0.0,0,0,0,0,0,0.0,,0.0,0.00,0,2,0.0,5,0,40.0,40.2,0,,,0,0,,0,0.00,
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,32,1988,6.0,11,1,1,1,1,9.4,0.37,-0.6,-0.09,24,54,44.4,198,31,24.7,27.7,38,13.2,21.7,39,5,12.8,8,1.33,19.4
Benjamin Uphoff,GER,GK,Freiburg,Bundesliga,27,1993,2.0,7,0,0,2,0,2.9,0.24,-4.1,-2.05,26,53,49.1,70,14,47.1,38.2,20,100.0,65.1,14,1,7.1,2,1.00,13.1
Rúben Vezo,POR,DF,Levante,La Liga,27,1994,26.9,0,0,0,0,0,0.0,,0.0,0.00,2,4,50.0,3,0,100.0,61.7,1,100.0,64.0,2,0,0.0,0,0.00,
Guglielmo Vicario,ITA,GK,Empoli,Serie A,24,1996,38.0,70,5,1,7,6,67.5,0.30,+3.5,+0.09,166,435,38.2,1066,211,29.8,32.2,257,45.5,39.6,405,35,8.6,20,0.53,13.5
Danny Ward,WAL,GK,Leicester City,Premier League,28,1993,1.0,1,0,0,1,0,1.3,0.26,+0.3,+0.30,3,7,42.9,27,8,22.2,30.2,7,14.3,27.0,11,3,27.3,0,0.00,14.7
Freddie Woodman,ENG,GK,Newcastle Utd,Premier League,24,1997,4.0,12,2,0,0,0,8.7,0.35,-3.3,-0.83,22,71,31.0,80,11,53.8,43.3,43,65.1,52.0,33,2,6.1,0,0.00,11.6
Robin Zentner,GER,GK,Mainz 05,Bundesliga,26,1994,32.0,42,4,0,4,1,39.4,0.31,-1.6,-0.05,147,431,34.1,762,166,41.3,38.1,235,49.4,43.3,252,23,9.1,48,1.50,17.2
Luca Zidane,FRA,GK,Rayo Vallecano,La Liga,23,1998,7.2,13,0,0,1,0,12.0,0.32,-1.0,-0.14,54,113,47.8,178,41,43.3,38.0,53,67.9,53.4,54,4,7.4,4,0.56,12.6
Jeroen Zoet,NED,GK,Spezia,Serie A,30,1991,7.0,19,1,0,3,0,17.5,0.39,-1.5,-0.22,29,81,35.8,181,41,32.0,33.9,54,42.6,39.4,52,3,5.8,5,0.71,13.7
Petar Zovko,BIH,GK,Spezia,Serie A,19,2002,0.3,0,0,0,0,0,0.0,,0.0,0.00,1,4,25.0,7,3,42.9,39.9,3,33.3,31.3,2,0,0.0,1,3.10,21.8
