Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,2208,69,689,1036,643,23,1897,45,65,69.2,48,3,1492,7355,4475,160,51,6,26,27,1559,1485,95.3,66
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,766,27,93,332,375,102,750,14,33,42.4,17,0,474,1884,833,46,17,11,52,48,1024,542,52.9,160
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15,1064,29,228,719,190,12,1027,10,17,58.8,10,0,720,3444,1750,76,19,3,10,17,802,741,92.4,18
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,153,4,27,67,66,12,148,6,9,66.7,6,1,104,504,207,12,1,0,12,13,152,96,63.2,24
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,195,9,51,92,61,6,189,3,5,60,3,1,121,625,300,8,1,0,8,3,134,107,79.9,11
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14,764,10,125,401,291,67,746,24,45,53.3,27,1,562,3147,1916,83,24,19,43,33,733,546,74.5,92
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,1555,28,290,860,520,57,1435,44,79,55.7,48,3,1084,6033,3113,154,48,15,46,65,1274,1094,85.9,92
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,282,13,64,159,67,6,268,1,3,33.3,1,0,190,735,344,11,1,0,3,7,218,198,90.8,8
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,308,0,22,126,192,52,299,9,23,39.1,10,1,242,1183,769,29,16,7,33,32,372,220,59.1,66
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18,975,50,297,478,240,11,798,14,19,73.7,14,1,466,1840,1099,47,18,2,10,11,545,470,86.2,19
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,95,75,95,0,0,0,61,0,0,,0,0,38,159,75,0,0,0,0,0,26,25,96.2,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,1198,59,372,684,211,35,1166,20,29,69,21,2,757,3612,1755,53,16,4,9,21,792,742,93.7,30
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,604,11,89,300,285,43,592,28,51,54.9,29,1,454,2659,1566,76,34,15,21,53,497,385,77.5,58
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,2467,289,1255,1299,57,35,2404,5,6,83.3,5,0,1737,8492,4555,74,5,0,7,6,1891,1865,98.6,2
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,59,0,1,28,33,15,57,1,1,100,1,0,38,237,110,7,2,2,5,2,78,53,67.9,16
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,2006,89,544,1062,511,31,1740,10,17,58.8,12,0,1161,5544,3378,151,43,4,15,9,1297,1203,92.8,51
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,3,0,1,1,1,0,3,0,0,,0,0,1,2,2,0,0,0,0,0,1,1,100,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,39,0,6,28,7,0,39,0,0,,0,0,34,163,73,3,0,0,0,1,35,32,91.4,1
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15,1017,132,509,517,68,17,986,2,5,40,3,1,664,4137,2447,62,12,5,4,7,687,677,98.5,3
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,540,13,92,336,147,20,532,12,20,60,14,1,350,1706,850,41,12,3,19,15,392,341,87,49
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,1818,231,980,917,48,11,1784,8,10,80,8,1,1188,7054,3956,105,8,1,8,10,1182,1169,98.9,5
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16,976,51,248,470,327,33,832,16,31,51.6,17,2,541,3052,1833,86,30,11,24,18,643,553,86,45
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,1281,64,460,492,398,47,1071,40,73,54.8,44,2,781,3704,2300,118,22,17,31,32,820,729,88.9,60
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,1108,117,462,534,184,31,959,11,17,64.7,11,0,562,3385,2047,73,27,2,13,11,595,534,89.7,18
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,30.4,1263,37,114,666,527,154,1239,15,31,48.4,19,1,640,2195,945,48,21,7,80,45,1581,978,61.9,257
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,25.1,2198,256,1087,1195,71,22,2143,7,7,100,7,0,1526,8913,4621,128,12,0,5,4,1686,1665,98.8,6
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,20.5,1091,91,410,495,253,10,933,12,21,57.1,14,3,540,3211,1787,71,32,3,14,12,540,474,87.8,32
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,0.9,25,0,2,14,10,0,24,0,1,0,0,0,18,107,62,2,0,0,3,2,23,18,78.3,3
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,10.3,936,67,351,546,115,9,896,0,2,0,0,0,680,3560,2226,74,13,0,2,1,754,724,96,2
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,1.4,71,0,7,20,50,8,71,1,3,33.3,1,1,63,274,169,12,2,3,0,3,63,56,88.9,4
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,0.6,37,0,4,14,22,5,37,1,4,25,1,0,29,147,72,5,3,0,3,0,37,28,75.7,6
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,5.7,380,12,84,255,52,2,377,6,9,66.7,6,0,258,950,433,17,2,0,4,6,279,271,97.1,5
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,3.5,169,9,41,97,43,1,169,7,12,58.3,8,0,118,490,242,5,4,0,4,5,133,109,82,12
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,17,1143,63,381,543,286,35,970,18,35,51.4,19,2,643,3071,1732,68,20,13,18,14,706,635,89.9,20
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,29.4,2169,257,988,1074,294,49,2080,5,8,62.5,5,0,1600,9757,5326,126,44,8,12,7,1746,1688,96.7,54
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,1.8,135,8,39,72,31,0,125,2,5,40,2,1,88,299,175,8,5,0,3,0,92,84,91.3,3
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,15.8,764,53,230,409,156,12,697,4,9,44.4,5,0,406,1538,616,14,8,0,10,13,416,379,91.1,22
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,7.3,252,7,23,109,135,54,244,11,13,84.6,11,2,164,658,283,15,7,4,24,16,303,196,64.7,55
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,29.4,3016,93,717,1490,944,82,2678,7,22,31.8,8,5,1902,6630,3530,160,44,11,21,8,2291,2155,94.1,111
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,0.2,10,2,5,4,2,1,9,0,0,,0,0,6,10,7,0,1,0,0,0,6,6,100,2
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,26.1,2189,23,319,1240,804,39,1996,25,44,56.8,27,7,1628,8233,4861,200,91,9,16,28,1856,1704,91.8,100
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,27.4,1777,287,1048,842,34,8,1727,5,8,62.5,5,0,1116,7359,4212,72,2,0,4,4,1218,1206,99,0
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,12.6,688,35,157,316,251,12,588,16,37,43.2,18,4,411,1733,810,32,12,2,14,12,510,402,78.8,31
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,8.7,248,3,17,106,132,44,230,4,7,57.1,4,0,133,547,265,12,4,1,19,7,319,172,53.9,56
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,17,1666,37,262,1113,395,26,1650,15,24,62.5,15,0,1238,5540,2957,163,47,4,10,14,1317,1264,96,48
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,12.3,813,23,167,537,165,19,779,6,11,54.5,7,3,547,3058,1619,64,16,2,17,15,564,528,93.6,15
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,26.7,1295,211,695,616,63,25,1240,11,15,73.3,12,0,587,3988,2354,57,9,2,6,8,567,555,97.9,3
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,11.8,540,24,128,229,252,24,529,17,42,40.5,20,1,392,3248,2020,94,30,6,32,35,468,350,74.8,43
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,421,352,417,5,0,0,323,0,0,,0,0,218,905,401,0,0,0,0,0,217,215,99.1,0
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,1109,14,143,648,381,24,1073,15,34,44.1,18,2,806,3765,1737,86,25,3,33,43,995,801,80.5,82
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,3009,77,604,1411,1129,89,2459,26,44,59.1,26,0,1723,6044,3315,156,66,11,24,26,2017,1879,93.2,123
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,17,2,6,9,3,0,11,2,3,66.7,2,0,7,24,14,0,0,0,0,0,4,4,100,0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,594,3,46,291,319,80,587,24,50,48,25,2,443,2709,1850,84,28,16,68,50,788,442,56.1,143
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,1462,1097,1450,15,0,0,1230,2,3,66.7,2,0,833,2944,1615,0,0,0,1,0,835,829,99.3,0
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,1235,81,338,759,210,11,1175,16,24,66.7,16,3,763,3839,2018,106,28,2,19,31,710,657,92.5,19
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,799,11,132,403,359,82,783,31,65,47.7,34,8,647,4641,2716,128,47,19,38,50,776,622,80.2,99
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76,31
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,232,15,47,124,76,17,221,4,10,40,4,1,142,659,352,13,6,1,11,14,172,135,78.5,22
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,742,22,147,308,344,56,735,18,37,48.6,24,2,524,3263,1485,77,18,11,29,33,661,476,72,62
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,1787,75,450,648,776,77,1491,19,39,48.7,20,2,1047,4917,2570,123,29,11,27,32,1182,1037,87.7,110
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,1005,109,435,485,128,26,916,6,8,75,6,0,520,2425,1242,37,15,0,5,3,518,497,95.9,9
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,8,1,1,5,3,1,8,0,0,,0,0,2,13,3,0,0,0,0,1,5,4,80,1
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,1220,180,647,605,62,13,1176,4,7,57.1,5,0,614,4506,2439,48,13,0,3,5,661,653,98.8,3
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,1175,30,239,725,289,8,1017,13,18,72.2,15,1,830,3514,2011,107,42,0,4,5,821,798,97.2,17
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,287,16,81,168,56,4,285,5,6,83.3,5,1,185,759,403,20,8,1,5,4,188,175,93.1,7
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9,526,49,278,272,13,4,517,4,5,80,4,0,359,1626,927,10,1,0,7,8,376,368,97.9,2
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,0.9,49,1,11,27,14,3,41,3,4,75,3,0,26,165,110,6,1,1,2,0,33,25,75.8,2
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,23.6,1702,269,912,821,61,6,1677,6,8,75,6,0,1176,5166,2940,60,19,0,4,2,1263,1236,97.9,1
Amath,SEN,FW,Mallorca,La Liga,25,1996,9.8,348,13,64,163,151,30,341,16,30,53.3,17,4,240,1206,674,37,14,6,22,18,359,226,63,50
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,4.6,374,10,96,229,71,0,329,8,13,61.5,8,0,245,1077,582,18,6,0,5,7,239,231,96.7,7
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,1.4,104,3,25,70,17,1,87,0,3,0,0,0,67,323,178,10,3,0,3,2,81,73,90.1,3
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,0.8,38,2,16,21,4,0,35,0,0,,0,0,22,138,66,2,1,0,0,0,19,18,94.7,0
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,29.4,1453,130,597,631,300,37,1191,21,32,65.6,21,0,753,3461,1786,60,17,4,21,21,850,753,88.6,34
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,4.1,280,1,57,157,89,9,270,7,14,50,7,1,207,1332,671,31,13,1,6,8,245,211,86.1,24
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,7.6,412,1,39,229,175,23,375,14,25,56,14,0,293,1449,811,51,16,5,26,14,343,289,84.3,48
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,25.4,1448,140,600,725,200,13,1340,10,14,71.4,11,1,747,4125,2126,71,25,4,9,17,824,765,92.8,16
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,10.5,804,31,189,555,122,2,780,9,13,69.2,9,0,554,2973,1170,41,8,1,5,7,596,576,96.6,7
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,32.4,2506,490,1555,1008,85,33,2425,6,8,75,6,0,1581,8962,4315,64,5,2,2,8,1807,1787,98.9,2
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,32.1,1852,36,229,876,891,139,1776,57,112,50.9,63,8,1347,7194,4820,251,79,48,56,66,1650,1352,81.9,168
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,14,428,9,24,177,241,81,417,6,15,40,7,1,241,802,290,15,5,3,52,26,636,325,51.1,95
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,2,56,1,4,28,28,6,52,2,4,50,2,1,34,102,14,0,0,0,6,2,105,40,38.1,10
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,11.6,668,69,267,311,120,17,573,8,16,50,9,2,332,1857,1144,43,9,5,8,15,319,291,91.2,7
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,30.6,2168,123,580,1320,375,38,2120,16,21,76.2,16,0,1233,6265,3136,124,32,2,34,32,1529,1382,90.4,69
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,3.9,211,12,93,86,52,2,180,3,7,42.9,3,0,120,730,466,13,6,1,5,8,120,108,90,8
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,20.2,1226,76,353,751,196,31,1205,10,13,76.9,10,1,704,3491,1650,63,23,1,8,5,824,761,92.4,24
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,12,908,33,205,514,248,7,762,13,24,54.2,14,2,558,2754,1299,65,21,0,5,16,567,531,93.7,11
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,25.5,1745,54,427,723,653,71,1447,13,21,61.9,13,1,990,3766,1807,81,17,9,25,21,1197,1048,87.6,91
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,0.3,14,0,5,6,3,0,11,0,0,,0,0,6,25,18,0,0,0,0,0,3,3,100,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,7.7,496,26,120,208,205,19,420,6,14,42.9,7,0,319,1844,1018,53,8,8,12,7,338,304,89.9,15
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,8.8,315,9,65,131,139,46,298,8,19,42.1,8,2,176,744,414,16,3,7,19,16,347,208,59.9,58
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,28.8,2162,365,1228,974,110,33,2084,15,23,65.2,17,3,1367,8726,4388,96,16,0,10,12,1440,1415,98.3,9
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,0.6,32,9,24,11,0,0,30,0,0,,0,0,14,76,28,0,0,0,1,0,19,19,100,0
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,33,1190,20,74,479,718,176,1152,45,94,47.9,49,4,867,4398,2550,133,40,31,131,88,1673,898,53.7,264
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,12.6,480,4,58,189,276,59,453,10,30,33.3,11,2,305,1884,994,41,13,10,48,31,533,301,56.5,77
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,27.8,1856,14,223,1084,709,124,1801,75,136,55.1,82,5,1458,6691,3933,203,77,23,63,61,1727,1440,83.4,172
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,12,807,7,116,469,298,26,747,23,40,57.5,24,2,571,3241,1961,98,33,6,29,24,671,559,83.3,59
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,23.3,1254,117,516,573,234,7,1114,13,22,59.1,14,1,691,3433,1643,71,20,2,15,14,730,685,93.8,21
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,29.6,1585,42,286,1011,359,19,1444,39,56,69.6,39,1,975,4990,2066,97,24,3,29,36,1003,931,92.8,46
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,23.3,1081,28,123,490,529,42,912,15,34,44.1,17,3,675,3241,1617,90,24,7,30,28,907,678,74.8,84
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,17.5,1265,34,350,805,167,19,1225,11,14,78.6,11,1,802,2801,1191,38,12,0,14,11,915,856,93.6,20
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,29.1,1779,222,1055,840,64,10,1746,6,7,85.7,6,0,1103,8214,4725,93,32,0,4,5,1188,1169,98.4,2
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,25.2,1871,236,907,1019,92,29,1786,6,12,50,6,0,1274,7654,4744,114,12,2,7,5,1363,1340,98.3,8
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,0.3,12,0,1,2,9,3,12,1,2,50,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,42,40,42,0,0,0,25,0,0,,0,0,17,48,12,0,0,0,0,0,20,20,100,0
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,2.1,94,6,26,47,26,1,61,0,2,0,0,0,32,202,110,4,1,0,2,3,39,28,71.8,3
Matias Arezo,URU,FW,Granada,La Liga,18,2002,1.8,73,2,6,32,38,9,70,1,3,33.3,1,0,34,192,132,7,1,2,14,3,73,45,61.6,16
Santiago Arias,COL,DF,Granada,La Liga,29,1992,4.9,273,22,85,103,97,6,224,3,7,42.9,3,1,141,616,321,16,7,0,5,2,137,118,86.1,10
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,15.7,489,8,40,200,289,82,458,19,38,50,20,1,340,1933,1062,64,19,18,34,25,651,348,53.5,109
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,16.4,938,25,132,442,452,56,907,26,57,45.6,28,3,717,4564,2337,122,47,13,26,25,767,672,87.6,78
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,29.9,1256,21,82,579,667,186,1195,32,54,59.3,36,3,827,3645,1385,86,33,19,90,42,1520,991,65.2,275
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,33.3,2142,112,567,1270,416,5,1896,5,8,62.5,5,0,1270,5901,2626,92,25,0,16,27,1358,1284,94.6,21
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100,0
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,18.4,878,35,193,497,266,22,847,18,35,51.4,20,3,581,3458,1908,98,40,4,21,19,599,526,87.8,26
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,8.3,240,11,32,133,95,41,224,10,16,62.5,13,1,135,711,290,15,5,2,18,13,292,172,58.9,35
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,5.2,238,15,79,98,77,3,217,2,10,20,3,3,131,615,356,12,6,0,8,8,170,123,72.4,12
Takuma Asano,JPN,FW,Bochum,Bundesliga,26,1994,17.9,610,9,92,260,314,60,604,20,41,48.8,25,1,444,2926,1734,70,26,20,55,37,708,418,59,107
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,24,1997,26.4,1471,88,523,806,189,19,1415,8,15,53.3,9,1,676,2590,1236,45,8,4,13,16,888,805,90.7,25
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,246,214,245,1,0,0,187,0,0,,0,0,130,544,297,0,0,0,0,0,111,110,99.1,0
Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,20,2000,0.1,11,0,1,4,7,3,11,0,0,,0,0,8,30,9,1,0,0,1,0,11,8,72.7,1
Marco Asensio,ESP,FW,Real Madrid,La Liga,25,1996,19.2,1091,14,106,473,605,97,1011,20,39,51.3,24,2,813,4718,2501,122,49,18,13,25,1002,838,83.6,140
Harrison Ashby,SCO,DF,West Ham,Premier League,19,2001,0.1,9,1,3,1,5,0,8,0,0,,0,0,4,21,5,1,0,0,0,0,8,6,75,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,20,2001,8.4,324,38,108,157,72,11,316,4,7,57.1,4,0,168,731,384,12,2,0,6,7,212,160,75.5,21
Fisnik Asllani,KVX,MF,Hoffenheim,Bundesliga,18,2002,0.1,9,0,0,4,5,0,9,0,1,0,0,0,6,13,2,0,0,0,0,0,10,9,90,2
Kristjan Asllani,ALB,MF,Empoli,Serie A,19,2002,15,878,62,299,501,145,8,829,5,12,41.7,6,0,589,3073,1352,34,9,2,5,9,625,591,94.6,21
Iago Aspas,ESP,FW,Celta Vigo,La Liga,33,1987,34.3,1711,23,121,732,970,225,1621,36,61,59,38,2,1199,6529,3605,192,63,55,76,46,1814,1315,72.5,326
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,6.8,464,33,125,202,162,17,387,5,9,55.6,5,0,272,1279,764,32,10,3,9,7,289,253,87.5,20
Simon Asta,GER,DF,Greuther Fürth,Bundesliga,20,2001,8.7,486,32,176,202,128,11,397,2,6,33.3,4,1,251,1381,742,31,8,5,7,6,269,233,86.6,17
Youcef Atal,ALG,DF,Nice,Ligue 1,25,1996,12.7,911,28,227,438,323,33,795,16,32,50,17,2,600,3336,2113,110,31,9,17,26,597,550,92.1,43
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,11.5,322,5,34,141,167,55,313,2,6,33.3,3,0,169,1024,600,29,11,9,20,5,443,225,50.8,56
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,12,353,5,15,175,175,63,332,6,8,75,6,0,205,747,394,23,4,10,23,12,444,267,60.1,109
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,1081,989,1078,4,0,0,786,0,0,,0,0,546,2627,1399,0,0,0,0,0,514,512,99.6,0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,26,1994,26.6,1621,110,632,684,408,15,1367,21,43,48.8,24,1,957,5193,2751,96,38,3,14,21,988,911,92.2,48
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,24,1997,0.9,31,0,0,18,13,4,29,0,2,0,0,0,19,60,15,1,0,0,3,2,47,25,53.2,8
Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,27,1994,8.8,645,31,221,260,192,15,536,1,1,100,1,0,371,1592,712,30,9,3,10,6,425,392,92.2,18
Serge Aurier,CIV,DF,Villarreal,La Liga,28,1992,11.2,869,38,300,406,208,22,777,10,17,58.8,10,1,544,2018,1126,48,15,3,13,12,591,555,93.9,30
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,27,1994,20.8,804,17,90,360,404,57,776,12,31,38.7,18,4,462,2530,1235,69,25,7,40,31,933,562,60.2,106
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,23,1997,24.2,857,29,64,426,427,136,847,31,57,54.4,35,1,573,2381,1275,63,26,16,121,59,1167,637,54.6,188
