Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32,1854,161,746,763,481,29,1528,33,78,42.3,35,6,1084,6382,3893,174,53,13,27,30,1153,1037,89.9,41
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,1898,274,1085,852,96,28,1805,16,22,72.7,16,1,1183,6777,3824,91,24,0,15,13,1240,1202,96.9,12
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,1930,55,621,1144,299,17,1914,27,42,64.3,30,2,1467,6755,2912,78,20,4,23,40,1605,1484,92.5,47
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,2021,22,448,1323,379,15,1999,42,65,64.6,44,3,1500,5639,2834,94,37,3,28,48,1518,1412,93,61
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,12,0,0,5,9,3,12,0,0,,0,0,9,59,9,0,1,0,4,0,12,8,66.7,2
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,267,9,28,126,126,31,258,6,18,33.3,7,1,154,605,326,21,8,7,41,11,335,171,51,48
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,25,2,2,11,12,3,25,1,2,50,1,0,18,68,35,3,0,0,2,5,39,13,33.3,8
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,1111,33,87,559,523,201,1043,37,76,48.7,39,3,616,2634,1350,84,28,23,82,44,1413,767,54.3,230
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,290,63,186,113,7,5,282,0,0,,0,0,156,803,478,7,0,0,2,0,187,182,97.3,1
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,2263,348,1183,1167,65,22,2197,3,4,75,3,0,1478,8032,4557,98,20,0,8,3,1659,1631,98.3,10
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,130,1,8,59,72,18,129,4,8,50,5,0,78,437,279,16,6,5,16,8,166,101,60.8,31
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,5,0,1,3,2,0,5,0,0,,0,0,4,17,10,1,1,0,0,0,5,4,80,1
