Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32,0,13,2,15.4,0.41,0.06,0,0,20.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.7,0,0,0,1.2,1.2,0.07,0.8,0.8
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,20.3,0,0,0,0.8,0.8,0.04,0.2,0.2
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,0,30,7,23.3,0.91,0.21,0,0,22.6,0,0,0,2,2,0.07,-2,-2
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,0,18,4,22.2,2.23,0.5,0,0,15.6,0,0,0,2.2,2.2,0.12,-2.2,-2.2
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,0,2,0,0,1.75,0,0,,8.6,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,17,93,32,34.4,2.71,0.93,0.15,0.44,12.2,2,3,3,20.5,18.3,0.2,-3.5,-4.3
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,0,2,0,0,0.32,0,0,,7,0,0,0,0.5,0.5,0.24,-0.5,-0.5
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,4,16,7,43.8,0.57,0.25,0.25,0.57,9.2,0,0,0,2.2,2.2,0.14,1.8,1.8
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,0,11,2,18.2,3.82,0.69,0,0,15.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,1,17,5,29.4,0.68,0.2,0.06,0.2,22.1,1,0,0,1.4,1.4,0.08,-0.4,-0.4
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,7,49,24,49,2.16,1.06,0.14,0.29,12.9,0,0,0,7.1,7.1,0.14,-0.1,-0.1
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15,0,2,0,0,0.13,0,0,,19.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,16.7,0,0,0,0.5,0.5,0.17,0.5,0.5
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,0,4,1,25,1.02,0.26,0,0,10.8,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14,3,38,19,50,2.72,1.36,0.08,0.16,15.3,0,0,0,4.5,4.5,0.12,-1.5,-1.5
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,1,33,15,45.5,1.31,0.6,0.03,0.07,19.9,4,0,0,2.2,2.2,0.07,-1.2,-1.2
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,0,2,2,100,0.41,0.41,0,0,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
