Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,2,18,7,38.9,2.43,0.94,0.11,0.29,15,0,0,0,1.9,1.9,0.1,0.1,0.1
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18,0,5,0,0,0.28,0,0,,19.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,0,16,1,6.3,0.77,0.05,0,0,10.8,0,0,0,1.2,1.1,0.07,-1.2,-1.1
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,3,22,11,50,1.6,0.8,0.14,0.27,16.6,0,0,0,2.4,2.4,0.11,0.6,0.6
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,2,25,7,28,0.82,0.23,0.08,0.29,8.6,0,0,0,1.9,1.9,0.07,0.1,0.1
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,1,6,1,16.7,3.58,0.6,0.17,1,12.1,0,0,0,1.1,1.1,0.18,-0.1,-0.1
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,0,10,2,20,0.42,0.08,0,0,22.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15,0,7,4,57.1,0.47,0.27,0,0,14.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,1,17,2,11.8,1.52,0.18,0.06,0.5,20.2,0,0,0,1.6,1.6,0.09,-0.6,-0.6
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,0,6,1,16.7,0.2,0.03,0,0,12.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16,0,10,4,40,0.63,0.25,0,0,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,1,13,4,30.8,0.64,0.2,0.08,0.25,16.9,0,0,0,0.7,0.7,0.06,0.3,0.3
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1,9.1,0,0,0,0.8,0.8,0.11,0.2,0.2
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,30.4,12,59,25,42.4,1.94,0.82,0.15,0.36,13.1,0,3,3,11,8.7,0.15,1,0.3
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,25.1,1,14,3,21.4,0.56,0.12,0.07,0.33,10.4,1,0,0,1.8,1.8,0.13,-0.8,-0.8
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,20.5,0,10,1,10,0.49,0.05,0,0,19.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,10.3,2,5,2,40,0.49,0.2,0.4,1,5.8,0,0,0,1.1,1.1,0.23,0.9,0.9
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,1.4,0,4,2,50,2.9,1.45,0,0,21.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,0.6,0,2,1,50,3.33,1.67,0,0,13.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,5.7,0,2,0,0,0.35,0,0,,21,0,0,0,0,0,0.02,0,0
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,3.5,0,3,0,0,0.86,0,0,,18.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,17,2,12,4,33.3,0.71,0.24,0.17,0.5,12.7,0,0,0,1.2,1.2,0.1,0.8,0.8
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,29.4,2,21,6,28.6,0.72,0.2,0.1,0.33,22,7,0,0,1.6,1.6,0.08,0.4,0.4
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,1.8,0,1,0,0,0.57,0,0,,26,0,0,0,0,0,0.03,0,0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,15.8,0,15,2,13.3,0.95,0.13,0,0,24.6,0,0,0,1,1,0.07,-1,-1
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,7.3,6,23,13,56.5,3.16,1.79,0.26,0.46,11.2,0,0,1,6.5,5.8,0.25,-0.5,0.2
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,29.4,2,31,6,19.4,1.06,0.2,0.06,0.33,23.5,1,0,0,1.3,1.3,0.04,0.7,0.7
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,0.2,0,1,0,0,4.09,0,0,,18.6,0,0,0,0,0,0.05,0,0
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,26.1,5,47,16,34,1.8,0.61,0.11,0.31,19.8,1,0,0,3.5,3.5,0.08,1.5,1.5
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,27.4,0,6,1,16.7,0.22,0.04,0,0,8.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,12.6,1,4,1,25,0.32,0.08,0.25,1,16.7,0,0,0,0.5,0.5,0.13,0.5,0.5
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,8.7,1,19,8,42.1,2.17,0.91,0.05,0.13,13,1,0,0,3.7,3.7,0.2,-2.7,-2.7
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,17,1,25,6,24,1.47,0.35,0.04,0.17,18.2,0,0,0,1.9,1.9,0.08,-0.9,-0.9
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,22.7,5,0,0,1.3,1.3,0.05,0.7,0.7
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,26.7,2,17,5,29.4,0.64,0.19,0.12,0.4,16.3,0,0,0,0.9,0.9,0.06,1.1,1.1
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.5,21.2,0,0,0,1,1,0.08,1,1
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,1,47,14,29.8,1.82,0.54,0.02,0.07,23.2,0,0,0,2,2,0.04,-1,-1
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,2,51,14,27.5,1.61,0.44,0.04,0.14,23,5,0,0,2.6,2.6,0.05,-0.6,-0.6
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,4,42,15,35.7,2.06,0.73,0.1,0.27,15.5,0,0,0,7,7,0.17,-3,-3
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,0,7,3,42.9,0.29,0.12,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,1,42,15,35.7,2.54,0.91,0.02,0.07,18.7,1,0,0,3.4,3.4,0.08,-2.4,-2.4
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,1,4,2,50,0.55,0.27,0,0,18.2,0,1,1,1.5,0.7,0.18,-0.5,-0.7
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,0,3,0,0,0.8,0,0,,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,18.7,0,0,0,2.1,2.1,0.06,-1.1,-1.1
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,4,43,10,23.3,1.79,0.42,0.09,0.4,18.9,9,0,0,3.3,3.3,0.08,0.7,0.7
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,12.3,0,0,0,1.4,1.4,0.08,-0.4,-0.4
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,0,1,0,0,8.18,0,0,,8,0,0,0,0.2,0.2,0.23,-0.2,-0.2
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,0,8,0,0,0.39,0,0,,11.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,1,5,2,40,0.41,0.16,0.2,0.5,30.2,0,0,0,0.2,0.2,0.03,0.8,0.8
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,0,1,1,100,0.22,0.22,0,0,18.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9,1,3,2,66.7,0.33,0.22,0.33,0.5,8.3,0,0,0,0.3,0.3,0.11,0.7,0.7
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,0.9,0,1,0,0,1.14,0,0,,23.7,0,0,0,0,0,0.03,0,0
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,23.6,0,2,1,50,0.08,0.04,0,0,32.1,0,0,0,0,0,0.02,0,0
Amath,SEN,FW,Mallorca,La Liga,25,1996,9.8,0,11,4,36.4,1.12,0.41,0,0,17,0,0,0,1.3,1.3,0.12,-1.3,-1.3
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,4.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,29.4,1,26,7,26.9,0.88,0.24,0.04,0.14,14.2,0,0,0,2.4,2.4,0.09,-1.4,-1.4
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,4.1,1,8,2,25,1.95,0.49,0.13,0.5,20.1,1,0,0,0.5,0.5,0.06,0.5,0.5
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,7.6,0,16,6,37.5,2.11,0.79,0,0,22.3,1,0,0,1.1,1.1,0.07,-1.1,-1.1
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,25.4,0,7,1,14.3,0.28,0.04,0,0,18.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,10.5,1,4,3,75,0.38,0.29,0.25,0.33,24.4,0,0,0,0.2,0.2,0.05,0.8,0.8
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,32.4,0,8,3,37.5,0.25,0.09,0,0,14,1,0,0,0.6,0.6,0.07,-0.6,-0.6
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,32.1,6,44,16,36.4,1.37,0.5,0.14,0.38,15.8,0,0,0,5.5,5.5,0.13,0.5,0.5
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,14,3,35,13,37.1,2.51,0.93,0.09,0.23,11.3,0,0,0,4.7,4.7,0.13,-1.7,-1.7
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,2,0,3,1,33.3,1.53,0.51,0,0,12.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,11.6,0,7,3,42.9,0.6,0.26,0,0,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,30.6,2,18,5,27.8,0.59,0.16,0.11,0.4,13,0,0,0,1.6,1.6,0.09,0.4,0.4
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,3.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,20.2,4,30,7,23.3,1.49,0.35,0.13,0.57,17.5,1,0,0,3.2,3.2,0.11,0.8,0.8
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,12,1,11,3,27.3,0.91,0.25,0.09,0.33,27.4,0,0,0,0.2,0.2,0.02,0.8,0.8
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,25.5,2,15,7,46.7,0.59,0.27,0.13,0.29,16.4,0,0,0,1.4,1.4,0.1,0.6,0.6
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,7.7,0,7,1,14.3,0.91,0.13,0,0,18.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,8.8,1,11,2,18.2,1.24,0.23,0.09,0.5,10.2,0,0,0,1.4,1.4,0.13,-0.4,-0.4
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,28.8,2,23,6,26.1,0.8,0.21,0.09,0.33,13.8,0,0,0,1.7,1.7,0.07,0.3,0.3
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,33,10,83,27,32.5,2.51,0.82,0.12,0.37,14.3,0,0,1,11,10.7,0.13,-1,-0.7
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,12.6,1,29,10,34.5,2.31,0.8,0.03,0.1,14.9,0,0,0,2.5,2.5,0.09,-1.5,-1.5
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,27.8,6,77,25,32.5,2.77,0.9,0.08,0.24,17.6,0,0,0,7.9,7.9,0.1,-1.9,-1.9
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,12,0,22,10,45.5,1.83,0.83,0,0,21.5,0,0,0,1.4,1.4,0.06,-1.4,-1.4
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,23.3,0,2,0,0,0.09,0,0,,21.4,0,0,0,0,0,0.02,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,29.6,0,37,8,21.6,1.25,0.27,0,0,26.6,2,0,0,1.1,1.1,0.03,-1.1,-1.1
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,23.3,7,57,16,28.1,2.44,0.69,0.07,0.25,23.9,17,3,4,7,3.9,0.07,0,0.1
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,17.5,1,11,3,27.3,0.63,0.17,0.09,0.33,19,0,0,0,1.6,1.6,0.15,-0.6,-0.6
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,29.1,0,8,1,12.5,0.28,0.03,0,0,21.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,25.2,4,19,10,52.6,0.75,0.4,0.21,0.4,11.4,0,0,0,1.4,1.4,0.08,2.6,2.6
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,0.3,0,1,0,0,3.33,0,0,,13,0,0,0,0,0,0.02,0,0
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,2.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Matias Arezo,URU,FW,Granada,La Liga,18,2002,1.8,0,5,3,60,2.78,1.67,0,0,16.5,0,0,0,1,1,0.19,-1,-1
Santiago Arias,COL,DF,Granada,La Liga,29,1992,4.9,1,3,1,33.3,0.61,0.2,0.33,1,14.1,0,0,0,0.6,0.6,0.21,0.4,0.4
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,17,0,0,0,4.3,4.3,0.09,-2.3,-2.3
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,16.4,2,38,9,23.7,2.32,0.55,0.05,0.22,19.8,0,0,0,2.8,2.8,0.07,-0.8,-0.8
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,29.9,14,91,32,35.2,3.04,1.07,0.13,0.38,14.4,3,2,3,14.7,12.5,0.14,-0.7,-0.5
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,33.3,4,40,14,35,1.2,0.42,0.1,0.29,31.7,13,0,0,1.5,1.5,0.04,2.5,2.5
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,18.4,1,23,9,39.1,1.25,0.49,0.04,0.11,21.6,1,0,0,1.2,1.2,0.05,-0.2,-0.2
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,8.3,2,23,8,34.8,2.76,0.96,0.09,0.25,9.3,0,0,0,3.7,3.7,0.16,-1.7,-1.7
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,5.2,1,6,1,16.7,1.15,0.19,0.17,1,35.6,0,0,0,0.2,0.2,0.03,0.8,0.8
Takuma Asano,JPN,FW,Bochum,Bundesliga,26,1994,17.9,3,32,11,34.4,1.79,0.62,0.09,0.27,17,0,0,0,3.5,3.5,0.11,-0.5,-0.5
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,24,1997,26.4,0,13,1,7.7,0.49,0.04,0,0,17.1,0,0,0,1.2,1.2,0.09,-1.2,-1.2
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,20,2000,0.1,0,1,0,0,7.5,0,0,,9.5,0,0,0,0,0,0.03,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,25,1996,19.2,10,64,31,48.4,3.33,1.61,0.16,0.32,18.6,1,0,0,7.4,7.4,0.12,2.6,2.6
Harrison Ashby,SCO,DF,West Ham,Premier League,19,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,20,2001,8.4,0,7,0,0,0.84,0,0,,17.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Fisnik Asllani,KVX,MF,Hoffenheim,Bundesliga,18,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Kristjan Asllani,ALB,MF,Empoli,Serie A,19,2002,15,1,16,6,37.5,1.06,0.4,0.06,0.17,24.5,2,0,0,0.8,0.8,0.05,0.2,0.2
Iago Aspas,ESP,FW,Celta Vigo,La Liga,33,1987,34.3,18,84,37,44,2.45,1.08,0.18,0.41,16,7,3,5,14.9,11,0.13,3.1,4
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,6.8,0,6,4,66.7,0.88,0.58,0,0,8.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Simon Asta,GER,DF,Greuther Fürth,Bundesliga,20,2001,8.7,0,3,0,0,0.34,0,0,,15,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Youcef Atal,ALG,DF,Nice,Ligue 1,25,1996,12.7,2,14,5,35.7,1.11,0.39,0.14,0.4,18.4,0,0,0,0.9,0.9,0.06,1.1,1.1
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0,2,5.8,4.1,0.13,-1.8,-0.1
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,12,11,38,20,52.6,3.16,1.66,0.29,0.55,11.3,0,0,0,7.1,7.1,0.19,3.9,3.9
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,26,1994,26.6,1,7,2,28.6,0.26,0.08,0.14,0.5,17.9,0,0,0,0.4,0.4,0.06,0.6,0.6
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,24,1997,0.9,0,2,0,0,2.14,0,0,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,27,1994,8.8,0,4,2,50,0.45,0.23,0,0,15.5,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Serge Aurier,CIV,DF,Villarreal,La Liga,28,1992,11.2,0,11,2,18.2,0.98,0.18,0,0,15.1,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,27,1994,20.8,6,60,15,25,2.89,0.72,0.08,0.33,24.5,4,1,1,4.2,3.4,0.06,1.8,1.6
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,23,1997,24.2,15,66,30,45.5,2.73,1.24,0.2,0.43,12.9,0,2,2,14,12.4,0.19,1,0.6
Ramzi Aya,ITA,DF,Salernitana,Serie A,30,1990,1.5,0,1,0,0,0.67,0,0,,25.9,0,0,0,0,0,0.04,0,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,29,1991,22.4,3,35,8,22.9,1.56,0.36,0.09,0.38,16.4,1,0,0,3.7,3.7,0.11,-0.7,-0.7
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,26,1994,15,1,5,1,20,0.33,0.07,0.2,1,15.7,2,0,0,0.3,0.3,0.06,0.7,0.7
Luke Ayling,ENG,DF,Leeds United,Premier League,29,1991,25.2,2,19,3,15.8,0.75,0.12,0.11,0.67,12.8,0,0,0,1.7,1.7,0.09,0.3,0.3
Karim Azamoum,FRA,DF,Troyes,Ligue 1,31,1990,4.3,0,3,3,100,0.7,0.7,0,0,21.1,1,0,0,0.1,0.1,0.04,-0.1,-0.1
Sardar Azmoun,IRN,FW,Leverkusen,Bundesliga,26,1995,4,1,10,4,40,2.51,1,0.1,0.25,12.4,0,0,0,2.3,2.3,0.23,-1.3,-1.3
César Azpilicueta,ESP,DF,Chelsea,Premier League,31,1989,23,1,13,4,30.8,0.57,0.17,0.08,0.25,13.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Iddrisu Baba,GHA,MF,Mallorca,La Liga,25,1996,21.5,2,22,8,36.4,1.02,0.37,0.09,0.25,24.3,0,0,0,1.5,1.5,0.07,0.5,0.5
Carlos Bacca,COL,FW,Granada,La Liga,34,1986,5.7,0,9,2,22.2,1.58,0.35,0,0,14.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8
