Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Martin Adeline,FRA,MF,Reims,Ligue 1,17,2003,3.9,1,0,0,16,2,0,2,14,12,0,0,0,40,2,8,20
Amine Adli,FRA,FW,Leverkusen,Bundesliga,21,2000,14,3,0,0,27,32,8,26,17,25,0,0,0,92,19,35,35.2
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,21,2000,25.1,5,0,0,27,33,4,39,54,34,0,0,0,161,24,20,54.5
Michel Aebischer,SUI,MF,Bologna,Serie A,24,1997,4.9,1,0,0,14,4,0,2,5,8,0,0,0,33,6,8,42.9
Felix Afena-Gyan,GHA,FW,Roma,Serie A,18,2003,7.4,5,1,1,15,26,4,8,5,4,0,0,0,46,9,18,33.3
Martin Agirregabiria,ESP,DF,Alavés,La Liga,25,1996,18,4,0,0,30,27,1,39,24,23,0,1,0,151,34,39,46.6
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,20,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Lucien Agoume,FRA,MF,Brest,Ligue 1,19,2002,20.8,6,0,0,35,19,0,4,56,42,0,1,0,206,31,31,50
Kevin Agudelo,COL,MF,Spezia,Serie A,22,1998,13.7,2,1,0,39,26,0,13,18,27,0,0,0,99,16,20,44.4
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,25,1996,30.4,3,1,0,18,16,1,2,54,12,1,2,0,232,108,46,70.1
Sergio Agüero,ARG,FW,Barcelona,La Liga,33,1988,1.7,0,0,0,1,2,1,4,0,1,0,0,0,3,4,2,66.7
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,28,1993,23.8,4,0,0,32,30,1,52,59,51,0,0,1,236,39,40,49.4
Álvaro Aguirre,ESP,FW,Rayo Vallecano,La Liga,21,2000,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,19,2002,0.7,0,0,0,2,1,0,0,0,0,0,0,0,3,1,3,25
Anel Ahmedhodzic,BIH,DF,Bordeaux,Ligue 1,22,1999,15,6,0,0,21,11,0,7,34,22,0,0,0,156,25,10,71.4
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,27,1994,11.2,2,0,0,23,19,0,4,23,10,0,0,0,117,14,8,63.6
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,25,1995,29.3,1,0,0,11,19,1,2,55,41,0,0,1,281,77,51,60.2
Ola Aina,NGA,DF,Torino,Serie A,24,1996,16,4,0,0,20,31,1,30,33,15,0,0,0,126,18,23,43.9
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,20,2001,20.3,4,0,0,20,23,3,56,38,43,1,0,0,135,20,19,51.3
Kristoffer Ajer,NOR,DF,Brentford,Premier League,23,1998,22.2,5,0,0,18,19,0,12,49,22,0,0,0,186,63,38,62.4
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,27,1994,30.4,5,1,0,40,37,14,18,15,25,2,0,1,114,154,120,56.2
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,26,1995,25.1,3,0,0,23,26,1,2,47,36,0,0,1,240,64,39,62.1
Carlos Akapo,EQG,DF,Cádiz,La Liga,28,1993,20.5,4,0,0,26,28,2,32,65,34,0,1,0,200,43,36,54.4
Marley Aké,FRA,MF,Juventus,Serie A,20,2001,0.9,1,0,0,8,2,0,1,2,0,0,0,0,4,1,0,100
Nathan Aké,NED,DF,Manchester City,Premier League,26,1995,10.3,0,0,0,8,5,0,0,18,5,0,0,0,78,41,8,83.7
Ilias Akhomach,ESP,FW,Barcelona,La Liga,17,2004,1.4,0,0,0,4,5,0,5,0,0,0,0,0,10,0,2,0
Maghnes Akliouche,FRA,MF,Monaco,Ligue 1,19,2002,0.6,1,0,0,3,1,1,0,0,1,0,0,0,4,1,2,33.3
Paul Akouokou,CIV,MF,Betis,La Liga,23,1997,5.7,2,1,0,14,3,0,0,12,12,0,0,0,55,9,1,90
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,28,1992,3.5,1,0,0,14,10,0,0,3,9,0,1,0,24,7,7,50
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,26,1995,17,5,0,0,30,24,4,29,35,20,0,1,0,144,23,22,51.1
David Alaba,AUT,DF,Real Madrid,La Liga,29,1992,29.4,2,0,0,18,13,2,32,41,18,0,0,0,189,23,23,50
Sofiane Alakouch,MAR,DF,Metz,Ligue 1,23,1998,1.8,1,0,0,5,8,0,1,6,6,0,0,0,16,1,1,50
Tomás Alarcón,CHI,MF,Cádiz,La Liga,22,1999,15.8,5,0,0,26,10,1,23,27,15,0,2,0,161,22,22,50
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,28,1992,7.3,2,0,0,8,11,7,3,3,4,1,0,0,25,20,35,36.4
Jordi Alba,ESP,DF,Barcelona,La Liga,32,1989,29.4,11,0,0,28,25,11,104,48,25,0,0,0,271,18,30,37.5
Josué Albert,GUF,DF,Clermont Foot,Ligue 1,29,1992,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
Luis Alberto,ESP,MF,Lazio,Serie A,28,1992,26.1,5,0,0,17,28,1,50,22,18,0,0,0,186,11,15,42.3
Raúl Albiol,ESP,DF,Villarreal,La Liga,35,1985,27.4,8,0,0,20,13,2,0,37,15,0,0,0,244,53,28,65.4
Marc Albrighton,ENG,FW,Leicester City,Premier League,31,1989,12.6,3,0,0,8,15,2,31,25,16,0,0,0,77,6,11,35.3
Paco Alcácer,ESP,FW,Villarreal,La Liga,27,1993,8.7,1,0,0,7,7,8,2,4,3,0,0,0,28,15,25,37.5
Thiago Alcántara,ESP,MF,Liverpool,Premier League,30,1991,17,2,0,0,25,26,0,2,35,40,0,0,0,217,37,16,69.8
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,30,1991,12.3,7,0,0,36,40,1,12,15,30,0,1,0,148,29,22,56.9
Omar Alderete,PAR,DF,Valencia,La Liga,24,1996,26.7,15,0,0,49,7,0,2,70,45,0,2,0,284,95,41,69.9
Iván Alejo,ESP,MF,Cádiz,La Liga,26,1995,11.8,7,0,0,38,39,5,77,16,20,0,1,0,89,14,14,50
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,18,2002,12,1,0,0,0,0,0,0,0,0,0,0,0,62,0,0,
Carles Aleñá,ESP,MF,Getafe,La Liga,23,1998,25.8,6,1,0,57,43,1,22,19,22,0,0,0,159,14,30,31.8
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,22,1998,31.7,2,0,0,16,9,11,127,76,24,0,0,0,319,18,22,45
Mircea Alexandru Tirlea,ROU,DF,Alavés,La Liga,21,2000,0.2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,50
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,17,2004,20.4,6,2,2,31,47,11,29,13,7,0,0,0,83,15,71,17.4
Alisson,BRA,GK,Liverpool,Premier League,28,1992,36,0,0,0,0,5,0,0,0,0,0,0,1,224,0,0,
Allan,BRA,MF,Everton,Premier League,30,1991,24.3,7,1,0,39,28,0,6,42,61,1,0,0,272,12,13,48
Jim Allevinah,GAB,FW,Clermont Foot,Ligue 1,26,1995,16.5,1,0,0,18,39,2,31,10,15,0,1,0,87,17,24,41.5
Dele Alli,ENG,MF,Tottenham,Premier League,25,1996,7.3,1,0,0,13,15,2,3,17,7,1,0,0,46,11,13,45.8
Dele Alli,ENG,MF,Everton,Premier League,25,1996,3.8,3,0,0,11,7,2,4,10,10,0,0,0,39,8,11,42.1
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,27,1994,19.1,2,0,0,20,27,9,22,25,33,0,0,0,122,5,18,21.7
Marcos Alonso,ESP,DF,Chelsea,Premier League,30,1990,24.1,8,0,0,33,34,3,64,66,28,0,1,0,216,59,26,69.4
Giorgio Altare,ITA,DF,Cagliari,Serie A,22,1998,16.3,5,0,0,41,16,1,15,44,28,0,1,0,211,45,38,54.2
Hugo Álvarez,ESP,FW,Celta Vigo,La Liga,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,26,1995,20.7,6,0,0,25,16,1,2,54,19,0,0,0,253,70,46,60.3
Dani Alves,BRA,DF,Barcelona,La Liga,38,1983,12.2,2,1,0,30,12,0,37,23,19,0,1,0,111,8,9,47.1
Steven Alzate,COL,MF,Brighton,Premier League,22,1998,4.5,0,0,0,6,8,0,2,14,8,0,0,0,61,7,12,36.8
Ibrahim Amadou,FRA,DF,Metz,Ligue 1,28,1993,9,4,0,0,13,4,0,0,20,10,0,0,0,62,10,13,43.5
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,19,2001,0.9,0,0,0,2,1,0,1,0,0,0,0,0,9,2,1,66.7
Daniel Amartey,GHA,DF,Leicester City,Premier League,26,1994,23.6,4,0,0,17,9,1,0,30,12,0,0,0,211,45,38,54.2
Amath,SEN,FW,Mallorca,La Liga,25,1996,9.8,5,0,0,20,21,6,7,11,13,0,0,0,47,3,17,15
Jordan Amavi,FRA,DF,Nice,Ligue 1,27,1994,4.6,1,0,0,2,3,0,7,13,5,0,0,0,47,10,9,52.6
Jordan Amavi,FRA,DF,Marseille,Ligue 1,27,1994,1.4,0,0,0,3,1,0,2,1,3,0,0,0,4,3,2,60
Wisdom Amey,ITA,DF,Bologna,Serie A,15,2005,0.8,0,0,0,1,2,0,0,2,0,0,0,0,8,3,1,75
Kelvin Amian,FRA,DF,Spezia,Serie A,23,1998,29.4,9,2,1,39,16,1,16,48,39,0,0,0,148,43,39,52.4
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,24,1996,4.1,0,0,0,1,13,0,3,5,4,0,0,0,37,1,4,20
Nadiem Amiri,GER,MF,Genoa,Serie A,24,1996,7.6,0,0,0,7,23,1,8,5,7,0,0,0,53,5,14,26.3
Ethan Ampadu,WAL,MF,Venezia,Serie A,20,2000,25.4,13,2,1,54,32,0,19,55,43,0,0,0,265,68,38,64.2
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,24,1996,10.5,6,0,0,29,15,0,3,10,22,0,0,0,114,10,17,37
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,25,1996,32.4,4,0,0,19,8,1,14,60,23,0,0,1,288,84,43,66.1
Felipe Anderson,BRA,FW,Lazio,Serie A,28,1993,32.1,2,0,0,44,40,7,71,37,50,0,0,0,191,18,29,38.3
Sebastian Andersson,SWE,FW,Köln,Bundesliga,30,1991,14,3,0,0,27,17,6,15,3,9,0,0,0,43,52,84,38.2
Florin Andone,ROU,FW,Cádiz,La Liga,28,1993,2,1,0,0,5,1,3,0,1,0,0,0,0,8,7,14,33.3
Andrés Andrade Cedeño,PAN,DF,Arminia,Bundesliga,22,1998,11.6,4,0,0,14,2,1,11,26,20,0,1,0,130,31,27,53.4
Benjamin André,FRA,MF,Lille,Ligue 1,30,1990,30.6,12,1,1,75,65,2,17,76,78,0,2,0,353,118,81,59.3
Fredrik André Bjørkan,NOR,DF,Hertha BSC,Bundesliga,22,1998,3.9,1,0,0,3,3,0,4,6,7,0,0,0,36,1,7,12.5
Robert Andrich,GER,MF,Leverkusen,Bundesliga,26,1994,20.2,5,1,0,42,17,2,5,46,33,0,0,0,228,42,22,65.6
José Ángel,ESP,DF,Osasuna,La Liga,31,1989,12,2,1,0,9,7,0,32,18,24,0,0,0,127,16,5,76.2
Angeliño,ESP,DF,RB Leipzig,Bundesliga,24,1997,25.5,3,0,0,17,40,4,128,35,18,0,0,0,202,21,23,47.7
Ebenezer Annan,GHA,DF,Bologna,Serie A,18,2002,0.3,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,
Cristian Ansaldi,ARG,DF,Torino,Serie A,34,1986,7.7,2,0,0,13,7,2,35,5,9,0,0,0,60,5,5,50
Janis Antiste,FRA,FW,Spezia,Serie A,18,2002,8.8,0,0,0,16,6,5,10,8,11,0,0,0,40,19,21,47.5
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,25,1996,28.8,6,1,0,31,19,1,12,66,33,0,0,0,290,88,64,57.9
Josep Antoni Gayá,ESP,DF,Mallorca,La Liga,21,2000,0.6,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,
Michail Antonio,JAM,FW,West Ham,Premier League,31,1990,33,8,1,1,51,63,13,54,14,23,0,0,0,138,81,145,35.8
Christopher Antwi-Adjei,GHA,FW,Bochum,Bundesliga,27,1994,12.6,2,0,0,16,29,11,28,7,19,1,0,0,70,15,56,21.1
Houssem Aouar,FRA,MF,Lyon,Ligue 1,23,1998,27.8,1,0,0,30,48,3,14,38,33,0,0,0,206,11,25,30.6
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,19,2002,12,2,0,0,13,16,2,24,21,13,0,0,0,96,14,24,36.8
Dennis Appiah,FRA,DF,Nantes,Ligue 1,29,1992,23.3,4,0,0,40,4,2,27,47,36,0,1,1,166,36,44,45
Mauro Arambarri,URU,MF,Getafe,La Liga,25,1995,29.6,13,0,0,70,52,0,25,47,37,0,1,0,284,31,36,46.3
Mattia Aramu,ITA,MF,Venezia,Serie A,26,1995,23.3,6,0,0,31,88,7,60,14,11,1,1,0,121,16,40,28.6
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,32,1989,17.5,2,0,0,30,18,0,8,42,33,0,0,0,196,13,26,33.3
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,29,1991,29.1,4,0,0,20,10,0,3,53,17,0,0,1,283,70,54,56.5
Ronald Araújo,URU,DF,Barcelona,La Liga,22,1999,25.2,6,0,0,24,13,1,5,37,33,0,0,0,209,72,26,73.5
Cameron Archer,ENG,MF,Aston Villa,Premier League,19,2001,0.3,0,0,0,3,0,0,0,1,0,0,0,0,2,1,2,33.3
Alphonse Areola,FRA,GK,West Ham,Premier League,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Jesús Areso,ESP,DF,Osasuna,La Liga,22,1999,2.1,1,0,0,5,4,0,2,1,3,0,0,0,15,3,4,42.9
Matias Arezo,URU,FW,Granada,La Liga,18,2002,1.8,1,0,0,3,1,0,3,1,2,0,0,0,13,8,6,57.1
Santiago Arias,COL,DF,Granada,La Liga,29,1992,4.9,1,0,0,6,6,2,13,4,6,0,0,0,54,8,16,33.3
Adam Armstrong,ENG,FW,Southampton,Premier League,24,1997,15.7,1,0,0,15,9,2,22,9,7,1,0,0,57,14,38,26.9
Stuart Armstrong,SCO,MF,Southampton,Premier League,29,1992,16.4,1,0,0,11,24,1,32,14,15,1,0,0,147,5,22,18.5
Marko Arnautović,AUT,FW,Bologna,Serie A,32,1989,29.9,6,0,0,50,27,14,20,15,15,0,0,0,115,49,53,48
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,27,1994,33.3,4,0,0,57,64,1,46,68,34,0,1,0,356,33,26,55.9
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,26,1994,4,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,
Tolgay Arslan,GER,MF,Udinese,Serie A,30,1990,18.4,9,0,0,32,42,0,25,32,23,1,0,0,186,8,12,40
Arthur,BRA,FW,Fiorentina,Serie A,23,1998,8.3,1,0,0,18,12,1,2,3,6,0,0,0,16,18,29,38.3
Santiago Arzamendia,PAR,MF,Cádiz,La Liga,23,1998,5.2,2,0,0,8,8,1,13,8,12,0,0,0,44,19,15,55.9
Takuma Asano,JPN,FW,Bochum,Bundesliga,26,1994,17.9,1,0,0,16,30,18,25,17,11,0,0,0,104,20,53,27.4
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,24,1997,26.4,5,0,0,45,40,3,3,54,61,0,0,0,312,37,48,43.5
Sergio Asenjo,ESP,GK,Villarreal,La Liga,32,1989,6,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,
Alejandro Asensio,ESP,FW,Rayo Vallecano,La Liga,20,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100
Marco Asensio,ESP,FW,Real Madrid,La Liga,25,1996,19.2,2,0,0,12,26,2,43,25,10,0,0,0,102,1,9,10
Harrison Ashby,SCO,DF,West Ham,Premier League,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,20,2001,8.4,5,0,0,20,14,0,1,18,10,0,0,1,72,23,17,57.5
Fisnik Asllani,KVX,MF,Hoffenheim,Bundesliga,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kristjan Asllani,ALB,MF,Empoli,Serie A,19,2002,15,2,0,0,12,24,0,13,34,14,0,0,0,126,5,15,25
Iago Aspas,ESP,FW,Celta Vigo,La Liga,33,1987,34.3,9,0,0,26,64,20,86,21,7,0,1,0,193,35,62,36.1
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,21,2000,6.8,0,0,0,13,14,2,15,14,10,0,0,0,63,10,6,62.5
Simon Asta,GER,DF,Greuther Fürth,Bundesliga,20,2001,8.7,1,0,0,13,9,2,16,26,8,0,0,1,81,6,9,40
Youcef Atal,ALG,DF,Nice,Ligue 1,25,1996,12.7,4,0,0,18,24,3,48,40,21,1,1,0,118,28,13,68.3
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,32,1989,11.5,3,0,0,18,12,10,9,1,7,0,0,0,38,28,32,46.7
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,32,1989,12,0,0,0,7,7,7,9,5,2,0,0,0,31,9,16,36
Emil Audero,ITA,GK,Sampdoria,Serie A,24,1997,28.4,2,0,0,0,7,0,0,0,0,0,0,0,110,0,0,
Tommaso Augello,ITA,DF,Sampdoria,Serie A,26,1994,26.6,0,0,0,15,22,1,61,46,24,0,0,0,221,41,25,62.1
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,24,1997,0.9,1,0,0,3,1,0,0,0,0,0,0,0,1,2,2,50
Ludwig Augustinsson,SWE,DF,Sevilla,La Liga,27,1994,8.8,3,0,0,16,11,0,21,9,13,0,0,0,62,18,10,64.3
Serge Aurier,CIV,DF,Villarreal,La Liga,28,1992,11.2,4,0,0,16,6,1,22,23,14,0,1,0,113,25,14,64.1
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,27,1994,20.8,9,1,1,37,39,13,58,24,9,0,1,0,114,52,84,38.2
Taiwo Awoniyi,NGA,FW,Union Berlin,Bundesliga,23,1997,24.2,1,0,0,29,26,21,9,6,9,1,0,1,109,58,145,28.6
Ramzi Aya,ITA,DF,Salernitana,Serie A,30,1990,1.5,1,0,0,1,0,0,1,2,1,0,0,0,7,1,1,50
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,29,1991,22.4,2,0,0,42,70,1,50,28,34,1,0,0,156,31,62,33.3
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,26,1994,15,2,1,0,13,5,1,1,24,9,0,1,0,123,34,32,51.5
Luke Ayling,ENG,DF,Leeds United,Premier League,29,1991,25.2,4,1,0,28,24,2,25,54,45,0,1,0,263,49,51,49
Karim Azamoum,FRA,DF,Troyes,Ligue 1,31,1990,4.3,2,0,0,12,3,0,0,2,6,0,0,0,21,8,6,57.1
Sardar Azmoun,IRN,FW,Leverkusen,Bundesliga,26,1995,4,0,0,0,8,5,0,0,2,1,0,0,0,21,11,7,61.1
César Azpilicueta,ESP,DF,Chelsea,Premier League,31,1989,23,3,0,0,29,8,2,37,37,31,0,1,0,169,52,34,60.5
Iddrisu Baba,GHA,MF,Mallorca,La Liga,25,1996,21.5,9,0,0,50,46,0,6,36,51,0,0,0,280,55,36,60.4
Carlos Bacca,COL,FW,Granada,La Liga,34,1986,5.7,3,0,0,3,9,5,3,1,3,1,0,0,16,12,19,38.7
Daniel Bachmann,AUT,GK,Watford,Premier League,27,1994,12,0,0,0,1,2,0,0,0,0,0,1,0,57,0,0,
Loïc Bade,FRA,DF,Rennes,Ligue 1,21,2000,10.9,3,1,1,7,2,0,2,21,3,0,0,0,85,32,16,66.7
Milan Badelj,CRO,MF,Genoa,Serie A,32,1989,31.6,4,0,0,48,26,0,10,119,44,1,0,0,397,42,42,50
Édgar Badía,ESP,GK,Elche,La Liga,29,1992,24,2,0,0,0,1,0,0,1,0,0,0,0,138,0,0,
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,20,2001,20.4,4,0,0,27,11,2,1,57,28,0,1,0,239,72,20,78.3
Youssouph Badji,SEN,FW,Brest,Ligue 1,19,2001,1.5,0,0,0,3,0,1,1,0,0,0,0,0,5,7,8,46.7
Miguel Baeza,ESP,DF,Celta Vigo,La Liga,21,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Nicola Bagnolini,ITA,GK,Bologna,Serie A,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Issa Bah,LUX,FW,Venezia,Serie A,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100
Stéphane Bahoken,CMR,FW,Angers,Ligue 1,29,1992,12.2,0,0,0,27,16,4,8,6,8,0,0,0,40,22,47,31.9
Leon Bailey,JAM,FW,Aston Villa,Premier League,23,1997,8.5,3,0,0,13,12,3,21,3,12,0,0,0,43,9,16,36
Eric Bailly,CIV,DF,Manchester Utd,Premier League,27,1994,2.4,1,0,0,2,0,0,0,8,3,0,0,1,23,5,2,71.4
Dénys Bain,FRA,DF,Brest,Ligue 1,28,1993,2,0,0,0,5,3,0,0,4,4,0,0,0,9,4,1,80
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,19,2001,5.7,0,0,0,0,1,0,0,0,0,0,0,0,45,0,0,
Nedim Bajrami,ALB,MF,Empoli,Serie A,22,1999,22.8,3,0,0,19,18,7,66,8,28,0,0,0,120,2,23,8
Cédric Bakambu,COD,FW,Marseille,Ligue 1,30,1991,4,1,0,0,7,2,5,4,1,2,0,0,0,13,8,15,34.8
Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,Ligue 1,18,2002,3.4,0,0,0,7,5,0,0,14,10,0,0,0,34,3,3,50
Tiemoué Bakayoko,FRA,MF,Milan,Serie A,26,1994,5.6,3,0,0,14,11,0,1,11,13,0,1,0,69,17,7,70.8
Mitchel Bakker,NED,DF,Leverkusen,Bundesliga,21,2000,20.2,6,0,0,16,23,0,38,52,25,0,1,0,159,19,16,54.3
Ridle Baku,GER,DF,Wolfsburg,Bundesliga,23,1998,27.2,4,0,0,34,38,10,68,40,34,0,0,0,222,30,38,44.1
Dilane Bakwa,FRA,FW,Bordeaux,Ligue 1,18,2002,0.5,0,0,0,2,1,0,0,0,0,0,0,0,8,3,1,75
Tommaso Baldanzi,ITA,FW,Empoli,Serie A,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Alejandro Balde,ESP,DF,Barcelona,La Liga,17,2003,2.1,0,0,0,5,4,0,3,2,2,0,0,0,15,1,2,33.3
Ibrahima Baldé,FRA,FW,Lens,Ligue 1,18,2003,0.6,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,66.7
Keita Baldé,SEN,FW,Cagliari,Serie A,26,1995,13.7,2,0,0,30,33,9,8,6,3,1,1,0,49,26,65,28.6
Gareth Bale,WAL,FW,Real Madrid,La Liga,32,1989,3.1,2,0,0,3,1,1,2,5,1,0,0,0,10,7,5,58.3
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,33,1988,22.5,2,0,0,26,18,1,36,52,36,0,0,0,201,36,29,55.4
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,22,1999,10.6,4,1,0,9,7,0,0,33,8,0,0,0,99,22,13,62.9
Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,29,1992,35,10,1,0,50,63,4,84,58,15,0,3,0,296,37,38,49.3
Fodé Ballo-Touré,SEN,DF,Milan,Serie A,24,1997,5,2,0,0,13,10,1,16,4,12,0,1,0,51,7,10,41.2
Folarin Balogun,ENG,FW,Arsenal,Premier League,20,2001,0.8,0,0,0,0,1,1,0,0,0,0,0,0,3,1,2,33.3
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,31,1990,5.1,1,0,0,5,6,0,7,12,0,0,0,1,30,7,5,58.3
Jonathan Bamba,FRA,MF,Lille,Ligue 1,25,1996,27,3,0,0,13,62,14,53,46,19,0,0,0,179,22,31,41.5
Patrick Bamford,ENG,FW,Leeds United,Premier League,27,1993,6.2,2,0,0,7,8,5,4,3,2,0,0,0,19,5,15,25
Filippo Bandinelli,ITA,MF,Empoli,Serie A,26,1995,21.7,10,0,0,57,21,5,50,26,26,0,1,0,178,16,35,31.4
Mattia Bani,ITA,DF,Genoa,Serie A,27,1993,13.5,1,0,0,13,22,0,0,37,11,0,0,0,148,66,27,71
Simon Banza,FRA,FW,Lens,Ligue 1,24,1996,1.4,0,0,0,3,8,0,0,0,2,0,0,0,6,6,3,66.7
