Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Max Aarons,ENG,DF,Norwich City,Premier League,21,2000,32,8,0,0,31,59,1,45,56,37,0,2,1,177,15,51,22.7
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,33,1987,33.1,5,1,0,43,24,0,2,103,46,0,1,0,224,67,45,59.8
Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,21,2000,27.4,12,3,2,45,35,0,10,51,34,0,0,0,240,24,24,50
Laurent Abergel,FRA,MF,Lorient,Ligue 1,28,1993,32.8,9,0,0,46,68,1,26,84,73,0,0,0,291,14,14,50
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,0,0,0,2,1,0,100
Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,22,1998,8.1,3,0,0,18,12,15,2,8,7,0,0,0,39,22,40,35.5
Matthis Abline,FRA,FW,Rennes,Ligue 1,18,2003,1.1,0,0,0,2,1,0,1,1,0,0,0,0,7,0,2,0
Tammy Abraham,ENG,FW,Roma,Serie A,23,1997,34.3,9,0,0,43,50,17,24,15,22,1,1,0,126,82,99,45.3
Luis Abram,PER,DF,Granada,La Liga,25,1996,6.2,2,0,0,5,5,0,0,11,6,0,0,1,25,12,15,44.4
Francesco Acerbi,ITA,DF,Lazio,Serie A,33,1988,28.2,2,1,0,20,19,4,1,48,12,1,0,0,302,80,45,64
Ragnar Ache,GER,MF,Eint Frankfurt,Bundesliga,23,1998,2.9,0,0,0,6,8,6,6,0,2,0,0,0,15,20,11,64.5
Mohamed Achi,FRA,MF,Nantes,Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Marcos Acuña,ARG,DF,Sevilla,La Liga,29,1991,25.1,10,0,0,41,54,0,124,31,39,0,1,0,223,33,37,47.1
Che Adams,SCO,FW,Southampton,Premier League,25,1996,22.7,0,0,0,31,47,7,11,10,9,0,0,0,120,56,111,33.5
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,22,1999,15,5,0,0,20,18,0,3,23,16,0,0,0,159,23,12,65.7
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,28,1993,3.7,0,0,0,6,9,4,6,3,8,0,0,0,26,5,13,27.8
