Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,62,2.23,32,23,3,2,2,0,5,0.18,3,1,1,0,0,0
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,55,1.53,42,2,3,3,4,1,3,0.08,1,1,0,0,1,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,16,0.57,11,0,0,4,1,0,1,0.04,1,0,0,0,0,0
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,2,1.15,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,46,2.28,27,14,1,2,1,1,4,0.20,2,1,0,1,0,0
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,12,1.73,8,0,0,0,4,0,1,0.14,0,0,0,0,1,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,11,0.59,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,49,1.99,33,0,5,6,2,3,9,0.37,4,0,2,2,1,0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,10,1.36,8,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,27,0.77,24,0,1,1,1,0,3,0.09,3,0,0,0,0,0
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,25,2.03,15,0,3,2,4,1,5,0.41,2,0,1,0,2,0
