Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,29,29,2507,27.9,3,2,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,2.4,1.6,3.2,4.8,0.08,0.11,0.20,0.06,0.17
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36,36,3240,36.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,3.4,3.9,0.01,0.09,0.11,0.01,0.11
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28,28,2520,28.0,3,0,3,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.1,1.5,0.05,0.00,0.05,0.05,0.05
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,6,1,157,1.7,1,0,1,0,0,1,0,0.57,0.00,0.57,0.57,0.57,1.2,1.2,0.2,1.4,0.71,0.10,0.82,0.71,0.82
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,25,20,1817,20.2,1,2,1,0,0,5,0,0.05,0.10,0.15,0.05,0.15,1.6,1.6,1.4,3.0,0.08,0.07,0.15,0.08,0.15
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.03,0.16,0.19,0.03,0.19
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,20,19,1688,18.8,2,0,2,0,0,2,1,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.1,1.5,0.08,0.00,0.08,0.08,0.08
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,34,25,2215,24.6,15,3,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,14.1,14.1,2.5,16.6,0.57,0.10,0.67,0.57,0.67
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.05,0.02,0.07,0.05,0.07
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,36,36,3162,35.1,2,2,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.6,3.6,0.06,0.05,0.10,0.06,0.10
Che Adams,SCO,FW,Southampton,Premier League,23,1996,30,12,1111,12.3,4,2,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,4.1,4.1,1.2,5.3,0.33,0.10,0.43,0.33,0.43
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,14,10,953,10.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,15,6,746,8.3,5,1,5,0,0,1,0,0.60,0.12,0.72,0.60,0.72,4.1,4.1,0.9,5.0,0.49,0.11,0.60,0.49,0.60
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,11,0,188,2.1,1,0,1,0,0,1,0,0.48,0.00,0.48,0.48,0.48,1.7,1.7,0.1,1.8,0.82,0.06,0.88,0.82,0.88
