Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Neal Maupay,FRA,FW,Brighton,Premier League,22,1996,30.7,10,90,34,37.8,2.93,1.11,0.10,0.26,14.9,0,1,2,11.6,10.1,0.11,-1.6,-1.1
Stephy Mavididi,ENG,FW,Dijon,Ligue 1,21,1998,15.5,5,26,11,42.3,1.68,0.71,0.19,0.45,15.5,0,0,0,2.9,2.9,0.11,+2.1,+2.1
Philipp Max,GER,DF,Augsburg,Bundesliga,25,1993,30.1,8,35,12,34.3,1.16,0.40,0.20,0.58,24.9,14,1,1,4.0,3.2,0.09,+4.0,+3.8
Alexandru Maxim,ROU,MF,Mainz 05,Bundesliga,29,1990,1.3,0,3,0,0.0,2.31,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Eric Maxim Choupo-Moting,CMR,FW,Paris S-G,Ligue 1,30,1989,5.0,3,18,7,38.9,3.59,1.40,0.17,0.43,11.3,0,0,0,2.3,2.3,0.13,+0.7,+0.7
Kévin Mayi,GAB,FW,Brest,Ligue 1,26,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Borja Mayoral,ESP,FW,Levante,La Liga,22,1997,23.8,8,45,18,40.0,1.89,0.76,0.18,0.44,12.7,0,0,0,7.7,7.7,0.17,+0.3,+0.3
Luca Mazzitelli,ITA,MF,Sassuolo,Serie A,23,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kevin Mbabu,SUI,DF,Wolfsburg,Bundesliga,24,1995,18.8,3,9,3,33.3,0.48,0.16,0.33,1.00,11.0,0,0,0,0.8,0.8,0.09,+2.2,+2.2
Kylian Mbappé,FRA,FW,Paris S-G,Ligue 1,20,1998,16.8,18,88,49,55.7,5.23,2.91,0.20,0.37,13.9,0,0,0,17.1,17.1,0.20,+0.9,+0.9
Ibrahima Mbaye,SEN,DF,Bologna,Serie A,24,1994,16.7,0,5,1,20.0,0.30,0.06,0.00,0.00,8.9,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Loïc Mbe Soh,FRA,DF,Paris S-G,Ligue 1,18,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Isaac Mbenza,BEL,FW,Amiens,Ligue 1,23,1996,0.9,0,4,1,25.0,4.29,1.07,0.00,0.00,23.2,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Nathanael Mbuku,FRA,MF,Reims,Ligue 1,17,2002,4.4,0,8,1,12.5,1.82,0.23,0.00,0.00,16.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
James McArthur,SCO,MF,Crystal Palace,Premier League,31,1987,34.3,0,29,6,20.7,0.84,0.17,0.00,0.00,17.9,0,0,0,2.5,2.5,0.08,-2.5,-2.5
Oliver McBurnie,SCO,FW,Sheffield Utd,Premier League,23,1996,23.5,6,49,24,49.0,2.09,1.02,0.12,0.25,9.2,0,0,0,7.7,7.7,0.16,-1.7,-1.7
Alex McCarthy,ENG,GK,Southampton,Premier League,29,1989,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
James McCarthy,IRL,MF,Crystal Palace,Premier League,28,1990,18.7,0,11,3,27.3,0.59,0.16,0.00,0.00,22.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4
John McGinn,SCO,MF,Aston Villa,Premier League,24,1994,25.7,3,55,19,34.5,2.14,0.74,0.05,0.16,20.5,0,0,0,3.8,3.8,0.07,-0.8,-0.8
David McGoldrick,IRL,FW,Sheffield Utd,Premier League,31,1987,20.2,2,46,19,41.3,2.28,0.94,0.04,0.11,14.3,0,0,0,6.8,6.8,0.15,-4.8,-4.8
Michael McGovern,NIR,GK,Norwich City,Premier League,35,1984,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Weston McKennie,USA,MF,Schalke 04,Bundesliga,20,1998,23.0,3,32,7,21.9,1.39,0.30,0.09,0.43,17.3,0,0,0,2.3,2.3,0.07,+0.7,+0.7
Kenny McLean,SCO,MF,Norwich City,Premier League,27,1992,33.0,1,30,10,33.3,0.91,0.30,0.03,0.10,20.7,2,0,0,1.5,1.5,0.05,-0.5,-0.5
Dwight McNeil,ENG,MF,Burnley,Premier League,19,1999,37.1,2,48,14,29.2,1.29,0.38,0.04,0.14,23.5,10,0,0,2.1,2.1,0.04,-0.1,-0.1
Scott McTominay,SCO,MF,Manchester Utd,Premier League,22,1996,19.7,4,30,10,33.3,1.52,0.51,0.13,0.40,19.8,0,0,0,1.5,1.5,0.05,+2.5,+2.5
Biagio Meccariello,ITA,DF,Lecce,Serie A,28,1991,8.5,1,5,2,40.0,0.59,0.23,0.20,0.50,15.6,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Gary Medel,CHI,MF,Bologna,Serie A,31,1987,19.8,0,5,1,20.0,0.25,0.05,0.00,0.00,24.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Ben Mee,ENG,DF,Burnley,Premier League,29,1989,32.0,1,18,5,27.8,0.56,0.16,0.06,0.20,7.6,0,0,0,1.7,1.7,0.10,-0.7,-0.7
Joshua Mees,GER,MF,Union Berlin,Bundesliga,23,1996,3.6,0,9,3,33.3,2.49,0.83,0.00,0.00,21.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Admir Mehmedi,SUI,MF,Wolfsburg,Bundesliga,28,1991,13.3,2,23,9,39.1,1.72,0.68,0.09,0.22,16.8,0,0,0,1.6,1.6,0.07,+0.4,+0.4
Soualiho Meïté,FRA,MF,Torino,Serie A,25,1994,24.5,0,22,3,13.6,0.90,0.12,0.00,0.00,22.8,0,0,0,0.8,0.8,0.04,-0.8,-0.8
Farid El Melali,ALG,MF,Angers,Ligue 1,22,1997,3.4,3,6,5,83.3,1.76,1.47,0.50,0.60,14.7,0,0,0,0.9,0.9,0.14,+2.1,+2.1
Óscar Melendo,ESP,MF,Espanyol,La Liga,21,1997,12.4,0,3,0,0.0,0.24,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Gonzalo Melero,ESP,MF,Levante,La Liga,25,1994,13.7,2,17,7,41.2,1.24,0.51,0.06,0.14,13.8,0,1,1,2.4,1.6,0.09,-0.4,-0.6
Arthur Melo,BRA,MF,Barcelona,La Liga,22,1996,13.1,3,8,5,62.5,0.61,0.38,0.38,0.60,23.2,0,0,0,1.3,1.3,0.16,+1.7,+1.7
Pedro Mendes,POR,DF,Montpellier,Ligue 1,28,1990,15.3,1,9,3,33.3,0.59,0.20,0.11,0.33,13.4,0,0,0,1.0,1.0,0.11,0.0,0.0
Thiago Mendes,BRA,MF,Lyon,Ligue 1,27,1992,20.1,0,26,3,11.5,1.29,0.15,0.00,0.00,24.7,0,0,0,1.2,1.2,0.05,-1.2,-1.2
Brais Méndez,ESP,MF,Celta Vigo,La Liga,22,1997,16.4,0,24,8,33.3,1.46,0.49,0.00,0.00,22.0,0,0,0,1.5,1.5,0.06,-1.5,-1.5
Édgar Méndez,ESP,MF,Alavés,La Liga,29,1990,9.6,1,9,4,44.4,0.94,0.42,0.11,0.25,20.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5
Stiven Mendoza,COL,FW,Amiens,Ligue 1,27,1992,12.2,5,23,9,39.1,1.88,0.74,0.22,0.56,19.5,1,0,0,3.4,3.4,0.15,+1.6,+1.6
Alexandre Mendy,GNB,FW,Brest,Ligue 1,25,1994,10.0,3,29,9,31.0,2.90,0.90,0.10,0.33,14.4,0,0,1,3.6,2.9,0.10,-0.6,+0.1
Benjamin Mendy,FRA,DF,Manchester City,Premier League,25,1994,16.6,0,10,1,10.0,0.60,0.06,0.00,0.00,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Edouard Mendy,SEN,GK,Rennes,Ligue 1,27,1992,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ferland Mendy,FRA,DF,Real Madrid,La Liga,24,1995,20.1,1,7,2,28.6,0.35,0.10,0.14,0.50,21.4,0,0,0,0.5,0.5,0.07,+0.5,+0.5
Nampalys Mendy,SEN,MF,Leicester City,Premier League,27,1992,3.2,0,1,1,100.0,0.31,0.31,0.00,0.00,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Hamza Mendyl,MAR,DF,Dijon,Ligue 1,21,1997,16.0,1,10,1,10.0,0.62,0.06,0.10,1.00,20.8,1,0,0,0.6,0.6,0.06,+0.4,+0.4
Chris Mepham,WAL,DF,Bournemouth,Premier League,21,1997,10.1,1,6,1,16.7,0.59,0.10,0.17,1.00,8.6,0,0,0,0.7,0.7,0.11,+0.3,+0.3
Levent Mercan,GER,MF,Schalke 04,Bundesliga,18,2000,0.8,0,1,0,0.0,1.27,0.00,0.00,,14.3,0,0,0,0.0,0.0,0.03,0.0,0.0
Jorge Meré,ESP,DF,Köln,Bundesliga,22,1997,6.9,1,3,1,33.3,0.44,0.15,0.33,1.00,17.1,0,0,0,0.7,0.7,0.25,+0.3,+0.3
Alex Meret,ITA,GK,Napoli,Serie A,22,1997,21.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fran Mérida,ESP,MF,Osasuna,La Liga,29,1990,12.9,0,13,2,15.4,1.01,0.16,0.00,0.00,27.3,0,0,0,0.3,0.3,0.02,-0.3,-0.3
Mikel Merino,ESP,MF,Real Sociedad,La Liga,23,1996,34.9,5,44,14,31.8,1.26,0.40,0.11,0.36,18.0,1,0,0,2.8,2.8,0.06,+2.2,+2.2
Sabin Merino,ESP,FW,Leganés,La Liga,27,1992,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yıldırım Mert Çetin,TUR,DF,Roma,Serie A,22,1997,2.9,0,3,0,0.0,1.05,0.00,0.00,,9.3,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Dries Mertens,BEL,FW,Napoli,Serie A,32,1987,18.8,9,75,24,32.0,4.00,1.28,0.12,0.38,19.4,4,0,0,5.2,5.2,0.07,+3.8,+3.8
Roque Mesa,ESP,MF,Leganés,La Liga,30,1989,22.4,1,26,9,34.6,1.16,0.40,0.04,0.11,24.6,1,0,0,1.4,1.4,0.05,-0.4,-0.4
Lionel Messi,ARG,FW,Barcelona,La Liga,32,1987,32.0,25,154,63,40.9,4.81,1.97,0.13,0.32,20.1,43,5,5,19.2,15.4,0.10,+5.8,+4.6
Thomas Meunier,BEL,DF,Paris S-G,Ligue 1,27,1991,13.8,0,4,2,50.0,0.29,0.14,0.00,0.00,16.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Mexer,MOZ,DF,Bordeaux,Ligue 1,30,1988,16.5,0,9,0,0.0,0.54,0.00,0.00,,20.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Max Meyer,GER,MF,Crystal Palace,Premier League,23,1995,7.3,0,9,2,22.2,1.24,0.27,0.00,0.00,17.0,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Kingsley Michael,NGA,MF,Bologna,Serie A,19,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Míchel,ESP,MF,Valladolid,La Liga,31,1988,24.2,1,11,2,18.2,0.45,0.08,0.00,0.00,25.2,2,1,1,1.2,0.5,0.04,-0.2,-0.5
Sven Michel,GER,FW,Paderborn 07,Bundesliga,29,1990,15.3,5,43,19,44.2,2.81,1.24,0.12,0.26,16.7,0,0,0,5.9,5.9,0.14,-0.9,-0.9
Miguel,ESP,FW,Valladolid,La Liga,19,1999,2.6,0,2,1,50.0,0.78,0.39,0.00,0.00,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Florian Miguel,FRA,DF,Nîmes,Ligue 1,22,1996,22.8,1,17,2,11.8,0.74,0.09,0.06,0.50,19.0,0,0,0,1.3,1.3,0.07,-0.3,-0.3
Georges Mikautadze,GEO,FW,Metz,Ligue 1,18,2000,0.1,0,1,0,0.0,11.25,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Nikola Milenković,SRB,DF,Fiorentina,Serie A,21,1997,36.2,5,29,13,44.8,0.80,0.36,0.17,0.38,12.8,0,0,0,2.9,2.9,0.10,+2.1,+2.1
Arkadiusz Milik,POL,FW,Napoli,Serie A,25,1994,19.4,11,67,27,40.3,3.45,1.39,0.16,0.41,12.7,3,0,0,10.2,10.2,0.16,+0.8,+0.8
Sergej Milinković-Savić,SRB,MF,Lazio,Serie A,24,1995,33.7,7,84,23,27.4,2.50,0.68,0.08,0.30,16.8,7,0,0,6.8,6.8,0.08,+0.2,+0.2
Éder Militão,BRA,DF,Real Madrid,La Liga,21,1998,11.4,0,3,1,33.3,0.26,0.09,0.00,0.00,11.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Luka Milivojević,SRB,MF,Crystal Palace,Premier League,28,1991,27.9,3,29,7,24.1,1.04,0.25,0.03,0.14,27.7,11,2,2,2.5,1.0,0.03,+0.5,0.0
Vincenzo Millico,ITA,MF,Torino,Serie A,18,2000,2.4,0,6,0,0.0,2.50,0.00,0.00,,24.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2
James Milner,ENG,MF,Liverpool,Premier League,33,1986,10.4,2,10,1,10.0,0.96,0.10,0.00,0.00,24.7,0,2,2,2.1,0.6,0.06,-0.1,-0.6
Santi Mina,ESP,FW,Celta Vigo,La Liga,23,1995,21.6,6,48,14,29.2,2.22,0.65,0.13,0.43,15.5,1,0,0,5.6,5.6,0.12,+0.4,+0.4
Yerry Mina,COL,DF,Everton,Premier League,24,1994,25.4,2,30,10,33.3,1.18,0.39,0.07,0.20,9.6,0,0,0,2.5,2.5,0.08,-0.5,-0.5
Takumi Minamino,JPN,FW,Liverpool,Premier League,24,1995,2.8,0,9,2,22.2,3.25,0.72,0.00,0.00,18.1,0,0,0,1.4,1.4,0.16,-1.4,-1.4
Tyrone Mings,ENG,DF,Aston Villa,Premier League,26,1993,32.2,2,9,4,44.4,0.28,0.12,0.22,0.50,9.0,0,0,0,1.1,1.1,0.12,+0.9,+0.9
Jorge Miramón,ESP,DF,Levante,La Liga,30,1989,27.0,0,9,2,22.2,0.33,0.07,0.00,0.00,24.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Juan Miranda,ESP,DF,Schalke 04,Bundesliga,19,2000,8.7,0,5,1,20.0,0.58,0.12,0.00,0.00,25.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Antonio Mirante,ITA,GK,Roma,Serie A,36,1983,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Simone Missiroli,ITA,MF,SPAL,Serie A,33,1986,31.1,1,13,3,23.1,0.42,0.10,0.08,0.33,16.5,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Tyrick Mitchell,ENG,DF,Crystal Palace,Premier League,19,1999,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Stefan Mitrović,SRB,DF,Strasbourg,Ligue 1,29,1990,22.8,1,4,2,50.0,0.18,0.09,0.25,0.50,8.5,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Maximilian Mittelstädt,GER,DF,Hertha BSC,Bundesliga,22,1997,21.0,1,22,5,22.7,1.05,0.24,0.05,0.20,21.3,0,0,0,0.9,0.9,0.04,+0.1,+0.1
Henrikh Mkhitaryan,ARM,FW,Roma,Serie A,30,1989,17.0,9,43,16,37.2,2.53,0.94,0.21,0.56,16.7,0,0,0,6.6,6.6,0.15,+2.4,+2.4
Henrikh Mkhitaryan,ARM,FW,Arsenal,Premier League,30,1989,1.2,0,2,0,0.0,1.61,0.00,0.00,,14.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Anthony Modeste,FRA,FW,Köln,Bundesliga,31,1988,12.6,4,34,10,29.4,2.69,0.79,0.12,0.40,13.6,0,0,0,3.5,3.5,0.10,+0.5,+0.5
Luka Modrić,CRO,MF,Real Madrid,La Liga,33,1985,22.2,3,30,13,43.3,1.35,0.59,0.10,0.23,21.6,0,0,0,2.1,2.1,0.07,+0.9,+0.9
Kevin Möhwald,GER,MF,Werder Bremen,Bundesliga,26,1993,0.8,0,5,1,20.0,6.08,1.22,0.00,0.00,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Niklas Moisander,FIN,DF,Werder Bremen,Bundesliga,33,1985,22.0,0,16,3,18.8,0.73,0.14,0.00,0.00,12.8,0,0,0,1.7,1.7,0.10,-1.7,-1.7
Jorge Molina,ESP,FW,Getafe,La Liga,37,1982,21.0,5,30,7,23.3,1.43,0.33,0.10,0.43,12.8,0,2,2,5.5,4.0,0.13,-0.5,-1.0
Florent Mollet,FRA,MF,Montpellier,Ligue 1,27,1991,18.7,6,47,22,46.8,2.51,1.18,0.13,0.27,23.6,11,0,0,2.7,2.7,0.06,+3.3,+3.3
Jon Moncayola,ESP,MF,Osasuna,La Liga,21,1998,16.6,1,14,3,21.4,0.84,0.18,0.07,0.33,25.5,0,0,0,0.7,0.7,0.05,+0.3,+0.3
Gabriele Moncini,ITA,FW,SPAL,Serie A,23,1996,1.7,0,3,0,0.0,1.75,0.00,0.00,,9.5,0,0,0,0.5,0.5,0.16,-0.5,-0.5
Thomas Monconduit,FRA,MF,Amiens,Ligue 1,28,1991,15.2,0,11,2,18.2,0.73,0.13,0.00,0.00,24.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Nacho Monreal,ESP,DF,Real Sociedad,La Liga,33,1986,26.6,2,16,5,31.3,0.60,0.19,0.13,0.40,12.0,0,0,0,2.3,2.3,0.14,-0.3,-0.3
