Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,20,1999,0,,,,,0,,0,0,,8,,,,,,,,,,,
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,29,2507,86,73.3,27.9,29,86,25,0,,0,1.24,21,38,-17,-0.61,-0.41,26.6,37.2,-10.6,-0.38,+0.27
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36,3240,90,94.7,36.0,36,90,36,0,,0,0.50,23,71,-48,-1.33,-0.83,35.9,58.2,-22.4,-0.62,+0.14
Diego Abbrandini,ITA,GK,Brescia,Serie A,17,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28,2520,90,100.0,28.0,28,90,28,0,,0,1.46,26,21,+5,+0.18,,28.4,26.3,+2.1,+0.07,
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,6,157,26,5.1,1.7,1,57,0,5,20,5,0.67,2,5,-3,-1.72,-1.29,3.2,3.4,-0.2,-0.13,+0.26
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,25,1817,73,72.1,20.2,20,85,15,5,22,1,1.44,20,25,-5,-0.25,-0.50,19.3,26.8,-7.5,-0.37,-0.58
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,15,623,42,24.7,6.9,6,73,2,9,20,1,0.93,7,14,-7,-1.01,-0.58,7.7,9.3,-1.6,-0.23,-0.01
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,20,1688,84,55.2,18.8,19,86,15,1,61,5,1.85,32,27,+5,+0.27,+0.66,25.7,22.7,+3.0,+0.16,+0.09
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,34,2215,65,64.8,24.6,25,81,9,9,20,0,1.82,45,34,+11,+0.45,+0.15,44.0,26.8,+17.2,+0.70,-0.17
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,13,663,51,21.7,7.4,8,74,3,5,14,14,1.62,9,9,0,0.00,-0.04,9.0,12.4,-3.4,-0.46,+0.14
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,36,3162,88,92.5,35.1,36,88,32,0,,1,2.00,74,38,+36,+1.02,+0.68,62.7,45.1,+17.6,+0.50,+0.04
Che Adams,SCO,FW,Southampton,Premier League,23,1996,30,1111,37,32.5,12.3,12,73,0,18,13,6,1.47,17,17,0,0.00,+0.35,17.8,16.2,+1.6,+0.13,+0.15
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,14,953,68,31.1,10.6,10,82,4,4,33,1,1.71,14,13,+1,+0.09,-1.74,18.5,11.8,+6.7,+0.63,-0.56
