Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,15,746,50,24.4,8.3,6,80,2,9,30,3,1.93,16,10,+6,+0.72,+0.96,13.3,15.1,-1.9,-0.22,-0.24
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,1,25,25,0.7,0.3,0,,0,1,25,37,0.00,0,0,0,0.00,-0.64,0.5,0.1,+0.4,+1.48,+0.91
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,11,188,17,5.5,2.1,0,,0,11,17,21,1.45,3,5,-2,-0.96,-2.04,6.1,4.3,+1.8,+0.86,+0.38
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,5,231,46,6.8,2.6,2,90,2,3,17,26,0.60,5,7,-2,-0.78,-0.72,3.7,4.2,-0.5,-0.20,-0.12
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,4,46,12,1.8,0.5,0,,0,4,11,3,0.00,0,0,0,0.00,+1.31,0.3,0.8,-0.5,-0.92,-0.41
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,21,1020,49,40.5,11.3,11,76,3,10,19,1,1.33,17,11,+6,+0.53,+0.53,11.1,11.6,-0.5,-0.04,+0.14
Andrea Adorante,ITA,FW,Parma,Serie A,19,2000,0,,,,,0,,0,0,,9,,,,,,,,,,,
Amir Adouyev,RUS,MF,Montpellier,Ligue 1,20,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
Adrián,ESP,GK,Liverpool,Premier League,32,1987,11,875,80,25.6,9.7,9,90,9,2,33,27,3.00,24,10,+14,+1.44,+0.10,18.5,9.7,+8.9,+0.91,+0.12
Daniel Adshead,ENG,MF,Norwich City,Premier League,17,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,14,208,15,6.1,2.3,0,,0,14,15,3,1.29,2,1,+1,+0.43,+0.38,2.8,2.3,+0.5,+0.21,+0.44
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,23,1805,78,52.8,20.1,20,83,14,3,49,3,1.04,24,33,-9,-0.45,+0.44,22.9,27.4,-4.6,-0.23,+0.71
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,31,2099,68,61.4,23.3,23,84,16,8,22,5,1.00,20,38,-18,-0.77,-0.29,21.8,37.0,-15.1,-0.65,-0.59
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,3,68,23,2.0,0.8,0,,0,3,23,21,1.67,3,3,0,0.00,-1.21,3.7,2.0,+1.7,+2.28,+1.47
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,3,64,21,1.9,0.7,1,54,0,2,5,13,2.00,1,3,-2,-2.81,-2.95,1.2,1.0,+0.2,+0.31,+0.16
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,10,666,67,19.5,7.4,7,86,4,3,22,5,0.60,8,11,-3,-0.41,+0.35,8.4,11.1,-2.6,-0.36,-0.06
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,11,957,87,38.0,10.6,11,87,10,0,,3,1.27,9,13,-4,-0.38,-0.03,11.5,16.4,-4.9,-0.46,+0.07
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,24,1452,61,42.5,16.1,18,75,8,6,16,2,2.08,43,18,+25,+1.55,-0.37,39.7,15.9,+23.8,+1.48,-0.10
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,19,1072,56,42.5,11.9,11,83,9,8,20,5,1.32,20,16,+4,+0.34,+0.58,20.9,17.3,+3.6,+0.30,+0.02
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,10,230,23,6.7,2.6,2,78,1,8,9,9,1.90,3,6,-3,-1.17,-1.15,2.0,4.2,-2.2,-0.88,-0.85
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,11,630,57,25.0,7.0,8,61,2,3,47,3,1.00,8,10,-2,-0.29,+0.38,10.0,10.9,-0.9,-0.13,+0.14
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,32,2502,78,73.2,27.8,27,89,25,5,20,5,0.97,24,34,-10,-0.36,-0.16,28.7,29.8,-1.1,-0.04,+0.27
Ola Aina,NGA,DF,Torino,Serie A,22,1996,32,2079,65,60.8,23.1,20,84,12,12,33,5,1.13,35,40,-5,-0.22,+0.92,28.4,36.1,-7.6,-0.33,+0.53
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,12,536,45,21.3,6.0,6,79,2,6,10,5,1.17,7,6,+1,+0.17,-0.06,6.3,7.1,-0.8,-0.13,0.00
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,17,1282,75,50.9,14.2,16,79,10,1,19,0,1.53,18,17,+1,+0.07,+0.51,14.5,13.9,+0.7,+0.05,+0.22
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,9,139,15,4.1,1.5,0,,0,9,15,19,0.22,2,3,-1,-0.65,-0.32,2.8,1.5,+1.4,+0.88,+1.32
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,26,2058,79,84.7,22.9,24,84,12,2,20,1,1.46,31,21,+10,+0.44,+2.86,29.9,24.2,+5.6,+0.25,+0.59
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,29,2309,80,75.5,25.7,25,90,24,4,16,2,2.14,70,31,+39,+1.52,+1.04,47.5,28.6,+18.9,+0.74,+0.73
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,9,99,11,3.9,1.1,0,,0,9,10,15,1.89,3,3,0,0.00,-0.45,2.3,1.3,+1.0,+0.91,+0.79
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,29,2503,86,73.2,27.8,29,86,27,0,,1,0.93,30,47,-17,-0.61,+0.17,32.0,41.3,-9.4,-0.34,+0.20
Sergio Akieme,ESP,DF,Barcelona,La Liga,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,15,544,36,21.6,6.0,5,65,0,10,22,6,0.87,7,16,-9,-1.49,-1.03,7.0,9.3,-2.3,-0.38,-0.09
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,18,1142,63,37.3,12.7,12,86,11,6,18,14,1.50,19,19,0,0.00,0.00,19.1,20.8,-1.7,-0.13,-0.14
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,28,2498,89,81.6,27.8,27,90,26,1,79,3,2.46,86,24,+62,+2.23,+1.27,67.8,27.0,+40.7,+1.47,+0.44
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,1998,17,1400,82,55.6,15.6,17,82,11,0,,8,0.76,13,23,-10,-0.64,-0.24,15.4,23.9,-8.4,-0.54,-0.05
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,1992,24,1174,49,38.4,13.0,11,85,7,13,18,9,1.58,18,20,-2,-0.15,-1.06,20.9,17.5,+3.4,+0.26,-0.11
Fabrizio Alastra,ITA,GK,Parma,Serie A,21,1997,0,,,,,0,,0,0,,20,,,,,,,,,,,
Jordi Alba,ESP,DF,Barcelona,La Liga,30,1989,27,2187,81,63.9,24.3,25,86,21,2,23,2,2.04,53,23,+30,+1.23,-0.08,41.7,22.8,+18.9,+0.78,-0.05
Luis Alberto,ESP,MF,Lazio,Serie A,26,1992,36,3113,86,91.0,34.6,36,86,26,0,,0,2.08,75,37,+38,+1.10,+1.39,63.0,43.3,+19.7,+0.57,+0.81
Raúl Albiol,ESP,DF,Villarreal,La Liga,33,1985,36,3237,90,94.6,36.0,36,90,35,0,,1,1.67,61,44,+17,+0.47,+1.95,55.4,40.7,+14.6,+0.41,+1.37
Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,20,867,43,25.4,9.6,9,69,2,11,22,16,1.45,16,11,+5,+0.52,-0.22,14.1,11.8,+2.3,+0.24,-0.28
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,25,1993,11,530,48,17.3,5.9,6,78,3,5,13,3,1.64,13,12,+1,+0.17,-1.32,11.0,7.3,+3.7,+0.63,+0.09
Paco Alcácer,ESP,FW,Villarreal,La Liga,25,1993,13,924,71,27.0,10.3,11,77,3,2,36,1,1.77,14,13,+1,+0.10,-0.37,13.1,10.8,+2.3,+0.22,-0.15
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,28,1991,24,1771,74,57.9,19.7,20,85,15,4,17,1,2.17,54,23,+31,+1.58,-1.01,47.6,21.9,+25.8,+1.31,-0.19
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,28,1991,27,1927,71,56.3,21.4,20,85,16,7,33,3,1.15,17,25,-8,-0.37,-0.19,19.2,25.2,-6.0,-0.28,+0.01
Toby Alderweireld,BEL,DF,Tottenham,Premier League,30,1989,33,2957,90,86.5,32.9,33,90,32,0,,5,1.64,53,39,+14,+0.43,+0.43,40.5,43.6,-3.1,-0.09,+0.47
Haitam Aleesami,NOR,DF,Amiens,Ligue 1,28,1991,22,1916,87,76.0,21.3,21,89,20,1,51,6,0.86,27,42,-15,-0.70,-0.11,23.3,30.3,-7.0,-0.33,-0.09
Álex Alegría,ESP,FW,Mallorca,La Liga,26,1992,6,109,18,3.2,1.2,0,,0,6,18,1,0.67,2,2,0,0.00,+0.68,1.5,2.2,-0.7,-0.56,0.00
Carles Aleñá,ESP,MF,Betis,La Liga,21,1998,17,735,43,21.5,8.2,7,75,3,10,21,3,0.88,10,12,-2,-0.24,+0.09,9.4,11.6,-2.2,-0.26,-0.26
Carles Aleñá,ESP,MF,Barcelona,La Liga,21,1998,4,172,43,5.0,1.9,2,68,1,2,19,6,1.75,5,1,+4,+2.09,+0.87,2.7,1.1,+1.5,+0.81,+0.01
Diego Alende,ESP,DF,Valladolid,La Liga,21,1997,0,,,,,0,,0,0,,5,,,,,,,,,,,
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,11,901,82,35.8,10.0,9,90,9,2,45,15,0.64,8,17,-9,-0.90,-0.84,10.7,16.0,-5.3,-0.53,-0.04
Alexander,ARG,MF,Leganés,La Liga,30,1988,0,,,,,0,,0,0,,3,,,,,,,,,,,
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,20,1998,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,31,+49,+1.39,+0.29,67.8,38.7,+29.1,+0.83,+0.09
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,4,279,70,8.2,3.1,4,70,3,0,,23,0.75,4,4,0,0.00,+1.26,7.4,2.6,+4.8,+1.56,+2.70
Abdallah Ali Mohamed,COM,DF,Marseille,Ligue 1,20,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Marco Alia,ALB,GK,Lazio,Serie A,19,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Rachid Alioui,MAR,FW,Angers,Ligue 1,27,1992,28,1563,56,62.0,17.4,17,75,5,11,27,0,1.39,14,21,-7,-0.40,-0.59,16.2,19.5,-3.3,-0.19,-0.35
Alisson,BRA,GK,Liverpool,Premier League,26,1992,29,2543,88,74.4,28.3,29,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,52.7,30.5,+22.3,+0.79,-0.12
Allan,BRA,MF,Napoli,Serie A,28,1991,23,1280,56,37.4,14.2,16,75,8,7,11,5,1.52,20,20,0,0.00,-0.46,20.9,16.4,+4.5,+0.32,-0.46
Thomas Allan,ENG,MF,Newcastle Utd,Premier League,19,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Dele Alli,ENG,MF,Tottenham,Premier League,23,1996,25,1847,74,54.0,20.5,21,84,12,4,19,3,1.40,31,25,+6,+0.29,-0.17,27.6,29.7,-2.1,-0.10,+0.12
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,25,1994,36,3021,84,88.3,33.6,35,85,21,1,58,1,1.22,35,48,-13,-0.39,+1.19,30.0,50.8,-20.8,-0.62,+0.38
José Alonso Lara,ESP,MF,Sevilla,La Liga,19,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Marcos Alonso,ESP,DF,Chelsea,Premier League,28,1990,18,1430,79,41.8,15.9,15,87,12,3,41,9,2.22,39,18,+21,+1.32,+1.59,30.2,16.2,+14.0,+0.88,+0.22
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,30,1989,17,1378,81,54.7,15.3,15,89,14,2,19,6,0.88,11,23,-12,-0.78,-0.94,14.9,22.1,-7.2,-0.47,+0.07
Altube,ESP,GK,Real Madrid,La Liga,19,2000,0,,,,,0,,0,0,,10,,,,,,,,,,,
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,2,180,90,5.3,2.0,2,90,2,0,,18,1.25,5,4,+1,+0.50,+0.86,2.8,1.2,+1.6,+0.78,+0.94
Sergio Álvarez,ESP,MF,Eibar,La Liga,27,1992,18,1147,64,33.5,12.7,14,78,8,4,15,9,1.28,14,19,-5,-0.39,+0.08,13.9,17.5,-3.6,-0.28,-0.05
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,24,1995,32,2810,88,82.2,31.2,32,88,31,0,,4,1.38,36,27,+9,+0.29,+1.17,32.9,36.1,-3.2,-0.10,+0.58
Bruno Alves,POR,DF,Parma,Serie A,37,1981,33,2671,81,78.1,29.7,31,85,27,2,14,0,1.33,39,44,-5,-0.17,-0.65,33.0,50.7,-17.8,-0.60,-0.87
Steven Alzate,COL,MF,Brighton,Premier League,20,1998,19,1188,63,34.7,13.2,12,90,10,7,16,3,1.11,19,18,+1,+0.08,+0.72,16.1,18.4,-2.3,-0.17,+0.27
Ibrahim Amadou,FRA,MF,Leganés,La Liga,26,1993,10,770,77,22.5,8.6,9,82,5,1,28,5,1.50,7,10,-3,-0.35,+0.26,7.3,8.4,-1.1,-0.12,-0.10
Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,11,759,69,22.2,8.4,8,84,7,3,28,9,0.73,8,20,-12,-1.42,-0.17,9.7,17.1,-7.4,-0.88,-0.32
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,29,1989,26,1695,65,67.3,18.8,18,83,12,8,24,2,1.04,18,25,-7,-0.37,-0.04,19.3,26.7,-7.3,-0.39,+0.35
Amath,SEN,MF,Getafe,La Liga,23,1996,7,66,9,1.9,0.7,0,,0,7,9,11,0.57,0,2,-2,-2.73,-2.94,0.9,2.9,-2.1,-2.84,-2.87
Jordan Amavi,FRA,DF,Marseille,Ligue 1,25,1994,26,2164,83,85.9,24.0,24,88,23,2,24,1,2.04,36,22,+14,+0.58,+1.09,30.6,23.8,+6.9,+0.29,+0.95
Thierry Ambrose,GLP,FW,Metz,Ligue 1,22,1997,18,548,30,21.7,6.1,4,78,1,14,17,8,1.06,6,10,-4,-0.66,-0.47,8.4,8.8,-0.4,-0.07,+0.22
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,21,1998,20,1633,82,64.8,18.1,17,90,17,3,34,0,0.60,20,43,-23,-1.27,+0.05,21.4,31.1,-9.7,-0.53,-0.06
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,22,1996,30,1857,62,60.7,20.6,22,79,11,8,15,4,1.70,31,25,+6,+0.29,-0.53,28.5,27.1,+1.4,+0.07,-0.66
Amores,ESP,MF,Leganés,La Liga,22,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,3,81,27,2.6,0.9,0,,0,3,27,17,3.00,3,1,+2,+2.22,+0.95,1.6,0.5,+1.1,+1.20,+0.19
Opoku Ampomah,GHA,FW,Düsseldorf,Bundesliga,23,1996,12,500,42,16.3,5.6,5,70,1,7,21,8,0.50,3,16,-13,-2.34,-1.71,4.6,12.4,-7.9,-1.42,-0.90
Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,34,2919,86,85.4,32.4,33,87,22,1,42,0,1.29,40,46,-6,-0.18,-0.54,40.6,44.6,-4.0,-0.12,-0.24
Joseph Anang,ENG,GK,West Ham,Premier League,19,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Joachim Andersen,DEN,DF,Lyon,Ligue 1,23,1996,18,1531,85,60.8,17.0,17,90,17,1,0,10,1.56,29,17,+12,+0.71,+0.43,22.3,17.6,+4.8,+0.28,-0.32
Djavan Anderson,NED,DF,Lazio,Serie A,24,1995,6,167,28,4.9,1.9,2,65,0,4,10,11,1.67,3,3,0,0.00,-1.02,2.2,4.9,-2.7,-1.45,-2.04
Felipe Anderson,BRA,MF,West Ham,Premier League,26,1993,25,1497,60,43.8,16.6,20,73,6,5,9,4,0.88,21,27,-6,-0.36,-0.03,18.4,27.6,-9.3,-0.56,-0.29
Sebastian Andersson,SWE,FW,Union Berlin,Bundesliga,28,1991,33,2682,81,87.6,29.8,31,85,19,2,20,0,1.15,34,52,-18,-0.60,-0.84,33.0,43.2,-10.2,-0.34,+0.28
Florin Andone,ROU,MF,Brighton,Premier League,26,1993,3,73,24,2.1,0.8,1,29,0,2,22,0,1.33,2,0,+2,+2.47,+2.92,1.7,2.3,-0.6,-0.76,-0.42
Nícolas Andrade,BRA,GK,Udinese,Serie A,31,1988,0,,,,,0,,0,0,,38,,,,,,,,,,,
Benjamin André,FRA,MF,Lille,Ligue 1,28,1990,26,2054,79,81.5,22.8,23,87,19,3,14,0,1.88,30,21,+9,+0.39,+0.59,30.7,21.8,+9.0,+0.39,+0.22
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,6,531,89,15.5,5.9,5,90,5,1,81,20,0.17,4,16,-12,-2.03,-1.04,6.2,15.3,-9.1,-1.55,-0.73
Robert Andrich,GER,MF,Union Berlin,Bundesliga,24,1994,30,2572,86,84.1,28.6,30,86,23,0,,0,1.07,33,51,-18,-0.63,-0.81,32.1,43.6,-11.5,-0.40,-0.18
Victorien Angban,CIV,MF,Metz,Ligue 1,22,1996,20,1029,51,40.8,11.4,11,84,8,9,12,3,1.30,11,13,-2,-0.17,+0.19,10.9,14.1,-3.2,-0.28,-0.06
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,29,1990,13,790,61,23.1,8.8,9,75,3,4,30,3,1.08,9,11,-2,-0.23,+0.42,10.7,7.1,+3.6,+0.41,+0.59
José Ángel,ESP,DF,Eibar,La Liga,29,1989,28,2360,84,69.0,26.2,27,86,24,1,26,4,1.18,26,37,-11,-0.42,+0.09,29.2,34.6,-5.4,-0.21,+0.15
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13,1170,90,34.2,13.0,13,90,13,0,,22,1.46,18,16,+2,+0.15,-0.09,12.8,11.6,+1.2,+0.10,-0.09
Angeliño,ESP,DF,Manchester City,Premier League,22,1997,6,423,71,12.4,4.7,4,90,4,2,32,9,2.00,11,7,+4,+0.85,-1.04,10.8,4.5,+6.3,+1.35,-0.22
Angeliño,ESP,DF,RB Leipzig,Bundesliga,22,1997,13,1095,84,35.8,12.2,12,89,11,1,25,1,1.69,22,11,+11,+0.90,-0.61,20.7,13.5,+7.2,+0.59,-0.67
Faustino Anjorin,ENG,FW,Chelsea,Premier League,17,2001,1,20,20,0.6,0.2,0,,0,1,20,0,3.00,0,0,0,0.00,-0.40,0.1,0.1,0.0,+0.15,-0.61
Peter Ankersen,DEN,DF,Genoa,Serie A,28,1990,19,1063,56,31.1,11.8,11,78,6,8,26,13,1.05,15,18,-3,-0.25,+0.62,14.3,18.3,-4.0,-0.34,-0.04
Cristian Ansaldi,ARG,DF,Torino,Serie A,32,1986,27,1768,65,51.7,19.6,21,78,11,6,23,2,1.00,26,31,-5,-0.25,+0.67,22.8,30.7,-7.9,-0.40,+0.28
Janis Antiste,FRA,MF,Toulouse,Ligue 1,16,2002,1,12,12,0.5,0.1,0,,0,1,11,0,0.00,0,0,0,0.00,+1.29,0.2,0.1,+0.2,+1.29,+1.81
Michail Antonio,JAM,FW,West Ham,Premier League,29,1990,24,1768,74,51.7,19.6,19,82,12,5,41,0,1.08,31,30,+1,+0.05,+0.81,26.7,28.2,-1.4,-0.07,+0.66
Antoñito,ESP,DF,Valladolid,La Liga,31,1987,15,1029,69,30.1,11.4,11,87,9,4,19,12,1.00,10,13,-3,-0.26,+0.04,11.1,13.0,-1.9,-0.17,+0.16
Mirko Antonucci,ITA,FW,Roma,Serie A,20,1999,2,82,41,2.4,0.9,0,,0,2,41,16,2.00,2,1,+1,+1.10,+0.42,1.0,0.9,+0.2,+0.20,-0.45
Vitorino Antunes,POR,MF,Getafe,La Liga,32,1987,1,6,6,0.2,0.1,0,,0,1,6,5,3.00,0,0,0,0.00,-0.16,0.0,0.1,-0.1,-1.48,-1.46
Christopher Antwi-Adjei,GHA,MF,Paderborn 07,Bundesliga,25,1994,34,2470,73,80.7,27.4,28,83,20,6,24,0,0.59,29,60,-31,-1.13,-0.21,31.2,54.1,-22.9,-0.84,-0.05
Anuar,MAR,MF,Valladolid,La Liga,24,1995,11,189,17,5.5,2.1,1,52,0,10,14,1,1.00,4,8,-4,-1.90,-1.71,1.7,5.5,-3.8,-1.83,-1.64
Houssem Aouar,FRA,MF,Lyon,Ligue 1,21,1998,25,1956,78,77.6,21.7,23,84,14,2,14,1,1.32,30,23,+7,+0.32,-0.95,28.1,22.0,+6.1,+0.28,-0.56
Adil Aouchiche,FRA,MF,Paris S-G,Ligue 1,17,2002,1,64,64,2.6,0.7,1,64,0,0,,3,3.00,2,0,+2,+2.81,+0.95,1.4,0.3,+1.0,+1.47,-0.32
Shinta Appelkamp,GER,MF,Düsseldorf,Bundesliga,18,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Dennis Appiah,FRA,DF,Nantes,Ligue 1,27,1992,19,1605,84,63.7,17.8,18,88,16,1,28,5,1.37,16,16,0,0.00,+0.30,18.1,20.6,-2.4,-0.14,+0.20
Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,21,1998,0,,,,,0,,0,0,,6,,,,,,,,,,,
Mauro Arambarri,URU,MF,Getafe,La Liga,23,1995,35,3069,88,89.7,34.1,34,89,30,1,33,0,1.37,36,33,+3,+0.09,-0.68,34.2,34.9,-0.7,-0.02,+0.08
Guilherme Arana,BRA,DF,Atalanta,Serie A,22,1997,4,80,20,2.3,0.9,0,,0,4,20,10,1.25,1,1,0,0.00,-1.35,1.1,0.7,+0.4,+0.45,-0.63
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,30,1989,27,2118,78,69.2,23.5,23,85,14,4,41,0,1.85,41,26,+15,+0.64,+0.45,36.3,29.0,+7.3,+0.31,-0.06
Luiz Araújo,BRA,FW,Lille,Ligue 1,23,1996,21,828,39,32.9,9.2,7,84,3,14,17,5,1.48,11,14,-3,-0.33,-0.91,14.2,12.6,+1.6,+0.18,-0.26
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,27,1991,34,2888,85,84.4,32.1,32,87,27,2,46,1,1.00,32,42,-10,-0.31,+0.03,31.5,35.9,-4.3,-0.14,-0.16
Ronald Araújo,URU,DF,Barcelona,La Liga,20,1999,6,238,40,7.0,2.6,2,90,2,4,15,9,3.00,11,0,+11,+4.16,+3.11,7.1,2.2,+4.9,+1.84,+1.12
Anaitz Arbilla,ESP,DF,Eibar,La Liga,32,1987,24,2007,84,58.7,22.3,22,90,20,2,19,1,1.00,23,39,-16,-0.72,-0.65,23.1,33.9,-10.8,-0.49,-0.57
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3,270,90,11.1,3.0,3,90,3,0,,1,2.00,8,2,+6,+2.00,+0.13,7.2,1.4,+5.8,+1.93,+0.17
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4,360,90,10.5,4.0,4,90,4,0,,31,2.50,10,5,+5,+1.25,+0.07,6.7,4.5,+2.2,+0.54,-0.42
Simone Aresti,ITA,GK,Cagliari,Serie A,33,1986,0,,,,,0,,0,0,,17,,,,,,,,,,,
