Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,1558,1175,383,62,0,222,35,44,45,23,15,3,930,322,306,997,256,21,275,3,1227,8,14,36,47
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,1684,1356,328,27,1,290,10,54,0,0,0,0,1018,391,275,219,1102,45,301,2,1316,0,33,22,70
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,1515,1437,78,75,1,184,49,1,0,0,0,0,1142,141,232,1008,411,66,3,3,1328,3,21,25,12
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,40,40,0,0,0,8,2,7,0,0,0,0,21,9,10,8,23,5,0,0,18,0,1,1,6
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,957,864,93,42,1,157,50,18,47,17,15,7,684,113,160,104,788,42,4,8,801,3,23,11,12
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,132,120,12,0,1,53,1,4,0,0,0,0,69,38,25,78,16,11,0,5,74,1,3,3,9
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,896,843,53,23,0,136,33,5,0,0,0,0,580,134,182,111,673,48,30,6,742,1,20,16,8
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,412,360,52,0,0,149,5,10,0,0,0,0,259,81,72,31,306,17,0,17,288,1,6,8,26
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,342,324,18,12,0,61,1,5,0,0,0,0,262,45,35,25,298,9,1,2,298,0,4,5,11
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,2011,1926,85,64,3,215,102,24,1,0,0,0,1428,229,354,1543,324,76,20,5,1809,1,27,8,20
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,265,257,8,0,3,73,8,12,0,0,0,0,160,67,38,18,211,11,0,5,184,1,9,8,20
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,699,620,79,21,1,80,4,9,0,0,0,0,479,126,94,73,524,33,58,2,595,1,8,19,18
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,191,179,12,0,0,42,3,6,0,0,0,0,109,49,33,28,132,10,6,5,140,0,1,2,14
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,6,5,1,0,0,0,0,0,0,0,0,0,3,0,3,2,2,0,0,1,4,0,0,0,0
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,46,44,2,0,0,6,0,1,0,0,0,0,38,5,3,39,4,1,1,0,41,0,0,1,0
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,80,65,15,1,0,18,1,2,0,0,0,0,40,23,17,10,49,5,14,0,61,0,1,2,1
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,27,22,5,1,0,4,3,1,3,2,0,0,14,8,5,22,2,1,1,0,21,0,1,0,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,581,540,41,18,1,144,22,11,19,8,7,3,441,76,64,62,498,8,3,1,460,3,9,22,7
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,314,219,95,27,0,40,12,0,0,0,0,0,150,24,140,31,217,1,0,49,227,0,9,0,1
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,57,57,0,0,0,22,2,1,0,0,0,0,21,16,20,3,26,8,0,3,33,0,5,0,1
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,969,747,222,11,1,164,24,54,0,0,0,0,497,248,224,646,63,42,211,2,709,7,37,18,45
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,1014,765,249,9,1,161,22,30,2,0,1,0,484,234,296,39,661,61,238,3,722,3,31,17,44
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,39,39,0,0,0,5,0,1,0,0,0,0,34,3,2,10,29,0,0,0,36,0,0,0,1
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,36,36,0,0,0,11,0,0,0,0,0,0,27,6,3,30,4,2,0,0,29,0,1,1,0
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,301,295,6,1,1,77,4,10,4,3,1,0,214,51,36,241,38,14,1,4,245,0,2,5,13
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,572,556,16,12,0,61,32,0,0,0,0,0,407,37,128,481,59,18,4,1,487,2,12,4,7
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,368,349,19,1,5,90,1,8,0,0,0,0,275,70,23,42,303,11,1,9,285,0,4,11,15
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,791,675,116,9,0,102,18,52,0,0,0,0,502,154,135,14,642,15,107,5,666,0,8,6,19
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,104,103,1,0,0,9,1,0,0,0,0,0,81,11,12,6,91,3,1,1,91,0,2,2,0
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,7.0,313,306,7,6,0,53,6,2,0,0,0,0,236,54,23,254,40,11,1,1,262,2,13,8,6
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,27.8,1223,1177,46,38,1,169,32,1,0,0,0,0,954,105,164,232,904,52,8,3,1073,0,14,6,18
Ola Aina,NGA,DF,Torino,Serie A,22,1996,23.1,1160,922,238,13,2,146,33,70,4,0,0,0,641,234,285,251,628,48,221,3,863,6,31,28,36
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,6.0,413,406,7,5,2,93,5,1,1,1,0,0,330,48,35,63,330,13,1,1,357,2,6,6,3
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,14.2,801,649,152,7,1,104,21,38,3,0,2,1,446,147,208,554,72,22,142,1,625,2,19,17,30
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,1.5,18,17,1,0,0,5,0,0,0,0,0,0,6,8,4,2,12,3,0,0,15,0,0,0,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,22.9,509,486,23,0,2,170,11,18,0,0,0,0,260,155,94,254,113,48,3,7,371,5,11,13,12
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,25.7,1929,1857,72,39,2,229,46,0,0,0,0,0,1586,174,169,448,1357,66,33,2,1767,2,27,10,18
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,1.1,29,27,2,0,0,6,1,1,0,0,0,0,22,3,4,2,27,0,0,0,25,0,1,0,0
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,27.8,1183,1130,53,33,1,148,15,2,0,0,0,0,852,134,197,840,209,92,20,1,1042,2,11,6,13
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,6.0,206,202,4,2,0,48,3,7,1,0,0,1,164,21,21,14,181,6,1,0,172,0,2,6,4
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,12.7,754,727,27,12,1,111,4,1,0,0,0,0,606,69,79,93,619,17,15,1,659,0,16,7,3
