Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,1,0,25,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,
Adrián,ESP,GK,Liverpool,Premier League,32,1987,11,9,875,9.7,10,1.03,28,17,64.3,9,0,0,2,22.2,0,0,0,0,
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,11,9,900,10.0,17,1.70,46,29,63.0,1,2,6,0,0.0,0,0,0,0,
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25.0,0,0,0,0,
Alisson,BRA,GK,Liverpool,Premier League,26,1992,29,29,2543,28.3,23,0.81,79,58,72.2,23,3,3,13,44.8,1,1,0,0,0.0
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,4,4,180,2.0,1,0.50,4,3,75.0,1,1,0,2,50.0,0,0,0,0,
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,6,5,531,5.9,16,2.71,45,28,64.4,0,1,4,0,0.0,1,0,0,1,
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13,13,1170,13.0,16,1.23,51,36,68.6,5,4,4,3,23.1,1,0,0,1,
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3,3,270,3.0,2,0.67,4,2,50.0,2,0,1,2,66.7,0,0,0,0,
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4,4,360,4.0,5,1.25,13,10,76.9,3,1,0,1,25.0,2,2,0,0,0.0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,24,1994,33,33,2970,33.0,47,1.42,99,55,54.5,18,4,11,8,24.2,2,2,0,0,0.0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,30,1989,34,34,3060,34.0,41,1.21,142,107,74.6,17,4,13,11,32.4,6,5,1,0,16.7
Emil Audero,ITA,GK,Sampdoria,Serie A,22,1997,36,36,3240,36.0,60,1.67,160,110,66.9,12,5,19,9,25.0,8,7,0,1,0.0
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,17,2001,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,29,1990,30,30,2700,30.0,49,1.63,143,101,69.2,13,7,10,7,23.3,7,5,2,0,28.6
Asmir Begović,BIH,GK,Milan,Serie A,32,1987,2,1,129,1.4,3,2.09,6,4,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Walter Benítez,ARG,GK,Nice,Ligue 1,26,1993,26,26,2340,26.0,36,1.38,129,99,75.2,9,8,9,4,15.4,6,4,1,1,20.0
Etrit Berisha,ALB,GK,SPAL,Serie A,30,1989,26,26,2340,26.0,41,1.58,142,106,75.4,5,3,18,3,11.5,6,6,0,0,0.0
Paul Bernardoni,FRA,GK,Nîmes,Ligue 1,22,1997,25,25,2204,24.5,38,1.55,102,69,66.7,7,4,14,6,24.0,4,4,0,0,0.0
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,21,1998,3,3,196,2.2,3,1.38,6,3,50.0,0,0,3,0,0.0,0,0,0,0,
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,24,1995,33,33,2960,32.9,43,1.31,126,87,69.8,6,14,13,10,30.3,5,5,0,0,0.0
Yassine Bounou,MAR,GK,Sevilla,La Liga,28,1991,6,5,495,5.5,3,0.55,19,17,89.5,4,1,0,4,80.0,1,1,0,0,0.0
Federico Brancolini,ITA,GK,Fiorentina,Serie A,18,2001,1,0,6,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Claudio Bravo,CHI,GK,Manchester City,Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,
Gianluigi Buffon,ITA,GK,Juventus,Serie A,41,1978,9,9,810,9.0,10,1.11,32,23,71.9,7,1,1,1,11.1,2,1,0,1,0.0
Marcin Bułka,POL,GK,Paris S-G,Ligue 1,19,1999,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,
Roman Bürki,SUI,GK,Dortmund,Bundesliga,28,1990,31,31,2770,30.8,40,1.30,93,59,60.2,19,5,7,13,41.9,3,3,0,0,0.0
Ludovic Butelle,FRA,GK,Angers,Ligue 1,36,1983,26,26,2340,26.0,32,1.23,78,50,62.8,10,6,10,11,42.3,3,3,0,0,0.0
Willy Caballero,ARG,GK,Chelsea,Premier League,37,1981,5,5,450,5.0,7,1.40,16,10,56.3,2,2,1,1,20.0,0,0,0,0,
Matis Carvalho,POR,GK,Montpellier,Ligue 1,20,1999,1,0,71,0.8,4,5.07,8,5,50.0,0,0,0,0,,0,0,0,0,
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,27,1992,26,26,2340,26.0,38,1.46,104,69,67.3,11,6,9,5,19.2,4,4,0,0,0.0
Churripi,ESP,GK,Valladolid,La Liga,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,
Jasper Cillessen,NED,GK,Valencia,La Liga,30,1989,24,24,2096,23.3,30,1.29,102,78,76.5,10,7,7,5,20.8,8,6,2,0,25.0
Yannis Clementia,MTQ,GK,Nice,Ligue 1,22,1997,2,2,180,2.0,2,1.00,6,5,83.3,2,0,0,0,0.0,1,1,0,0,0.0
Simone Colombi,ITA,GK,Parma,Serie A,28,1991,4,4,360,4.0,4,1.00,17,14,82.4,1,1,2,1,25.0,2,1,0,1,0.0
Andrea Consigli,ITA,GK,Sassuolo,Serie A,32,1987,31,31,2790,31.0,55,1.77,140,93,65.7,12,5,14,5,16.1,8,7,1,0,12.5
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,35,1983,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,32,1987,28,28,2520,28.0,34,1.21,106,75,69.8,9,10,9,6,21.4,3,2,1,0,33.3
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,27,1992,34,34,3060,34.0,20,0.59,95,74,78.9,23,8,3,18,52.9,0,0,0,0,
Alessio Cragno,ITA,GK,Cagliari,Serie A,25,1994,16,16,1440,16.0,21,1.31,86,66,76.7,2,6,8,3,18.8,2,1,1,0,50.0
