Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Iván Cuéllar,ESP,GK,Leganés,La Liga,35,1984,27,27,2429,27.0,33,1.22,99,67,67.7,7,9,11,8,29.6,2,1,1,0,50.0
Paul Delecroix,FRA,GK,Metz,Ligue 1,30,1988,2,1,135,1.5,4,2.67,5,2,40.0,0,0,1,0,0.0,1,1,0,0,0.0
Lucas Dias,FRA,GK,Nîmes,Ligue 1,20,1999,4,3,316,3.5,6,1.71,18,12,66.7,0,2,1,1,33.3,0,0,0,0,
Marko Dmitrović,SRB,GK,Eibar,La Liga,27,1992,35,35,3150,35.0,51,1.46,113,67,58.4,9,9,17,10,28.6,5,4,1,0,20.0
Jaume Doménech,ESP,GK,Valencia,La Liga,28,1990,15,14,1324,14.7,23,1.56,80,58,72.5,4,4,6,3,21.4,1,1,0,0,0.0
Gianluigi Donnarumma,ITA,GK,Milan,Serie A,20,1999,36,36,3201,35.6,42,1.18,134,97,71.6,18,9,9,12,33.3,8,4,4,0,50.0
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,21,1997,31,31,2790,31.0,43,1.39,131,94,71.8,7,12,12,8,25.8,8,6,2,0,25.0
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,30,1989,38,38,3420,38.0,58,1.53,190,134,70.5,11,11,16,11,28.9,2,2,0,0,0.0
Ederson,BRA,GK,Manchester City,Premier League,25,1993,35,35,3071,34.1,28,0.82,92,65,72.8,24,3,8,16,45.7,3,3,0,0,0.0
Aarón Escandell,ESP,GK,Granada,La Liga,23,1995,3,3,270,3.0,3,1.00,13,10,76.9,1,0,2,1,33.3,0,0,0,0,
Łukasz Fabiański,POL,GK,West Ham,Premier League,34,1985,25,25,2117,23.5,34,1.45,98,69,68.4,8,7,10,5,20.0,4,3,1,0,25.0
Fabricio,ESP,GK,Mallorca,La Liga,31,1987,2,2,90,1.0,3,3.00,5,3,80.0,0,0,1,0,0.0,2,2,0,0,0.0
Ralf Fährmann,GER,GK,Norwich City,Premier League,30,1988,1,1,21,0.2,1,4.29,1,1,100.0,0,0,1,0,0.0,1,1,0,0,0.0
Wladimiro Falcone,ITA,GK,Sampdoria,Serie A,24,1995,2,2,180,2.0,5,2.50,13,8,69.2,0,1,1,0,0.0,1,1,0,0,0.0
Aitor Fernández,ESP,GK,Levante,La Liga,28,1991,36,36,3240,36.0,51,1.42,201,152,76.1,12,7,17,5,13.9,6,3,3,0,50.0
Andrés Fernández,ESP,GK,Villarreal,La Liga,32,1986,4,4,360,4.0,8,2.00,17,13,70.6,1,2,1,1,25.0,3,3,0,0,0.0
Mark Flekken,NED,GK,Freiburg,Bundesliga,26,1993,10,10,900,10.0,14,1.40,70,54,80.0,4,3,3,3,30.0,1,0,0,1,
Ben Foster,ENG,GK,Watford,Premier League,36,1983,38,38,3420,38.0,64,1.68,166,109,66.3,8,10,20,9,23.7,9,8,1,0,11.1
Daniel Fuzato,BRA,GK,Roma,Serie A,22,1997,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Gabriel,BRA,GK,Lecce,Serie A,26,1992,34,34,2997,33.3,76,2.28,217,153,69.6,6,8,20,2,5.9,12,10,2,0,16.7
Paulo Gazzaniga,ARG,GK,Tottenham,Premier League,27,1992,18,17,1613,17.9,26,1.45,79,56,70.9,5,5,7,2,11.8,4,3,1,0,25.0
David de Gea,ESP,GK,Manchester Utd,Premier League,28,1990,38,38,3420,38.0,36,0.95,125,92,73.6,18,12,8,13,34.2,3,3,0,0,0.0
Rafał Gikiewicz,POL,GK,Union Berlin,Bundesliga,31,1987,33,33,2970,33.0,54,1.64,160,109,68.1,12,5,16,8,24.2,4,3,1,0,25.0
Mauro Goicoechea,URU,GK,Toulouse,Ligue 1,31,1988,2,2,180,2.0,5,2.50,13,8,61.5,0,0,2,0,0.0,0,0,0,0,
Pierluigi Gollini,ITA,GK,Atalanta,Serie A,24,1995,33,33,2884,32.0,42,1.31,113,78,68.1,19,9,5,8,24.2,6,6,0,0,0.0
Alfred Gomis,SEN,GK,Dijon,Ligue 1,25,1993,19,19,1620,18.0,20,1.11,83,65,77.1,6,7,6,6,31.6,1,1,0,0,0.0
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,32,1987,35,35,3150,35.0,42,1.20,147,106,71.4,11,9,15,10,28.6,1,0,0,1,
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,29,1990,32,32,2880,32.0,34,1.06,117,82,72.6,16,12,4,10,31.3,2,2,0,0,0.0
Angus Gunn,ENG,GK,Southampton,Premier League,23,1996,10,10,900,10.0,25,2.50,53,30,56.6,2,2,6,2,20.0,2,2,0,0,0.0
Régis Gurtner,FRA,GK,Amiens,Ligue 1,32,1986,28,28,2520,28.0,50,1.79,140,92,65.0,4,11,13,5,17.9,1,1,0,0,0.0
Samir Handanović,SVN,GK,Inter,Serie A,35,1984,35,35,3150,35.0,32,0.91,108,79,72.2,22,10,3,13,37.1,3,2,1,0,33.3
Tom Heaton,ENG,GK,Aston Villa,Premier League,33,1986,20,20,1794,19.9,35,1.76,99,67,67.7,6,3,11,4,20.0,3,3,0,0,0.0
Dean Henderson,ENG,GK,Sheffield Utd,Premier League,22,1997,36,36,3240,36.0,33,0.92,129,97,75.2,14,11,11,13,36.1,3,1,1,1,50.0
Wayne Hennessey,WAL,GK,Crystal Palace,Premier League,32,1987,3,3,270,3.0,8,2.67,22,14,63.6,0,1,2,0,0.0,0,0,0,0,
Sergio Herrera,ESP,GK,Osasuna,La Liga,26,1993,19,18,1655,18.4,27,1.47,79,52,67.1,7,3,8,7,38.9,1,1,0,0,0.0
Iago Herrerín,ESP,GK,Athletic Club,La Liga,31,1988,5,4,425,4.7,9,1.91,18,9,50.0,0,3,1,0,0.0,0,0,0,0,
Marwin Hitz,SUI,GK,Dortmund,Bundesliga,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,
Timo Horn,GER,GK,Köln,Bundesliga,26,1993,34,34,3060,34.0,69,2.03,152,87,57.2,10,6,18,6,17.6,6,4,2,0,33.3
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,29,1989,34,34,3060,34.0,44,1.29,137,92,69.3,19,6,9,10,29.4,2,2,0,0,0.0
Jannik Huth,GER,GK,Paderborn 07,Bundesliga,25,1994,6,6,540,6.0,17,2.83,32,16,50.0,0,1,5,0,0.0,1,1,0,0,0.0
Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,34,1984,29,29,2547,28.3,46,1.63,131,94,70.2,11,5,13,9,31.0,7,7,0,0,0.0
Jesse Joronen,FIN,GK,Brescia,Serie A,26,1993,29,29,2610,29.0,59,2.03,172,123,70.9,5,6,18,5,17.2,10,9,1,0,10.0
Lovre Kalinić,CRO,GK,Toulouse,Ligue 1,29,1990,4,4,306,3.4,4,1.18,15,11,73.3,0,1,3,1,25.0,0,0,0,0,
Stefanos Kapino,GRE,GK,Werder Bremen,Bundesliga,25,1994,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
Florian Kastenmeier,GER,GK,Düsseldorf,Bundesliga,22,1997,17,17,1530,17.0,31,1.82,76,50,61.8,2,9,6,2,11.8,3,2,1,0,33.3
Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,26,1992,24,24,2160,24.0,51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100.0
Thomas Kraft,GER,GK,Hertha BSC,Bundesliga,31,1988,4,4,360,4.0,9,2.25,20,11,55.0,0,3,1,0,0.0,0,0,0,0,
Tim Krul,NED,GK,Norwich City,Premier League,31,1988,36,36,3240,36.0,68,1.89,189,123,65.6,5,6,25,5,13.9,5,3,2,0,40.0
Alban Lafont,FRA,GK,Nantes,Ligue 1,20,1999,27,27,2430,27.0,29,1.07,91,65,71.4,11,4,12,10,37.0,6,3,2,1,40.0
Gautier Larsonneur,FRA,GK,Brest,Ligue 1,22,1997,27,27,2398,26.6,34,1.28,128,95,75.8,7,10,10,7,25.9,5,3,1,1,25.0
Benjamin Lecomte,FRA,GK,Monaco,Ligue 1,28,1991,28,28,2520,28.0,44,1.57,132,95,71.2,11,7,10,7,25.0,6,6,0,0,0.0
Nicolas Lemaître,FRA,GK,Reims,Ligue 1,22,1997,1,1,90,1.0,3,3.00,3,1,33.3,0,0,1,0,0.0,1,1,0,0,0.0
Bernd Leno,GER,GK,Arsenal,Premier League,27,1992,30,30,2649,29.4,39,1.33,147,110,77.6,9,13,8,7,23.3,7,6,1,0,14.3
Donovan Léon,GUF,GK,Brest,Ligue 1,26,1992,2,1,122,1.4,3,2.21,10,8,80.0,1,0,0,1,100.0,1,1,0,0,0.0
Karlo Letica,CRO,GK,SPAL,Serie A,22,1997,10,10,900,10.0,29,2.90,66,38,56.1,0,1,9,0,0.0,1,0,1,0,100.0
Hugo Lloris,FRA,GK,Tottenham,Premier League,32,1986,21,21,1807,20.1,21,1.05,93,74,79.6,11,6,4,6,28.6,3,2,1,0,33.3
Anthony Lopes,POR,GK,Lyon,Ligue 1,28,1990,26,26,2340,26.0,25,0.96,85,64,72.9,10,7,9,8,30.8,3,2,0,1,0.0
Diego López,ESP,GK,Espanyol,La Liga,37,1981,36,36,3232,35.9,58,1.62,153,101,66.0,4,9,23,4,11.1,7,6,1,0,14.3
Pau López,ESP,GK,Roma,Serie A,24,1994,32,32,2880,32.0,45,1.41,122,83,69.7,18,6,8,5,15.6,9,8,1,0,11.1
Andreas Luthe,GER,GK,Augsburg,Bundesliga,32,1987,10,10,900,10.0,12,1.20,35,23,65.7,3,3,4,3,30.0,0,0,0,0,
Mike Maignan,FRA,GK,Lille,Ligue 1,24,1995,28,28,2520,28.0,27,0.96,78,58,70.5,15,4,9,12,42.9,6,4,1,1,20.0
Steve Mandanda,FRA,GK,Marseille,Ligue 1,34,1985,27,27,2371,26.3,27,1.02,91,71,74.7,15,8,4,11,40.7,4,4,0,0,0.0
Daniel Martín,ESP,GK,Betis,La Liga,21,1998,6,5,531,5.9,12,2.03,26,14,53.8,1,0,4,1,20.0,0,0,0,0,
David Martin,ENG,GK,West Ham,Premier League,33,1986,5,4,436,4.8,6,1.24,20,14,70.0,2,0,2,2,50.0,0,0,0,0,
Emiliano Martínez,ARG,GK,Arsenal,Premier League,26,1992,9,8,771,8.6,9,1.05,42,33,81.0,5,1,2,3,37.5,1,1,0,0,0.0
Jordi Masip,ESP,GK,Valladolid,La Liga,30,1989,35,35,3150,35.0,39,1.11,121,88,72.7,8,15,12,11,31.4,7,6,1,0,14.3
Alex McCarthy,ENG,GK,Southampton,Premier League,29,1989,28,28,2520,28.0,35,1.25,110,77,69.1,13,5,10,7,25.0,2,1,1,0,50.0
Michael McGovern,NIR,GK,Norwich City,Premier League,35,1984,2,1,159,1.8,6,3.40,11,5,45.5,0,0,1,0,0.0,1,0,1,0,100.0
Edouard Mendy,SEN,GK,Rennes,Ligue 1,27,1992,24,24,2160,24.0,19,0.79,74,59,78.4,13,5,6,9,37.5,4,3,1,0,25.0
Alex Meret,ITA,GK,Napoli,Serie A,22,1997,22,21,1951,21.7,33,1.52,76,46,63.2,9,5,7,3,14.3,6,5,1,0,16.7
Antonio Mirante,ITA,GK,Roma,Serie A,36,1983,5,5,450,5.0,5,1.00,22,17,81.8,2,1,2,2,40.0,1,1,0,0,0.0
Simon Moore,ENG,GK,Sheffield Utd,Premier League,29,1990,2,2,180,2.0,6,3.00,12,6,50.0,0,1,1,0,0.0,0,0,0,0,
Jessy Moulin,FRA,GK,Saint-Étienne,Ligue 1,33,1986,5,5,450,5.0,4,0.80,20,18,90.0,2,2,1,2,40.0,2,2,0,0,0.0
Florian Müller,GER,GK,Mainz 05,Bundesliga,21,1997,13,12,1125,12.5,25,2.00,64,41,64.1,3,2,7,2,16.7,3,2,1,0,33.3
Juan Musso,ARG,GK,Udinese,Serie A,25,1994,38,38,3420,38.0,51,1.34,186,139,76.9,12,9,17,14,36.8,10,8,2,0,20.0
Yvon Mvogo,SUI,GK,RB Leipzig,Bundesliga,25,1994,2,2,180,2.0,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,32,1986,21,21,1890,21.0,18,0.86,65,46,72.3,17,2,2,11,52.4,0,0,0,0,
Neto,BRA,GK,Barcelona,La Liga,30,1989,2,2,180,2.0,2,1.00,3,1,33.3,1,1,0,1,50.0,0,0,0,0,
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,33,1986,33,33,2970,33.0,31,0.94,111,84,74.8,25,4,4,15,45.5,4,3,1,0,25.0
Moritz Nicolas,GER,GK,Union Berlin,Bundesliga,21,1997,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
Alexander Nübel,GER,GK,Schalke 04,Bundesliga,22,1996,26,26,2315,25.7,40,1.56,114,79,68.4,8,9,9,6,23.1,4,4,0,0,0.0
Ørjan Nyland,NOR,GK,Aston Villa,Premier League,28,1990,7,5,539,6.0,12,2.00,26,14,53.8,0,2,3,1,20.0,0,0,0,0,
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,26,1993,38,38,3395,37.7,27,0.72,105,82,77.1,18,16,4,17,44.7,4,3,0,1,0.0
Oier Olazábal,ESP,GK,Espanyol,La Liga,29,1989,2,2,180,2.0,0,0.00,4,4,100.0,1,1,0,2,100.0,0,0,0,0,
Robin Olsen,SWE,GK,Cagliari,Serie A,29,1990,17,17,1524,16.9,24,1.42,83,63,75.9,8,5,4,4,23.5,4,4,0,0,0.0
David Ospina,COL,GK,Napoli,Serie A,30,1988,17,17,1469,16.3,17,1.04,53,36,71.7,9,3,5,4,23.5,2,2,0,0,0.0
Alexandre Oukidja,ALG,GK,Metz,Ligue 1,31,1988,27,27,2385,26.5,31,1.17,127,99,78.0,8,10,9,8,29.6,3,3,0,0,0.0
Fernando Pacheco,ESP,GK,Alavés,La Liga,27,1992,27,27,2358,26.2,37,1.41,92,61,68.5,7,7,13,6,22.2,11,8,3,0,27.3
Daniele Padelli,ITA,GK,Inter,Serie A,33,1985,4,4,270,3.0,4,1.33,6,3,50.0,2,0,1,1,25.0,1,1,0,0,0.0
Miquel Parera,ESP,GK,Mallorca,La Liga,23,1996,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,
Rui Patrício,POR,GK,Wolves,Premier League,31,1988,38,38,3420,38.0,40,1.05,120,80,67.5,15,14,9,13,34.2,3,1,2,0,66.7
Jiří Pavlenka,CZE,GK,Werder Bremen,Bundesliga,27,1992,33,33,2970,33.0,67,2.03,170,106,61.2,8,6,19,4,12.1,1,1,0,0,0.0
Gianluca Pegolo,ITA,GK,Sassuolo,Serie A,38,1981,5,5,450,5.0,4,0.80,26,23,84.6,2,2,1,2,40.0,0,0,0,0,
Yohann Pelé,FRA,GK,Marseille,Ligue 1,36,1982,2,1,149,1.7,2,1.21,6,4,66.7,1,0,0,0,0.0,1,0,1,0,100.0
Philipp Pentke,GER,GK,Hoffenheim,Bundesliga,34,1985,4,4,360,4.0,4,1.00,20,16,85.0,2,0,2,1,25.0,1,1,0,0,0.0
Juan Pérez,ESP,GK,Osasuna,La Liga,23,1996,2,2,180,2.0,3,1.50,8,6,75.0,1,1,0,0,0.0,1,1,0,0,0.0
Samu Pérez,ESP,GK,Valladolid,La Liga,22,1997,1,0,26,0.3,1,3.46,0,0,,0,0,0,0,,1,1,0,0,0.0
Mattia Perin,ITA,GK,Genoa,Serie A,26,1992,21,21,1890,21.0,38,1.81,99,63,62.6,8,4,9,5,23.8,2,1,0,1,0.0
Pavao Pervan,AUT,GK,Wolfsburg,Bundesliga,31,1987,8,8,720,8.0,8,1.00,36,29,80.6,2,4,2,3,37.5,1,1,0,0,0.0
Danijel Petković,MNE,GK,Angers,Ligue 1,26,1993,2,2,180,2.0,1,0.50,7,6,85.7,1,0,1,1,50.0,0,0,0,0,
Denis Petrić,SRB,GK,Nantes,Ligue 1,31,1988,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
Jordan Pickford,ENG,GK,Everton,Premier League,25,1994,38,38,3420,38.0,56,1.47,145,95,63.4,13,10,15,9,23.7,4,3,0,1,0.0
Carlo Pinsoglio,ITA,GK,Juventus,Serie A,29,1990,1,0,19,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Nick Pope,ENG,GK,Burnley,Premier League,27,1992,38,38,3420,38.0,50,1.32,159,112,71.1,15,9,14,15,39.5,5,4,1,0,20.0
Ionuț Radu,ROU,GK,Genoa,Serie A,22,1997,17,17,1530,17.0,35,2.06,89,61,67.4,2,5,10,2,11.8,7,6,0,1,0.0
Boris Radunović,SRB,GK,Hellas Verona,Serie A,23,1996,3,3,270,3.0,8,2.67,13,7,53.8,1,0,2,1,33.3,2,2,0,0,0.0
Rafael,BRA,GK,Cagliari,Serie A,37,1982,6,5,454,5.0,11,2.18,15,6,40.0,1,1,3,0,0.0,3,2,0,1,0.0
Predrag Rajković,SRB,GK,Reims,Ligue 1,23,1995,27,27,2430,27.0,18,0.67,84,65,79.8,10,11,6,12,44.4,5,1,3,1,75.0
Aaron Ramsdale,ENG,GK,Bournemouth,Premier League,21,1998,37,37,3330,37.0,62,1.68,177,120,67.8,9,7,21,5,13.5,6,5,1,0,16.7
Darren Randolph,IRL,GK,West Ham,Premier League,32,1987,2,2,180,2.0,5,2.50,9,5,55.6,0,1,1,0,0.0,1,1,0,0,0.0
Manolo Reina,ESP,GK,Mallorca,La Liga,34,1985,36,36,3240,36.0,60,1.67,164,117,71.3,9,5,22,5,13.9,14,13,1,0,7.1
Pepe Reina,ESP,GK,Milan,Serie A,36,1982,2,2,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,1,0,1,0,100.0
Pepe Reina,ESP,GK,Aston Villa,Premier League,36,1982,12,12,1080,12.0,20,1.67,50,32,64.0,3,3,6,2,16.7,3,2,1,0,33.3
Álex Remiro,ESP,GK,Real Sociedad,La Liga,24,1995,25,25,2250,25.0,32,1.28,87,62,71.3,11,4,10,6,24.0,8,7,1,0,12.5
Baptiste Reynet,FRA,GK,Toulouse,Ligue 1,28,1990,23,22,2034,22.6,49,2.17,112,67,58.9,3,3,16,2,9.1,5,3,2,0,40.0
Sergio Rico,ESP,GK,Paris S-G,Ligue 1,25,1993,2,2,180,2.0,4,2.00,11,7,63.6,2,0,0,0,0.0,0,0,0,0,
Roberto,ESP,GK,Alavés,La Liga,33,1986,9,8,790,8.8,19,2.16,51,35,68.6,2,1,5,2,25.0,3,3,0,0,0.0
Roberto,ESP,GK,West Ham,Premier League,33,1986,8,7,687,7.6,17,2.23,51,36,68.6,0,1,6,0,0.0,1,1,0,0,0.0
Joel Robles,ESP,GK,Betis,La Liga,29,1990,33,33,2887,32.1,48,1.50,118,80,68.6,9,11,13,5,15.2,11,11,0,0,0.0
Frederik Rønnow,DEN,GK,Eint Frankfurt,Bundesliga,26,1992,9,9,810,9.0,14,1.56,47,35,74.5,2,3,4,1,11.1,2,2,0,0,0.0
Antonio Rosati,ITA,GK,Torino,Serie A,36,1983,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
Francesco Rossi,ITA,GK,Atalanta,Serie A,28,1991,1,0,11,0.1,1,8.18,1,0,0.0,0,0,0,0,,0,0,0,0,
Rubén,ESP,GK,Osasuna,La Liga,35,1984,19,18,1583,17.6,24,1.36,51,29,58.8,5,9,4,5,27.8,3,3,0,0,0.0
Stéphane Ruffier,FRA,GK,Saint-Étienne,Ligue 1,32,1986,22,22,1980,22.0,40,1.82,94,56,60.6,6,4,12,3,13.6,4,3,0,1,0.0
Gerónimo Rulli,ARG,GK,Montpellier,Ligue 1,27,1992,25,25,2250,25.0,27,1.08,112,89,78.6,11,7,7,8,32.0,5,3,1,1,25.0
Mathew Ryan,AUS,GK,Brighton,Premier League,27,1992,38,38,3420,38.0,54,1.42,164,114,68.3,9,14,15,9,23.7,2,2,0,0,0.0
Romain Salin,FRA,GK,Rennes,Ligue 1,35,1984,5,4,360,4.0,5,1.25,18,13,72.2,2,0,2,2,50.0,1,0,1,0,100.0
Kasper Schmeichel,DEN,GK,Leicester City,Premier League,32,1986,38,38,3420,38.0,41,1.08,126,95,73.8,18,8,12,13,34.2,10,8,2,0,20.0
Markus Schubert,GER,GK,Schalke 04,Bundesliga,21,1998,9,8,742,8.2,18,2.18,52,35,69.2,1,3,4,2,25.0,2,2,0,0,0.0
Alexander Schwolow,GER,GK,Freiburg,Bundesliga,27,1992,24,24,2091,23.2,32,1.38,114,83,74.6,9,6,9,4,16.7,3,3,0,0,0.0
