Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,1,0,0,9,11,6,8,2,5,2,0,0,61,2,14,12.5
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,2,2,0,10,23,0,52,11,28,0,0,0,119,16,15,51.6
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,2,0,0,8,3,1,0,1,1,0,0,0,22,5,12,29.4
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,7.0,3,1,0,11,14,1,2,12,19,0,0,0,72,12,10,54.5
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,27.8,4,0,0,21,17,0,1,33,26,0,2,0,248,59,50,54.1
Ola Aina,NGA,DF,Torino,Serie A,22,1996,23.1,8,0,0,28,45,2,70,26,28,0,0,0,165,26,23,53.1
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,6.0,1,0,0,12,5,0,1,5,7,0,0,0,79,8,7,53.3
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,14.2,3,0,0,16,13,0,38,13,18,0,0,0,143,19,8,70.4
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,1.5,0,0,0,6,0,2,0,1,0,0,0,0,4,1,9,10.0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,22.9,3,0,0,43,22,4,18,3,14,1,1,0,74,112,71,61.2
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,25.7,2,0,0,14,22,0,0,18,23,0,0,1,231,41,31,56.9
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,1.1,1,0,0,2,3,0,1,2,2,0,0,0,7,0,4,0.0
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,27.8,2,0,0,12,18,3,2,27,11,0,0,0,247,64,58,52.5
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,6.0,1,0,0,10,8,2,7,5,13,0,0,0,35,4,10,28.6
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,12.7,2,0,0,9,16,1,1,11,11,0,1,1,121,21,26,44.7
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,0,0,0,11,7,1,25,11,17,0,0,0,328,22,27,44.9
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,1998,15.6,3,0,0,16,27,2,27,18,30,0,1,1,148,8,20,28.6
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,1992,13.0,6,0,0,24,17,18,5,2,2,0,0,0,49,34,51,40.0
Jordi Alba,ESP,DF,Barcelona,La Liga,30,1989,24.3,7,0,0,19,19,5,79,25,14,0,0,1,211,10,14,41.7
Luis Alberto,ESP,MF,Lazio,Serie A,26,1992,34.6,5,0,0,24,48,1,44,16,34,0,0,0,292,8,15,34.8
Raúl Albiol,ESP,DF,Villarreal,La Liga,33,1985,36.0,9,0,0,33,24,2,4,17,33,0,2,0,338,78,41,65.5
Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,9.6,2,0,0,9,11,1,49,9,11,0,1,0,90,2,5,28.6
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,2,2,0,0,0,17,4,15,21.1
Paco Alcácer,ESP,FW,Villarreal,La Liga,25,1993,10.3,1,0,0,4,12,13,3,2,2,1,0,0,40,8,18,30.8
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,28,1991,19.7,7,0,0,25,22,0,7,23,38,0,0,0,305,29,38,43.3
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,28,1991,21.4,10,0,0,46,68,0,12,16,36,0,2,0,283,43,43,50.0
Toby Alderweireld,BEL,DF,Tottenham,Premier League,30,1989,32.9,7,0,0,20,5,1,8,11,24,0,0,1,322,76,54,58.5
Haitam Aleesami,NOR,DF,Amiens,Ligue 1,28,1991,21.3,4,0,0,36,11,1,36,26,28,0,0,0,197,38,22,63.3
Álex Alegría,ESP,FW,Mallorca,La Liga,26,1992,1.2,0,0,0,3,4,1,0,1,0,0,0,0,5,11,9,55.0
Carles Aleñá,ESP,MF,Betis,La Liga,21,1998,8.2,1,0,0,17,22,3,2,1,11,0,0,0,55,4,11,26.7
Carles Aleñá,ESP,MF,Barcelona,La Liga,21,1998,1.9,0,0,0,3,4,0,0,0,1,0,0,0,12,2,3,40.0
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,10.0,0,0,0,0,3,0,0,0,0,0,0,0,45,0,0,
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,20,1998,35.3,5,0,0,25,10,3,183,34,25,0,0,0,352,14,32,30.4
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,
Rachid Alioui,MAR,FW,Angers,Ligue 1,27,1992,17.4,1,0,0,25,36,5,14,4,11,0,0,0,67,43,63,40.6
Alisson,BRA,GK,Liverpool,Premier League,26,1992,28.3,0,1,0,0,2,0,0,1,0,0,0,0,153,0,0,
Allan,BRA,MF,Napoli,Serie A,28,1991,14.2,3,0,0,33,26,0,9,5,36,0,0,0,123,10,7,58.8
Dele Alli,ENG,MF,Tottenham,Premier League,23,1996,20.5,2,0,0,14,37,6,5,7,29,0,0,0,157,17,32,34.7
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,25,1994,33.6,5,0,0,35,68,24,38,20,36,0,0,0,228,9,37,19.6
Marcos Alonso,ESP,DF,Chelsea,Premier League,28,1990,15.9,4,0,0,18,17,2,51,14,19,1,0,0,183,42,31,57.5
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,30,1989,15.3,2,0,0,18,13,1,26,13,19,0,0,1,101,35,9,79.5
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,2.0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Sergio Álvarez,ESP,MF,Eibar,La Liga,27,1992,12.7,6,0,0,28,9,0,3,9,20,0,1,0,143,24,34,41.4
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,24,1995,31.2,2,0,0,26,36,1,11,34,25,0,1,0,326,88,61,59.1
Bruno Alves,POR,DF,Parma,Serie A,37,1981,29.7,4,0,0,26,11,1,16,15,11,0,2,0,256,88,23,79.3
Steven Alzate,COL,MF,Brighton,Premier League,20,1998,13.2,1,0,0,21,21,3,11,10,23,0,0,0,137,14,11,56.0
Ibrahim Amadou,FRA,MF,Leganés,La Liga,26,1993,8.6,2,0,0,18,8,0,3,5,9,0,0,0,82,20,17,54.1
Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,8.4,1,0,0,8,3,0,1,11,7,0,1,0,75,15,14,51.7
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,29,1989,18.8,5,0,0,31,44,0,11,17,22,0,0,0,214,11,13,45.8
Amath,SEN,MF,Getafe,La Liga,23,1996,0.7,0,0,0,3,4,0,0,1,0,0,0,0,8,1,1,50.0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,25,1994,24.0,9,0,0,45,21,1,31,30,28,0,1,0,219,72,19,79.1
Thierry Ambrose,GLP,FW,Metz,Ligue 1,22,1997,6.1,1,0,0,10,9,1,12,4,5,0,0,0,50,21,18,53.8
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,21,1998,18.1,3,0,0,22,10,0,9,12,15,0,1,0,132,20,17,54.1
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,22,1996,20.6,3,0,0,27,42,3,32,14,13,1,0,0,198,7,21,25.0
Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,0.9,0,0,0,1,0,0,0,0,3,0,0,0,8,3,0,100.0
Opoku Ampomah,GHA,FW,Düsseldorf,Bundesliga,23,1996,5.6,1,0,0,17,6,8,7,3,6,0,0,0,33,4,9,30.8
Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,32.4,10,2,0,70,68,0,28,27,42,1,0,0,356,24,41,36.9
Joachim Andersen,DEN,DF,Lyon,Ligue 1,23,1996,17.0,3,0,0,15,3,0,3,8,10,0,1,0,170,56,25,69.1
Djavan Anderson,NED,DF,Lazio,Serie A,24,1995,1.9,1,0,0,4,1,0,2,1,1,0,0,0,19,1,2,33.3
Felipe Anderson,BRA,MF,West Ham,Premier League,26,1993,16.6,1,0,0,20,29,2,32,14,30,0,0,0,135,4,24,14.3
Sebastian Andersson,SWE,FW,Union Berlin,Bundesliga,28,1991,29.8,5,0,0,62,42,21,24,6,11,0,0,0,123,229,215,51.6
Florin Andone,ROU,MF,Brighton,Premier League,26,1993,0.8,0,1,0,1,2,0,1,0,2,0,0,0,7,2,3,40.0
Benjamin André,FRA,MF,Lille,Ligue 1,28,1990,22.8,6,0,0,56,43,0,10,45,63,0,0,0,323,70,49,58.8
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,
Robert Andrich,GER,MF,Union Berlin,Bundesliga,24,1994,28.6,13,1,1,76,45,0,29,37,46,2,0,0,401,51,36,58.6
Victorien Angban,CIV,MF,Metz,Ligue 1,22,1996,11.4,0,0,0,18,27,0,2,9,16,0,0,0,127,5,14,26.3
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,29,1990,8.8,0,0,0,17,9,3,2,1,1,0,0,0,31,21,43,32.8
José Ángel,ESP,DF,Eibar,La Liga,29,1989,26.2,4,0,0,21,14,0,106,27,31,0,1,0,311,47,27,63.5
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13.0,0,0,0,0,3,0,0,0,0,0,0,0,70,0,0,
Angeliño,ESP,DF,Manchester City,Premier League,22,1997,4.7,1,0,0,2,4,0,30,5,5,0,0,0,49,8,8,50.0
Angeliño,ESP,DF,RB Leipzig,Bundesliga,22,1997,12.2,2,0,0,14,16,3,44,10,8,0,0,0,118,10,16,38.5
Faustino Anjorin,ENG,FW,Chelsea,Premier League,17,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Peter Ankersen,DEN,DF,Genoa,Serie A,28,1990,11.8,2,0,0,9,10,1,17,9,5,0,0,0,73,9,4,69.2
Cristian Ansaldi,ARG,DF,Torino,Serie A,32,1986,19.6,9,0,0,29,33,4,123,12,27,0,0,0,154,14,16,46.7
Janis Antiste,FRA,MF,Toulouse,Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,
Michail Antonio,JAM,FW,West Ham,Premier League,29,1990,19.6,3,0,0,41,41,12,52,8,10,0,0,0,95,76,115,39.8
Antoñito,ESP,DF,Valladolid,La Liga,31,1987,11.4,1,0,0,18,10,1,32,19,16,0,0,0,71,10,8,55.6
Mirko Antonucci,ITA,FW,Roma,Serie A,20,1999,0.9,1,0,0,2,1,0,2,3,2,0,0,0,7,0,0,
Vitorino Antunes,POR,MF,Getafe,La Liga,32,1987,0.1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Christopher Antwi-Adjei,GHA,MF,Paderborn 07,Bundesliga,25,1994,27.4,2,0,0,20,38,4,47,11,20,0,0,0,170,24,37,39.3
Anuar,MAR,MF,Valladolid,La Liga,24,1995,2.1,1,0,0,5,5,0,1,3,4,0,0,0,25,2,5,28.6
Houssem Aouar,FRA,MF,Lyon,Ligue 1,21,1998,21.7,3,0,0,27,48,2,20,11,19,0,0,0,137,15,13,53.6
Adil Aouchiche,FRA,MF,Paris S-G,Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,
Dennis Appiah,FRA,DF,Nantes,Ligue 1,27,1992,17.8,2,0,0,28,8,0,25,15,32,0,0,0,190,22,14,61.1
Mauro Arambarri,URU,MF,Getafe,La Liga,23,1995,34.1,11,1,1,91,67,0,32,26,49,0,0,0,447,63,73,46.3
Guilherme Arana,BRA,DF,Atalanta,Serie A,22,1997,0.9,0,0,0,2,3,0,3,1,2,0,0,0,9,0,0,
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,30,1989,23.5,2,0,0,20,46,0,6,23,31,0,0,0,303,13,25,34.2
Luiz Araújo,BRA,FW,Lille,Ligue 1,23,1996,9.2,1,0,0,13,26,0,20,5,9,1,0,0,77,6,8,42.9
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,27,1991,32.1,10,0,0,29,10,0,2,38,27,0,0,0,278,91,36,71.7
Ronald Araújo,URU,DF,Barcelona,La Liga,20,1999,2.6,0,1,0,1,1,0,0,0,2,0,0,0,18,5,3,62.5
Anaitz Arbilla,ESP,DF,Eibar,La Liga,32,1987,22.3,5,0,0,24,13,0,18,15,20,0,0,0,319,56,28,66.7
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3.0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4.0,1,0,0,1,0,0,0,0,0,0,1,0,24,0,0,
Santiago Arias,COL,DF,Atlético Madrid,La Liga,27,1992,12.0,1,0,0,9,17,1,36,9,17,0,0,0,104,21,20,51.2
Nicolò Armini,ITA,DF,Lazio,Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Stuart Armstrong,SCO,MF,Southampton,Premier League,27,1992,19.1,4,0,0,26,22,4,14,9,25,0,0,0,169,10,29,25.6
José Arnaiz,ESP,MF,Leganés,La Liga,24,1995,3.7,2,0,0,10,7,1,10,2,3,0,0,0,33,1,5,16.7
José Arnaiz,ESP,FW,Osasuna,La Liga,24,1995,8.8,2,0,0,11,18,5,6,5,3,0,0,0,46,8,25,24.2
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,25,1994,31.3,8,0,0,52,76,0,63,23,35,0,0,0,350,23,20,53.5
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,24,1994,33.0,0,0,0,0,5,0,0,0,0,0,0,0,138,0,0,
Kwadwo Asamoah,GHA,DF,Inter,Serie A,30,1988,7.1,1,0,0,6,9,2,14,10,5,0,0,0,67,3,4,42.9
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,22,1997,7.0,2,0,0,11,5,0,1,8,22,0,0,0,99,7,11,38.9
Sergio Asenjo,ESP,GK,Villarreal,La Liga,30,1989,34.0,2,0,0,2,6,0,0,0,0,0,1,0,137,0,0,
Marco Asensio,ESP,FW,Real Madrid,La Liga,23,1996,3.7,0,0,0,3,4,1,9,2,4,0,0,0,19,3,5,37.5
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,18,2001,0.8,2,1,1,4,0,0,0,0,1,0,0,0,6,0,1,0.0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,31,1987,36.2,9,0,0,33,76,20,36,19,21,2,0,0,160,24,67,26.4
Roger Assalé,CIV,FW,Leganés,La Liga,25,1993,5.9,1,0,0,8,13,7,6,0,1,3,0,0,18,2,11,15.4
Youcef Atal,ALG,FW,Nice,Ligue 1,23,1996,11.1,5,0,0,14,28,4,31,17,17,1,1,0,70,14,9,60.9
Miguel Atienza,ESP,MF,Eibar,La Liga,20,1999,0.3,0,0,0,2,1,0,0,1,1,0,0,0,2,2,0,100.0
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,27,1992,8.3,2,0,0,12,11,4,15,7,9,0,0,0,50,7,12,36.8
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,30,1989,34.8,3,1,0,20,23,20,84,9,24,0,0,0,125,37,59,38.5
Emil Audero,ITA,GK,Sampdoria,Serie A,22,1997,36.0,1,0,0,0,5,0,0,0,0,0,0,1,140,0,0,
Tommaso Augello,ITA,DF,Sampdoria,Serie A,24,1994,12.6,2,0,0,5,5,1,65,8,13,0,0,0,119,15,5,75.0
Jean-Kévin Augustin,FRA,FW,Monaco,Ligue 1,22,1997,3.0,0,0,0,3,7,4,0,4,0,1,0,0,11,0,8,0.0
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,25,1994,10.3,2,0,0,19,12,1,35,8,18,0,0,0,85,21,15,58.3
Serge Aurier,CIV,DF,Tottenham,Premier League,26,1992,30.0,4,1,1,42,25,6,98,29,55,0,2,1,320,67,67,50.0
Mathias Autret,FRA,MF,Brest,Ligue 1,28,1991,13.6,3,0,0,18,9,0,30,10,11,0,0,0,90,5,15,25.0
Ezequiel Ávila,ARG,FW,Osasuna,La Liga,25,1994,17.7,6,0,0,48,43,24,28,4,16,1,0,0,88,47,82,36.4
Javier Avilés,ESP,MF,Leganés,La Liga,21,1997,2.0,1,0,0,5,2,2,12,1,3,0,0,0,16,2,5,28.6
Chidozie Awaziem,NGA,DF,Leganés,La Liga,22,1997,22.2,10,0,0,24,12,2,8,12,26,0,0,0,186,50,48,51.0
Taiwo Awoniyi,NGA,FW,Mainz 05,Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,2,0,1,0,27,12,24,33.3
Florian Ayé,FRA,FW,Brescia,Serie A,22,1997,15.3,4,1,1,20,22,5,5,2,13,1,0,0,69,48,62,43.6
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,27,1991,35.0,6,0,0,75,112,9,20,14,29,0,0,0,212,59,175,25.2
Kaan Ayhan,TUR,DF,Düsseldorf,Bundesliga,24,1994,30.3,10,0,0,38,21,3,17,37,33,0,1,0,283,43,53,44.8
Ramon Azeez,NGA,MF,Granada,La Liga,26,1992,15.1,3,0,0,31,20,1,3,15,14,0,0,0,128,19,28,40.4
César Azpilicueta,ESP,DF,Chelsea,Premier League,29,1989,35.9,1,0,0,45,17,3,110,39,61,0,0,0,380,94,60,61.0
Ludovic Baal,GUF,DF,Brest,Ligue 1,33,1986,9.2,1,0,0,8,16,1,20,14,21,0,1,0,112,21,13,61.8
Iddrisu Baba,GHA,MF,Mallorca,La Liga,23,1996,32.3,6,0,0,53,66,1,3,23,45,0,3,1,404,70,76,47.9
Khouma Babacar,SEN,FW,Lecce,Serie A,26,1993,15.8,4,0,0,34,35,7,4,2,9,3,0,0,64,26,63,29.2
Carlos Bacca,COL,FW,Villarreal,La Liga,32,1986,7.6,1,0,0,7,8,7,3,1,1,1,0,0,26,7,12,36.8
Milan Badelj,CRO,MF,Fiorentina,Serie A,30,1989,17.6,3,1,1,26,22,0,2,26,26,0,0,0,178,11,15,42.3
Matthias Bader,GER,DF,Köln,Bundesliga,22,1997,0.1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,18,2001,15.7,0,0,0,18,16,0,0,19,12,0,0,0,214,53,26,67.1
Bastian Badu,FRA,FW,Montpellier,Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50.0
Alex Baena,ESP,MF,Villarreal,La Liga,18,2001,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Stéphane Bahoken,CMR,FW,Angers,Ligue 1,27,1992,10.1,3,0,0,25,15,6,15,1,4,0,0,0,34,10,36,21.7
Daniel Baier,GER,MF,Augsburg,Bundesliga,35,1984,21.6,6,0,0,38,44,0,5,32,23,0,0,0,326,29,23,55.8
Leon Bailey,JAM,FW,Leverkusen,Bundesliga,21,1997,12.1,0,2,0,18,20,6,48,6,4,0,0,0,89,11,14,44.0
Eric Bailly,CIV,DF,Manchester Utd,Premier League,25,1994,1.7,0,0,0,2,0,0,0,2,0,0,1,0,22,6,1,85.7
Dénys Bain,FRA,DF,Brest,Ligue 1,26,1993,14.1,3,1,0,8,6,1,0,16,19,0,0,0,88,38,15,71.7
Leighton Baines,ENG,DF,Everton,Premier League,34,1984,4.5,0,0,0,2,3,0,12,2,6,0,0,0,29,6,6,50.0
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,17,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Tiemoué Bakayoko,FRA,MF,Monaco,Ligue 1,24,1994,19.1,4,1,0,39,65,0,14,28,49,0,0,0,192,25,15,62.5
Lewis Baker,ENG,MF,Düsseldorf,Bundesliga,24,1995,6.1,1,0,0,11,8,0,2,4,4,0,0,1,56,3,2,60.0
Mitchel Bakker,NED,DF,Paris S-G,Ligue 1,19,2000,1.0,1,0,0,1,0,0,0,0,3,0,0,0,5,0,1,0.0
Ridle Baku,GER,DF,Mainz 05,Bundesliga,21,1998,26.1,5,1,0,31,43,2,68,36,35,0,0,0,285,23,37,38.3
Fabián Balbuena,PAR,DF,West Ham,Premier League,27,1991,13.1,2,0,0,7,2,0,1,15,11,0,0,0,142,46,28,62.2
Keita Baldé,SEN,FW,Monaco,Ligue 1,24,1995,9.5,4,0,0,13,18,5,14,3,8,1,0,0,46,27,34,44.3
George Baldock,GRE,DF,Sheffield Utd,Premier League,26,1993,38.0,7,0,0,53,44,11,96,30,45,1,0,0,303,37,55,40.2
Gareth Bale,WAL,FW,Real Madrid,La Liga,30,1989,12.1,4,1,1,18,12,5,51,4,7,0,0,0,42,22,12,64.7
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,31,1988,6.3,1,0,0,7,3,0,6,4,5,0,0,0,64,11,2,84.6
Leonardo Balerdi,ARG,DF,Dortmund,Bundesliga,20,1999,1.5,1,0,0,1,0,0,0,5,1,0,0,0,18,1,3,25.0
Marco Ballarini,ITA,MF,Udinese,Serie A,18,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Fodé Ballo-Touré,SEN,DF,Monaco,Ligue 1,22,1997,18.7,4,0,0,21,22,4,51,22,24,0,1,1,134,17,9,65.4
Florent Balmont,FRA,MF,Dijon,Ligue 1,39,1980,4.5,1,0,0,5,10,0,3,2,9,0,0,0,56,1,4,20.0
Mario Balotelli,ITA,FW,Brescia,Serie A,28,1990,15.6,6,1,0,35,55,7,12,5,2,0,0,0,64,36,32,52.9
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,29,1990,6.2,2,0,0,4,1,0,13,2,6,0,0,0,45,5,5,50.0
Jonathan Bamba,FRA,FW,Lille,Ligue 1,23,1996,21.5,1,0,0,15,54,5,22,14,10,2,0,0,178,8,13,38.1
Éver Banega,ARG,MF,Sevilla,La Liga,31,1988,27.5,10,0,0,35,63,2,45,14,30,0,0,0,256,15,20,42.9
Mattia Bani,ITA,DF,Bologna,Serie A,25,1993,24.5,13,1,1,46,38,1,4,28,33,0,1,0,233,102,65,61.1
Antonín Barák,CZE,MF,Udinese,Serie A,24,1994,2.2,1,0,0,9,4,0,2,0,1,0,0,0,23,3,0,100.0
Antonín Barák,CZE,MF,Lecce,Serie A,24,1994,15.2,0,0,0,18,9,2,17,3,18,0,0,0,115,18,28,39.1
Federico Barba,ITA,DF,Valladolid,La Liga,25,1993,5.0,3,0,0,8,3,0,5,5,8,0,0,0,31,7,2,77.8
Danilo Barbosa,BRA,DF,Nice,Ligue 1,23,1996,12.5,4,0,0,17,20,0,3,9,15,0,0,0,97,14,16,46.7
Melvin Bard,FRA,DF,Lyon,Ligue 1,18,2000,0.5,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,100.0
Enis Bardhi,MKD,MF,Levante,La Liga,24,1995,23.5,5,0,0,56,58,4,24,15,27,1,0,0,156,3,30,9.1
Phil Bardsley,SCO,DF,Burnley,Premier League,34,1985,21.0,6,0,0,42,15,0,20,15,33,0,0,0,197,33,26,55.9
