Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,0,0,0,9,14,2,44,23,32,0,0,1,243,12,17,41.4
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,7,0,0,34,51,3,54,20,36,1,0,0,281,23,42,35.4
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,0,0,0,24,18,0,1,24,37,0,1,0,226,86,42,67.2
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,1,0,0,1,0,3,7,1,1,0,0,0,15,6,11,35.3
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,5,0,0,57,48,1,18,17,41,0,1,0,194,14,19,42.4
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,2,0,0,17,11,7,4,4,8,1,0,0,25,27,39,40.9
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,2,1,0,15,13,0,5,16,22,0,0,0,224,51,32,61.4
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,2,0,0,20,30,23,10,5,10,1,0,1,95,67,109,38.1
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,3,0,0,20,14,0,5,8,13,0,0,0,84,12,9,57.1
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,4,0,0,30,41,5,24,28,33,1,0,0,357,72,35,67.3
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,0,0,0,20,23,10,12,3,6,1,0,0,73,29,86,25.2
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,0,0,0,9,15,0,9,7,12,0,0,0,106,10,16,38.5
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,1,0,0,12,10,7,6,3,4,1,0,0,47,14,40,25.9
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,1,0,0,3,3,1,1,2,3,0,0,0,10,1,6,14.3
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,0,0,0,4,2,1,2,3,3,0,0,0,12,4,2,66.7
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,1,0,0,2,0,0,1,1,0,0,0,0,4,1,1,50.0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,3,0,0,17,22,0,11,9,18,0,0,0,85,9,14,39.1
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,1,0,0,0,2,0,0,0,0,0,0,0,47,0,0,
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,3,0,0,8,1,0,1,0,1,0,0,0,7,20,6,76.9
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,5,1,1,13,9,0,54,11,23,0,0,0,205,14,15,48.3
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,5,1,0,41,21,1,30,9,22,0,1,0,207,23,20,53.5
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,1,0,0,2,0,0,1,1,3,0,0,0,10,1,0,100.0
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,0,0,0,3,1,0,0,0,1,0,0,0,11,0,2,0.0
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,5,1,1,24,12,1,10,6,18,0,1,0,55,4,6,40.0
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,2,0,0,12,6,0,0,10,11,0,0,0,94,41,13,75.9
