Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,0,0,0,0,0,0.0,0.01,0.0,+0.04,1,3,33.3,5,1,40.0,44.0,1,100.0,67.0,2,0,0.0,1,3.60,14.7
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,10,0,1,1,0,9.0,0.32,-1.0,-0.10,60,142,42.3,246,49,44.3,38.3,68,48.5,40.2,91,8,8.8,7,0.72,13.0
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,10.0,17,0,0,3,1,13.1,0.29,-2.9,-0.29,61,145,42.1,246,54,37.8,35.8,81,64.2,49.2,91,8,8.8,5,0.50,14.0
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,3.1,4,0,0,0,0,2.0,0.18,-2.0,-0.66,11,32,34.4,51,8,45.1,37.0,24,37.5,32.8,38,2,5.3,4,1.29,16.3
Alisson,BRA,GK,Liverpool,Premier League,26,1992,28.3,23,1,0,1,1,22.6,0.28,+0.6,+0.02,138,255,54.1,755,132,24.9,31.7,170,39.4,38.8,197,16,8.1,37,1.31,17.5
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,2.0,1,0,0,0,0,1.1,0.28,+0.1,+0.06,8,22,36.4,34,5,32.4,35.6,19,57.9,43.0,24,2,8.3,0,0.00,16.5
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,5.9,16,0,1,1,0,13.0,0.29,-3.0,-0.50,33,66,50.0,97,45,33.0,35.4,66,51.5,43.5,56,1,1.8,2,0.34,12.5
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13.0,16,0,0,1,1,13.1,0.26,-1.9,-0.15,100,188,53.2,358,58,32.7,32.9,100,71.0,48.5,105,13,12.4,12,0.92,15.8
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3.0,2,0,0,0,0,1.8,0.46,-0.2,-0.05,3,4,75.0,48,9,4.2,20.0,10,20.0,24.5,15,0,0.0,6,2.00,23.8
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4.0,5,2,0,1,0,4.8,0.27,-0.2,-0.06,16,36,44.4,106,26,18.9,28.5,29,55.2,42.5,39,1,2.6,5,1.25,14.2
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,24,1994,33.0,47,2,2,8,2,35.5,0.35,-9.5,-0.29,142,333,42.6,887,145,28.2,31.8,199,41.7,39.1,238,18,7.6,21,0.64,15.9
Sergio Asenjo,ESP,GK,Villarreal,La Liga,30,1989,34.0,41,5,0,8,1,39.4,0.24,-0.6,-0.02,166,451,36.8,759,150,39.3,37.2,280,54.6,44.8,354,20,5.6,18,0.53,13.9
Emil Audero,ITA,GK,Sampdoria,Serie A,22,1997,36.0,60,7,0,11,4,52.8,0.29,-3.2,-0.09,203,558,36.4,748,130,50.1,41.5,289,63.3,46.8,399,32,8.0,19,0.53,14.2
Stefan Bajic,FRA,GK,Saint-Étienne,Ligue 1,17,2001,1.0,1,0,0,0,0,0.4,0.20,-0.6,-0.60,3,3,100.0,11,4,0.0,21.1,8,37.5,34.4,6,0,0.0,2,2.00,20.3
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,29,1990,30.0,49,5,0,4,2,42.6,0.26,-4.4,-0.15,163,436,37.4,1038,181,32.0,32.7,265,39.2,36.7,309,16,5.2,33,1.10,15.3
Asmir Begović,BIH,GK,Milan,Serie A,32,1987,1.4,3,1,0,0,0,3.2,0.41,+0.2,+0.13,4,11,36.4,24,5,33.3,32.8,12,25.0,32.3,8,0,0.0,0,0.00,15.5
Walter Benítez,ARG,GK,Nice,Ligue 1,26,1993,26.0,36,4,0,7,2,44.8,0.32,+10.8,+0.41,87,203,42.9,573,132,22.7,27.6,212,34.4,33.9,256,18,7.0,9,0.35,14.0
Etrit Berisha,ALB,GK,SPAL,Serie A,30,1989,26.0,41,6,1,2,2,44.1,0.28,+2.1,+0.08,196,440,44.5,650,136,46.0,37.4,234,60.3,45.9,275,21,7.6,14,0.54,13.6
Paul Bernardoni,FRA,GK,Nîmes,Ligue 1,22,1997,24.5,38,4,0,3,1,33.2,0.31,-3.8,-0.16,134,407,32.9,529,77,51.2,42.4,176,77.3,55.4,166,14,8.4,14,0.57,15.2
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,21,1998,2.2,3,0,0,1,0,1.6,0.26,-1.4,-0.66,15,23,65.2,49,19,32.7,31.5,18,38.9,39.4,13,1,7.7,2,0.92,14.3
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,24,1995,32.9,43,5,3,3,0,40.8,0.29,-2.2,-0.07,213,573,37.2,696,121,53.9,42.5,294,67.3,52.9,335,21,6.3,10,0.30,14.2
Yassine Bounou,MAR,GK,Sevilla,La Liga,28,1991,5.5,3,1,0,0,0,3.8,0.16,+0.8,+0.15,42,84,50.0,125,24,41.6,36.4,45,71.1,51.2,40,3,7.5,2,0.36,15.5
Federico Brancolini,ITA,GK,Fiorentina,Serie A,18,2001,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,2,0,0.0,27.5,1,100.0,67.0,0,0,,0,0.00,21.0
Claudio Bravo,CHI,GK,Manchester City,Premier League,36,1983,3.9,7,0,0,0,0,4.2,0.28,-2.8,-0.72,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,35,3,8.6,1,0.26,12.4
Gianluigi Buffon,ITA,GK,Juventus,Serie A,41,1978,9.0,10,1,0,2,0,7.6,0.21,-2.4,-0.26,22,38,57.9,157,40,17.8,27.4,55,18.2,22.9,76,1,1.3,7,0.78,16.4
Marcin Bułka,POL,GK,Paris S-G,Ligue 1,19,1999,1.0,0,0,0,0,0,0.2,0.10,+0.2,+0.21,0,0,,12,3,0.0,18.6,6,0.0,23.5,5,0,0.0,0,0.00,6.5
Roman Bürki,SUI,GK,Dortmund,Bundesliga,28,1990,30.8,40,3,0,8,3,35.3,0.37,-1.7,-0.06,116,320,36.3,843,181,29.8,32.8,204,33.8,34.3,221,15,6.8,27,0.88,14.8
Ludovic Butelle,FRA,GK,Angers,Ligue 1,36,1983,26.0,32,3,1,1,1,24.5,0.28,-6.5,-0.25,149,384,38.8,493,114,47.5,39.8,203,73.9,52.5,185,15,8.1,21,0.81,14.9
Willy Caballero,ARG,GK,Chelsea,Premier League,37,1981,5.0,7,0,0,3,1,5.9,0.37,-0.1,-0.02,32,74,43.2,137,15,45.3,35.8,28,42.9,36.8,20,0,0.0,2,0.40,12.4
Matis Carvalho,POR,GK,Montpellier,Ligue 1,20,1999,0.8,4,0,0,1,1,1.9,0.24,-1.1,-1.43,2,16,12.5,18,3,55.6,49.2,9,66.7,50.0,3,1,33.3,0,0.00,15.5
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,27,1992,26.0,38,4,1,5,0,36.6,0.33,-1.4,-0.05,227,485,46.8,807,123,47.0,40.1,178,59.6,48.7,218,18,8.3,24,0.92,15.5
Churripi,ESP,GK,Valladolid,La Liga,25,1994,2.7,3,0,0,2,0,3.1,0.24,+0.1,+0.04,18,80,22.5,75,11,78.7,55.3,24,87.5,67.6,25,3,12.0,3,1.11,13.7
Jasper Cillessen,NED,GK,Valencia,La Liga,30,1989,23.3,30,6,2,3,1,27.9,0.22,-1.1,-0.05,140,413,33.9,553,133,48.5,39.4,206,70.4,56.3,264,21,8.0,12,0.52,12.8
Yannis Clementia,MTQ,GK,Nice,Ligue 1,22,1997,2.0,2,1,0,0,0,1.9,0.19,-0.1,-0.03,3,23,13.0,47,16,29.8,33.3,14,64.3,50.6,28,0,0.0,0,0.00,10.8
Simone Colombi,ITA,GK,Parma,Serie A,28,1991,4.0,4,1,0,0,0,4.0,0.19,0.0,0.00,11,24,45.8,59,16,27.1,31.1,39,20.5,24.6,33,2,6.1,0,0.00,11.7
Andrea Consigli,ITA,GK,Sassuolo,Serie A,32,1987,31.0,55,7,1,9,3,49.6,0.32,-2.4,-0.08,141,339,41.6,789,136,34.2,32.7,206,33.5,29.9,291,25,8.6,20,0.65,14.9
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,35,1983,1.0,1,0,0,0,0,0.9,0.46,-0.1,-0.08,2,4,50.0,24,4,16.7,28.1,4,0.0,17.5,3,0,0.0,1,1.00,18.8
