Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,32,1987,28.0,34,2,0,4,1,31.3,0.27,-1.7,-0.06,207,446,46.4,642,96,48.0,38.8,244,56.6,43.7,273,16,5.9,16,0.57,14.5
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,27,1992,34.0,20,0,0,4,0,22.8,0.25,+2.8,+0.08,90,311,28.9,865,200,26.1,33.0,219,38.8,40.3,285,25,8.8,22,0.65,14.7
Alessio Cragno,ITA,GK,Cagliari,Serie A,25,1994,16.0,21,1,0,2,1,23.6,0.26,+3.6,+0.23,87,251,34.7,318,67,51.6,40.7,157,55.4,43.0,176,14,8.0,5,0.31,11.5
Iván Cuéllar,ESP,GK,Leganés,La Liga,35,1984,27.0,33,1,1,8,0,29.5,0.29,-3.5,-0.13,230,623,36.9,605,108,69.9,52.1,218,91.7,67.8,272,32,11.8,34,1.26,16.0
Paul Delecroix,FRA,GK,Metz,Ligue 1,30,1988,1.5,4,1,0,0,0,2.6,0.32,-1.4,-0.95,15,32,46.9,33,4,72.7,49.7,11,72.7,57.4,6,1,16.7,2,1.33,16.3
Lucas Dias,FRA,GK,Nîmes,Ligue 1,20,1999,3.5,6,0,1,2,0,6.5,0.39,+0.5,+0.15,27,72,37.5,58,5,62.1,45.9,39,92.3,62.9,37,2,5.4,3,0.85,14.0
Marko Dmitrović,SRB,GK,Eibar,La Liga,27,1992,35.0,51,4,2,3,1,44.0,0.36,-6.0,-0.17,273,842,32.4,817,91,74.1,58.3,245,96.7,76.4,275,20,7.3,47,1.34,17.4
Jaume Doménech,ESP,GK,Valencia,La Liga,28,1990,14.7,23,1,1,4,0,22.7,0.28,-0.3,-0.02,106,255,41.6,325,61,48.3,38.8,132,74.2,53.9,178,7,3.9,6,0.41,12.8
Gianluigi Donnarumma,ITA,GK,Milan,Serie A,20,1999,35.6,42,4,0,7,1,45.6,0.29,+4.6,+0.13,222,469,47.3,882,172,38.4,34.4,260,50.0,39.0,304,29,9.5,20,0.56,14.6
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,21,1997,31.0,43,6,2,6,0,43.1,0.29,+0.1,0.00,138,380,36.3,682,195,39.9,37.0,222,48.6,42.1,287,19,6.6,14,0.45,12.6
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,30,1989,38.0,58,2,2,11,2,65.8,0.34,+9.8,+0.26,295,778,37.9,756,121,63.6,48.4,337,88.1,64.4,384,20,5.2,14,0.37,12.2
Ederson,BRA,GK,Manchester City,Premier League,25,1993,34.1,28,3,1,4,1,29.5,0.30,+2.5,+0.07,126,247,51.0,925,161,21.7,29.7,139,33.1,35.0,173,12,6.9,39,1.14,17.7
Aarón Escandell,ESP,GK,Granada,La Liga,23,1995,3.0,3,0,0,0,0,2.6,0.20,-0.4,-0.14,30,81,37.0,103,21,64.1,48.8,25,60.0,50.6,30,2,6.7,3,1.00,13.6
Łukasz Fabiański,POL,GK,West Ham,Premier League,34,1985,23.5,34,3,1,2,2,30.3,0.28,-1.7,-0.07,220,506,43.5,478,90,68.8,49.8,194,91.2,63.9,239,10,4.2,5,0.21,11.5
Fabricio,ESP,GK,Mallorca,La Liga,31,1987,1.0,3,2,0,1,0,1.7,0.15,-1.3,-1.31,8,17,47.1,24,6,50.0,41.0,9,55.6,47.3,5,0,0.0,1,1.00,15.3
Ralf Fährmann,GER,GK,Norwich City,Premier League,30,1988,0.2,1,1,0,0,0,1.1,0.08,+0.1,+0.29,1,3,33.3,7,2,42.9,29.9,3,0.0,15.3,4,0,0.0,0,0.00,7.0
Wladimiro Falcone,ITA,GK,Sampdoria,Serie A,24,1995,2.0,5,1,0,0,0,5.5,0.36,+0.5,+0.23,8,29,27.6,43,11,39.5,32.6,18,66.7,47.9,15,0,0.0,1,0.50,13.8
Aitor Fernández,ESP,GK,Levante,La Liga,28,1991,36.0,51,3,1,8,2,57.1,0.27,+8.1,+0.23,204,553,36.9,781,186,50.1,41.7,337,48.1,41.4,382,25,6.5,29,0.81,14.0
Andrés Fernández,ESP,GK,Villarreal,La Liga,32,1986,4.0,8,3,0,2,1,7.0,0.27,0.0,+0.01,23,55,41.8,108,15,31.5,30.9,44,47.7,40.4,46,2,4.3,1,0.25,11.9
Mark Flekken,NED,GK,Freiburg,Bundesliga,26,1993,10.0,14,0,0,1,0,16.4,0.22,+2.4,+0.24,82,206,39.8,324,41,43.8,40.1,111,57.7,51.5,93,3,3.2,2,0.20,12.5
Ben Foster,ENG,GK,Watford,Premier League,36,1983,38.0,64,8,3,7,3,58.3,0.31,-2.7,-0.07,322,975,33.0,909,121,77.4,54.3,292,92.8,67.6,367,37,10.1,44,1.16,15.6
Daniel Fuzato,BRA,GK,Roma,Serie A,22,1997,1.0,1,0,0,1,0,0.9,0.43,-0.1,-0.14,4,16,25.0,34,4,35.3,35.0,10,40.0,36.2,8,1,12.5,0,0.00,10.2
Gabriel,BRA,GK,Lecce,Serie A,26,1992,33.3,76,10,1,12,3,80.9,0.34,+7.9,+0.24,147,354,41.5,653,194,36.1,34.9,326,36.2,31.8,382,21,5.5,12,0.36,13.6
Paulo Gazzaniga,ARG,GK,Tottenham,Premier League,27,1992,17.9,26,3,1,2,1,25.4,0.29,+0.4,+0.02,81,273,29.7,376,58,45.7,38.9,140,72.1,58.0,168,9,5.4,12,0.67,14.2
David de Gea,ESP,GK,Manchester Utd,Premier League,28,1990,38.0,36,3,1,8,1,37.1,0.28,+2.1,+0.05,120,311,38.6,669,148,33.8,34.3,265,32.1,33.9,285,15,5.3,11,0.29,13.3
Rafał Gikiewicz,POL,GK,Union Berlin,Bundesliga,31,1987,33.0,54,3,0,9,1,50.3,0.30,-2.7,-0.08,412,890,46.3,1087,124,61.5,47.4,269,82.2,60.7,295,28,9.5,23,0.70,15.3
Mauro Goicoechea,URU,GK,Toulouse,Ligue 1,31,1988,2.0,5,0,0,0,0,4.4,0.34,-0.6,-0.32,21,48,43.8,44,4,70.5,46.4,20,85.0,51.8,14,0,0.0,1,0.50,17.4
Pierluigi Gollini,ITA,GK,Atalanta,Serie A,24,1995,32.0,42,6,2,4,3,34.6,0.27,-4.4,-0.14,188,422,44.5,758,171,37.1,37.0,210,67.1,52.5,207,15,7.2,37,1.15,15.7
Alfred Gomis,SEN,GK,Dijon,Ligue 1,25,1993,18.0,20,1,2,2,1,22.3,0.26,+3.3,+0.18,169,377,44.8,563,112,47.4,39.8,168,65.5,48.1,191,27,14.1,5,0.28,12.9
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,32,1987,35.0,42,0,0,5,2,46.8,0.33,+6.8,+0.19,225,674,33.4,780,163,57.4,44.3,273,82.8,61.9,331,30,9.1,16,0.46,13.0
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,29,1990,32.0,34,2,0,8,0,38.1,0.32,+4.1,+0.13,165,398,41.5,1042,183,30.5,33.1,226,35.4,35.2,243,19,7.8,48,1.50,17.2
Angus Gunn,ENG,GK,Southampton,Premier League,23,1996,10.0,25,2,1,1,0,18.3,0.31,-6.7,-0.67,46,190,24.2,177,24,68.9,50.4,79,86.1,60.4,81,6,7.4,8,0.80,16.4
Régis Gurtner,FRA,GK,Amiens,Ligue 1,32,1986,28.0,50,1,1,13,1,41.1,0.29,-7.9,-0.28,231,521,44.3,567,95,55.7,43.6,254,80.7,55.4,269,15,5.6,11,0.39,13.7
Samir Handanović,SVN,GK,Inter,Serie A,35,1984,35.0,32,2,0,4,1,32.5,0.28,+1.5,+0.04,148,284,52.1,850,187,24.2,29.4,264,29.5,30.3,334,21,6.3,12,0.34,12.0
Tom Heaton,ENG,GK,Aston Villa,Premier League,33,1986,19.9,35,3,1,7,1,32.6,0.31,-1.4,-0.07,129,384,33.6,418,95,57.7,45.9,196,73.0,56.5,225,17,7.6,8,0.40,11.7
Dean Henderson,ENG,GK,Sheffield Utd,Premier League,22,1997,36.0,33,1,0,2,0,38.2,0.30,+5.2,+0.14,252,853,29.5,777,99,77.7,58.7,258,96.5,75.7,291,23,7.9,17,0.47,13.8
Wayne Hennessey,WAL,GK,Crystal Palace,Premier League,32,1987,3.0,8,0,1,2,0,8.8,0.40,+0.8,+0.28,31,88,35.2,64,6,82.8,56.2,39,89.7,67.2,35,3,8.6,1,0.33,14.7
Sergio Herrera,ESP,GK,Osasuna,La Liga,26,1993,18.4,27,1,2,4,0,27.6,0.34,+0.6,+0.03,175,482,36.3,464,72,74.6,52.9,148,91.9,64.4,156,16,10.3,21,1.14,15.9
Iago Herrerín,ESP,GK,Athletic Club,La Liga,31,1988,4.7,9,0,1,1,0,6.3,0.36,-2.7,-0.57,44,110,40.0,139,28,61.9,46.4,30,80.0,58.3,41,6,14.6,0,0.00,10.5
Marwin Hitz,SUI,GK,Dortmund,Bundesliga,31,1987,3.2,1,0,0,0,0,3.5,0.50,+2.5,+0.78,9,24,37.5,75,14,20.0,31.0,25,36.0,39.8,21,2,9.5,4,1.24,17.5
Timo Horn,GER,GK,Köln,Bundesliga,26,1993,34.0,69,4,1,11,2,52.9,0.32,-14.1,-0.42,311,630,49.4,892,99,53.9,42.2,298,50.0,40.7,271,18,6.6,14,0.41,14.1
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,29,1989,34.0,44,2,1,6,0,49.0,0.35,+5.0,+0.15,261,604,43.2,1362,205,37.0,35.7,234,42.7,38.9,219,21,9.6,28,0.82,15.8
Jannik Huth,GER,GK,Paderborn 07,Bundesliga,25,1994,6.0,17,1,0,1,0,12.3,0.36,-4.7,-0.79,34,83,41.0,205,37,33.7,34.0,49,28.6,33.3,45,4,8.9,4,0.67,15.8
Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,34,1984,28.3,46,7,3,6,2,38.7,0.25,-5.3,-0.19,290,620,46.8,786,122,57.6,43.1,221,75.6,53.4,281,27,9.6,16,0.57,12.9
Jesse Joronen,FIN,GK,Brescia,Serie A,26,1993,29.0,59,9,0,9,3,61.0,0.31,+5.0,+0.17,161,422,38.2,573,160,49.7,41.6,276,49.6,42.0,356,27,7.6,10,0.34,13.0
Lovre Kalinić,CRO,GK,Toulouse,Ligue 1,29,1990,3.4,4,0,0,1,0,2.9,0.21,-1.1,-0.31,25,86,29.1,81,13,64.2,48.3,38,89.5,61.1,46,8,17.4,2,0.59,16.8
Stefanos Kapino,GRE,GK,Werder Bremen,Bundesliga,25,1994,1.0,2,0,0,0,0,1.4,0.29,-0.6,-0.57,9,18,50.0,25,8,48.0,40.0,9,66.7,45.6,19,0,0.0,1,1.00,13.4
Florian Kastenmeier,GER,GK,Düsseldorf,Bundesliga,22,1997,17.0,31,2,0,3,3,24.4,0.30,-3.6,-0.21,140,330,42.4,519,56,51.1,42.5,111,58.6,48.3,105,4,3.8,14,0.82,15.5
Tomáš Koubek,CZE,GK,Augsburg,Bundesliga,26,1992,24.0,51,0,0,4,2,45.0,0.37,-4.0,-0.17,162,494,32.8,628,103,54.1,45.2,212,72.6,57.2,230,15,6.5,22,0.92,15.4
Thomas Kraft,GER,GK,Hertha BSC,Bundesliga,31,1988,4.0,9,0,0,2,0,7.1,0.35,-1.9,-0.48,38,88,43.2,96,15,64.6,45.4,33,78.8,55.3,44,2,4.5,4,1.00,17.2
Tim Krul,NED,GK,Norwich City,Premier League,31,1988,36.0,68,3,1,13,3,64.9,0.32,-0.1,0.00,261,733,35.6,1217,178,45.1,39.8,333,55.3,45.1,383,28,7.3,17,0.47,14.0
Alban Lafont,FRA,GK,Nantes,Ligue 1,20,1999,27.0,29,3,0,3,0,25.3,0.24,-3.7,-0.14,165,481,34.3,697,131,48.2,40.8,187,77.5,55.3,223,15,6.7,23,0.85,15.9
Gautier Larsonneur,FRA,GK,Brest,Ligue 1,22,1997,26.6,34,3,0,5,0,41.6,0.30,+7.6,+0.29,179,448,40.0,793,143,43.3,39.2,235,44.7,38.9,305,27,8.9,19,0.71,14.4
Benjamin Lecomte,FRA,GK,Monaco,Ligue 1,28,1991,28.0,44,6,0,8,1,41.1,0.28,-1.9,-0.07,175,378,46.3,639,136,39.9,36.6,209,58.9,45.1,250,26,10.4,12,0.43,14.3
Nicolas Lemaître,FRA,GK,Reims,Ligue 1,22,1997,1.0,3,1,0,1,0,2.2,0.45,-0.8,-0.80,3,8,37.5,19,4,21.1,24.6,8,50.0,37.5,5,0,0.0,0,0.00,11.0
Bernd Leno,GER,GK,Arsenal,Premier League,27,1992,29.4,39,6,0,6,0,45.1,0.27,+6.1,+0.21,90,320,28.1,739,174,28.1,31.9,251,44.6,40.0,273,18,6.6,18,0.61,13.5
Donovan Léon,GUF,GK,Brest,Ligue 1,26,1992,1.4,3,1,0,0,0,2.5,0.16,-0.5,-0.33,10,21,47.6,35,7,48.6,42.5,6,66.7,48.5,17,1,5.9,0,0.00,11.7
Karlo Letica,CRO,GK,SPAL,Serie A,22,1997,10.0,29,0,2,1,1,22.5,0.33,-5.5,-0.55,64,174,36.8,226,53,50.0,40.6,93,65.6,48.6,103,7,6.8,1,0.10,11.7
Hugo Lloris,FRA,GK,Tottenham,Premier League,32,1986,20.1,21,2,0,2,1,27.3,0.27,+7.3,+0.36,133,300,44.3,419,82,49.9,40.7,149,61.1,44.1,189,11,5.8,4,0.20,11.4
Anthony Lopes,POR,GK,Lyon,Ligue 1,28,1990,26.0,25,2,1,2,3,24.0,0.26,+2.0,+0.08,128,267,47.9,632,140,30.2,32.2,186,40.9,38.0,218,16,7.3,15,0.58,14.9
Diego López,ESP,GK,Espanyol,La Liga,37,1981,35.9,58,6,0,6,2,50.5,0.30,-5.5,-0.15,225,691,32.6,839,118,57.1,45.2,303,70.0,51.9,302,26,8.6,31,0.86,14.6
Pau López,ESP,GK,Roma,Serie A,24,1994,32.0,45,8,1,4,0,42.5,0.28,-2.5,-0.08,175,373,46.9,848,179,34.8,33.6,208,37.5,35.4,238,15,6.3,24,0.75,14.9
Andreas Luthe,GER,GK,Augsburg,Bundesliga,32,1987,10.0,12,0,0,0,1,14.0,0.42,+3.0,+0.30,71,190,37.4,328,50,43.6,39.3,91,51.6,43.0,113,12,10.6,4,0.40,13.2
Mike Maignan,FRA,GK,Lille,Ligue 1,24,1995,28.0,27,4,1,1,3,24.4,0.26,+0.4,+0.01,158,425,37.2,562,142,49.1,41.7,200,74.5,58.8,201,23,11.4,9,0.32,13.7
Steve Mandanda,FRA,GK,Marseille,Ligue 1,34,1985,26.3,27,4,0,2,3,26.7,0.27,+2.7,+0.10,139,401,34.7,706,134,44.5,40.0,142,61.3,48.3,192,15,7.8,17,0.65,14.4
Daniel Martín,ESP,GK,Betis,La Liga,21,1998,5.9,12,0,0,1,0,7.8,0.30,-4.2,-0.72,37,76,48.7,158,35,36.1,33.9,36,52.8,45.4,58,3,5.2,2,0.34,13.0
David Martin,ENG,GK,West Ham,Premier League,33,1986,4.8,6,0,0,1,0,7.8,0.39,+1.8,+0.38,39,106,36.8,80,10,80.0,55.3,44,95.5,65.4,55,1,1.8,0,0.00,9.0
Emiliano Martínez,ARG,GK,Arsenal,Premier League,26,1992,8.6,9,1,0,3,0,12.9,0.29,+3.9,+0.46,38,113,33.6,232,46,34.5,35.1,61,54.1,47.0,80,5,6.3,3,0.35,12.3
Jordi Masip,ESP,GK,Valladolid,La Liga,30,1989,35.0,39,6,2,3,0,45.2,0.33,+6.2,+0.18,246,750,32.8,717,118,66.2,48.3,337,81.6,59.0,369,17,4.6,11,0.31,11.8
Alex McCarthy,ENG,GK,Southampton,Premier League,29,1989,28.0,35,1,0,4,1,40.2,0.35,+6.2,+0.22,198,556,35.6,638,74,63.9,48.0,177,83.6,61.4,258,20,7.8,14,0.50,14.8
Michael McGovern,NIR,GK,Norwich City,Premier League,35,1984,1.8,6,0,0,0,0,4.9,0.36,-1.1,-0.62,9,29,31.0,37,10,54.1,38.4,14,64.3,45.8,16,0,0.0,1,0.57,15.3
Edouard Mendy,SEN,GK,Rennes,Ligue 1,27,1992,24.0,19,3,1,4,1,19.9,0.23,+1.9,+0.08,208,405,51.4,630,97,47.1,39.4,162,66.7,47.6,197,20,10.2,16,0.67,14.2
Alex Meret,ITA,GK,Napoli,Serie A,22,1997,21.7,33,5,0,3,1,27.7,0.29,-4.3,-0.20,49,133,36.8,464,85,23.7,28.1,137,16.8,24.4,153,8,5.2,6,0.28,12.1
Antonio Mirante,ITA,GK,Roma,Serie A,36,1983,5.0,5,1,0,0,0,5.7,0.25,+0.7,+0.14,26,56,46.4,143,31,35.0,32.8,29,20.7,30.3,50,4,8.0,4,0.80,13.3
Simon Moore,ENG,GK,Sheffield Utd,Premier League,29,1990,2.0,6,0,0,0,0,4.3,0.36,-1.7,-0.86,10,39,25.6,37,4,75.7,58.9,11,100.0,76.5,5,0,0.0,0,0.00,11.4
Jessy Moulin,FRA,GK,Saint-Étienne,Ligue 1,33,1986,5.0,4,2,0,0,0,7.5,0.30,+3.5,+0.70,28,97,28.9,134,30,53.7,43.5,42,59.5,47.0,39,3,7.7,2,0.40,14.4
Florian Müller,GER,GK,Mainz 05,Bundesliga,21,1997,12.5,25,2,2,2,0,23.1,0.33,-1.9,-0.15,88,215,40.9,363,77,38.3,36.6,119,63.9,50.2,116,8,6.9,14,1.12,16.1
Juan Musso,ARG,GK,Udinese,Serie A,25,1994,38.0,51,8,2,6,0,53.9,0.25,+2.9,+0.08,218,491,44.4,819,171,40.9,36.3,359,43.5,36.6,363,38,10.5,15,0.39,12.2
Yvon Mvogo,SUI,GK,RB Leipzig,Bundesliga,25,1994,2.0,3,0,0,0,0,1.7,0.34,-1.3,-0.64,7,18,38.9,69,9,21.7,29.7,10,30.0,29.4,13,1,7.7,2,1.00,16.1
Keylor Navas,CRC,GK,Paris S-G,Ligue 1,32,1986,21.0,18,0,0,0,1,15.5,0.24,-1.5,-0.07,67,132,50.8,406,76,24.4,30.9,138,23.9,29.7,111,7,6.3,7,0.33,14.0
Neto,BRA,GK,Barcelona,La Liga,30,1989,2.0,2,0,0,0,0,1.5,0.50,-0.5,-0.25,4,10,40.0,47,5,17.0,24.6,15,13.3,22.8,13,0,0.0,1,0.50,11.8
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,33,1986,33.0,31,3,0,6,1,32.5,0.27,+2.5,+0.08,218,370,58.9,1267,202,26.0,30.1,179,22.3,29.0,196,13,6.6,54,1.64,19.2
Moritz Nicolas,GER,GK,Union Berlin,Bundesliga,21,1997,1.0,4,0,0,1,0,2.9,0.36,-1.1,-1.15,8,20,40.0,29,0,55.2,44.7,7,57.1,48.9,4,0,0.0,1,1.00,13.7
