Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,51,32,33,16,2,22,54,40.7,32,267,74,27.7,159,71,37,57,13,1,44,23,74,67,3
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,64,36,40,17,7,21,45,46.7,24,487,132,27.1,283,142,62,100,30,2,70,20,84,86,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,61,37,43,16,2,14,28,50.0,14,299,111,37.1,189,97,13,43,19,0,24,24,85,166,1
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,1,1,1,0,0,1,3,33.3,2,25,9,36.0,10,10,5,3,1,0,2,1,2,2,0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,60,41,24,34,2,24,62,38.7,38,417,114,27.3,121,234,62,18,3,0,15,17,77,22,0
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,10,8,3,5,2,3,11,27.3,8,181,53,29.3,5,86,90,1,0,0,1,4,14,5,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,30,22,18,10,2,16,34,47.1,18,200,75,37.5,109,78,13,32,15,1,17,16,46,87,1
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,14,10,4,5,5,4,16,25.0,12,430,130,30.2,19,170,241,24,6,0,18,5,19,26,0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,23,13,11,11,1,7,17,41.2,10,164,41,25.0,68,82,14,19,3,0,16,8,31,15,1
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,52,33,36,10,6,13,26,50.0,13,320,115,35.9,213,81,26,61,30,0,31,28,80,165,2
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,8,6,2,4,2,0,5,0.0,5,231,58,25.1,9,97,125,10,1,0,9,3,11,10,0
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,23,12,13,8,2,9,30,30.0,21,194,60,30.9,79,88,27,22,1,0,21,7,30,16,0
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,10,4,2,5,3,4,24,16.7,20,209,45,21.5,33,93,83,5,1,0,4,3,13,5,0
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,4,3,0,4,0,1,5,20.0,4,60,10,16.7,4,37,19,0,0,0,0,2,6,1,0
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,5,3,2,2,1,0,2,0.0,2,50,12,24.0,28,11,11,5,3,0,2,3,8,9,0
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,0,0,0,0,0,0,3,0.0,3,17,4,23.5,6,10,1,0,0,0,0,1,1,0,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,27,18,6,15,6,10,31,32.3,21,328,86,26.2,72,166,90,11,0,0,11,9,36,4,0
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,1,1,0,1,0,0,0,,0,16,4,25.0,4,5,7,0,0,0,0,0,1,3,0
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,35,23,24,9,2,18,35,51.4,17,225,66,29.3,129,70,26,37,1,0,36,11,46,62,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,50,22,24,21,5,25,50,50.0,25,248,60,24.2,118,106,24,39,8,0,31,9,59,68,1
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,4,3,1,1,2,1,1,100.0,0,15,2,13.3,4,7,4,3,1,0,2,1,5,1,0
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,3,1,1,1,1,0,1,0.0,1,22,6,27.3,6,9,7,1,0,0,1,0,3,0,0
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,25,18,12,10,3,10,26,38.5,16,217,46,21.2,72,109,36,12,1,0,11,6,31,3,0
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,14,11,9,4,1,6,13,46.2,7,106,28,26.4,74,30,2,21,13,0,8,10,24,88,2
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,7,5,0,4,3,1,6,16.7,5,226,56,24.8,13,77,136,15,2,0,13,2,9,3,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,39,28,20,14,5,18,27,66.7,9,203,71,35.0,99,75,29,11,2,0,9,11,50,25,1
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,2,1,0,2,0,0,3,0.0,3,30,4,13.3,13,11,6,4,2,0,2,1,3,6,0
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,7.0,21,19,6,13,2,4,11,36.4,7,148,57,38.5,25,103,20,8,1,0,7,12,33,13,0
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,27.8,40,26,28,11,1,8,28,28.6,20,304,108,35.5,218,79,7,42,16,0,26,33,73,162,1
Ola Aina,NGA,DF,Torino,Serie A,22,1996,23.1,49,28,26,19,4,24,49,49.0,25,328,95,29.0,140,130,58,70,9,0,61,26,75,56,1
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,6.0,11,7,7,4,0,2,25,8.0,23,164,48,29.3,41,108,15,12,2,0,10,5,16,7,0
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,14.2,32,18,13,11,8,6,24,25.0,18,224,83,37.1,104,83,37,32,1,0,31,13,45,51,0
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,21,1,4.8,3,6,12,0,0,0,0,1,2,0,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,22.9,18,14,3,13,2,3,19,15.8,16,280,75,26.8,20,145,115,11,2,0,9,3,21,23,0
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,25.7,44,23,29,13,2,17,30,56.7,13,223,86,38.6,129,83,11,35,11,0,24,18,62,85,3
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,1.1,4,2,2,2,0,1,2,50.0,1,15,4,26.7,3,10,2,0,0,0,0,2,6,0,0
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,27.8,25,11,20,5,0,7,24,29.2,17,222,66,29.7,146,66,10,59,30,0,29,27,52,176,1
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,6.0,17,13,7,7,3,3,17,17.6,14,140,43,30.7,40,71,29,8,1,0,7,5,22,4,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,12.7,27,11,19,8,0,15,32,46.9,17,169,56,33.1,107,53,9,31,10,0,21,11,38,67,1
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,27,17,10,17,0,10,24,41.7,14,208,80,38.5,79,109,20,40,11,0,29,11,38,65,0
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,1998,15.6,49,30,28,12,9,25,49,51.0,24,250,78,31.2,124,81,45,23,2,0,21,18,67,35,2
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,1992,13.0,7,2,1,3,3,3,10,30.0,7,185,51,27.6,5,73,107,9,2,0,7,2,9,5,0
Jordi Alba,ESP,DF,Barcelona,La Liga,30,1989,24.3,25,14,10,9,6,8,30,26.7,22,231,68,29.4,89,95,47,40,5,0,35,25,50,42,1
Luis Alberto,ESP,MF,Lazio,Serie A,26,1992,34.6,52,34,24,22,6,22,91,24.2,69,677,202,29.8,188,323,166,43,1,0,42,16,68,16,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,33,1985,36.0,50,33,31,18,1,18,33,54.5,15,278,85,30.6,172,102,4,40,21,0,19,17,67,254,4
Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,9.6,23,11,11,11,1,7,29,24.1,22,191,65,34.0,46,94,51,18,1,0,17,9,32,7,0
