Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,21,1998,15.6,664,810,82.0,11884,4859,301,330,91.2,290,336,86.3,68,116,58.6,0,1.1,-1.1,13,48,13,6,64
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,26,1992,13.0,227,308,73.7,3353,375,132,177,74.6,60,75,80.0,18,24,75.0,1,2.2,-1.2,15,6,9,0,13
Jordi Alba,ESP,DF,Barcelona,La Liga,30,1989,24.3,1864,2141,87.1,30216,9516,976,1055,92.5,713,797,89.5,140,203,69.0,5,3.3,+1.7,28,125,38,18,141
Luis Alberto,ESP,MF,Lazio,Serie A,26,1992,34.6,1792,2264,79.2,33398,11824,767,874,87.8,748,871,85.9,237,431,55.0,15,10.7,+4.3,108,255,97,5,321
Raúl Albiol,ESP,DF,Villarreal,La Liga,33,1985,36.0,1619,1882,86.0,41784,12199,283,313,90.4,815,882,92.4,515,671,76.8,0,0.4,-0.4,5,95,5,1,78
Marc Albrighton,ENG,MF,Leicester City,Premier League,29,1989,9.6,344,507,67.9,6189,2444,176,207,85.0,116,154,75.3,46,115,40.0,3,2.0,+1.0,18,31,20,9,50
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,25,1993,5.9,84,112,75.0,1135,185,55,63,87.3,20,30,66.7,5,11,45.5,1,1.0,0.0,5,2,1,0,6
Paco Alcácer,ESP,FW,Villarreal,La Liga,25,1993,10.3,181,230,78.7,2575,372,112,133,84.2,54,66,81.8,9,17,52.9,1,1.6,-0.6,9,6,6,0,9
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,28,1991,19.7,1649,1840,89.6,34565,8766,550,607,90.6,767,818,93.8,302,364,83.0,0,1.0,-1.0,22,185,18,1,197
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,28,1991,21.4,831,1059,78.5,19154,4979,254,295,86.1,380,425,89.4,186,300,62.0,2,0.8,+1.2,14,95,4,1,72
Toby Alderweireld,BEL,DF,Tottenham,Premier League,30,1989,32.9,1567,1895,82.7,37304,9766,334,358,93.3,869,938,92.6,354,573,61.8,2,1.1,+0.9,11,130,16,1,87
Haitam Aleesami,NOR,DF,Amiens,Ligue 1,28,1991,21.3,910,1170,77.8,15007,6450,461,514,89.7,365,478,76.4,70,143,49.0,1,1.3,-0.3,13,66,12,6,98
Álex Alegría,ESP,FW,Mallorca,La Liga,26,1992,1.2,23,35,65.7,329,41,14,23,60.9,4,5,80.0,3,4,75.0,0,0.0,0.0,0,1,0,0,0
Carles Aleñá,ESP,MF,Betis,La Liga,21,1998,8.2,333,389,85.6,6534,1240,126,145,86.9,145,162,89.5,57,66,86.4,0,0.2,-0.2,4,44,4,1,32
Carles Aleñá,ESP,MF,Barcelona,La Liga,21,1998,1.9,143,156,91.7,2693,591,56,59,94.9,63,65,96.9,21,26,80.8,0,0.0,0.0,0,18,1,0,13
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,24,1995,10.0,237,327,72.5,7490,4995,34,35,97.1,107,109,98.2,95,182,52.2,0,0.1,-0.1,2,1,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,20,1998,35.3,2254,3147,71.6,49838,19993,761,850,89.5,1014,1275,79.5,446,902,49.4,13,10.0,+3.0,85,200,90,30,274
Enrico Alfonso,ITA,GK,Brescia,Serie A,31,1988,3.1,53,75,70.7,1492,856,12,12,100.0,19,19,100.0,22,44,50.0,0,0.0,0.0,0,0,0,0,0
Rachid Alioui,MAR,FW,Angers,Ligue 1,27,1992,17.4,342,467,73.2,5013,717,204,264,77.3,106,141,75.2,19,30,63.3,1,1.4,-0.4,18,22,9,1,24
Alisson,BRA,GK,Liverpool,Premier League,26,1992,28.3,794,925,85.8,22277,12306,150,150,100.0,352,356,98.9,290,417,69.5,1,0.5,+0.5,2,7,1,0,1
Allan,BRA,MF,Napoli,Serie A,28,1991,14.2,718,829,86.6,13383,3236,307,337,91.1,313,340,92.1,82,116,70.7,1,1.1,-0.1,16,76,9,1,58
Dele Alli,ENG,MF,Tottenham,Premier League,23,1996,20.5,621,805,77.1,10289,2384,314,375,83.7,241,283,85.2,51,88,58.0,4,2.0,+2.0,22,41,24,0,65
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,25,1994,33.6,682,894,76.3,10799,2574,368,426,86.4,242,306,79.1,50,98,51.0,2,1.6,+0.4,27,40,24,4,66
Marcos Alonso,ESP,DF,Chelsea,Premier League,28,1990,15.9,916,1108,82.7,16220,4972,394,442,89.1,426,495,86.1,84,133,63.2,2,2.2,-0.2,26,35,29,14,70
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,30,1989,15.3,500,716,69.8,9896,3680,191,224,85.3,223,289,77.2,82,177,46.3,1,0.3,+0.7,9,31,12,5,53
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,32,1986,2.0,39,53,73.6,1106,579,7,7,100.0,16,16,100.0,16,30,53.3,0,0.0,0.0,0,0,0,0,0
Sergio Álvarez,ESP,MF,Eibar,La Liga,27,1992,12.7,322,427,75.4,6679,1719,111,132,84.1,148,185,80.0,60,101,59.4,0,0.2,-0.2,7,45,2,1,32
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,24,1995,31.2,1149,1403,81.9,26108,8437,283,319,88.7,595,652,91.3,260,408,63.7,0,0.5,-0.5,3,72,8,3,84
Bruno Alves,POR,DF,Parma,Serie A,37,1981,29.7,1096,1312,83.5,30909,10181,130,156,83.3,556,621,89.5,403,518,77.8,0,0.5,-0.5,7,73,5,1,76
Steven Alzate,COL,MF,Brighton,Premier League,20,1998,13.2,564,664,84.9,8968,2602,292,326,89.6,233,268,86.9,28,42,66.7,0,0.7,-0.7,13,32,16,2,56
Ibrahim Amadou,FRA,MF,Leganés,La Liga,26,1993,8.6,231,292,79.1,3864,785,116,139,83.5,94,112,83.9,17,29,58.6,0,0.0,0.0,1,17,1,1,14
Ibrahim Amadou,FRA,DF,Norwich City,Premier League,26,1993,8.4,310,361,85.9,6355,1786,94,109,86.2,169,182,92.9,45,64,70.3,0,0.0,0.0,1,14,1,0,11
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,29,1989,18.8,700,892,78.5,14195,4187,262,301,87.0,301,360,83.6,125,199,62.8,1,0.8,+0.2,8,80,12,0,90
Amath,SEN,MF,Getafe,La Liga,23,1996,0.7,12,17,70.6,201,65,7,8,87.5,4,4,100.0,1,2,50.0,0,0.0,0.0,0,2,0,0,1
Jordan Amavi,FRA,DF,Marseille,Ligue 1,25,1994,24.0,983,1222,80.4,17629,6127,422,484,87.2,447,531,84.2,96,159,60.4,1,1.3,-0.3,14,46,15,8,74
Thierry Ambrose,GLP,FW,Metz,Ligue 1,22,1997,6.1,140,193,72.5,2513,752,66,83,79.5,56,74,75.7,15,25,60.0,0,0.6,-0.6,11,20,7,3,17
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,21,1998,18.1,551,669,82.4,9533,3668,259,279,92.8,224,254,88.2,54,105,51.4,2,0.4,+1.6,3,35,8,2,56
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,22,1996,20.6,906,1149,78.9,16088,4295,432,489,88.3,322,370,87.0,119,224,53.1,2,5.8,-3.8,54,73,22,6,95
Ethan Ampadu,WAL,DF,RB Leipzig,Bundesliga,18,2000,0.9,74,78,94.9,1495,445,19,20,95.0,42,44,95.5,10,11,90.9,0,0.0,0.0,0,5,0,0,1
Opoku Ampomah,GHA,FW,Düsseldorf,Bundesliga,23,1996,5.6,63,104,60.6,1201,337,34,47,72.3,18,30,60.0,11,20,55.0,0,0.3,-0.3,8,6,3,0,12
Sofyan Amrabat,MAR,MF,Hellas Verona,Serie A,22,1996,32.4,1525,1738,87.7,31613,6295,514,582,88.3,723,788,91.8,263,324,81.2,1,1.6,-0.6,30,151,33,9,141
Joachim Andersen,DEN,DF,Lyon,Ligue 1,23,1996,17.0,1192,1308,91.1,27963,7114,227,242,93.8,703,742,94.7,257,315,81.6,0,0.2,-0.2,4,57,3,1,65
Djavan Anderson,NED,DF,Lazio,Serie A,24,1995,1.9,58,68,85.3,1005,206,29,34,85.3,22,25,88.0,5,6,83.3,0,0.0,0.0,0,0,1,1,0
Felipe Anderson,BRA,MF,West Ham,Premier League,26,1993,16.6,725,934,77.6,12055,3505,397,469,84.6,235,299,78.6,72,103,69.9,4,3.1,+0.9,26,49,33,6,85
Sebastian Andersson,SWE,FW,Union Berlin,Bundesliga,28,1991,29.8,495,795,62.3,6727,1423,304,439,69.2,147,255,57.6,20,44,45.5,1,1.5,-0.5,20,46,13,4,47
Florin Andone,ROU,MF,Brighton,Premier League,26,1993,0.8,8,12,66.7,77,20,6,8,75.0,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,0
Benjamin André,FRA,MF,Lille,Ligue 1,28,1990,22.8,981,1239,79.2,17295,4178,462,534,86.5,379,464,81.7,112,173,64.7,1,1.1,-0.1,13,96,8,4,81
Lorenzo Andrenacci,ITA,GK,Brescia,Serie A,24,1995,5.9,128,163,78.5,4227,2624,15,15,100.0,58,58,100.0,55,90,61.1,0,0.0,0.0,0,0,0,0,0
Robert Andrich,GER,MF,Union Berlin,Bundesliga,24,1994,28.6,857,1204,71.2,15609,5436,357,457,78.1,369,486,75.9,103,199,51.8,2,2.1,-0.1,31,97,32,6,136
Victorien Angban,CIV,MF,Metz,Ligue 1,22,1996,11.4,548,622,88.1,10236,2280,226,250,90.4,243,264,92.0,68,90,75.6,0,0.0,0.0,3,43,2,0,43
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,29,1990,8.8,149,201,74.1,2142,370,84,108,77.8,47,63,74.6,9,17,52.9,0,0.6,-0.6,8,9,3,0,14
José Ángel,ESP,DF,Eibar,La Liga,29,1989,26.2,982,1464,67.1,21603,10114,310,373,83.1,459,580,79.1,194,458,42.4,1,2.5,-1.5,27,103,40,23,127
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,35,1984,13.0,363,458,79.3,11144,6643,45,46,97.8,170,171,99.4,147,240,61.3,0,0.0,0.0,0,2,0,0,0
Angeliño,ESP,DF,Manchester City,Premier League,22,1997,4.7,335,426,78.6,6063,1711,140,154,90.9,156,192,81.3,35,66,53.0,0,1.2,-1.2,9,33,14,7,39
Angeliño,ESP,DF,RB Leipzig,Bundesliga,22,1997,12.2,573,758,75.6,10452,3997,270,313,86.3,223,267,83.5,73,149,49.0,2,2.3,-0.3,20,50,23,10,66
Faustino Anjorin,ENG,FW,Chelsea,Premier League,17,2001,0.2,7,7,100.0,121,14,3,3,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,0
Peter Ankersen,DEN,DF,Genoa,Serie A,28,1990,11.8,501,607,82.5,8125,2994,265,292,90.8,200,238,84.0,29,56,51.8,1,0.7,+0.3,8,18,12,6,36
Cristian Ansaldi,ARG,DF,Torino,Serie A,32,1986,19.6,582,825,70.5,12736,4919,246,276,89.1,201,266,75.6,127,244,52.0,4,3.0,+1.0,32,47,47,35,63
Janis Antiste,FRA,MF,Toulouse,Ligue 1,16,2002,0.1,5,9,55.6,96,11,4,4,100.0,0,2,0.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1
Michail Antonio,JAM,FW,West Ham,Premier League,29,1990,19.6,325,507,64.1,5127,1295,183,232,78.9,96,154,62.3,31,66,47.0,3,2.7,+0.3,21,21,14,8,32
Antoñito,ESP,DF,Valladolid,La Liga,31,1987,11.4,321,452,71.0,5686,2457,137,167,82.0,145,189,76.7,33,82,40.2,0,1.6,-1.6,10,25,9,4,31
Mirko Antonucci,ITA,FW,Roma,Serie A,20,1999,0.9,17,22,77.3,211,23,13,17,76.5,4,4,100.0,0,1,0.0,0,0.0,0.0,0,2,0,0,0
Vitorino Antunes,POR,MF,Getafe,La Liga,32,1987,0.1,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
Christopher Antwi-Adjei,GHA,MF,Paderborn 07,Bundesliga,25,1994,27.4,603,846,71.3,10472,3402,291,365,79.7,237,305,77.7,61,124,49.2,2,3.1,-1.1,42,29,31,9,64
Anuar,MAR,MF,Valladolid,La Liga,24,1995,2.1,86,101,85.1,1525,254,36,40,90.0,41,48,85.4,7,10,70.0,0,0.0,0.0,0,6,1,0,4
Houssem Aouar,FRA,MF,Lyon,Ligue 1,21,1998,21.7,911,1076,84.7,15872,3590,461,517,89.2,343,387,88.6,98,134,73.1,4,3.0,+1.0,27,108,22,0,106
Adil Aouchiche,FRA,MF,Paris S-G,Ligue 1,17,2002,0.7,24,31,77.4,374,57,14,16,87.5,8,9,88.9,2,4,50.0,0,0.0,0.0,0,1,0,0,1
Dennis Appiah,FRA,DF,Nantes,Ligue 1,27,1992,17.8,744,964,77.2,11758,5492,405,464,87.3,291,351,82.9,39,109,35.8,0,0.3,-0.3,8,43,4,3,60
Mauro Arambarri,URU,MF,Getafe,La Liga,23,1995,34.1,649,972,66.8,14045,3442,214,301,71.1,268,368,72.8,146,250,58.4,1,1.6,-0.6,13,93,20,5,85
Guilherme Arana,BRA,DF,Atalanta,Serie A,22,1997,0.9,42,54,77.8,796,273,17,23,73.9,20,23,87.0,5,7,71.4,0,0.0,0.0,1,2,3,1,4
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,30,1989,23.5,1397,1627,85.9,25556,7833,602,658,91.5,607,675,89.9,169,246,68.7,3,1.8,+1.2,23,142,9,0,172
Luiz Araújo,BRA,FW,Lille,Ligue 1,23,1996,9.2,223,309,72.2,3737,840,103,128,80.5,83,116,71.6,25,38,65.8,1,1.8,-0.8,12,13,15,4,28
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,27,1991,32.1,1290,1482,87.0,28800,8280,274,299,91.6,787,861,91.4,218,299,72.9,2,0.2,+1.8,2,44,0,0,59
Ronald Araújo,URU,DF,Barcelona,La Liga,20,1999,2.6,197,208,94.7,3840,793,68,70,97.1,105,110,95.5,24,27,88.9,0,0.0,0.0,0,10,0,0,3
Anaitz Arbilla,ESP,DF,Eibar,La Liga,32,1987,22.3,870,1169,74.4,21846,6948,234,277,84.5,381,441,86.4,247,422,58.5,0,0.1,-0.1,4,101,10,5,83
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,26,1993,3.0,56,58,96.6,1130,742,14,14,100.0,32,32,100.0,7,9,77.8,0,0.0,0.0,0,0,0,0,0
Alphonse Areola,FRA,GK,Real Madrid,La Liga,26,1993,4.0,114,135,84.4,2998,1661,20,20,100.0,61,61,100.0,32,53,60.4,0,0.0,0.0,0,0,0,0,0
Santiago Arias,COL,DF,Atlético Madrid,La Liga,27,1992,12.0,498,653,76.3,8487,3889,223,255,87.5,231,282,81.9,36,91,39.6,1,1.1,-0.1,10,28,21,7,69
Nicolò Armini,ITA,DF,Lazio,Serie A,18,2001,0.0,2,2,100.0,26,6,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
Stuart Armstrong,SCO,MF,Southampton,Premier League,27,1992,19.1,466,612,76.1,7275,2375,255,301,84.7,157,199,78.9,37,63,58.7,3,1.1,+1.9,16,33,24,4,60
José Arnaiz,ESP,MF,Leganés,La Liga,24,1995,3.7,73,97,75.3,1185,391,38,44,86.4,24,34,70.6,7,11,63.6,0,0.5,-0.5,7,2,4,3,4
José Arnaiz,ESP,FW,Osasuna,La Liga,24,1995,8.8,130,178,73.0,2089,475,71,94,75.5,38,48,79.2,16,22,72.7,1,0.2,+0.8,5,10,3,1,10
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,25,1994,31.3,1152,1541,74.8,25930,8579,368,417,88.2,475,563,84.4,283,505,56.0,8,6.1,+1.9,68,112,27,7,138
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,24,1994,33.0,877,1086,80.8,23673,12278,109,110,99.1,505,511,98.8,263,465,56.6,0,0.0,0.0,0,1,0,0,0
Kwadwo Asamoah,GHA,DF,Inter,Serie A,30,1988,7.1,296,372,79.6,5000,1502,138,152,90.8,128,155,82.6,23,43,53.5,1,0.7,+0.3,11,17,3,2,29
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,22,1997,7.0,260,308,84.4,4754,931,111,126,88.1,111,126,88.1,29,39,74.4,1,0.1,+0.9,2,12,1,1,19
Sergio Asenjo,ESP,GK,Villarreal,La Liga,30,1989,34.0,742,1039,71.4,22188,12548,124,125,99.2,337,341,98.8,279,571,48.9,0,0.0,0.0,0,8,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,23,1996,3.7,134,163,82.2,2312,451,77,85,90.6,38,51,74.5,16,22,72.7,1,1.0,0.0,7,6,7,2,12
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,18,2001,0.8,30,35,85.7,515,118,13,14,92.9,13,14,92.9,4,7,57.1,0,0.1,-0.1,2,3,1,0,4
Iago Aspas,ESP,FW,Celta Vigo,La Liga,31,1987,36.2,998,1283,77.8,15853,3046,541,643,84.1,312,386,80.8,89,130,68.5,3,4.1,-1.1,54,71,46,4,96
Roger Assalé,CIV,FW,Leganés,La Liga,25,1993,5.9,105,127,82.7,1701,438,56,64,87.5,40,43,93.0,8,13,61.5,1,1.1,-0.1,6,8,6,0,18
Youcef Atal,ALG,FW,Nice,Ligue 1,23,1996,11.1,411,509,80.7,6489,1958,245,276,88.8,133,162,82.1,31,52,59.6,1,0.6,+0.4,9,25,11,3,40
Miguel Atienza,ESP,MF,Eibar,La Liga,20,1999,0.3,10,14,71.4,169,20,6,7,85.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0,2,0,0,0
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,27,1992,8.3,163,208,78.4,2591,563,86,94,91.5,58,70,82.9,13,30,43.3,3,0.9,+2.1,13,2,10,4,13
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,30,1989,34.8,612,888,68.9,9377,2584,344,433,79.4,222,323,68.7,33,73,45.2,3,2.9,+0.1,23,27,47,14,78
Emil Audero,ITA,GK,Sampdoria,Serie A,22,1997,36.0,660,1037,63.6,21725,14133,83,85,97.6,289,292,99.0,285,657,43.4,0,0.0,0.0,0,9,0,0,0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,24,1994,12.6,635,825,77.0,10865,4894,318,357,89.1,245,305,80.3,60,126,47.6,2,1.5,+0.5,21,49,27,15,78
Jean-Kévin Augustin,FRA,FW,Monaco,Ligue 1,22,1997,3.0,33,40,82.5,490,47,20,25,80.0,11,12,91.7,1,1,100.0,0,0.0,0.0,0,2,0,0,1
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,25,1994,10.3,387,534,72.5,6753,2939,203,230,88.3,141,176,80.1,41,101,40.6,1,1.2,-0.2,16,15,10,6,47
Serge Aurier,CIV,DF,Tottenham,Premier League,26,1992,30.0,1262,1654,76.3,20973,7402,640,715,89.5,506,655,77.3,99,205,48.3,5,2.8,+2.2,30,63,40,16,111
