Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,28,1990,27.9,1227,1558,78.8,21251,9280,578,647,89.3,521,634,82.2,112,221,50.7,2,3.2,-1.2,32,86,25,5,129
Max Aarons,ENG,DF,Norwich City,Premier League,19,2000,36.0,1316,1684,78.1,20293,6834,733,820,89.4,475,596,79.7,78,174,44.8,1,3.4,-2.4,24,43,32,13,77
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,31,1987,28.0,1328,1515,87.7,29509,9037,331,355,93.2,715,777,92.0,273,360,75.8,0,0.1,-0.1,2,45,3,0,80
Suleiman Abdullahi,NGA,FW,Union Berlin,Bundesliga,22,1996,1.7,18,40,45.0,316,132,12,20,60.0,4,12,33.3,2,3,66.7,0,0.2,-0.2,1,2,2,1,3
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,26,1992,20.2,801,957,83.7,14642,3851,365,395,92.4,337,368,91.6,93,173,53.8,2,1.4,+0.6,26,85,6,4,58
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,19,2000,6.9,74,132,56.1,1085,199,38,66,57.6,23,37,62.2,4,8,50.0,0,1.1,-1.1,5,5,2,0,8
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,33,1986,18.8,742,896,82.8,16639,6079,199,231,86.1,388,438,88.6,149,211,70.6,0,0.1,-0.1,2,74,7,0,101
Tammy Abraham,ENG,FW,Chelsea,Premier League,21,1997,24.6,288,412,69.9,4213,811,159,222,71.6,77,101,76.2,26,35,74.3,3,2.5,+0.5,18,16,5,0,31
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,29,1990,7.4,298,342,87.1,4705,1028,148,165,89.7,123,130,94.6,16,25,64.0,0,0.1,-0.1,4,19,5,3,21
Francesco Acerbi,ITA,DF,Lazio,Serie A,31,1988,35.1,1809,2011,90.0,41350,12495,519,558,93.0,884,937,94.3,390,481,81.1,2,1.6,+0.4,7,138,14,3,119
Che Adams,SCO,FW,Southampton,Premier League,23,1996,12.3,184,265,69.4,2931,631,96,124,77.4,66,91,72.5,12,24,50.0,2,1.2,+0.8,11,12,3,0,19
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,20,1999,10.6,595,699,85.1,9793,2653,292,325,89.8,242,276,87.7,49,69,71.0,0,0.5,-0.5,6,30,8,2,38
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,26,1993,8.3,140,191,73.3,2008,429,90,110,81.8,40,54,74.1,6,11,54.5,1,0.9,+0.1,7,5,4,2,13
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,32,1987,0.3,4,6,66.7,121,98,1,1,100.0,1,1,100.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0
Bobby Adekanye,NED,FW,Lazio,Serie A,20,1999,2.1,41,46,89.1,546,68,26,31,83.9,12,12,100.0,1,1,100.0,0,0.1,-0.1,2,1,0,0,1
Claud Adjapong,ITA,DF,Hellas Verona,Serie A,21,1998,2.6,61,80,76.3,1113,358,27,33,81.8,25,30,83.3,7,14,50.0,0,0.0,0.0,0,6,0,0,5
Amine Adli,FRA,MF,Toulouse,Ligue 1,19,2000,0.5,21,27,77.8,336,127,12,12,100.0,7,9,77.8,2,6,33.3,0,0.1,-0.1,2,4,1,0,4
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,19,2000,11.3,460,581,79.2,8419,1963,216,250,86.4,178,215,82.8,59,99,59.6,3,2.0,+1.0,18,50,7,0,54
Adrián,ESP,GK,Liverpool,Premier League,32,1987,9.7,227,314,72.3,6819,3815,30,30,100.0,104,106,98.1,91,174,52.3,0,0.0,0.0,0,3,0,0,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,38,1981,2.3,33,57,57.9,428,88,26,34,76.5,6,16,37.5,1,6,16.7,0,0.0,0.0,0,3,0,0,3
Lumor Agbenyenu,GHA,DF,Mallorca,La Liga,22,1996,20.1,709,969,73.2,12419,6169,326,372,87.6,305,410,74.4,67,138,48.6,0,1.9,-1.9,16,47,21,12,69
Martin Agirregabiria,ESP,DF,Alavés,La Liga,23,1996,23.3,722,1014,71.2,12634,6071,329,385,85.5,314,408,77.0,70,172,40.7,1,1.0,0.0,12,36,14,5,60
Lucien Agoume,FRA,MF,Inter,Serie A,17,2002,0.8,36,39,92.3,671,201,16,17,94.1,16,18,88.9,4,4,100.0,0,0.1,-0.1,1,4,2,1,5
Kevin Agudelo,COL,MF,Fiorentina,Serie A,20,1998,0.7,29,36,80.6,458,141,14,19,73.7,14,15,93.3,1,2,50.0,0,0.2,-0.2,2,1,1,0,3
Kevin Agudelo,COL,MF,Genoa,Serie A,20,1998,7.4,245,301,81.4,3840,902,132,151,87.4,84,95,88.4,20,33,60.6,1,1.2,-0.2,11,20,5,0,17
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,23,1996,10.6,487,572,85.1,11844,4421,128,132,97.0,235,249,94.4,123,183,67.2,0,0.0,0.0,0,21,0,0,21
Sergio Agüero,ARG,FW,Manchester City,Premier League,31,1988,16.1,285,368,77.4,3774,793,173,210,82.4,82,105,78.1,11,13,84.6,3,2.4,+0.6,16,12,20,0,32
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,26,1993,11.9,666,791,84.2,11012,4091,356,378,94.2,244,284,85.9,54,100,54.0,2,1.5,+0.5,14,39,25,15,51
Emmanuel Agyemang-Badu,GHA,MF,Hellas Verona,Serie A,28,1990,2.6,91,104,87.5,1746,291,37,40,92.5,40,44,90.9,13,19,68.4,0,0.0,0.0,1,4,1,0,6
Jean-Eudes Aholou,CIV,MF,Saint-Étienne,Ligue 1,25,1994,7.0,262,313,83.7,4836,831,103,118,87.3,122,135,90.4,32,50,64.0,1,0.1,+0.9,3,17,0,0,20
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,23,1995,27.8,1073,1223,87.7,23979,6722,233,262,88.9,615,659,93.3,219,279,78.5,1,0.8,+0.2,2,61,2,0,62
Ola Aina,NGA,DF,Torino,Serie A,22,1996,23.1,863,1160,74.4,15457,6411,420,468,89.7,320,405,79.0,107,234,45.7,2,2.2,-0.2,21,56,21,11,84
Youssef Aït Bennasser,MAR,MF,Bordeaux,Ligue 1,23,1996,6.0,357,413,86.4,6250,1555,172,188,91.5,149,163,91.4,35,52,67.3,1,0.1,+0.9,4,28,3,0,38
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,18,2001,14.2,625,801,78.0,10424,4748,340,371,91.6,231,283,81.6,50,119,42.0,2,0.8,+1.2,12,35,18,12,49
Albian Ajeti,SUI,MF,West Ham,Premier League,22,1997,1.5,15,18,83.3,152,8,12,12,100.0,2,5,40.0,0,0,,0,0.1,-0.1,2,0,0,0,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,25,1994,22.9,371,509,72.9,5863,927,199,252,79.0,127,177,71.8,33,52,63.5,4,3.0,+1.0,14,15,12,4,27
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,24,1995,25.7,1767,1929,91.6,36921,12001,532,563,94.5,978,1017,96.2,249,324,76.9,1,0.8,+0.2,3,104,2,0,84
Marley Aké,FRA,FW,Marseille,Ligue 1,18,2001,1.1,25,29,86.2,414,68,14,14,100.0,7,11,63.6,3,3,100.0,0,0.0,0.0,0,1,1,0,2
Nathan Aké,NED,DF,Bournemouth,Premier League,24,1995,27.8,1042,1183,88.1,21692,7035,304,331,91.8,562,607,92.6,167,225,74.2,2,0.6,+1.4,4,66,10,0,57
Chadrac Akolo,COD,FW,Amiens,Ligue 1,24,1995,6.0,172,206,83.5,2703,811,88,98,89.8,70,83,84.3,8,14,57.1,1,1.2,-0.2,5,15,2,0,26
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,24,1995,12.7,659,754,87.4,12655,3666,229,244,93.9,370,400,92.5,56,101,55.4,0,0.0,0.0,1,25,1,0,26
David Alaba,AUT,DF,Bayern Munich,Bundesliga,27,1992,27.8,2250,2478,90.8,47127,15534,714,759,94.1,1146,1219,94.0,370,463,79.9,1,2.1,-1.1,18,294,24,7,222
