Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Roberto Gagliardini,ITA,MF,Inter,Serie A,25,1994,20.0,1171,49,227,661,369,67,1153,9,16,56.3,10,1,756,4596,2741,132,48,8,17,21,935,835,89.3,76
Riccardo Gagliolo,SWE,DF,Parma,Serie A,29,1990,28.9,1686,160,653,787,329,45,1465,16,23,69.6,16,1,922,4481,2861,127,31,10,16,10,998,947,94.9,37
Nicolás Gaitán,ARG,MF,Lille,Ligue 1,31,1988,0.6,39,2,5,19,18,4,36,2,3,66.7,2,0,22,71,31,5,2,2,2,1,24,20,83.3,6
Marvin Gakpa,FRA,MF,Metz,Ligue 1,25,1993,5.2,325,3,40,177,137,14,295,7,14,50.0,7,1,240,1299,656,35,11,0,9,12,248,217,87.5,14
Enric Gallego,ESP,FW,Getafe,La Liga,32,1986,1.8,80,2,10,37,36,11,78,2,4,50.0,2,0,39,119,24,0,0,0,10,3,120,55,45.8,26
Enric Gallego,ESP,FW,Osasuna,La Liga,32,1986,9.8,380,10,24,184,182,52,366,6,13,46.2,7,1,155,387,144,11,3,1,36,9,565,286,50.6,113
Kévin Gameiro,FRA,FW,Valencia,La Liga,32,1987,17.6,597,7,51,287,300,91,555,22,31,71.0,23,0,444,2284,1020,52,17,16,47,32,680,427,62.8,154
Fran Gámez,ESP,DF,Mallorca,La Liga,28,1991,19.6,1104,99,352,488,334,18,927,16,22,72.7,18,2,585,3183,1869,88,32,3,23,14,628,541,86.1,36
Idrissa Gana Gueye,SEN,MF,Paris S-G,Ligue 1,29,1989,18.4,1807,40,318,1242,353,23,1793,23,35,65.7,23,3,1345,6316,3177,140,36,6,13,20,1483,1423,96.0,45
Ignatius Ganago,CMR,FW,Nice,Ligue 1,20,1999,13.8,521,13,69,246,247,46,509,23,53,43.4,29,2,407,1902,1168,62,12,10,35,17,581,399,68.7,104
Ezequiel Garay,ARG,DF,Valencia,La Liga,32,1986,16.0,997,176,590,453,36,12,976,0,0,,0,0,631,4242,2232,63,11,0,2,1,720,710,98.6,9
Dani García,ESP,MF,Athletic Club,La Liga,29,1990,33.7,1782,84,465,1248,144,12,1746,9,11,81.8,9,1,995,3970,1802,52,9,1,10,19,1066,1014,95.1,17
David García,ESP,DF,Osasuna,La Liga,25,1994,31.0,1540,156,719,848,46,27,1485,2,3,66.7,2,0,634,3132,1594,37,1,0,4,2,720,697,96.8,24
Eric García,ESP,DF,Manchester City,Premier League,18,2001,8.8,785,61,326,488,18,3,778,7,7,100.0,7,0,611,2613,1438,33,5,0,1,1,645,637,98.8,2
Javi García,ESP,MF,Betis,La Liga,32,1987,4.2,239,17,71,163,15,6,229,1,2,50.0,1,0,133,669,266,10,1,0,4,3,168,159,94.6,4
Manu García,ESP,MF,Alavés,La Liga,33,1986,21.9,961,57,203,656,133,28,951,10,15,66.7,12,0,514,1877,627,23,10,0,20,25,655,532,81.2,53
Raúl García,ESP,DF,Valladolid,La Liga,30,1989,11.2,589,28,170,299,150,8,463,3,8,37.5,3,0,274,1574,907,40,18,0,8,4,312,273,87.5,17
Raúl García,ESP,DF,Getafe,La Liga,30,1989,2.7,174,9,46,84,58,0,137,4,5,80.0,4,0,88,562,308,15,5,0,2,2,84,78,92.9,8
Raúl García,ESP,MF,Athletic Club,La Liga,33,1986,31.9,1366,51,177,702,549,106,1344,8,16,50.0,9,2,601,2596,1390,74,34,5,68,29,1409,925,65.6,205
Rubén García,ESP,MF,Osasuna,La Liga,26,1993,24.3,1354,23,163,651,609,60,1200,31,44,70.5,31,3,842,3701,2000,109,34,9,67,46,1189,886,74.5,187
Unai García,ESP,DF,Osasuna,La Liga,27,1992,6.0,281,37,131,140,25,4,248,3,4,75.0,3,0,115,684,368,8,2,0,4,0,117,111,94.9,4
Víctor García,ESP,FW,Valladolid,La Liga,22,1997,1.0,42,0,10,22,14,2,42,3,5,60.0,3,0,31,227,114,3,1,0,0,0,38,28,73.7,5
James Garner,ENG,MF,Manchester Utd,Premier League,18,2001,0.1,17,1,1,12,4,0,17,0,0,,0,0,11,21,5,0,0,0,0,0,14,14,100.0,0
Manuel Garrido,ESP,FW,Leganés,La Liga,18,2000,1.3,42,1,1,18,24,3,40,2,3,66.7,2,0,22,94,50,3,1,0,5,1,64,34,53.1,11
Mario Gaspar,ESP,DF,Villarreal,La Liga,28,1990,21.8,1325,83,426,655,299,39,1103,3,10,30.0,4,0,663,2491,1389,58,16,3,15,6,832,733,88.1,49
Daniele Gastaldello,ITA,DF,Brescia,Serie A,36,1983,4.3,201,51,126,78,6,3,190,1,1,100.0,1,0,92,568,322,3,0,0,1,0,100,97,97.0,3
Dwight Gayle,ENG,FW,Newcastle Utd,Premier League,28,1990,9.4,243,8,27,123,104,37,227,4,5,80.0,4,0,115,500,195,11,4,1,18,11,303,161,53.1,57
Paulo Gazzaniga,ARG,GK,Tottenham,Premier League,27,1992,17.9,553,505,553,0,0,0,391,0,0,,0,0,239,907,496,0,0,0,1,0,231,229,99.1,0
