Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,2.3,122,92,30,4,0,16,5,5,0,0,0,0,67,11,44,9,83,2,26,1,80,0,6,0,10
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,35.5,1970,1608,362,48,5,223,30,59,2,0,2,0,1289,407,274,1290,312,45,312,4,1587,3,34,73,46
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,14.5,918,804,114,19,3,144,14,20,0,0,0,0,625,139,154,59,736,21,95,2,766,1,12,14,23
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38.0,1576,1522,54,52,1,187,53,0,0,0,0,0,1173,119,284,1007,436,90,2,5,1318,4,36,9,22
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,22.5,1081,1048,33,16,2,198,32,13,10,0,0,1,828,96,157,101,912,46,4,4,919,4,26,7,15
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,0.4,16,16,0,0,0,5,0,0,0,0,0,0,9,2,5,13,0,1,0,0,6,0,1,2,1
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,15.8,671,648,23,20,0,101,24,4,0,0,0,0,427,73,171,72,518,60,3,0,520,2,12,12,12
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,8.8,384,374,10,6,0,77,4,1,0,0,0,0,291,47,46,25,321,28,2,4,333,0,4,4,10
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,36.8,1787,1721,66,51,1,262,48,8,0,0,0,0,1284,184,319,1278,318,121,15,7,1554,3,32,16,9
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,16.8,735,722,13,5,3,146,20,22,0,0,0,0,566,72,97,32,660,23,8,0,591,1,16,10,27
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,516,500,16,14,4,89,6,2,0,0,0,0,364,70,82,79,373,48,2,2,416,1,8,3,14
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,24,13,11,1,0,0,1,0,0,0,0,0,8,1,15,16,5,0,0,3,12,0,2,0,0
Aday,ESP,DF,Girona,La Liga,30,1987,7.2,325,258,67,15,0,65,25,41,7,1,0,0,170,45,110,37,228,14,45,1,230,2,3,7,12
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,22.2,967,939,28,27,0,106,45,0,0,0,0,0,674,97,196,145,707,86,1,8,842,1,23,6,7
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,3.0,101,78,23,0,0,11,1,3,0,0,0,0,65,24,12,10,66,1,23,0,77,2,1,3,7
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,2.4,151,145,6,2,1,32,5,7,2,1,0,0,111,22,18,14,132,2,2,0,111,1,3,2,5
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,1.8,123,99,24,4,0,24,4,5,6,0,0,0,69,27,27,78,22,5,14,1,78,2,4,4,5
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,10.5,237,227,10,0,0,66,1,9,1,0,0,0,115,67,55,24,123,46,1,11,149,1,6,10,7
Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,1204,979,225,28,0,186,50,49,2,0,1,0,694,241,269,297,633,61,195,2,980,2,22,17,37
Martin Agirregabiria,ESP,DF,Alavés,La Liga,22,1996,22.6,968,750,218,17,0,118,18,30,3,3,0,0,470,212,286,51,633,80,196,1,673,4,30,23,41
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,1996,11.7,577,539,38,17,0,83,20,1,0,0,0,0,386,41,150,452,68,24,21,3,452,3,17,9,10
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,777,727,50,1,3,174,4,17,1,0,0,0,594,130,53,73,656,21,8,11,650,4,10,27,21
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,28.1,1642,1355,287,12,0,286,36,81,1,0,0,0,998,305,339,68,1233,41,274,9,1328,9,19,32,59
Juan Aguilera,ESP,MF,Huesca,La Liga,32,1985,3.8,185,181,4,4,0,18,7,2,0,0,0,0,148,15,22,15,158,10,0,0,163,1,2,3,1
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,1990,1.8,31,31,0,0,0,2,2,0,0,0,0,0,19,8,4,2,23,3,0,1,26,0,0,1,2
