Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,2.3,2,0.88,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,35.5,70,1.97,57,5,1,5,2,0,7,0.20,5,1,0,1,0,0
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,14.5,18,1.24,18,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38.0,20,0.53,15,0,3,2,0,0,1,0.03,1,0,0,0,0,0
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,22.5,43,1.91,32,5,3,1,1,1,2,0.09,2,0,0,0,0,0
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,0.4,2,5.63,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,15.8,11,0.70,8,0,0,1,1,1,1,0.06,0,0,0,1,0,0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,8.8,4,0.46,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,36.8,22,0.60,17,0,0,1,3,1,2,0.05,1,0,0,1,0,0
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,16.8,34,2.03,26,0,5,2,1,0,0,0.00,0,0,0,0,0,0
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,13,1.62,11,0,1,0,1,0,4,0.50,3,0,1,0,0,0
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aday,ESP,DF,Girona,La Liga,30,1987,7.2,25,3.49,14,5,3,2,1,0,2,0.28,2,0,0,0,0,0
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,22.2,7,0.32,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,2.4,7,2.92,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,1.8,6,3.25,4,1,1,0,0,0,1,0.54,1,0,0,0,0,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,10.5,15,1.43,13,0,0,1,1,0,1,0.10,1,0,0,0,0,0
