Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,2.3,157,8,56,68,39,0,128,2,3,66.7,2,0,85,449,273,11,2,0,2,2,76,70,92.1,4
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,35.5,2303,140,690,1065,695,77,1949,26,43,60.5,27,2,1403,7221,4023,204,66,17,27,20,1450,1351,93.2,70
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,14.5,1056,74,351,587,165,9,946,5,9,55.6,8,2,700,2708,1465,56,14,2,6,3,709,687,96.9,10
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,0.1,5,0,1,2,4,0,5,1,1,100.0,1,0,6,26,4,0,0,0,1,0,2,2,100.0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38.0,2023,310,1347,754,46,26,1972,22,24,91.7,22,0,1227,6642,3350,41,4,0,10,5,1210,1179,97.4,11
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,22.5,1356,34,302,883,267,27,1327,38,61,62.3,40,2,1016,5129,2566,95,20,1,33,36,1007,897,89.1,63
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,0.4,29,1,7,11,14,3,29,2,3,66.7,2,0,20,80,52,1,1,0,1,2,23,15,65.2,1
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,15.8,828,90,374,459,57,8,806,4,5,80.0,4,0,475,3056,1660,57,15,0,3,2,452,442,97.8,10
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,8.8,463,20,105,314,67,4,455,6,7,85.7,6,0,339,1574,632,25,9,1,1,11,291,277,95.2,11
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,36.8,2162,279,1117,1108,127,27,2104,9,11,81.8,9,0,1360,9514,5046,137,36,2,7,14,1344,1307,97.2,26
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,16.8,921,26,151,508,360,33,911,37,48,77.1,39,1,786,5004,2913,131,53,6,26,28,807,699,86.6,61
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,617,17,116,421,127,7,605,11,14,78.6,11,1,411,2285,1352,53,17,1,13,9,438,404,92.2,25
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,28,27,28,0,0,0,17,0,0,,0,0,11,85,51,0,0,0,0,0,9,9,100.0,0
Aday,ESP,DF,Girona,La Liga,30,1987,7.2,386,19,94,196,138,7,321,11,15,73.3,11,0,258,1892,1057,52,22,4,4,5,267,236,88.4,20
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,22.2,1192,125,667,579,24,15,1164,2,2,100.0,2,0,722,4085,2362,47,3,0,2,9,708,695,98.2,11
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,3.0,146,5,38,59,61,9,124,8,13,61.5,8,0,109,323,166,7,1,2,13,7,104,85,81.7,11
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,2.4,187,0,16,109,85,8,181,11,16,68.8,13,1,154,879,466,25,12,1,13,6,170,149,87.6,15
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,1.8,138,8,37,54,53,4,114,4,5,80.0,4,0,88,380,246,8,3,0,0,0,87,79,90.8,5
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,10.5,326,3,19,161,158,44,314,7,12,58.3,7,1,183,613,222,14,7,1,28,7,477,262,54.9,92
Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,1470,82,453,704,415,31,1257,41,66,62.1,45,1,987,4455,2438,92,30,5,32,32,1007,867,86.1,68
Martin Agirregabiria,ESP,DF,Alavés,La Liga,22,1996,22.6,1208,88,392,634,253,8,997,28,39,71.8,29,1,642,3211,2053,80,27,4,18,14,635,570,89.8,27
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,1996,11.7,735,74,346,396,39,10,698,5,6,83.3,5,0,469,2290,1174,22,6,0,2,4,470,453,96.4,6
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,1137,4,28,424,774,242,1084,32,61,52.5,36,5,834,4429,2431,146,56,34,70,59,1424,883,62.0,334
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,28.1,1973,68,449,989,670,36,1695,58,79,73.4,59,2,1309,6240,3839,181,61,13,38,38,1366,1194,87.4,70
Juan Aguilera,ESP,MF,Huesca,La Liga,32,1985,3.8,212,4,28,154,42,4,208,1,2,50.0,2,0,156,739,405,16,7,1,2,2,167,150,89.8,4
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,1990,1.8,56,4,13,30,14,3,56,0,4,0.0,0,0,25,63,21,1,0,0,3,1,45,34,75.6,3
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,24,1994,11.9,659,10,120,457,142,21,650,7,13,53.8,7,0,481,2663,1570,81,32,5,16,13,492,454,92.3,30
Antonis Aidonis,GER,DF,Stuttgart,Bundesliga,17,2001,0.9,43,1,5,16,23,1,35,0,1,0.0,0,0,22,108,55,5,0,1,0,0,20,17,85.0,0
Ola Aina,NGA,DF,Torino,Serie A,21,1996,24.0,1483,66,407,692,477,44,1244,37,68,54.4,39,1,847,4786,2909,109,37,8,26,30,880,766,87.0,50
Youssef Aït Bennasser,MAR,MF,Monaco,Ligue 1,22,1996,11.9,831,36,255,569,74,1,809,22,27,81.5,23,0,637,3181,1838,50,19,0,3,6,587,565,96.3,11
Youssef Aït Bennasser,MAR,MF,Saint-Étienne,Ligue 1,22,1996,10.4,751,12,167,535,94,1,739,14,16,87.5,14,0,583,2289,1113,39,7,0,7,10,598,566,94.6,15
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,17,2001,0.6,39,2,6,22,13,2,37,0,1,0.0,0,0,27,125,96,3,1,1,0,0,29,27,93.1,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,24,1994,17.0,651,11,38,367,277,82,623,14,24,58.3,15,0,393,1366,578,27,15,3,50,20,838,506,60.4,173
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,23,1995,24.5,2035,161,837,1286,84,19,1995,8,11,72.7,8,0,1558,9939,5476,160,19,2,8,7,1591,1579,99.2,21
Carlos Akapo,EQG,DF,Huesca,La Liga,25,1993,11.4,574,43,193,290,139,15,485,13,18,72.2,13,0,319,2142,1296,62,25,6,9,8,298,268,89.9,20
Nathan Aké,NED,DF,Bournemouth,Premier League,23,1995,37.9,2170,374,1368,778,146,48,2088,4,6,66.7,4,0,1200,6671,3472,61,20,0,15,7,1368,1296,94.7,24
Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2.0,112,6,35,60,26,0,102,3,4,75.0,3,0,79,461,272,11,4,0,2,2,78,69,88.5,2
Chadrac Akolo,COD,MF,Stuttgart,Bundesliga,23,1995,5.8,249,0,26,130,109,20,248,8,13,61.5,10,0,191,697,369,20,4,4,15,14,251,171,68.1,44
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,23,1995,5.5,343,41,142,195,14,0,329,1,1,100.0,1,0,199,1002,520,27,3,0,0,5,199,195,98.0,0
Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,3.5,210,17,94,130,9,0,203,2,2,100.0,2,0,142,926,547,15,4,0,0,4,136,133,97.8,1
David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,28.1,2381,50,484,1232,811,74,2079,26,35,74.3,26,1,1722,7844,3947,158,70,13,28,18,1797,1667,92.8,127
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,20,1998,21.1,1379,65,428,624,412,20,1141,26,38,68.4,28,0,753,3403,2197,92,38,3,20,19,777,715,92.0,33
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,25,1992,14.1,572,13,67,257,272,87,555,4,16,25.0,7,1,379,1342,556,24,8,7,39,28,700,451,64.4,170
Jordi Alba,ESP,DF,Barcelona,La Liga,29,1989,33.2,2990,97,712,1348,1057,104,2675,20,29,69.0,20,1,2102,7762,4507,228,57,23,28,18,2307,2108,91.4,162
Luis Alberto,ESP,MF,Lazio,Serie A,25,1992,22.1,1757,12,170,851,901,67,1527,24,54,44.4,32,3,1287,7172,4662,242,101,14,35,46,1459,1235,84.6,170
Raúl Albiol,ESP,DF,Napoli,Serie A,32,1985,19.0,1287,157,594,725,31,7,1255,1,2,50.0,1,0,885,4217,2282,66,8,0,4,2,899,885,98.4,5
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,27,1990,18.4,1165,56,357,570,317,15,964,9,22,40.9,10,1,700,3244,1704,78,26,4,20,19,720,647,89.9,43
