Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,28,19,1510,16.8,2,0,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.6,2.2,0.09,0.04,0.13,0.09,0.13
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,10,8,721,8.0,0,2,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.2,0.2,0.7,0.9,0.03,0.09,0.12,0.03,0.12
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Aday,ESP,DF,Girona,La Liga,30,1987,10,8,645,7.2,0,2,0,0,0,2,0,0.00,0.28,0.28,0.00,0.28,0.2,0.2,0.8,1.0,0.03,0.12,0.15,0.03,0.15
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,23,22,1994,22.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.04,0.00,0.04,0.04,0.04
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,5,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.1,0.6,0.17,0.03,0.20,0.17,0.20
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.01,0.38,0.39,0.01,0.39
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.08,0.08,0.16,0.08,0.16
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,20,10,943,10.5,2,0,0,2,2,5,0,0.19,0.00,0.19,0.00,0.00,3.4,1.8,0.4,2.3,0.32,0.04,0.36,0.17,0.21
Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,28,27,2389,26.5,1,3,1,0,0,6,2,0.04,0.11,0.15,0.04,0.15,0.9,0.9,1.8,2.7,0.03,0.07,0.10,0.03,0.10
Martin Agirregabiria,ESP,DF,Alavés,La Liga,22,1996,27,23,2032,22.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.02,0.02,0.01,0.02
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,1996,13,12,1050,11.7,3,0,3,0,0,4,1,0.26,0.00,0.26,0.26,0.26,1.5,1.5,0.1,1.5,0.13,0.00,0.13,0.13,0.13
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,33,31,2459,27.3,21,8,19,2,2,4,0,0.77,0.29,1.06,0.70,0.99,19.5,18.0,5.4,23.4,0.71,0.20,0.91,0.66,0.86
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,29,29,2528,28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14
Juan Aguilera,ESP,MF,Huesca,La Liga,32,1985,6,4,344,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.6,0.13,0.01,0.15,0.13,0.15
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.16,0.01,0.17,0.16,0.17
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,24,1994,17,12,1075,11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07
Antonis Aidonis,GER,DF,Stuttgart,Bundesliga,17,2001,2,1,80,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ola Aina,NGA,DF,Torino,Serie A,21,1996,30,22,2160,24.0,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,4.1,0.08,0.09,0.17,0.08,0.17
Youssef Aït Bennasser,MAR,MF,Monaco,Ligue 1,22,1996,13,12,1073,11.9,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.0,1.4,0.03,0.09,0.11,0.03,0.11
Youssef Aït Bennasser,MAR,MF,Saint-Étienne,Ligue 1,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.02,0.04,0.06,0.02,0.06
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,17,2001,3,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,24,1994,25,18,1531,17.0,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.8,0.34,0.06,0.40,0.34,0.40
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,23,1995,25,25,2205,24.5,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,0.4,1.2,0.03,0.01,0.05,0.03,0.05
Carlos Akapo,EQG,DF,Huesca,La Liga,25,1993,13,12,1023,11.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.7,0.03,0.03,0.06,0.03,0.06
Nathan Aké,NED,DF,Bournemouth,Premier League,23,1995,38,38,3411,37.9,4,0,4,0,0,3,0,0.11,0.00,0.11,0.11,0.11,3.0,3.0,0.7,3.7,0.08,0.02,0.10,0.08,0.10
Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2,2,180,2.0,0,1,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.0,0.0,0.1,0.1,0.00,0.03,0.03,0.00,0.03
Chadrac Akolo,COD,MF,Stuttgart,Bundesliga,23,1995,16,5,525,5.8,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.9,0.9,0.3,1.2,0.16,0.05,0.21,0.16,0.21
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,23,1995,8,5,499,5.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,4,4,313,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,31,29,2530,28.1,3,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,2.2,2.2,4.9,7.1,0.08,0.17,0.25,0.08,0.25
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,20,1998,25,23,1895,21.1,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,1.8,2.4,0.03,0.08,0.11,0.03,0.11
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,25,1992,27,11,1265,14.1,9,3,9,0,0,1,0,0.64,0.21,0.85,0.64,0.85,7.9,7.9,1.9,9.8,0.56,0.13,0.70,0.56,0.70
Jordi Alba,ESP,DF,Barcelona,La Liga,29,1989,36,32,2991,33.2,2,8,2,0,0,6,0,0.06,0.24,0.30,0.06,0.30,1.8,1.8,5.2,7.0,0.05,0.16,0.21,0.05,0.21
Luis Alberto,ESP,MF,Lazio,Serie A,25,1992,27,25,1990,22.1,4,5,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,4.6,3.9,6.1,10.0,0.21,0.28,0.49,0.17,0.45
Raúl Albiol,ESP,DF,Napoli,Serie A,32,1985,20,19,1713,19.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,1.0,1.2,0.01,0.05,0.06,0.01,0.06
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,27,1990,22,19,1660,18.4,1,3,1,0,0,3,1,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.4,1.8,0.02,0.08,0.10,0.02,0.10
Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,27,18,1625,18.1,2,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,2.4,3.5,0.06,0.13,0.20,0.06,0.20
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,24,1993,26,11,1211,13.5,18,0,17,1,1,0,0,1.34,0.00,1.34,1.26,1.26,9.2,8.4,2.5,10.9,0.68,0.18,0.87,0.63,0.81
Pedro Alcalá,ESP,DF,Girona,La Liga,29,1989,25,20,1868,20.8,1,1,1,0,0,9,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,0.3,1.2,0.04,0.02,0.06,0.04,0.06
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,27,1991,30,26,2408,26.8,2,6,2,0,0,5,0,0.07,0.22,0.30,0.07,0.30,2.2,2.2,2.8,5.0,0.08,0.11,0.19,0.08,0.19
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,27,1991,34,34,2976,33.1,3,2,3,0,1,13,0,0.09,0.06,0.15,0.09,0.15,3.3,2.5,1.3,3.8,0.10,0.04,0.14,0.08,0.11
Toby Alderweireld,BEL,DF,Tottenham,Premier League,29,1989,34,33,2922,32.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.7,2.2,0.05,0.02,0.07,0.05,0.07
Álex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,9,0,140,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.15,0.17,0.32,0.15,0.32
Alexis Alegue,FRA,FW,Nantes,Ligue 1,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Iván Alejo,ESP,MF,Getafe,La Liga,23,1995,4,2,146,1.6,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.04,0.09,0.13,0.04,0.13
Carles Aleñá,ESP,MF,Barcelona,La Liga,20,1998,17,6,637,7.1,2,0,2,0,0,2,0,0.28,0.00,0.28,0.28,0.28,1.5,1.5,0.7,2.1,0.21,0.09,0.30,0.21,0.30
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,23,1995,25,25,2250,25.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alexander,ARG,DF,Leganés,La Liga,29,1988,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,19,1998,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.4,1.4,6.5,7.9,0.05,0.24,0.29,0.05,0.29
Rachid Alioui,MAR,FW,Nîmes,Ligue 1,26,1992,27,11,1252,13.9,5,0,5,0,0,1,0,0.36,0.00,0.36,0.36,0.36,5.3,5.3,1.2,6.5,0.38,0.09,0.47,0.38,0.47
Alisson,BRA,GK,Liverpool,Premier League,25,1992,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bobby Allain,FRA,GK,Dijon,Ligue 1,26,1991,13,13,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Allan,BRA,MF,Napoli,Serie A,27,1991,33,28,2616,29.1,1,3,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,1.1,1.1,3.2,4.4,0.04,0.11,0.15,0.04,0.15
Allan,BRA,MF,Eint Frankfurt,Bundesliga,21,1997,4,2,176,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06
Dele Alli,ENG,MF,Tottenham,Premier League,22,1996,25,22,1825,20.3,5,3,5,0,0,4,0,0.25,0.15,0.39,0.25,0.39,6.1,6.1,2.6,8.7,0.30,0.13,0.43,0.30,0.43
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,24,1994,10,9,759,8.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.6,2.1,0.18,0.08,0.25,0.17,0.25
Júnior Alonso,PAR,DF,Celta Vigo,La Liga,25,1993,9,6,536,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.06,0.04,0.10,0.06,0.10
Marcos Alonso,ESP,DF,Chelsea,Premier League,27,1990,31,31,2759,30.7,2,4,2,0,0,6,0,0.07,0.13,0.20,0.07,0.20,2.9,2.9,3.2,6.0,0.09,0.10,0.20,0.09,0.20
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,29,1989,11,6,571,6.3,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,0.3,0.3,0.4,0.7,0.04,0.07,0.11,0.04,0.11
Sergio Álvarez,ESP,MF,Eibar,La Liga,26,1992,19,12,1069,11.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,31,1986,13,13,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,23,1995,30,30,2613,29.0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,1.4,1.0,0.0,1.1,0.05,0.00,0.05,0.04,0.04
Bruno Alves,POR,DF,Parma,Serie A,36,1981,33,33,2922,32.5,4,1,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15,2.2,2.2,1.3,3.5,0.07,0.04,0.11,0.07,0.11
Dani Alves,BRA,MF,Paris S-G,Ligue 1,35,1983,23,19,1622,18.0,1,7,1,0,0,4,0,0.06,0.39,0.44,0.06,0.44,2.2,2.2,7.0,9.2,0.12,0.39,0.51,0.12,0.51
Alfons Amade,GER,MF,Hoffenheim,Bundesliga,18,1999,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.78,0.00,0.78,0.78,0.78
Ibrahim Amadou,FRA,MF,Sevilla,La Liga,25,1993,17,7,762,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.8,0.09,0.01,0.10,0.09,0.10
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,28,1989,32,30,2522,28.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.9,1.5,0.02,0.03,0.05,0.02,0.05
Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,9,7,641,7.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.04,0.02,0.06,0.04,0.06
Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,31,31,2763,30.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.02,0.00,0.03,0.02,0.03
Amath,SEN,MF,Getafe,La Liga,22,1996,15,13,1002,11.1,1,2,1,0,0,4,0,0.09,0.18,0.27,0.09,0.27,1.6,1.6,0.7,2.3,0.14,0.06,0.20,0.14,0.20
Jordan Amavi,FRA,DF,Marseille,Ligue 1,24,1994,28,24,2177,24.2,0,2,0,0,0,7,2,0.00,0.08,0.08,0.00,0.08,0.6,0.6,2.0,2.6,0.02,0.08,0.11,0.02,0.11
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,20,1998,32,32,2880,32.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.7,1.2,0.02,0.02,0.04,0.02,0.04
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,21,1996,13,10,754,8.4,3,1,3,0,0,1,0,0.36,0.12,0.48,0.36,0.48,2.2,2.2,1.7,3.9,0.26,0.21,0.47,0.26,0.47
Yanis Ammour,FRA,MF,Montpellier,Ligue 1,19,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Luke Amos,ENG,MF,Tottenham,Premier League,21,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Joachim Andersen,DEN,DF,Sampdoria,Serie A,22,1996,32,32,2880,32.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.5,1.5,0.03,0.02,0.05,0.03,0.05
Felipe Anderson,BRA,MF,West Ham,Premier League,25,1993,36,36,3043,33.8,9,4,9,0,0,3,0,0.27,0.12,0.38,0.27,0.38,4.9,4.9,6.8,11.7,0.14,0.20,0.35,0.14,0.35
Florin Andone,ROU,FW,Brighton,Premier League,25,1993,23,8,881,9.8,3,0,3,0,0,5,0,0.31,0.00,0.31,0.31,0.31,2.0,2.0,0.1,2.0,0.20,0.01,0.21,0.20,0.21
Benjamin André,FRA,MF,Rennes,Ligue 1,27,1990,30,28,2495,27.7,3,1,3,0,0,8,1,0.11,0.04,0.14,0.11,0.14,3.3,3.3,1.2,4.6,0.12,0.05,0.17,0.12,0.17
Marco Andreolli,ITA,DF,Cagliari,Serie A,32,1986,3,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
Marco Andreolli,ITA,DF,Chievo,Serie A,32,1986,8,7,646,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03
Yoann Andreu,FRA,DF,Angers,Ligue 1,29,1989,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
José Ángel,ESP,DF,Eibar,La Liga,28,1989,35,34,3028,33.6,1,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,3.6,4.3,0.02,0.11,0.13,0.02,0.13
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Cristian Ansaldi,ARG,DF,Torino,Serie A,31,1986,24,23,1807,20.1,3,2,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25,1.4,1.4,2.5,3.9,0.07,0.12,0.19,0.07,0.19
Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,35,22,2133,23.7,5,0,4,1,2,0,0,0.21,0.00,0.21,0.17,0.17,6.7,5.1,1.5,6.6,0.28,0.06,0.34,0.22,0.28
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,22,1996,34,34,3060,34.0,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.04,0.04,0.04
Luca Antonelli,ITA,DF,Empoli,Serie A,31,1987,13,10,755,8.4,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,0.2,1.0,0.09,0.03,0.12,0.09,0.12
Mauro Antonio Burruchaga,ARG,MF,Chievo,Serie A,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02
Michail Antonio,JAM,FW,West Ham,Premier League,28,1990,33,22,2103,23.4,6,4,6,0,0,3,0,0.26,0.17,0.43,0.26,0.43,7.1,7.1,3.4,10.5,0.30,0.14,0.45,0.30,0.45
Antoñito,ESP,DF,Valladolid,La Liga,30,1987,30,18,1863,20.7,2,1,2,0,0,5,0,0.10,0.05,0.14,0.10,0.14,1.0,1.0,1.9,2.9,0.05,0.09,0.14,0.05,0.14
Vitorino Antunes,POR,DF,Getafe,La Liga,31,1987,28,25,2181,24.2,1,3,1,0,0,5,0,0.04,0.12,0.17,0.04,0.17,0.9,0.9,2.8,3.7,0.04,0.11,0.15,0.04,0.15
Anuar,MAR,MF,Valladolid,La Liga,23,1995,19,12,1081,12.0,1,0,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,2.7,2.7,0.1,2.7,0.22,0.01,0.23,0.22,0.23
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,31,1987,15,13,1025,11.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.3,1.7,0.04,0.12,0.15,0.04,0.15
Houssem Aouar,FRA,MF,Lyon,Ligue 1,20,1998,37,35,3061,34.0,7,7,7,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.5,7.5,3.4,10.8,0.22,0.10,0.32,0.22,0.32
Emmanuel Apeh,NGA,MF,Celta Vigo,La Liga,21,1996,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.43,0.43,0.00,0.43
Mauro Arambarri,URU,MF,Getafe,La Liga,22,1995,33,32,2676,29.7,1,2,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,1.4,1.4,1.6,3.0,0.05,0.05,0.10,0.05,0.10
Guilherme Arana,BRA,MF,Sevilla,La Liga,21,1997,9,8,629,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.02,0.04,0.03,0.04
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,29,1989,24,22,1891,21.0,2,7,2,0,0,3,0,0.10,0.33,0.43,0.10,0.43,1.4,1.4,2.8,4.1,0.07,0.13,0.20,0.07,0.20
Luiz Araújo,BRA,FW,Lille,Ligue 1,22,1996,25,6,781,8.7,3,2,3,0,0,2,1,0.35,0.23,0.58,0.35,0.58,2.4,2.4,1.1,3.6,0.28,0.13,0.41,0.28,0.41
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,26,1991,32,30,2682,29.8,3,0,3,0,0,3,1,0.10,0.00,0.10,0.10,0.10,1.6,1.6,0.3,1.9,0.05,0.01,0.06,0.05,0.06
Anaitz Arbilla,ESP,DF,Eibar,La Liga,31,1987,25,22,1950,21.7,1,2,1,0,0,6,1,0.05,0.09,0.14,0.05,0.14,0.7,0.7,0.4,1.2,0.03,0.02,0.05,0.03,0.05
Joaquín Ardaiz,URU,FW,Frosinone,Serie A,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,25,1993,21,21,1890,21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Santiago Arias,COL,DF,Atlético Madrid,La Liga,26,1992,25,20,1772,19.7,1,1,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,0.4,0.4,1.1,1.5,0.02,0.06,0.07,0.02,0.07
Lorenzo Ariaudo,ITA,DF,Frosinone,Serie A,29,1989,19,19,1682,18.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.9,0.03,0.01,0.05,0.03,0.05
Nicolò Armini,ITA,DF,Lazio,Serie A,17,2001,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
