Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,23,1995,25,25,2250,25.0,43,1.72,96,55,57.3,7,5,13,5,20.0,2,2,0,0,0.0
Alisson,BRA,GK,Liverpool,Premier League,25,1992,38,38,3420,38.0,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,
Bobby Allain,FRA,GK,Dijon,Ligue 1,26,1991,13,13,1170,13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,31,1986,13,13,1170,13.0,22,1.69,57,38,64.9,3,5,5,2,15.4,2,2,0,0,0.0
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,23,1994,36,36,3240,36.0,39,1.08,119,79,68.1,20,8,8,14,38.9,2,1,1,0,50.0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,29,1989,32,32,2880,32.0,45,1.41,164,124,73.8,7,12,13,9,28.1,4,2,1,1,33.3
Emil Audero,ITA,GK,Sampdoria,Serie A,21,1997,36,36,3240,36.0,51,1.42,142,98,69.0,14,7,15,11,30.6,8,7,1,0,12.5
Francesco Bardi,ITA,GK,Frosinone,Serie A,26,1992,3,3,270,3.0,5,1.67,11,6,54.5,0,1,2,1,33.3,0,0,0,0,
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,28,1990,33,33,2970,33.0,51,1.55,159,114,71.7,12,12,9,5,15.2,7,6,1,0,14.3
Asmir Begović,BIH,GK,Bournemouth,Premier League,31,1987,24,24,2160,24.0,47,1.96,103,58,56.3,8,3,13,5,20.8,2,2,0,0,0.0
Diego Benaglio,SUI,GK,Monaco,Ligue 1,34,1983,23,22,2057,22.9,38,1.66,94,60,62.8,4,6,12,4,18.2,5,3,2,0,40.0
Walter Benítez,ARG,GK,Nice,Ligue 1,25,1993,35,35,3150,35.0,29,0.83,141,115,80.9,15,10,10,16,45.7,5,2,3,0,60.0
Etrit Berisha,ALB,GK,Atalanta,Serie A,29,1989,18,18,1620,18.0,25,1.39,64,43,62.5,9,3,6,5,27.8,2,1,0,1,0.0
Paul Bernardoni,FRA,GK,Nîmes,Ligue 1,21,1997,38,38,3420,38.0,58,1.53,177,122,69.5,15,8,15,10,26.3,5,4,1,0,20.0
Dimitry Bertaud,FRA,GK,Montpellier,Ligue 1,20,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Marcus Bettinelli,ENG,GK,Fulham,Premier League,26,1992,7,7,630,7.0,20,2.86,38,18,50.0,1,2,4,0,0.0,3,1,1,1,50.0
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,23,1995,25,25,2250,25.0,40,1.60,106,70,66.0,7,6,12,6,24.0,5,4,0,1,0.0
Artur Boruc,POL,GK,Bournemouth,Premier League,38,1980,12,12,1080,12.0,18,1.50,53,36,71.7,4,3,5,4,33.3,3,3,0,0,0.0
Zacharie Boucher,FRA,GK,Angers,Ligue 1,26,1992,2,2,180,2.0,1,0.50,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
Yassine Bounou,MAR,GK,Girona,La Liga,27,1991,32,32,2862,31.8,43,1.35,162,126,77.2,8,10,14,8,25.0,6,6,0,0,0.0
Fabian Bredlow,GER,GK,Nürnberg,Bundesliga,23,1995,14,12,1127,12.5,28,2.24,60,32,55.0,2,3,7,2,16.7,3,1,1,1,50.0
Gianluigi Buffon,ITA,GK,Paris S-G,Ligue 1,40,1978,17,17,1530,17.0,18,1.06,61,47,72.1,13,1,3,6,35.3,2,1,1,0,50.0
Roman Bürki,SUI,GK,Dortmund,Bundesliga,27,1990,32,32,2880,32.0,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0.0
Ludovic Butelle,FRA,GK,Angers,Ligue 1,35,1983,36,36,3239,36.0,48,1.33,156,112,71.2,9,15,12,12,33.3,5,3,2,0,40.0
David Button,ENG,GK,Brighton,Premier League,29,1989,4,4,360,4.0,5,1.25,16,12,81.3,1,1,2,1,25.0,2,2,0,0,0.0
Willy Caballero,ARG,GK,Chelsea,Premier League,36,1981,2,2,180,2.0,0,0.00,3,3,100.0,1,1,0,2,100.0,0,0,0,0,
Rafael Cabral,BRA,GK,Sampdoria,Serie A,28,1990,2,2,180,2.0,0,0.00,2,2,100.0,1,1,0,2,100.0,0,0,0,0,
Marc-Aurèle Caillard,FRA,GK,Guingamp,Ligue 1,24,1994,21,21,1890,21.0,34,1.62,90,56,63.3,4,7,10,6,28.6,2,1,1,0,50.0
