Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Yoan Cardinale,FRA,GK,Nice,Ligue 1,24,1994,3,3,270,3.0,6,2.00,12,7,58.3,0,1,2,0,0.0,1,1,0,0,0.0
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,26,1992,26,26,2295,25.5,39,1.53,121,86,71.1,11,6,9,8,30.8,5,4,1,0,20.0
Petr Čech,CZE,GK,Arsenal,Premier League,36,1982,7,7,585,6.5,9,1.38,35,26,74.3,5,0,2,2,28.6,0,0,0,0,
Leandro Chichizola,ARG,GK,Getafe,La Liga,28,1990,1,1,90,1.0,1,1.00,1,0,0.0,1,0,0,0,0.0,0,0,0,0,
Jasper Cillessen,NED,GK,Barcelona,La Liga,29,1989,3,3,270,3.0,4,1.33,13,10,76.9,1,1,1,1,33.3,1,1,0,0,0.0
Joel Coleman,ENG,GK,Huddersfield,Premier League,22,1995,1,1,90,1.0,1,1.00,3,1,66.7,0,1,0,0,0.0,0,0,0,0,
Andrea Consigli,ITA,GK,Sassuolo,Serie A,31,1987,36,36,3213,35.7,56,1.57,144,94,63.9,9,15,12,12,33.3,8,4,3,1,42.9
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,31,1987,37,37,3330,37.0,42,1.14,146,110,75.3,9,11,17,10,27.0,7,6,1,0,14.3
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,26,1992,27,27,2430,27.0,36,1.33,100,70,70.0,14,3,10,8,29.6,8,6,1,1,14.3
Alessio Cragno,ITA,GK,Cagliari,Serie A,24,1994,38,38,3420,38.0,54,1.42,195,147,76.4,10,11,17,7,18.4,10,8,2,0,20.0
Iván Cuéllar,ESP,GK,Leganés,La Liga,34,1984,34,34,3056,33.9,38,1.12,111,76,67.6,10,12,12,10,29.4,2,2,0,0,0.0
Abdoulaye Diallo,SEN,GK,Rennes,Ligue 1,26,1992,6,6,495,5.5,4,0.73,18,15,83.3,3,2,1,2,33.3,1,1,0,0,0.0
Javier Díaz,ESP,GK,Sevilla,La Liga,21,1997,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,24,1993,21,21,1890,21.0,35,1.67,91,62,68.1,5,4,12,3,14.3,7,6,1,0,14.3
Marko Dmitrović,SRB,GK,Eibar,La Liga,26,1992,24,24,2160,24.0,30,1.25,81,54,66.7,9,6,9,5,20.8,4,3,1,0,25.0
Jaume Doménech,ESP,GK,Valencia,La Liga,27,1990,4,4,360,4.0,1,0.25,12,10,91.7,2,2,0,3,75.0,0,0,0,0,
Gianluigi Donnarumma,ITA,GK,Milan,Serie A,19,1999,36,36,3092,34.3,31,0.90,121,94,76.9,18,11,7,11,30.6,4,3,1,0,25.0
Bartłomiej Drągowski,POL,GK,Fiorentina,Serie A,20,1997,3,2,225,2.5,2,0.80,7,5,71.4,0,1,1,1,50.0,0,0,0,0,
Bartłomiej Drągowski,POL,GK,Empoli,Serie A,20,1997,14,14,1260,14.0,24,1.71,91,70,76.9,5,2,7,3,21.4,4,3,1,0,25.0
Jaroslav Drobný,CZE,GK,Düsseldorf,Bundesliga,38,1979,2,2,180,2.0,3,1.50,9,6,66.7,1,0,1,0,0.0,0,0,0,0,
Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,29,1989,38,38,3420,38.0,48,1.26,134,93,68.7,12,9,17,11,28.9,6,6,0,0,0.0
Maxime Dupé,FRA,GK,Nantes,Ligue 1,25,1993,11,10,939,10.4,17,1.63,31,16,51.6,5,3,2,1,10.0,3,2,1,0,33.3
Ederson,BRA,GK,Manchester City,Premier League,24,1993,38,38,3420,38.0,23,0.61,78,59,75.6,32,2,4,20,52.6,4,4,0,0,0.0
Michael Esser,GER,GK,Hannover 96,Bundesliga,30,1987,32,32,2880,32.0,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7
Neil Etheridge,PHI,GK,Cardiff City,Premier League,28,1990,38,38,3420,38.0,69,1.82,199,132,67.3,10,4,24,10,26.3,7,4,3,0,42.9
Łukasz Fabiański,POL,GK,West Ham,Premier League,33,1985,38,38,3420,38.0,55,1.45,192,138,73.4,15,7,16,7,18.4,5,4,1,0,20.0
Fabricio,ESP,GK,Fulham,Premier League,30,1987,2,2,180,2.0,5,2.50,22,16,77.3,0,0,2,0,0.0,0,0,0,0,
Ralf Fährmann,GER,GK,Schalke 04,Bundesliga,29,1988,17,16,1469,16.3,26,1.59,80,57,70.0,4,3,9,3,18.8,2,2,0,0,0.0
Aitor Fernández,ESP,GK,Levante,La Liga,27,1991,16,16,1440,16.0,24,1.50,75,56,73.3,4,5,7,2,12.5,4,4,0,0,0.0
Andrés Fernández,ESP,GK,Villarreal,La Liga,31,1986,6,6,540,6.0,7,1.17,22,16,72.7,3,2,1,2,33.3,1,1,0,0,0.0
Mark Flekken,NED,GK,Freiburg,Bundesliga,25,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,
Fraser Forster,ENG,GK,Southampton,Premier League,30,1988,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
Ben Foster,ENG,GK,Watford,Premier League,35,1983,38,38,3420,38.0,59,1.55,173,117,68.2,14,8,16,7,18.4,5,4,1,0,20.0
Pierluigi Frattali,ITA,GK,Parma,Serie A,32,1985,1,1,90,1.0,2,2.00,9,7,77.8,0,0,1,0,0.0,0,0,0,0,
Alberto García,ESP,GK,Rayo Vallecano,La Liga,33,1985,17,17,1530,17.0,35,2.06,83,51,59.0,3,4,10,4,23.5,4,1,3,0,75.0
Paulo Gazzaniga,ARG,GK,Tottenham,Premier League,26,1992,3,3,270,3.0,2,0.67,13,11,84.6,2,0,1,1,33.3,0,0,0,0,
David de Gea,ESP,GK,Manchester Utd,Premier League,27,1990,38,38,3420,38.0,54,1.42,170,125,71.8,19,9,10,7,18.4,6,6,0,0,0.0
Fabian Giefer,GER,GK,Augsburg,Bundesliga,28,1990,4,4,360,4.0,7,1.75,18,11,61.1,1,1,2,0,0.0,0,0,0,0,
Mauro Goicoechea,URU,GK,Toulouse,Ligue 1,30,1988,8,7,712,7.9,12,1.52,35,24,68.6,2,3,2,3,42.9,1,1,0,0,0.0
Pierluigi Gollini,ITA,GK,Atalanta,Serie A,23,1995,20,20,1800,20.0,21,1.05,68,50,73.5,11,6,3,4,20.0,3,3,0,0,0.0
Alfred Gomis,SEN,GK,SPAL,Serie A,24,1993,20,19,1723,19.2,27,1.41,76,50,65.8,3,6,10,6,31.6,1,1,0,0,0.0
Mathieu Gorgelin,FRA,GK,Lyon,Ligue 1,27,1990,4,4,360,4.0,5,1.25,15,10,66.7,3,0,1,1,25.0,0,0,0,0,
Vicente Guaita,ESP,GK,Crystal Palace,Premier League,31,1987,20,20,1755,19.5,23,1.18,84,60,73.8,10,4,6,7,35.0,1,1,0,0,0.0
Guido Guerrieri,ITA,GK,Lazio,Serie A,22,1996,1,1,90,1.0,3,3.00,5,2,40.0,0,1,0,0,0.0,0,0,0,0,
Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,28,1990,33,33,2925,32.5,28,0.86,108,86,77.8,19,9,5,16,48.5,5,4,0,1,0.0
Angus Gunn,ENG,GK,Southampton,Premier League,22,1996,12,12,1080,12.0,18,1.50,48,30,62.5,4,4,4,3,25.0,1,0,1,0,100.0
Régis Gurtner,FRA,GK,Amiens,Ligue 1,31,1986,38,38,3420,38.0,52,1.37,155,109,70.3,9,11,18,11,28.9,9,6,2,1,25.0
Ben Hamer,ENG,GK,Huddersfield,Premier League,30,1987,7,7,553,6.1,21,3.42,38,21,52.6,0,1,6,1,14.3,3,3,0,0,0.0
Samir Handanović,SVN,GK,Inter,Serie A,34,1984,38,38,3420,38.0,33,0.87,128,101,76.6,20,9,9,17,44.7,5,3,0,2,0.0
Joe Hart,ENG,GK,Burnley,Premier League,31,1987,19,19,1710,19.0,41,2.16,115,73,65.2,3,3,13,4,21.1,2,1,1,0,50.0
Tom Heaton,ENG,GK,Burnley,Premier League,32,1986,19,19,1710,19.0,27,1.42,81,57,67.9,8,4,7,4,21.1,1,1,0,0,0.0
Wayne Hennessey,WAL,GK,Crystal Palace,Premier League,31,1987,18,17,1575,17.5,26,1.49,65,42,64.6,4,3,10,5,29.4,4,3,1,0,25.0
Iago Herrerín,ESP,GK,Athletic Club,La Liga,30,1988,31,31,2790,31.0,32,1.03,85,56,65.9,12,10,9,10,32.3,3,3,0,0,0.0
Marwin Hitz,SUI,GK,Dortmund,Bundesliga,30,1987,2,2,180,2.0,4,2.00,5,1,20.0,2,0,0,0,0.0,1,0,0,1,
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,28,1989,32,32,2880,32.0,49,1.53,125,83,63.2,18,4,10,9,28.1,4,3,1,0,25.0
Salvador Ichazo,URU,GK,Torino,Serie A,26,1992,3,2,250,2.8,2,0.72,8,7,87.5,1,1,0,1,50.0,1,1,0,0,0.0
Gorka Iraizoz,ESP,GK,Girona,La Liga,37,1981,7,6,558,6.2,10,1.61,36,29,77.8,1,0,5,1,16.7,2,2,0,0,0.0
Jandrei,BRA,GK,Genoa,Serie A,25,1993,1,1,90,1.0,1,1.00,2,0,50.0,0,0,1,0,0.0,0,0,0,0,
Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3
Karl-Johan Johnsson,SWE,GK,Guingamp,Ligue 1,28,1990,17,17,1530,17.0,34,2.00,73,41,56.2,1,5,11,4,23.5,4,2,1,1,33.3
Aleksandar Jovanović,SRB,GK,Huesca,La Liga,25,1992,12,12,1080,12.0,19,1.58,43,27,60.5,1,4,7,0,0.0,2,2,0,0,0.0
Stefanos Kapino,GRE,GK,Werder Bremen,Bundesliga,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,
Orestis Karnezis,GRE,GK,Napoli,Serie A,33,1985,9,9,810,9.0,7,0.78,25,19,76.0,6,2,1,4,44.4,1,1,0,0,0.0
Eiji Kawashima,JPN,GK,Strasbourg,Ligue 1,35,1983,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Gregor Kobel,SUI,GK,Hoffenheim,Bundesliga,20,1997,1,1,90,1.0,1,1.00,6,6,100.0,1,0,0,0,0.0,1,1,0,0,0.0
Gregor Kobel,SUI,GK,Augsburg,Bundesliga,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50.0
Tomáš Koubek,CZE,GK,Rennes,Ligue 1,25,1992,33,32,2925,32.5,48,1.48,134,90,66.4,10,11,11,9,28.1,4,3,1,0,25.0
Thomas Kraft,GER,GK,Hertha BSC,Bundesliga,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0.0
Alban Lafont,FRA,GK,Fiorentina,Serie A,19,1999,34,34,3015,33.5,40,1.19,118,86,70.3,8,15,11,9,26.5,6,5,1,0,16.7
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,27,1991,37,37,3330,37.0,42,1.14,136,100,71.3,15,13,9,11,29.7,5,3,1,1,25.0
Bernd Leno,GER,GK,Arsenal,Premier League,26,1992,32,31,2835,31.5,42,1.33,139,104,74.8,16,7,8,7,22.6,7,7,0,0,0.0
Hugo Lloris,FRA,GK,Tottenham,Premier League,31,1986,33,33,2970,33.0,33,1.00,122,92,75.4,21,2,10,12,36.4,5,3,2,0,40.0
Anthony Lopes,POR,GK,Lyon,Ligue 1,27,1990,34,34,3060,34.0,42,1.24,131,97,71.8,18,9,7,9,26.5,5,5,0,0,0.0
Diego López,ESP,GK,Espanyol,La Liga,36,1981,38,38,3420,38.0,50,1.32,156,114,71.8,14,11,13,10,26.3,8,6,2,0,25.0
Pau López,ESP,GK,Betis,La Liga,23,1994,33,33,2970,33.0,47,1.42,135,91,67.4,12,7,14,10,30.3,4,3,1,0,25.0
Jonas Lössl,DEN,GK,Huddersfield,Premier League,29,1989,31,30,2777,30.9,54,1.75,138,86,63.8,3,5,22,5,16.7,5,4,1,0,20.0
Andriy Lunin,UKR,GK,Leganés,La Liga,19,1999,5,4,364,4.1,5,1.24,18,13,77.8,1,0,3,2,50.0,2,1,1,0,50.0
Andreas Luthe,GER,GK,Augsburg,Bundesliga,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,
Mike Maignan,FRA,GK,Lille,Ligue 1,23,1995,38,38,3420,38.0,33,0.87,118,91,77.1,22,9,7,15,39.5,10,6,2,2,25.0
Steve Mandanda,FRA,GK,Marseille,Ligue 1,33,1985,31,31,2736,30.4,40,1.32,108,74,68.5,14,5,12,9,29.0,7,6,1,0,14.3
Federico Marchetti,ITA,GK,Genoa,Serie A,35,1983,4,4,360,4.0,10,2.50,19,10,47.4,2,0,2,1,25.0,0,0,0,0,
Jordi Masip,ESP,GK,Valladolid,La Liga,29,1989,35,35,3150,35.0,45,1.29,140,102,71.4,10,9,16,9,25.7,8,5,3,0,37.5
Christian Mathenia,GER,GK,Nürnberg,Bundesliga,26,1992,22,22,1933,21.5,40,1.86,116,75,66.4,1,7,14,2,9.1,1,1,0,0,0.0
Alex McCarthy,ENG,GK,Southampton,Premier League,28,1989,25,25,2250,25.0,44,1.76,118,79,64.4,5,8,12,4,16.0,2,2,0,0,0.0
Edouard Mendy,SEN,GK,Reims,Ligue 1,26,1992,38,38,3420,38.0,42,1.11,147,114,76.2,13,16,9,14,36.8,7,7,0,0,0.0
Alex Meret,ITA,GK,Napoli,Serie A,21,1997,14,13,1150,12.8,9,0.70,47,40,85.1,9,1,3,5,38.5,2,2,0,0,0.0
Vanja Milinković-Savić,SRB,GK,SPAL,Serie A,21,1997,2,2,164,1.8,4,2.20,16,12,75.0,1,0,1,1,50.0,0,0,0,0,
Antonio Mirante,ITA,GK,Roma,Serie A,35,1983,11,11,990,11.0,6,0.55,36,28,83.3,6,4,1,6,54.5,1,0,1,0,100.0
Jessy Moulin,FRA,GK,Saint-Étienne,Ligue 1,32,1986,1,1,90,1.0,1,1.00,5,5,80.0,0,1,0,0,0.0,0,0,0,0,
Florian Müller,GER,GK,Mainz 05,Bundesliga,20,1997,24,24,2160,24.0,43,1.79,118,78,66.1,8,3,13,5,20.8,4,3,0,1,0.0
Juan Musso,ARG,GK,Udinese,Serie A,24,1994,29,29,2610,29.0,40,1.38,133,101,75.9,9,8,12,7,24.1,8,8,0,0,0.0
Yvon Mvogo,SUI,GK,RB Leipzig,Bundesliga,24,1994,2,1,135,1.5,2,1.33,3,2,66.7,0,0,1,1,100.0,1,1,0,0,0.0
Keylor Navas,CRC,GK,Real Madrid,La Liga,31,1986,10,10,900,10.0,8,0.80,31,23,74.2,6,2,2,4,40.0,0,0,0,0,
Neto,BRA,GK,Valencia,La Liga,29,1989,34,34,3060,34.0,34,1.00,134,109,79.9,13,14,7,10,29.4,8,7,1,0,12.5
Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,32,1986,26,26,2303,25.6,23,0.90,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0.0
Will Norris,ENG,GK,Wolves,Premier League,24,1993,1,0,,0.0,0,,0,0,,0,0,0,1,,0,0,0,0,
Alexander Nübel,GER,GK,Schalke 04,Bundesliga,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25.0
Jan Oblak,SVN,GK,Atlético Madrid,La Liga,25,1993,37,37,3330,37.0,27,0.73,123,103,82.1,22,9,6,20,54.1,5,5,0,0,0.0
Oier Olazábal,ESP,GK,Levante,La Liga,28,1989,21,21,1890,21.0,40,1.90,134,99,73.1,7,5,9,5,23.8,5,4,1,0,20.0
Alexandre Olliero,FRA,GK,Nantes,Ligue 1,22,1996,1,1,90,1.0,1,1.00,0,0,,0,0,1,0,0.0,1,1,0,0,0.0
Robin Olsen,SWE,GK,Roma,Serie A,28,1990,27,27,2430,27.0,42,1.56,124,87,69.4,12,8,7,4,14.8,6,4,0,2,0.0
David Ospina,COL,GK,Napoli,Serie A,29,1988,17,16,1457,16.2,20,1.24,63,44,69.8,9,4,3,5,31.3,1,1,0,0,0.0
Ramazan Özcan,AUT,GK,Leverkusen,Bundesliga,34,1984,2,2,180,2.0,5,2.50,12,8,66.7,0,0,2,0,0.0,2,1,1,0,50.0
Fernando Pacheco,ESP,GK,Alavés,La Liga,26,1992,35,35,3150,35.0,46,1.31,145,105,72.4,11,11,13,8,22.9,6,6,0,0,0.0
Rui Patrício,POR,GK,Wolves,Premier League,30,1988,37,37,3330,37.0,46,1.24,136,95,68.4,15,9,13,8,21.6,4,3,0,1,0.0
Jiří Pavlenka,CZE,GK,Werder Bremen,Bundesliga,26,1992,34,34,2978,33.1,47,1.42,153,108,71.2,14,11,9,5,14.7,4,3,0,1,0.0
Gianluca Pegolo,ITA,GK,Sassuolo,Serie A,37,1981,3,2,202,2.3,4,1.78,12,8,66.7,0,1,1,0,0.0,0,0,0,0,
Yohann Pelé,FRA,GK,Marseille,Ligue 1,35,1982,9,7,680,7.6,12,1.59,22,14,63.6,4,2,1,3,42.9,5,4,1,0,20.0
Mattia Perin,ITA,GK,Juventus,Serie A,25,1992,9,9,810,9.0,8,0.89,26,19,73.1,6,1,2,5,55.6,1,1,0,0,0.0
Pavao Pervan,AUT,GK,Wolfsburg,Bundesliga,30,1987,10,8,765,8.5,11,1.29,41,29,73.2,5,1,2,1,12.5,1,0,0,1,
Jordan Pickford,ENG,GK,Everton,Premier League,24,1994,38,38,3420,38.0,46,1.21,131,87,66.4,15,9,14,14,36.8,5,2,3,0,60.0
Carlo Pinsoglio,ITA,GK,Juventus,Serie A,28,1990,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
Luca Plogmann,GER,GK,Werder Bremen,Bundesliga,18,2000,1,0,37,0.4,1,2.43,0,0,,0,0,0,0,,1,1,0,0,0.0
Giacomo Poluzzi,ITA,GK,SPAL,Serie A,30,1988,1,0,5,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Gaëtan Poussin,FRA,GK,Bordeaux,Ligue 1,19,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,
Silvio Proto,BEL,GK,Lazio,Serie A,35,1983,2,2,180,2.0,4,2.00,13,9,69.2,1,0,1,0,0.0,0,0,0,0,
Ivan Provedel,ITA,GK,Empoli,Serie A,24,1994,16,16,1440,16.0,36,2.25,101,69,67.3,4,4,8,0,0.0,4,3,0,1,0.0
Ionuț Radu,ROU,GK,Genoa,Serie A,21,1997,33,33,2970,33.0,46,1.39,142,102,71.1,6,14,13,6,18.2,6,5,1,0,16.7
Pepe Reina,ESP,GK,Milan,Serie A,35,1982,4,2,328,3.7,5,1.37,12,8,66.7,1,0,1,1,50.0,1,1,0,0,0.0
Michael Rensing,GER,GK,Düsseldorf,Bundesliga,34,1984,32,32,2880,32.0,62,1.94,164,107,66.5,12,5,15,5,15.6,7,7,0,0,0.0
Baptiste Reynet,FRA,GK,Toulouse,Ligue 1,27,1990,31,31,2704,30.0,45,1.50,140,99,70.7,6,11,14,6,19.4,5,4,1,0,20.0
Sergio Rico,ESP,GK,Fulham,Premier League,24,1993,29,29,2610,29.0,56,1.93,159,107,67.3,6,3,20,5,17.2,4,4,0,0,0.0
Asier Riesgo,ESP,GK,Eibar,La Liga,34,1983,15,14,1260,14.0,20,1.43,45,26,55.6,2,8,4,4,28.6,0,0,0,0,
Joel Robles,ESP,GK,Betis,La Liga,28,1990,5,5,450,5.0,5,1.00,21,17,81.0,2,1,2,1,20.0,1,1,0,0,0.0
Frederik Rønnow,DEN,GK,Eint Frankfurt,Bundesliga,25,1992,2,1,122,1.4,0,0.00,8,8,100.0,1,0,0,1,100.0,0,0,0,0,
Francesco Rossi,ITA,GK,Atalanta,Serie A,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,
John Ruddy,ENG,GK,Wolves,Premier League,31,1986,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Stéphane Ruffier,FRA,GK,Saint-Étienne,Ligue 1,31,1986,37,37,3330,37.0,40,1.08,147,114,77.6,19,8,10,13,35.1,9,7,1,1,12.5
Gerónimo Rulli,ARG,GK,Real Sociedad,La Liga,26,1992,27,27,2430,27.0,35,1.30,108,77,69.4,10,9,8,7,25.9,3,2,1,0,33.3
Mathew Ryan,AUS,GK,Brighton,Premier League,26,1992,34,34,3060,34.0,55,1.62,139,92,66.2,8,8,18,6,17.6,8,8,0,0,0.0
Samuel Şahin-Radlinger,AUT,GK,Hannover 96,Bundesliga,25,1992,1,1,90,1.0,2,2.00,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
Brice Samba,CGO,GK,Caen,Ligue 1,24,1994,38,38,3420,38.0,54,1.42,182,134,73.6,7,12,19,9,23.7,8,6,2,0,25.0
Roberto Santamaría,ESP,GK,Huesca,La Liga,33,1985,20,20,1800,20.0,30,1.50,89,64,73.0,5,7,8,6,30.0,6,6,0,0,0.0
Kasper Schmeichel,DEN,GK,Leicester City,Premier League,31,1986,38,38,3420,38.0,48,1.26,134,91,67.9,15,7,16,10,26.3,5,5,0,0,0.0
Alexander Schwolow,GER,GK,Freiburg,Bundesliga,26,1992,33,33,2970,33.0,60,1.82,162,108,67.3,7,12,14,5,15.2,7,7,0,0,0.0
Simone Scuffet,ITA,GK,Udinese,Serie A,22,1996,9,9,810,9.0,13,1.44,36,24,66.7,2,2,5,2,22.2,1,1,0,0,0.0
Andrea Seculin,ITA,GK,Chievo,Serie A,28,1990,2,1,90,1.0,6,6.00,12,5,50.0,0,0,1,0,0.0,0,0,0,0,
Matz Sels,BEL,GK,Strasbourg,Ligue 1,26,1992,37,37,3330,37.0,48,1.30,151,111,72.8,10,16,11,8,21.6,9,7,2,0,22.2
