Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,19.9,0,0,0,2.9,2.9,0.06,+0.1,+0.1
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,0.1,0,1,0,0.0,10.00,0.00,0.00,,30.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38.0,0,18,4,22.2,0.47,0.11,0.00,0.00,13.1,0,0,0,1.7,1.7,0.09,-1.7,-1.7
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,22.5,3,35,11,31.4,1.56,0.49,0.06,0.18,22.9,0,1,1,3.1,2.4,0.07,-0.1,-0.4
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,0.4,0,1,0,0.0,2.81,0.00,0.00,,12.0,0,0,0,0.2,0.2,0.16,-0.2,-0.2
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,12.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,25.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,36.8,3,19,7,36.8,0.52,0.19,0.16,0.43,8.6,0,0,0,3.0,3.0,0.16,0.0,0.0
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,16.8,2,23,7,30.4,1.37,0.42,0.09,0.29,20.8,0,0,0,1.6,1.6,0.07,+0.4,+0.4
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,0,3,1,33.3,0.37,0.12,0.00,0.00,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aday,ESP,DF,Girona,La Liga,30,1987,7.2,0,9,3,33.3,1.26,0.42,0.00,0.00,28.4,2,0,0,0.2,0.2,0.02,-0.2,-0.2
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,22.2,0,11,0,0.0,0.50,0.00,0.00,,9.1,0,0,0,0.9,0.9,0.08,-0.9,-0.9
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,3.0,1,3,1,33.3,1.00,0.33,0.33,1.00,19.3,0,0,0,0.5,0.5,0.17,+0.5,+0.5
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,2.4,0,1,0,0.0,0.42,0.00,0.00,,47.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,1.8,0,3,0,0.0,1.63,0.00,0.00,,17.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,10.5,2,14,7,50.0,1.34,0.67,0.00,0.00,12.1,0,2,2,3.4,1.8,0.13,-1.4,-1.8
Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,1,17,5,29.4,0.64,0.19,0.06,0.20,21.7,0,0,0,0.9,0.9,0.05,+0.1,+0.1
Martin Agirregabiria,ESP,DF,Alavés,La Liga,22,1996,22.6,0,2,0,0.0,0.09,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,1996,11.7,3,10,4,40.0,0.86,0.34,0.30,0.75,12.6,0,0,0,1.5,1.5,0.15,+1.5,+1.5
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,21,113,42,37.2,4.14,1.54,0.17,0.45,14.3,3,2,2,19.5,18.0,0.16,+1.5,+1.0
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,21.7,0,0,0,0.7,0.7,0.06,+0.3,+0.3
Juan Aguilera,ESP,MF,Huesca,La Liga,32,1985,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,17.8,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,1990,1.8,0,3,0,0.0,1.68,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,24,1994,11.9,0,14,3,21.4,1.17,0.25,0.00,0.00,18.3,0,0,0,0.6,0.6,0.04,-0.6,-0.6
