Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,2.3,14,4,8,6,0,3,7,42.9,4,66,12,18.2,36,24,6,7,0,0,7,5,19,9,0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,35.5,52,30,36,12,4,18,43,41.9,25,341,112,32.8,228,78,35,52,11,0,41,57,109,73,1
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,14.5,37,21,19,14,4,13,30,43.3,17,199,56,28.1,102,77,20,34,5,0,29,14,51,53,1
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38.0,67,35,51,15,1,26,43,60.5,17,359,128,35.7,271,80,8,78,24,0,54,46,113,240,2
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,22.5,58,40,28,22,8,13,41,31.7,28,449,117,26.1,137,237,75,37,10,0,27,24,82,22,0
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,0.4,6,4,3,1,2,4,5,80.0,1,11,2,18.2,4,1,6,0,0,0,0,1,7,0,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,15.8,28,19,17,9,2,8,26,30.8,18,181,68,37.6,112,60,9,40,11,1,29,15,43,65,0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,8.8,19,12,8,8,3,4,20,20.0,16,202,48,23.8,71,106,25,11,2,0,9,12,31,10,0
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,36.8,51,30,29,16,6,14,26,53.8,12,259,96,37.1,173,71,15,63,31,0,32,43,94,181,2
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,16.8,26,13,10,12,4,3,15,20.0,12,308,65,21.1,101,153,54,17,1,0,16,7,33,13,0
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,27,21,12,11,4,11,22,50.0,11,210,81,38.6,65,112,33,13,1,0,12,11,38,11,0
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Aday,ESP,DF,Girona,La Liga,30,1987,7.2,13,7,5,7,1,9,17,52.9,8,87,21,24.1,33,37,17,9,1,0,8,8,21,10,0
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,22.2,31,24,20,11,0,13,31,41.9,18,158,68,43.0,85,67,6,36,11,0,25,19,50,118,0
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,3.0,7,3,3,2,2,1,2,50.0,1,47,13,27.7,24,14,9,3,1,0,2,3,10,3,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,2.4,3,1,0,2,1,2,4,50.0,2,57,16,28.1,13,29,15,3,0,0,3,1,4,1,0
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,1.8,3,2,3,0,0,1,5,20.0,4,21,6,28.6,10,9,2,2,1,0,1,3,6,4,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,10.5,5,3,2,3,0,0,5,0.0,5,121,27,22.3,7,63,51,4,1,0,3,1,6,4,0
Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,26.5,54,34,38,11,5,16,38,42.1,22,371,116,31.3,199,134,38,41,3,0,38,16,70,50,1
Martin Agirregabiria,ESP,DF,Alavés,La Liga,22,1996,22.6,46,28,30,12,4,28,52,53.8,24,222,52,23.4,129,63,30,40,8,1,32,28,74,85,0
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,1996,11.7,20,14,11,9,0,6,17,35.3,11,137,38,27.7,82,50,5,23,8,0,15,4,24,95,1
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,27.3,20,18,2,7,11,3,10,30.0,7,360,116,32.2,23,121,216,17,5,0,12,16,36,2,0
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,28.1,97,55,39,35,23,36,75,48.0,39,555,160,28.8,235,247,73,45,5,0,40,26,123,48,2
Juan Aguilera,ESP,MF,Huesca,La Liga,32,1985,3.8,2,2,0,1,1,1,12,8.3,11,41,8,19.5,8,27,6,7,3,0,4,2,4,3,0
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,1990,1.8,5,4,1,3,1,1,3,33.3,2,34,6,17.6,10,18,6,1,0,0,1,0,5,5,0
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,24,1994,11.9,25,17,11,10,4,9,22,40.9,13,219,63,28.8,65,134,20,10,0,0,10,11,36,13,0
Antonis Aidonis,GER,DF,Stuttgart,Bundesliga,17,2001,0.9,1,1,0,1,0,1,3,33.3,2,27,7,25.9,12,12,3,2,0,0,2,2,3,2,0
Ola Aina,NGA,DF,Torino,Serie A,21,1996,24.0,64,44,40,17,7,21,53,39.6,32,468,152,32.5,212,194,62,67,4,1,63,34,98,41,0
Youssef Aït Bennasser,MAR,MF,Monaco,Ligue 1,22,1996,11.9,29,24,14,15,0,10,40,25.0,30,255,69,27.1,96,139,20,20,5,0,15,11,40,18,0
Youssef Aït Bennasser,MAR,MF,Saint-Étienne,Ligue 1,22,1996,10.4,21,16,7,10,4,7,38,18.4,31,319,78,24.5,98,193,28,22,3,0,19,9,30,3,1
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,17,2001,0.6,2,2,1,1,0,0,0,,0,9,4,44.4,7,1,1,0,0,0,0,0,2,2,0
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,24,1994,17.0,15,7,0,8,7,6,17,35.3,11,277,57,20.6,14,155,108,9,2,0,7,6,21,9,0
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,23,1995,24.5,34,25,19,11,4,5,19,26.3,14,161,60,37.3,92,63,6,27,12,0,15,17,51,102,1
Carlos Akapo,EQG,DF,Huesca,La Liga,25,1993,11.4,33,17,22,9,2,14,29,48.3,15,171,44,25.7,99,50,22,16,2,0,14,17,50,38,0
Nathan Aké,NED,DF,Bournemouth,Premier League,23,1995,37.9,62,37,43,16,3,17,34,50.0,17,375,126,33.6,251,110,14,77,43,2,34,61,123,206,1
Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2.0,4,3,4,0,0,1,1,100.0,0,14,7,50.0,9,3,2,2,0,0,2,1,5,8,0
Chadrac Akolo,COD,MF,Stuttgart,Bundesliga,23,1995,5.8,7,5,2,5,0,0,4,0.0,4,138,35,25.4,16,77,45,6,0,0,6,2,9,2,0
