Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,23,1995,5.5,22,11,11,11,0,8,19,42.1,11,107,43,40.2,62,43,2,22,5,0,17,7,29,13,3
Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,3.5,6,4,4,1,1,2,4,50.0,2,49,15,30.6,33,14,2,10,2,0,8,4,10,17,0
David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,28.1,30,21,13,11,6,9,26,34.6,17,249,108,43.4,85,93,71,48,3,0,45,15,45,41,0
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,20,1998,21.1,73,36,44,26,3,27,69,39.1,42,421,131,31.1,247,131,43,43,6,0,37,29,102,53,0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,25,1992,14.1,13,9,4,7,2,2,12,16.7,10,287,90,31.4,17,133,137,14,3,0,11,1,14,11,0
Jordi Alba,ESP,DF,Barcelona,La Liga,29,1989,33.2,45,33,23,15,7,18,53,34.0,35,450,154,34.2,174,190,86,74,7,0,67,41,86,75,0
Luis Alberto,ESP,MF,Lazio,Serie A,25,1992,22.1,46,28,11,28,7,18,61,29.5,43,590,175,29.7,111,315,164,32,3,0,29,11,57,5,0
Raúl Albiol,ESP,DF,Napoli,Serie A,32,1985,19.0,23,17,19,4,0,7,18,38.9,11,107,35,32.7,73,31,3,31,18,1,13,18,41,90,1
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,27,1990,18.4,40,25,30,8,2,18,48,37.5,30,298,86,28.9,145,112,41,36,3,0,33,6,46,38,0
Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,18.1,42,24,19,17,6,18,46,39.1,28,337,100,29.7,119,139,79,29,3,0,26,25,67,20,0
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,24,1993,13.5,4,4,1,2,1,0,8,0.0,8,189,43,22.8,12,77,100,6,0,0,6,7,11,5,0
Pedro Alcalá,ESP,DF,Girona,La Liga,29,1989,20.8,31,20,23,8,0,15,25,60.0,10,167,46,27.5,105,59,3,25,16,1,9,29,60,178,1
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,27,1991,26.8,85,66,32,40,13,16,45,35.6,29,388,127,32.7,91,239,58,29,6,0,23,35,120,25,0
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,27,1991,33.1,98,66,56,37,5,38,119,31.9,81,706,194,27.5,299,371,36,60,9,0,51,34,132,62,1
Toby Alderweireld,BEL,DF,Tottenham,Premier League,29,1989,32.5,40,19,29,10,1,11,28,39.3,17,203,74,36.5,118,77,8,52,25,1,27,42,82,162,1
Álex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,1.6,1,1,0,1,0,1,5,20.0,4,33,10,30.3,4,19,10,2,0,0,2,0,1,0,0
Alexis Alegue,FRA,FW,Nantes,Ligue 1,21,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Iván Alejo,ESP,MF,Getafe,La Liga,23,1995,1.6,1,0,0,1,0,0,6,0.0,6,54,9,16.7,8,36,10,1,0,0,1,0,1,1,0
Carles Aleñá,ESP,MF,Barcelona,La Liga,20,1998,7.1,6,3,1,5,0,1,8,12.5,7,181,42,23.2,20,112,49,5,0,0,5,4,10,4,0
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,23,1995,25.0,0,0,0,0,0,0,5,0.0,5,4,0,0.0,4,0,0,0,0,0,0,0,0,2,2
Alexander,ARG,DF,Leganés,La Liga,29,1988,0.1,1,1,1,0,0,1,2,50.0,1,1,0,0.0,1,0,0,1,0,0,1,0,1,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,19,1998,27.4,59,28,29,22,8,26,66,39.4,40,308,99,32.1,137,104,67,38,3,1,35,55,114,67,0
Rachid Alioui,MAR,FW,Nîmes,Ligue 1,26,1992,13.9,9,6,1,6,2,4,15,26.7,11,271,68,25.1,17,143,111,18,1,0,17,3,12,8,0
Alisson,BRA,GK,Liverpool,Premier League,25,1992,38.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,1,1,1,4
Bobby Allain,FRA,GK,Dijon,Ligue 1,26,1991,13.0,0,0,0,0,0,0,1,0.0,1,4,3,75.0,4,0,0,0,0,0,0,0,0,1,3
Allan,BRA,MF,Napoli,Serie A,27,1991,29.1,124,92,45,61,18,42,129,32.6,87,939,264,28.1,258,536,145,66,9,0,57,16,140,25,0
Allan,BRA,MF,Eint Frankfurt,Bundesliga,21,1997,2.0,4,3,3,0,1,1,4,25.0,3,45,10,22.2,18,21,6,6,2,0,4,0,4,0,0
Dele Alli,ENG,MF,Tottenham,Premier League,22,1996,20.3,34,23,6,16,12,8,28,28.6,20,372,116,31.2,95,169,108,37,6,1,31,22,56,15,0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,24,1994,8.4,17,11,7,8,2,3,10,30.0,7,211,58,27.5,42,116,53,16,2,0,14,4,21,5,0
Júnior Alonso,PAR,DF,Celta Vigo,La Liga,25,1993,6.0,11,6,6,4,1,3,15,20.0,12,62,18,29.0,32,23,7,16,2,0,14,3,14,17,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,27,1990,30.7,74,41,46,21,7,30,62,48.4,32,445,143,32.1,219,143,83,59,4,0,55,60,134,93,1
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,29,1989,6.3,12,3,8,3,1,4,6,66.7,2,54,15,27.8,31,13,10,12,2,0,10,5,17,24,0
Sergio Álvarez,ESP,MF,Eibar,La Liga,26,1992,11.9,30,22,9,19,2,10,22,45.5,12,163,50,30.7,60,87,16,16,3,0,13,10,40,56,1
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,31,1986,13.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,23,1995,29.0,54,34,39,14,1,18,45,40.0,27,204,78,38.2,131,65,8,42,15,0,27,51,105,216,1
Bruno Alves,POR,DF,Parma,Serie A,36,1981,32.5,16,8,13,3,0,3,12,25.0,9,188,54,28.7,141,43,4,50,32,1,18,15,31,243,0
Dani Alves,BRA,MF,Paris S-G,Ligue 1,35,1983,18.0,43,29,17,22,4,13,41,31.7,28,472,128,27.1,118,256,98,26,4,0,22,9,52,10,1
Alfons Amade,GER,MF,Hoffenheim,Bundesliga,18,1999,0.1,1,0,0,1,0,0,2,0.0,2,4,1,25.0,2,2,0,1,0,0,1,0,1,1,0
Ibrahim Amadou,FRA,MF,Sevilla,La Liga,25,1993,8.5,27,20,11,13,3,5,13,38.5,8,135,43,31.9,52,69,14,8,3,0,5,7,34,26,0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,28,1989,28.0,59,41,19,37,3,18,80,22.5,62,603,151,25.0,169,359,75,50,13,2,37,34,93,39,0
Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,7.1,20,11,14,5,1,12,20,60.0,8,93,32,34.4,59,30,4,14,4,0,10,17,37,25,1
Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,30.7,45,28,29,16,0,20,46,43.5,26,265,98,37.0,173,88,4,56,12,0,44,30,75,146,0
Amath,SEN,MF,Getafe,La Liga,22,1996,11.1,17,10,5,11,1,5,27,18.5,22,287,61,21.3,70,144,73,20,0,0,20,11,28,6,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,24,1994,24.2,69,29,37,21,11,27,47,57.4,20,325,111,34.2,196,93,36,56,9,0,47,32,101,82,1
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,20,1998,32.0,77,46,59,14,4,21,41,51.2,20,459,152,33.1,281,131,47,60,15,0,45,23,100,121,1
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,21,1996,8.4,20,12,8,9,3,5,19,26.3,14,159,46,28.9,45,85,29,9,0,0,9,6,26,4,0
Yanis Ammour,FRA,MF,Montpellier,Ligue 1,19,1999,0.0,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,0
Luke Amos,ENG,MF,Tottenham,Premier League,21,1997,0.0,1,1,1,0,0,0,0,,0,1,1,100.0,0,1,0,0,0,0,0,0,1,1,0
Joachim Andersen,DEN,DF,Sampdoria,Serie A,22,1996,32.0,32,20,29,3,0,14,30,46.7,16,155,47,30.3,99,50,6,38,18,0,20,18,50,146,3
Felipe Anderson,BRA,MF,West Ham,Premier League,25,1993,33.8,79,46,31,36,12,26,108,24.1,82,630,164,26.0,201,296,133,66,0,0,66,62,141,7,1
Florin Andone,ROU,FW,Brighton,Premier League,25,1993,9.8,15,12,5,5,5,3,7,42.9,4,215,50,23.3,36,79,100,8,1,0,7,2,17,12,0
Benjamin André,FRA,MF,Rennes,Ligue 1,27,1990,27.7,92,66,37,41,14,26,110,23.6,84,715,205,28.7,219,385,111,52,7,0,45,37,129,65,0
Marco Andreolli,ITA,DF,Cagliari,Serie A,32,1986,1.2,1,1,1,0,0,1,2,50.0,1,6,0,0.0,6,0,0,2,1,0,1,1,2,7,0
Marco Andreolli,ITA,DF,Chievo,Serie A,32,1986,7.2,9,7,5,4,0,4,11,36.4,7,67,15,22.4,42,23,2,6,2,0,4,4,13,58,1
Yoann Andreu,FRA,DF,Angers,Ligue 1,29,1989,0.0,0,0,0,0,0,0,1,0.0,1,6,1,16.7,5,1,0,0,0,0,0,0,0,1,0
José Ángel,ESP,DF,Eibar,La Liga,28,1989,33.6,73,44,39,26,8,29,60,48.3,31,396,140,35.4,193,155,48,57,6,1,51,40,113,132,0
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,31,1986,20.1,44,24,18,20,6,11,33,33.3,22,340,102,30.0,113,164,63,40,3,0,37,15,59,29,0
Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,23.7,11,7,3,3,5,5,13,38.5,8,382,63,16.5,46,194,142,12,0,0,12,6,17,2,0
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,22,1996,34.0,51,35,38,11,2,20,49,40.8,29,296,99,33.4,201,85,10,65,34,1,31,46,97,193,4
Luca Antonelli,ITA,DF,Empoli,Serie A,31,1987,8.4,12,9,4,3,5,5,15,33.3,10,110,40,36.4,46,43,21,30,3,0,27,10,22,27,0
Mauro Antonio Burruchaga,ARG,MF,Chievo,Serie A,20,1998,0.6,2,2,0,2,0,0,2,0.0,2,17,6,35.3,4,9,4,2,1,0,1,0,2,3,0
Michail Antonio,JAM,FW,West Ham,Premier League,28,1990,23.4,30,21,12,9,9,11,20,55.0,9,300,75,25.0,77,118,105,51,5,0,46,26,56,23,0
Antoñito,ESP,DF,Valladolid,La Liga,30,1987,20.7,37,13,18,13,6,18,51,35.3,33,299,58,19.4,137,118,44,38,7,1,31,11,48,31,0
Vitorino Antunes,POR,DF,Getafe,La Liga,31,1987,24.2,43,26,25,16,2,27,50,54.0,23,348,100,28.7,179,118,51,61,9,0,52,25,68,70,1
Anuar,MAR,MF,Valladolid,La Liga,23,1995,12.0,30,19,16,13,1,10,17,58.8,7,276,67,24.3,95,160,21,23,1,0,22,7,37,29,2
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,31,1987,11.4,13,8,4,8,1,4,14,28.6,10,138,45,32.6,49,74,15,8,1,0,7,12,25,18,0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,20,1998,34.0,57,36,27,20,10,12,63,19.0,51,595,163,27.4,181,302,112,42,5,0,37,31,88,20,0
Emmanuel Apeh,NGA,MF,Celta Vigo,La Liga,21,1996,0.2,0,0,0,0,0,0,1,0.0,1,5,1,20.0,0,3,2,0,0,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,22,1995,29.7,76,54,19,48,9,23,78,29.5,55,858,200,23.3,195,539,124,55,4,0,51,25,101,33,0
Guilherme Arana,BRA,MF,Sevilla,La Liga,21,1997,7.0,6,5,3,3,0,2,6,33.3,4,90,27,30.0,44,34,12,6,2,0,4,3,9,11,0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,29,1989,21.0,47,33,18,25,4,13,68,19.1,55,453,150,33.1,140,235,78,36,2,0,34,23,70,28,0
Luiz Araújo,BRA,FW,Lille,Ligue 1,22,1996,8.7,23,11,7,13,3,9,25,36.0,16,233,58,24.9,37,122,74,7,1,0,6,1,24,3,0
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,26,1991,29.8,36,24,26,9,1,18,33,54.5,15,222,61,27.5,164,50,8,48,20,2,28,23,59,190,3
Anaitz Arbilla,ESP,DF,Eibar,La Liga,31,1987,21.7,31,18,25,5,1,12,25,48.0,13,141,40,28.4,84,51,6,26,8,0,18,28,59,146,5
Joaquín Ardaiz,URU,FW,Frosinone,Serie A,19,1999,0.2,0,0,0,0,0,0,0,,0,10,1,10.0,0,4,6,0,0,0,0,0,0,0,0
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,25,1993,21.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0
Santiago Arias,COL,DF,Atlético Madrid,La Liga,26,1992,19.7,55,34,40,15,0,13,36,36.1,23,206,82,39.8,115,70,21,28,1,0,27,25,80,46,0
Lorenzo Ariaudo,ITA,DF,Frosinone,Serie A,29,1989,18.7,20,12,14,5,1,4,10,40.0,6,135,46,34.1,101,28,6,42,24,0,18,11,31,124,0
Nicolò Armini,ITA,DF,Lazio,Serie A,17,2001,0.4,0,0,0,0,0,0,0,,0,10,1,10.0,7,2,1,1,0,0,1,0,0,0,0
Yoël Armougom,FRA,DF,Caen,Ligue 1,20,1998,20.6,37,18,25,10,2,14,39,35.9,25,324,91,28.1,193,108,23,15,2,0,13,8,45,69,0
Stuart Armstrong,SCO,MF,Southampton,Premier League,26,1992,15.9,32,11,14,9,9,10,45,22.2,35,316,89,28.2,69,159,88,18,0,0,18,19,51,10,0
José Arnaiz,ESP,DF,Leganés,La Liga,23,1995,1.3,2,1,2,0,0,1,4,25.0,3,28,4,14.3,12,14,2,0,0,0,0,1,3,1,0
Marko Arnautović,AUT,FW,West Ham,Premier League,29,1989,22.1,14,8,4,7,3,3,12,25.0,9,280,67,23.9,27,106,147,8,1,0,7,4,18,8,0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,24,1994,31.9,53,33,26,24,3,27,70,38.6,43,526,123,23.4,174,265,87,46,13,0,33,38,91,47,0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,23,1994,36.0,0,0,0,0,0,0,1,0.0,1,4,0,0.0,4,0,0,0,0,0,0,0,0,0,0
Harry Arter,IRL,MF,Cardiff City,Premier League,28,1989,22.2,54,39,16,29,9,7,43,16.3,36,620,166,26.8,161,326,133,27,5,0,22,36,90,18,0
Kwadwo Asamoah,GHA,DF,Inter,Serie A,29,1988,29.7,45,21,22,17,6,22,52,42.3,30,270,84,31.1,111,120,39,43,7,1,36,30,75,49,1
Takuma Asano,JPN,MF,Hannover 96,Bundesliga,23,1994,7.8,5,4,3,0,2,1,5,20.0,4,195,48,24.6,53,90,52,10,0,0,10,2,7,1,1
Santiago Ascacíbar,ARG,MF,Stuttgart,Bundesliga,21,1997,27.0,78,41,47,29,2,22,78,28.2,56,628,168,26.8,286,280,62,59,13,0,46,23,101,40,1
Sergio Asenjo,ESP,GK,Villarreal,La Liga,29,1989,32.0,0,0,0,0,0,0,1,0.0,1,0,0,,0,0,0,1,0,0,1,0,0,2,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,22,1996,19.8,14,8,5,6,3,3,24,12.5,21,257,63,24.5,46,121,90,17,0,0,17,16,30,3,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,30,1987,25.0,14,10,5,5,4,3,18,16.7,15,475,114,24.0,43,274,158,14,0,0,14,16,30,4,0
Simon Asta,GER,DF,Augsburg,Bundesliga,17,2001,1.0,3,1,2,1,0,0,1,0.0,1,15,2,13.3,12,1,2,3,1,0,2,4,7,1,0
Youcef Atal,ALG,DF,Nice,Ligue 1,22,1996,25.1,61,33,33,24,4,27,68,39.7,41,462,137,29.7,206,178,78,58,9,1,49,26,87,44,0
Christian Atsu,GHA,MF,Newcastle Utd,Premier League,26,1992,16.6,27,15,14,9,4,4,16,25.0,12,300,81,27.0,82,132,86,16,3,0,13,13,40,10,0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,29,1989,30.3,27,15,7,10,10,7,36,19.4,29,482,143,29.7,64,211,207,36,1,0,35,9,36,18,0
Emil Audero,ITA,GK,Sampdoria,Serie A,21,1997,36.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2
Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,21,1997,5.1,0,0,0,0,0,0,2,0.0,2,98,37,37.8,8,29,61,8,0,0,8,5,5,0,0
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,24,1994,33.6,55,31,29,19,7,20,47,42.6,27,432,114,26.4,218,156,58,57,9,0,48,29,84,75,0
Serge Aurier,CIV,DF,Tottenham,Premier League,25,1992,6.3,20,13,16,3,1,5,13,38.5,8,106,32,30.2,57,34,15,14,2,0,12,9,29,17,1
Charlie Austin,ENG,FW,Southampton,Premier League,29,1989,10.9,11,7,3,3,5,5,11,45.5,6,180,43,23.9,16,68,96,15,2,0,13,1,12,13,0
Ezequiel Ávila,ARG,FW,Huesca,La Liga,24,1994,22.2,21,15,9,9,3,7,34,20.6,27,423,95,22.5,55,200,168,22,4,1,18,18,39,34,0
Jordan Ayew,GHA,FW,Crystal Palace,Premier League,26,1991,13.1,41,23,12,21,8,7,19,36.8,12,435,137,31.5,61,235,139,18,1,0,17,11,52,7,0
Kaan Ayhan,TUR,DF,Düsseldorf,Bundesliga,23,1994,27.2,61,40,49,12,0,20,45,44.4,25,218,94,43.1,164,47,7,42,18,0,24,40,101,132,0
Floyd Ayité,TOG,FW,Fulham,Premier League,29,1988,5.3,7,5,3,2,2,3,7,42.9,4,94,23,24.5,29,43,22,12,2,0,10,6,13,4,0
César Azpilicueta,ESP,DF,Chelsea,Premier League,28,1989,37.8,108,61,63,34,11,29,67,43.3,38,561,163,29.1,264,208,89,89,19,0,70,55,163,88,0
Abdoulaye Ba,SEN,DF,Rayo Vallecano,La Liga,27,1991,23.4,48,28,39,7,2,22,37,59.5,15,191,52,27.2,133,53,5,46,19,1,27,26,74,180,5
Florian Baak,GER,MF,Hertha BSC,Bundesliga,19,1999,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ludovic Baal,GUF,DF,Rennes,Ligue 1,32,1986,1.4,3,1,3,0,0,0,1,0.0,1,20,8,40.0,13,5,2,1,0,0,1,0,3,2,0
Khouma Babacar,SEN,FW,Sassuolo,Serie A,25,1993,16.5,8,8,2,5,1,1,13,7.7,12,293,58,19.8,19,128,146,7,3,0,4,6,14,23,0
Ryan Babel,NED,FW,Fulham,Premier League,31,1986,13.9,13,8,6,4,3,4,10,40.0,6,201,55,27.4,54,86,61,17,0,0,17,10,23,11,0
Carlos Bacca,COL,FW,Villarreal,La Liga,31,1986,14.1,6,5,3,1,2,2,10,20.0,8,176,28,15.9,14,95,67,5,0,0,5,6,12,4,0
Juninho Bacuna,CUW,MF,Huddersfield,Premier League,20,1997,15.7,41,23,21,15,5,14,53,26.4,39,360,101,28.1,125,186,49,29,1,0,28,26,67,12,0
Leandro Bacuna,CUW,MF,Cardiff City,Premier League,26,1991,6.2,13,9,6,5,2,5,21,23.8,16,146,31,21.2,55,80,11,12,2,0,10,14,27,13,0
Milan Badelj,CRO,MF,Lazio,Serie A,29,1989,12.7,35,21,11,19,5,9,31,29.0,22,234,59,25.2,75,132,27,36,9,0,27,28,63,14,0
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,17,2001,19.6,31,18,21,10,0,11,29,37.9,18,130,39,30.0,79,46,5,16,9,0,7,20,51,89,1
