Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,2.3,80,122,65.6,1603,786,33,40,82.5,36,59,61.0,11,18,61.1,0,0.5,-0.5,1,6,2,2,12
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,35.5,1587,1970,80.6,26431,11506,821,931,88.2,605,733,82.5,136,242,56.2,2,3.1,-1.1,31,110,58,11,205
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,14.5,766,918,83.4,14840,5802,301,325,92.6,358,401,89.3,100,167,59.9,0,0.3,-0.3,7,73,13,4,77
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,0.1,1,2,50.0,32,9,0,1,0.0,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38.0,1318,1576,83.6,30166,10127,286,339,84.4,758,818,92.7,269,394,68.3,0,0.1,-0.1,3,51,3,0,59
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,22.5,919,1081,85.0,17137,3889,403,438,92.0,377,431,87.5,121,183,66.1,0,1.5,-1.5,23,87,11,2,72
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,0.4,6,16,37.5,58,15,5,7,71.4,1,4,25.0,0,3,0.0,0,0.0,0.0,0,0,2,0,2
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,15.8,520,671,77.5,12124,4564,141,171,82.5,243,288,84.4,132,199,66.3,0,0.1,-0.1,3,58,7,3,66
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,8.8,333,384,86.7,5636,968,153,174,87.9,150,162,92.6,26,34,76.5,0,0.1,-0.1,2,22,1,0,16
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,36.8,1554,1787,87.0,33525,10694,443,500,88.6,810,875,92.6,287,389,73.8,1,0.6,+0.4,8,112,6,2,94
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,16.8,591,735,80.4,10181,2575,279,311,89.7,266,316,84.2,43,84,51.2,0,0.6,-0.6,11,64,14,3,60
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,8.0,416,516,80.6,6997,2224,208,249,83.5,162,193,83.9,40,56,71.4,2,0.7,+1.3,5,49,4,0,52
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,12,24,50.0,369,247,1,1,100.0,6,6,100.0,5,17,29.4,0,0.0,0.0,0,0,0,0,0
Aday,ESP,DF,Girona,La Liga,30,1987,7.2,230,325,70.8,4875,1724,81,91,89.0,97,126,77.0,46,94,48.9,2,0.8,+1.2,14,8,10,10,12
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,22.2,842,967,87.1,19080,6527,203,230,88.3,453,486,93.2,179,239,74.9,0,0.1,-0.1,3,62,4,0,63
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,3.0,77,101,76.2,1199,378,41,50,82.0,28,33,84.8,6,8,75.0,0,0.1,-0.1,2,2,3,0,4
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,2.4,111,151,73.5,1935,591,48,60,80.0,49,63,77.8,11,23,47.8,0,0.9,-0.9,6,13,3,1,16
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,1.8,78,123,63.4,1504,612,35,48,72.9,32,46,69.6,10,23,43.5,0,0.2,-0.2,3,6,2,1,10
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,10.5,149,237,62.9,2052,331,92,135,68.1,44,74,59.5,7,17,41.2,0,0.4,-0.4,5,10,3,1,8
