Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1.0,2,0,0,0,0,2.1,0.30,+0.1,+0.12,4,16,25.0,14,3,57.1,40.9,10,80.0,55.4,9,0,0.0,0,0.00,15.3
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,23,1995,25.0,43,2,2,5,0,34.9,0.35,-8.1,-0.32,185,415,44.6,628,105,41.7,37.8,203,75.4,56.3,201,17,8.5,19,0.76,15.4
Alisson,BRA,GK,Liverpool,Premier League,25,1992,38.0,22,0,0,5,0,27.9,0.29,+5.9,+0.15,195,401,48.6,1056,198,27.0,32.5,216,53.7,46.7,265,19,7.2,46,1.21,16.7
Bobby Allain,FRA,GK,Dijon,Ligue 1,26,1991,13.0,17,1,0,2,1,19.1,0.26,+3.1,+0.24,140,302,46.4,340,70,58.2,44.9,126,82.5,57.7,143,24,16.8,11,0.85,15.8
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,31,1986,13.0,22,2,1,2,1,17.4,0.28,-3.6,-0.27,102,248,41.1,320,43,48.8,40.3,124,74.2,55.1,146,10,6.8,4,0.31,12.2
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11.0,11,0,0,1,0,9.8,0.30,-1.2,-0.11,84,150,56.0,285,33,35.1,34.3,77,64.9,46.5,122,13,10.7,12,1.09,17.6
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,25,1993,21.0,17,4,0,1,1,19.8,0.26,+3.8,+0.18,70,127,55.1,374,95,22.7,28.3,134,31.3,35.2,172,6,3.5,14,0.67,13.2
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,23,1994,36.0,39,1,0,6,0,37.0,0.30,-2.0,-0.06,182,321,56.7,901,159,22.8,29.0,260,44.6,40.6,244,19,7.8,22,0.61,16.3
Sergio Asenjo,ESP,GK,Villarreal,La Liga,29,1989,32.0,45,2,2,4,3,45.5,0.27,+3.5,+0.11,187,460,40.7,554,128,50.9,42.7,251,70.9,55.4,388,39,10.1,21,0.66,14.7
Emil Audero,ITA,GK,Sampdoria,Serie A,21,1997,36.0,51,7,2,6,1,51.8,0.32,+1.8,+0.05,144,428,33.6,863,186,32.1,31.8,295,51.2,41.9,389,33,8.5,25,0.69,15.0
Francesco Bardi,ITA,GK,Frosinone,Serie A,26,1992,3.0,5,0,1,0,0,4.2,0.38,-0.8,-0.27,11,40,27.5,59,15,49.2,40.2,15,73.3,54.8,24,4,16.7,0,0.00,10.4
Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,28,1990,33.0,51,6,0,5,1,52.5,0.30,+2.5,+0.08,210,453,46.4,1047,183,32.5,32.6,242,46.7,42.9,298,25,8.4,44,1.33,16.8
Asmir Begović,BIH,GK,Bournemouth,Premier League,31,1987,24.0,47,2,0,6,2,37.6,0.36,-7.4,-0.31,135,345,39.1,467,121,45.8,40.2,193,67.9,53.5,232,22,9.5,9,0.38,13.1
Diego Benaglio,SUI,GK,Monaco,Ligue 1,34,1983,22.9,38,3,0,3,1,31.9,0.30,-5.1,-0.22,91,237,38.4,459,105,31.6,33.3,159,57.9,46.4,226,18,8.0,6,0.26,12.3
Walter Benítez,ARG,GK,Nice,Ligue 1,25,1993,35.0,29,2,0,5,1,40.2,0.27,+12.2,+0.35,170,402,42.3,837,199,27.2,31.0,306,56.9,45.5,371,17,4.6,13,0.37,12.9
Etrit Berisha,ALB,GK,Atalanta,Serie A,29,1989,18.0,25,1,1,5,3,22.5,0.34,+0.5,+0.03,90,214,42.1,347,94,32.0,33.5,129,79.8,55.3,144,20,13.9,16,0.89,15.9
Paul Bernardoni,FRA,GK,Nîmes,Ligue 1,21,1997,38.0,58,4,0,4,0,60.5,0.32,+2.5,+0.07,248,716,34.6,823,162,57.2,44.9,290,84.5,60.5,289,21,7.3,20,0.53,14.7
