Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Tyler Adams,USA,MF,RB Leipzig,Bundesliga,19,1999,10,721,72,23.6,8.0,8,85,6,2,23,1,2.10,18,2,+16,+2.00,+1.30,16.0,6.1,+9.9,+1.23,+0.62
Antonio Adán,ESP,GK,Atlético Madrid,La Liga,31,1987,1,90,90,2.6,1.0,1,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.6,2.4,-0.9,-0.87,-1.08
Aday,ESP,DF,Girona,La Liga,30,1987,10,645,65,18.9,7.2,8,76,4,2,18,0,1.20,10,10,0,0.00,+0.52,7.1,9.9,-2.7,-0.38,-0.07
Khaled Adénon,BEN,DF,Amiens,Ligue 1,33,1985,23,1994,87,58.3,22.2,22,89,20,1,45,10,0.91,16,32,-16,-0.72,-0.41,18.9,26.4,-7.5,-0.34,-0.07
Claud Adjapong,ITA,MF,Sassuolo,Serie A,20,1998,5,270,54,7.9,3.0,3,81,1,2,14,21,1.40,3,2,+1,+0.33,+0.56,2.1,3.8,-1.7,-0.57,-0.31
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,18,2000,7,216,31,6.3,2.4,2,71,0,5,15,3,0.57,0,2,-2,-0.83,-0.66,1.8,2.6,-0.8,-0.33,+0.01
Ali Adnan Kadhim,IRQ,MF,Atalanta,Serie A,24,1993,3,166,55,4.9,1.8,2,76,1,1,14,13,0.33,3,5,-2,-1.08,-2.00,3.2,2.4,+0.8,+0.46,-0.23
Amir Adouyev,RUS,MF,Montpellier,Ligue 1,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Adrián,ESP,GK,West Ham,Premier League,31,1987,0,,,,,0,,0,0,,38,,,,,,,,,,,
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,37,1981,20,943,47,27.6,10.5,10,80,4,10,14,3,1.15,6,13,-7,-0.67,-0.78,10.6,13.3,-2.7,-0.26,-0.22
Luis Advíncula,PER,DF,Rayo Vallecano,La Liga,28,1990,28,2389,85,69.9,26.5,27,88,24,1,14,6,0.86,33,48,-15,-0.57,+0.66,30.0,40.6,-10.7,-0.40,-0.08
Martin Agirregabiria,ESP,DF,Alavés,La Liga,22,1996,27,2032,75,59.4,22.6,23,88,18,4,5,4,1.37,24,30,-6,-0.27,+0.06,24.2,31.5,-7.3,-0.32,+0.08
Nayef Aguerd,MAR,DF,Dijon,Ligue 1,22,1996,13,1050,81,30.7,11.7,12,87,10,1,3,7,0.85,11,17,-6,-0.51,+0.36,10.3,17.4,-7.1,-0.61,-0.07
Sergio Agüero,ARG,FW,Manchester City,Premier League,30,1988,33,2459,75,71.9,27.3,31,78,8,2,27,1,2.61,72,15,+57,+2.09,+0.68,60.9,18.8,+42.1,+1.54,-0.09
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,25,1993,29,2528,87,73.9,28.1,29,87,26,0,,0,1.52,39,30,+9,+0.32,+0.12,34.8,32.8,+2.0,+0.07,+0.06
Juan Aguilera,ESP,MF,Huesca,La Liga,32,1985,6,344,57,10.1,3.8,4,64,1,2,45,20,0.17,1,5,-4,-1.05,-0.52,3.5,5.2,-1.7,-0.44,-0.18
Emmanuel Agyemang-Badu,GHA,MF,Udinese,Serie A,27,1990,4,161,40,4.7,1.8,2,69,0,2,12,7,1.50,2,5,-3,-1.68,-1.37,1.8,4.6,-2.8,-1.55,-1.18
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,24,1994,17,1075,63,31.4,11.9,12,77,7,5,31,5,1.00,10,13,-3,-0.25,+0.36,15.4,12.6,+2.7,+0.23,+0.28
Antonis Aidonis,GER,DF,Stuttgart,Bundesliga,17,2001,2,80,40,2.6,0.9,1,80,0,1,0,4,1.50,0,2,-2,-2.25,-1.16,0.4,0.9,-0.5,-0.60,-0.07
Ola Aina,NGA,DF,Torino,Serie A,21,1996,30,2160,72,63.2,24.0,22,86,15,8,34,2,1.63,31,23,+8,+0.33,-0.17,31.2,32.6,-1.4,-0.06,-0.25
Youssef Aït Bennasser,MAR,MF,Monaco,Ligue 1,22,1996,13,1073,83,31.4,11.9,12,88,10,1,20,4,0.85,13,18,-5,-0.42,+0.12,14.0,15.4,-1.4,-0.12,-0.23
Youssef Aït Bennasser,MAR,MF,Saint-Étienne,Ligue 1,22,1996,13,936,72,27.4,10.4,11,82,7,2,16,1,1.85,16,9,+7,+0.67,+0.27,14.3,12.4,+1.9,+0.18,+0.06
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,17,2001,3,57,19,1.7,0.6,0,,0,3,19,16,0.33,1,3,-2,-3.16,-3.08,0.7,1.7,-1.0,-1.62,-1.67
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,24,1994,25,1531,61,44.8,17.0,18,78,6,7,17,3,1.20,22,25,-3,-0.18,-0.80,17.5,25.0,-7.5,-0.44,-0.46
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,23,1995,25,2205,88,72.1,24.5,25,88,24,0,,0,2.28,60,35,+25,+1.02,-0.24,40.2,30.8,+9.3,+0.38,-0.63
Carlos Akapo,EQG,DF,Huesca,La Liga,25,1993,13,1023,79,29.9,11.4,12,84,10,1,21,5,0.62,9,16,-7,-0.62,-0.05,11.6,16.0,-4.4,-0.39,-0.14
Nathan Aké,NED,DF,Bournemouth,Premier League,23,1995,38,3411,90,99.7,37.9,38,90,37,0,,0,1.18,56,70,-14,-0.37,-0.37,54.0,55.7,-1.7,-0.04,+0.16
Sergio Akieme,ESP,DF,Rayo Vallecano,La Liga,20,1997,2,180,90,5.3,2.0,2,90,2,0,,11,0.50,3,4,-1,-0.50,+0.28,1.6,2.4,-0.8,-0.40,-0.03
Chadrac Akolo,COD,MF,Stuttgart,Bundesliga,23,1995,16,525,33,17.2,5.8,5,66,0,11,18,5,0.94,7,12,-5,-0.86,+0.31,6.0,8.8,-2.8,-0.48,+0.07
Paul Akouokou,CIV,MF,Betis,La Liga,20,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,23,1995,8,499,62,16.3,5.5,5,86,4,3,24,2,1.63,11,12,-1,-0.18,-0.85,9.8,11.7,-1.9,-0.34,-1.15
Kevin Akpoguma,NGA,DF,Hannover 96,Bundesliga,23,1995,4,313,78,10.2,3.5,4,78,3,0,,0,0.75,1,9,-8,-2.30,-1.25,2.2,8.5,-6.3,-1.82,-0.96
David Alaba,AUT,DF,Bayern Munich,Bundesliga,26,1992,31,2530,82,82.7,28.1,29,85,24,2,27,0,2.29,71,27,+44,+1.57,-0.47,64.8,21.6,+43.2,+1.54,-0.45
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,20,1998,25,1895,76,55.4,21.1,23,80,14,2,26,3,1.24,28,36,-8,-0.38,-0.79,23.2,36.4,-13.2,-0.63,-0.93
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,25,1992,27,1265,47,41.3,14.1,11,83,5,16,22,6,1.70,33,16,+17,+1.21,+1.21,25.2,18.4,+6.8,+0.49,-0.10
Jordi Alba,ESP,DF,Barcelona,La Liga,29,1989,36,2991,83,87.5,33.2,32,90,32,4,27,0,2.39,86,30,+56,+1.69,+2.10,67.6,34.2,+33.4,+1.01,+1.03
Luis Alberto,ESP,MF,Lazio,Serie A,25,1992,27,1990,74,58.2,22.1,25,78,9,2,21,4,1.44,30,22,+8,+0.36,+0.24,32.4,21.9,+10.5,+0.47,+0.27
Raúl Albiol,ESP,DF,Napoli,Serie A,32,1985,20,1713,86,50.1,19.0,19,90,19,1,3,6,2.10,33,22,+11,+0.58,-0.85,34.1,19.6,+14.5,+0.76,-0.22
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,27,1990,22,1660,75,54.2,18.4,19,85,16,3,15,6,0.55,19,44,-25,-1.36,-0.39,17.7,37.1,-19.4,-1.05,-0.22
Marc Albrighton,ENG,FW,Leicester City,Premier League,28,1989,27,1625,60,47.5,18.1,18,78,8,9,25,2,1.37,18,17,+1,+0.06,-0.04,18.9,23.9,-5.0,-0.28,-0.73
Paco Alcácer,ESP,FW,Dortmund,Bundesliga,24,1993,26,1211,47,39.6,13.5,11,78,3,15,23,2,2.35,42,21,+21,+1.56,+0.78,24.9,12.0,+13.0,+0.97,+0.67
Pedro Alcalá,ESP,DF,Girona,La Liga,29,1989,25,1868,75,54.6,20.8,20,88,18,5,23,10,1.16,21,32,-11,-0.53,-0.24,19.0,26.0,-7.0,-0.34,-0.03
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,27,1991,30,2408,80,78.7,26.8,26,89,23,4,24,0,2.53,74,21,+53,+1.98,+1.57,65.5,18.3,+47.2,+1.77,+0.70
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,27,1991,34,2976,88,87.0,33.1,34,88,31,0,,1,1.18,29,43,-14,-0.42,+0.59,33.8,42.9,-9.1,-0.27,+0.39
Toby Alderweireld,BEL,DF,Tottenham,Premier League,29,1989,34,2922,86,85.4,32.5,33,88,30,1,19,3,1.91,56,31,+25,+0.77,+0.23,50.9,37.4,+13.5,+0.42,+0.58
Álex Alegría,ESP,FW,Rayo Vallecano,La Liga,25,1992,9,140,16,4.1,1.6,0,,0,9,15,4,0.89,0,6,-6,-3.86,-3.23,1.4,3.0,-1.6,-1.01,-0.66
Alexis Alegue,FRA,FW,Nantes,Ligue 1,21,1996,1,5,5,0.1,0.1,0,,0,1,5,0,0.00,1,0,+1,+18.00,+18.03,0.1,0.0,+0.1,+0.95,+0.96
Iván Alejo,ESP,MF,Getafe,La Liga,23,1995,4,146,37,4.3,1.6,2,59,0,2,15,4,1.00,1,0,+1,+0.62,+0.29,1.0,1.5,-0.6,-0.36,-0.50
Carles Aleñá,ESP,MF,Barcelona,La Liga,20,1998,17,637,37,18.6,7.1,6,78,1,11,15,10,2.06,16,8,+8,+1.13,-0.36,14.5,9.7,+4.8,+0.68,-0.25
Alex,ESP,GK,Atlético Madrid,La Liga,19,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Rúnar Alex Rúnarsson,ISL,GK,Dijon,Ligue 1,23,1995,25,2250,90,65.8,25.0,25,90,25,0,,12,1.04,24,43,-19,-0.76,+0.01,29.4,38.7,-9.3,-0.37,+0.56
Alexander,ARG,DF,Leganés,La Liga,29,1988,1,10,10,0.3,0.1,0,,0,1,9,0,0.00,0,1,-1,-9.00,-8.87,0.0,0.4,-0.4,-3.24,-3.20
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,19,1998,29,2462,85,72.0,27.4,27,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,60.2,23.6,+36.6,+1.34,+0.61
Abdallah Ali Mohamed,COM,DF,Marseille,Ligue 1,19,1999,0,,,,,0,,0,0,,5,,,,,,,,,,,
Marco Alia,ALB,GK,Lazio,Serie A,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Rachid Alioui,MAR,FW,Nîmes,Ligue 1,26,1992,27,1252,46,36.6,13.9,11,86,9,16,19,4,1.52,23,21,+2,+0.14,+0.27,18.0,18.5,-0.5,-0.03,+0.28
Alisson,BRA,GK,Liverpool,Premier League,25,1992,38,3420,90,100.0,38.0,38,90,38,0,,0,2.55,89,22,+67,+1.76,,75.4,31.0,+44.4,+1.17,
Bobby Allain,FRA,GK,Dijon,Ligue 1,26,1991,13,1170,90,34.2,13.0,13,90,13,0,,25,0.62,7,17,-10,-0.77,-0.01,10.2,22.3,-12.1,-0.93,-0.56
Allan,BRA,MF,Napoli,Serie A,27,1991,33,2616,79,76.5,29.1,28,88,26,5,30,0,2.09,57,29,+28,+0.96,-0.16,51.1,26.4,+24.7,+0.85,-0.10
Allan,BRA,MF,Eint Frankfurt,Bundesliga,21,1997,4,176,44,5.8,2.0,2,69,1,2,20,3,2.00,7,2,+5,+2.56,+2.34,3.7,2.5,+1.2,+0.60,+0.48
Dele Alli,ENG,MF,Tottenham,Premier League,22,1996,25,1825,73,53.4,20.3,22,81,10,3,13,0,1.72,32,21,+11,+0.54,-0.42,31.5,21.1,+10.3,+0.51,+0.38
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,24,1994,10,759,76,22.2,8.4,9,82,4,1,18,0,1.70,11,11,0,0.00,+0.20,11.4,9.2,+2.1,+0.25,+0.80
Julio Alonso,ESP,DF,Betis,La Liga,19,1998,0,,,,,0,,0,0,,3,,,,,,,,,,,
Júnior Alonso,PAR,DF,Celta Vigo,La Liga,25,1993,9,536,60,15.7,6.0,6,82,4,3,14,5,1.11,8,8,0,0.00,+0.28,6.3,7.5,-1.2,-0.20,+0.26
Marcos Alonso,ESP,DF,Chelsea,Premier League,27,1990,31,2759,89,80.7,30.7,31,89,29,0,,1,1.97,52,28,+24,+0.78,+0.78,48.3,28.6,+19.8,+0.65,+0.18
Mickaël Alphonse,GLP,DF,Dijon,Ligue 1,29,1989,11,571,52,16.7,6.3,6,90,6,5,6,11,1.00,7,16,-9,-1.42,-0.79,6.3,9.8,-3.6,-0.56,0.00
Diego Altamirano,ESP,FW,Betis,La Liga,21,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
Sergio Álvarez,ESP,MF,Eibar,La Liga,26,1992,19,1069,56,31.3,11.9,12,84,9,7,9,17,1.37,7,14,-7,-0.59,-0.70,9.8,15.6,-5.8,-0.48,-0.93
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,31,1986,13,1170,90,34.2,13.0,13,90,13,0,,25,1.08,23,22,+1,+0.08,+0.48,13.4,20.8,-7.4,-0.57,-0.22
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,23,1995,30,2613,87,76.4,29.0,30,87,28,0,,3,1.47,32,30,+2,+0.07,+0.74,31.1,30.6,+0.5,+0.02,+0.49
Bruno Alves,POR,DF,Parma,Serie A,36,1981,33,2922,89,85.4,32.5,33,89,31,0,,0,1.00,36,56,-20,-0.62,-0.62,33.2,56.7,-23.5,-0.72,-0.25
Dani Alves,BRA,MF,Paris S-G,Ligue 1,35,1983,23,1622,71,47.4,18.0,19,82,12,4,18,0,2.00,45,22,+23,+1.28,-1.08,45.1,19.2,+25.9,+1.44,-0.03
Alfons Amade,GER,MF,Hoffenheim,Bundesliga,18,1999,1,9,9,0.3,0.1,0,,0,1,8,1,0.00,0,2,-2,-20.00,-20.59,0.1,0.9,-0.8,-7.79,-8.44
Ibrahim Amadou,FRA,MF,Sevilla,La Liga,25,1993,17,762,45,22.3,8.5,7,79,4,10,21,10,1.41,9,14,-5,-0.59,-1.27,12.3,11.6,+0.7,+0.09,-0.53
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,28,1989,32,2522,79,73.7,28.0,30,82,21,2,25,2,0.88,20,46,-26,-0.93,-0.63,25.8,45.0,-19.2,-0.68,-0.47
Daniel Amartey,GHA,DF,Leicester City,Premier League,23,1994,9,641,71,18.7,7.1,7,86,6,2,19,1,1.44,10,9,+1,+0.14,+0.08,7.7,9.9,-2.2,-0.30,-0.50
Jordi Amat,ESP,DF,Rayo Vallecano,La Liga,26,1992,31,2763,89,80.8,30.7,31,89,30,0,,3,0.77,34,60,-26,-0.85,-0.44,32.2,44.6,-12.4,-0.40,-0.14
Amath,SEN,MF,Getafe,La Liga,22,1996,15,1002,67,29.3,11.1,13,72,2,2,32,0,1.40,13,10,+3,+0.27,-0.10,15.0,11.0,+3.9,+0.35,+0.32
Jordan Amavi,FRA,DF,Marseille,Ligue 1,24,1994,28,2177,78,63.7,24.2,24,87,20,4,20,4,1.39,40,34,+6,+0.25,+0.10,32.2,31.5,+0.7,+0.03,-0.39
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,20,1998,32,2880,90,84.2,32.0,32,90,32,0,,1,1.09,31,47,-16,-0.50,+0.50,38.5,49.7,-11.2,-0.35,+0.21
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,21,1996,13,754,58,24.6,8.4,10,69,2,3,22,4,1.85,21,8,+13,+1.55,+1.36,20.2,7.7,+12.5,+1.49,+1.15
Yanis Ammour,FRA,MF,Montpellier,Ligue 1,19,1999,1,2,2,0.1,0.0,0,,0,1,2,2,3.00,0,0,0,0.00,-0.29,0.0,0.2,-0.2,-7.41,-7.47
Luke Amos,ENG,MF,Tottenham,Premier League,21,1997,1,3,3,0.1,0.0,0,,0,1,2,1,3.00,0,0,0,0.00,-0.74,0.0,0.0,0.0,0.00,-0.33
Ethan Ampadu,WAL,DF,Chelsea,Premier League,17,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Jon Ander Serantes,ESP,GK,Leganés,La Liga,28,1989,0,,,,,0,,0,0,,8,,,,,,,,,,,
Joachim Andersen,DEN,DF,Sampdoria,Serie A,22,1996,32,2880,90,84.2,32.0,32,90,32,0,,1,1.50,52,42,+10,+0.31,+0.48,41.6,44.2,-2.6,-0.08,-0.03
Felipe Anderson,BRA,MF,West Ham,Premier League,25,1993,36,3043,85,89.0,33.8,36,85,25,0,,0,1.36,48,49,-1,-0.03,+0.45,43.5,54.1,-10.6,-0.31,+0.30
Florin Andone,ROU,FW,Brighton,Premier League,25,1993,23,881,38,25.8,9.8,8,68,0,15,23,5,0.78,7,14,-7,-0.72,-0.08,8.1,12.1,-4.0,-0.41,+0.23
Nícolas Andrade,BRA,GK,Udinese,Serie A,30,1988,0,,,,,0,,0,0,,38,,,,,,,,,,,
Benjamin André,FRA,MF,Rennes,Ligue 1,27,1990,30,2495,83,73.0,27.7,28,87,24,2,35,0,1.20,36,38,-2,-0.07,-0.56,36.3,34.0,+2.3,+0.08,-0.03
Marco Andreolli,ITA,DF,Cagliari,Serie A,32,1986,3,106,35,3.1,1.2,1,90,1,2,8,17,0.33,0,3,-3,-2.55,-2.14,0.2,2.3,-2.0,-1.74,-1.26
Marco Andreolli,ITA,DF,Chievo,Serie A,32,1986,8,646,81,18.9,7.2,7,90,6,1,17,7,0.25,3,19,-16,-2.23,-1.13,3.0,11.7,-8.7,-1.21,-0.72
Yoann Andreu,FRA,DF,Angers,Ligue 1,29,1989,1,4,4,0.1,0.0,0,,0,1,4,2,0.00,0,1,-1,-22.50,-22.39,0.0,0.3,-0.3,-6.04,-6.07
Yhoan Andzouana,CGO,DF,Girona,La Liga,21,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,
José Ángel,ESP,DF,Eibar,La Liga,28,1989,35,3028,87,88.5,33.6,34,88,27,1,45,1,1.31,40,43,-3,-0.09,+0.14,46.7,39.5,+7.2,+0.21,+0.50
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,34,1984,11,990,90,28.9,11.0,11,90,11,0,,22,1.00,9,11,-2,-0.18,-0.22,13.6,10.1,+3.5,+0.32,+0.29
Miguel Ángel Rubio,ESP,DF,Getafe,La Liga,20,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Cristian Ansaldi,ARG,DF,Torino,Serie A,31,1986,24,1807,75,52.8,20.1,23,77,13,1,25,4,1.71,23,15,+8,+0.40,+0.01,21.3,27.3,-6.0,-0.30,-0.71
Mirco Antenucci,ITA,FW,SPAL,Serie A,33,1984,35,2133,61,62.4,23.7,22,88,19,13,15,3,1.00,26,34,-8,-0.34,-0.06,25.7,33.2,-7.5,-0.32,-0.35
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,22,1996,34,3060,90,100.0,34.0,34,90,34,0,,0,0.62,31,71,-40,-1.18,,33.7,66.1,-32.4,-0.95,
Luca Antonelli,ITA,DF,Empoli,Serie A,31,1987,13,755,58,22.1,8.4,10,67,4,3,27,8,0.92,10,18,-8,-0.95,-0.58,9.9,14.4,-4.4,-0.53,-0.38
Mauro Antonio Burruchaga,ARG,MF,Chievo,Serie A,20,1998,1,58,58,1.7,0.6,0,,0,1,58,24,1.00,0,0,0,0.00,+1.34,0.0,0.6,-0.5,-0.84,-0.21
Michail Antonio,JAM,FW,West Ham,Premier League,28,1990,33,2103,64,61.5,23.4,22,84,15,11,24,2,1.30,29,30,-1,-0.04,+0.09,30.2,39.5,-9.4,-0.40,-0.14
Antoñito,ESP,DF,Valladolid,La Liga,30,1987,30,1863,62,54.5,20.7,18,89,16,12,22,6,1.13,19,36,-17,-0.82,-0.71,24.7,33.8,-9.1,-0.44,-0.25
Vitorino Antunes,POR,DF,Getafe,La Liga,31,1987,28,2181,78,63.8,24.2,25,86,21,3,11,3,1.57,31,21,+10,+0.41,+0.19,28.7,24.1,+4.6,+0.19,+0.19
Giorgos Antzoulas,GRE,DF,Fiorentina,Serie A,18,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Anuar,MAR,MF,Valladolid,La Liga,23,1995,19,1081,57,31.6,12.0,12,81,5,7,16,12,1.21,7,13,-6,-0.50,0.00,11.4,19.5,-8.1,-0.67,-0.51
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,31,1987,15,1025,68,33.5,11.4,13,76,8,2,16,7,1.13,10,18,-8,-0.70,+0.62,11.8,20.2,-8.3,-0.73,-0.29
Houssem Aouar,FRA,MF,Lyon,Ligue 1,20,1998,37,3061,83,89.5,34.0,35,87,26,2,12,1,1.86,62,45,+17,+0.50,-1.00,64.4,39.4,+25.0,+0.73,-0.90
Javier Aparicio,ESP,DF,Valladolid,La Liga,18,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Emmanuel Apeh,NGA,MF,Celta Vigo,La Liga,21,1996,2,14,7,0.4,0.2,0,,0,2,6,3,0.00,0,0,0,0.00,+0.24,0.1,0.2,-0.1,-0.94,-0.52
Mauro Arambarri,URU,MF,Getafe,La Liga,22,1995,33,2676,81,78.2,29.7,32,83,20,1,10,2,1.48,32,25,+7,+0.24,-0.49,33.6,29.9,+3.7,+0.13,+0.01
Guilherme Arana,BRA,MF,Sevilla,La Liga,21,1997,9,629,70,18.4,7.0,8,79,4,1,0,14,1.78,12,8,+4,+0.57,+0.22,11.1,7.1,+4.1,+0.58,+0.10
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,29,1989,24,1891,79,61.8,21.0,22,82,15,2,48,2,1.83,43,26,+17,+0.81,+0.81,40.7,21.0,+19.7,+0.94,+1.04
Luiz Araújo,BRA,FW,Lille,Ligue 1,22,1996,25,781,31,22.8,8.7,6,74,1,19,18,11,1.76,12,11,+1,+0.12,-1.04,11.4,10.4,+1.0,+0.11,-0.39
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,26,1991,32,2682,84,78.4,29.8,30,89,29,2,7,2,1.03,35,47,-12,-0.40,-0.77,32.2,44.2,-12.0,-0.40,+0.09
Anaitz Arbilla,ESP,DF,Eibar,La Liga,31,1987,25,1950,78,57.0,21.7,22,88,19,3,5,2,1.24,26,31,-5,-0.23,-0.29,30.9,26.2,+4.7,+0.22,+0.14
Joaquín Ardaiz,URU,FW,Frosinone,Serie A,19,1999,1,20,20,0.6,0.2,0,,0,1,20,1,0.00,0,0,0,0.00,+1.06,0.1,0.2,-0.1,-0.37,+0.29
Markel Areitio,ESP,GK,Eibar,La Liga,21,1996,0,,,,,0,,0,0,,9,,,,,,,,,,,
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,25,1993,21,1890,90,55.3,21.0,21,90,21,0,,13,2.43,55,17,+38,+1.81,-0.07,49.5,19.4,+30.1,+1.43,-0.06
Simone Aresti,ITA,GK,Cagliari,Serie A,32,1986,0,,,,,0,,0,0,,37,,,,,,,,,,,
Santiago Arias,COL,DF,Atlético Madrid,La Liga,26,1992,25,1772,71,51.8,19.7,20,83,16,5,21,6,2.28,29,10,+19,+0.97,+0.58,24.5,16.9,+7.6,+0.39,+0.43
Lorenzo Ariaudo,ITA,DF,Frosinone,Serie A,29,1989,19,1682,89,49.2,18.7,19,89,17,0,,10,0.58,13,33,-20,-1.07,-0.03,17.4,29.0,-11.6,-0.62,+0.09
Nicolò Armini,ITA,DF,Lazio,Serie A,17,2001,1,38,38,1.1,0.4,0,,0,1,38,1,1.00,2,1,+1,+2.37,+2.13,0.5,0.6,0.0,-0.12,-0.48
Yoël Armougom,FRA,DF,Caen,Ligue 1,20,1998,29,1853,64,54.2,20.6,20,86,16,9,16,6,0.97,18,29,-11,-0.53,+0.27,18.5,32.3,-13.8,-0.67,+0.07
Stuart Armstrong,SCO,MF,Southampton,Premier League,26,1992,29,1432,49,41.9,15.9,16,75,3,13,18,5,0.93,21,26,-5,-0.31,+0.36,18.1,24.0,-6.0,-0.38,-0.28
José Arnaiz,ESP,DF,Leganés,La Liga,23,1995,6,113,19,3.3,1.3,0,,0,6,18,5,1.33,3,0,+3,+2.39,+2.63,1.0,1.1,-0.1,-0.09,-0.04
