Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Ismael Aaneba,FRA,DF,Strasbourg,Ligue 1,19,1999,3,204,68,6.0,2.3,3,68,1,0,,7,0.33,0,2,-2,-0.88,-1.22,1.6,2.8,-1.2,-0.53,-0.37
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,27,1990,36,3195,89,93.4,35.5,36,89,33,0,,2,1.19,44,47,-3,-0.08,-0.48,45.8,44.9,+1.0,+0.03,-0.30
Ignazio Abate,ITA,DF,Milan,Serie A,31,1986,19,1302,69,38.1,14.5,15,82,8,4,17,19,2.11,22,12,+10,+0.69,+0.31,20.2,14.3,+6.0,+0.41,+0.32
Issah Abbas,GHA,FW,Mainz 05,Bundesliga,19,1998,1,9,9,0.3,0.1,0,,0,1,8,2,1.00,0,0,0,0.00,+0.32,0.0,0.2,-0.1,-1.21,-0.96
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,30,1987,38,3420,90,100.0,38.0,38,90,38,0,,0,1.45,39,42,-3,-0.08,,40.5,44.7,-4.2,-0.11,
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,28,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,25,1992,26,2023,78,59.2,22.5,23,84,16,3,28,1,0.81,18,30,-12,-0.53,+0.56,22.2,34.7,-12.4,-0.55,+0.02
Charles Abi,FRA,MF,Saint-Étienne,Ligue 1,18,2000,3,32,11,0.9,0.4,0,,0,3,11,4,1.67,0,0,0,0.00,-0.48,0.9,1.5,-0.6,-1.76,-1.91
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,32,1986,17,1420,84,46.4,15.8,17,84,15,0,,3,1.35,28,29,-1,-0.06,-0.78,24.8,25.9,-1.1,-0.07,-0.40
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,28,1990,10,790,79,25.8,8.8,9,85,7,1,22,2,1.20,10,15,-5,-0.57,-0.17,8.6,12.9,-4.2,-0.48,-0.12
Francesco Acerbi,ITA,DF,Lazio,Serie A,30,1988,37,3309,89,96.8,36.8,37,89,36,0,,0,1.59,55,44,+11,+0.30,+1.11,55.0,41.4,+13.6,+0.37,+0.24
Afriyie Acquah,GHA,MF,Empoli,Serie A,26,1992,28,1510,54,44.2,16.8,19,73,5,9,14,6,1.11,20,29,-9,-0.54,-0.07,19.2,23.6,-4.5,-0.27,-0.07
