Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off
Ismael Aaneba,FRA,FW,Strasbourg,Ligue 1,21,1999,2,11,6,0.3,0.1,0,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.3,-0.3,-2.34,-2.51
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,22,1777,81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,15.9,29.8,-13.8,-0.70,-0.09
Issah Abbas,GHA,DF,Mainz 05,Bundesliga,21,1998,2,18,9,0.6,0.2,0,,0,2,9,5,0.00,0,0,0,0.00,+0.50,1.0,0.0,+1.0,+4.88,+5.02
Basit Abdallah,GHA,MF,Benevento,Serie A,20,1999,0,,,,,0,,0,0,,13,,,,,,,,,,,
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,33,2889,88,84.5,32.1,33,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.9,48.9,-19.0,-0.59,+0.89
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,3,60,20,1.8,0.7,0,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.5,-0.7,-1.03,-0.85
Eris Abedini,KVX,MF,Granada,La Liga,21,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,14,23,-9,-0.61,-0.66,16.9,23.5,-6.6,-0.45,-0.44
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,42.2,43.6,-1.5,-0.04,+0.51
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,20,2000,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.3,16.1,-0.7,-0.07,-0.09
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,1,2,2,0.1,0.0,0,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.2,0.0,+0.2,+9.80,+9.55
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14,1260,90,36.8,14.0,14,90,14,0,,1,1.64,21,18,+3,+0.21,+0.84,20.2,18.7,+1.5,+0.11,+0.18
Abdelkabir Abqar,MAR,DF,Alavés,La Liga,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,14,1222,87,39.9,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,+0.20,24.0,18.0,+6.0,+0.44,+0.36
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,22,1040,47,30.4,11.6,12,74,7,10,15,8,1.77,23,12,+11,+0.95,+0.54,21.1,8.8,+12.2,+1.06,+0.34
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,5,60,12,2.0,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,0.00,1.1,1.5,-0.4,-0.56,-0.35
Gennaro Acampora,ITA,MF,Spezia,Serie A,26,1994,14,441,32,12.9,4.9,2,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,6.3,9.2,-2.9,-0.60,0.00
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,32,2813,88,82.3,31.3,32,88,30,0,,0,1.88,51,44,+7,+0.22,+0.37,49.1,38.6,+10.5,+0.33,+0.12
Ragnar Ache,GER,FW,Eint Frankfurt,Bundesliga,22,1998,7,100,14,3.3,1.1,0,,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,2.1,1.7,+0.3,+0.31,+0.08
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,30,2330,78,68.1,25.9,26,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,39.0,24.2,+14.8,+0.57,+0.48
Che Adams,SCO,FW,Southampton,Premier League,24,1996,36,2667,74,78.0,29.6,30,84,16,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.8,39.9,-7.1,-0.24,+0.33
Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,27,1850,69,60.5,20.6,21,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,38.2,17.1,+21.1,+1.03,-0.10
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,27,1993,18,479,27,15.7,5.3,3,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,10.5,10.8,-0.3,-0.06,-0.02
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,1997,33,2953,89,86.3,32.8,33,89,32,0,,1,0.85,24,41,-17,-0.52,+1.22,36.7,46.1,-9.4,-0.29,+0.15
Enzo Adeagbo,SUI,DF,Lazio,Serie A,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Bobby Adekanye,NED,FW,Lazio,Serie A,21,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Bobby Adekanye,NED,FW,Cádiz,La Liga,21,1999,3,36,12,1.1,0.4,0,,0,3,12,6,2.33,0,0,0,0.00,+0.59,0.6,1.2,-0.6,-1.49,-0.95
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,35,2418,69,70.7,26.9,25,84,16,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.5,41.5,-11.0,-0.41,-0.07
Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,1,10,10,0.3,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-7.87,0.0,1.1,-1.1,-9.85,-9.32
Adrián,ESP,GK,Liverpool,Premier League,33,1987,3,270,90,7.9,3.0,3,90,3,0,,27,1.33,6,9,-3,-1.00,-1.83,6.8,5.8,+1.0,+0.33,-0.42
Martin Agirregabiria,ESP,DF,Alavés,La Liga,24,1996,26,1558,60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,17.0,24.8,-7.8,-0.45,-0.43
Giuseppe Agostino,ITA,GK,Genoa,Serie A,17,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
