Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Ismael Aaneba,FRA,FW,Strasbourg,Ligue 1,21,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,26,1.32,22,3,1,0,0,0,3,0.15,2,1,0,0,0,0
Issah Abbas,GHA,DF,Mainz 05,Bundesliga,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,11,0.34,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,56,1.70,40,1,1,5,4,5,10,0.30,6,1,0,1,1,1
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,20,2000,10.1,14,1.38,11,1,1,0,1,0,2,0.20,2,0,0,0,0,0
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,7,0.50,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,18,1.56,11,0,1,3,3,0,2,0.17,1,0,0,0,1,0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gennaro Acampora,ITA,MF,Spezia,Serie A,26,1994,4.9,6,1.22,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,32,1.02,27,1,0,2,0,2,4,0.13,4,0,0,0,0,0
Ragnar Ache,GER,FW,Eint Frankfurt,Bundesliga,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,58,2.24,39,11,5,2,0,1,4,0.15,2,1,0,1,0,0
Che Adams,SCO,FW,Southampton,Premier League,24,1996,29.6,66,2.23,48,0,1,6,8,3,8,0.27,7,0,0,0,1,0
Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,27,1993,5.3,22,4.13,15,1,1,2,3,0,6,1.13,3,0,0,2,1,0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,1997,32.8,17,0.52,16,0,0,1,0,0,1,0.03,1,0,0,0,0,0
Bobby Adekanye,NED,FW,Cádiz,La Liga,21,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,26.9,92,3.42,68,9,6,1,3,5,8,0.30,6,1,0,1,0,0
Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adrián,ESP,GK,Liverpool,Premier League,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,24,1996,17.3,23,1.33,14,7,0,0,1,1,3,0.17,2,1,0,0,0,0
Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,8.9,6,0.68,6,0,0,0,0,0,2,0.23,2,0,0,0,0,0
Felix Agu,GER,DF,Werder Bremen,Bundesliga,20,1999,7.8,6,0.77,4,0,1,0,1,0,1,0.13,1,0,0,0,0,0
Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,15.1,35,2.32,17,1,4,5,5,3,4,0.27,3,0,0,1,0,0
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35.0,14,0.40,12,0,0,2,0,0,1,0.03,1,0,0,0,0,0
Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,6.2,16,2.58,13,0,2,0,0,1,3,0.48,2,0,1,0,0,0
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,27,1993,24.7,72,2.91,56,9,2,1,4,0,8,0.32,6,0,1,0,1,0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,10.0,10,1.00,4,2,0,0,2,2,0,0.00,0,0,0,0,0,0
