Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.3,0,0,0,1.9,1.9,0.10,-0.9,-0.9
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24,1996,35.0,3,29,6,20.7,0.83,0.17,0.10,0.50,8.8,0,0,0,2.9,2.9,0.10,+0.1,+0.1
Sergio Agüero,ARG,FW,Manchester City,Premier League,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.30,13.9,0,1,2,3.4,1.8,0.11,+0.6,+1.2
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18,2002,2.8,0,5,1,20.0,1.79,0.36,0.00,0.00,22.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21,1999,10.0,2,11,6,54.5,1.10,0.60,0.18,0.33,21.8,0,0,0,1.6,1.6,0.14,+0.4,+0.4
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26,1994,23.8,2,31,6,19.4,1.30,0.25,0.06,0.33,20.9,0,0,0,2.3,2.0,0.06,-0.3,0.0
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26,1994,0.4,0,2,1,50.0,5.00,2.50,0.00,0.00,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24,1995,14.3,0,9,0,0.0,0.63,0.00,0.00,,14.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Ola Aina,NGA,DF,Fulham,Premier League,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.50,25.2,1,0,0,1.0,1.0,0.07,+1.0,+1.0
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0,0,0,0.6,0.6,0.04,+0.4,+0.4
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19,2001,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Semi Ajayi,NGA,DF,West Brom,Premier League,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.50,9.0,0,0,0,1.3,1.3,0.10,+0.7,+0.7
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26,1994,33.0,16,67,30,44.8,2.03,0.91,0.18,0.40,14.3,0,4,5,16.5,12.7,0.19,-0.5,-0.7
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25,1995,26.1,2,19,4,21.1,0.73,0.15,0.11,0.50,13.4,0,0,0,1.8,1.8,0.09,+0.2,+0.2
Carlos Akapo,EQG,DF,Cádiz,La Liga,27,1993,9.6,1,2,1,50.0,0.21,0.10,0.50,1.00,23.8,0,0,0,0.4,0.4,0.19,+0.6,+0.6
Marley Aké,FRA,FW,Marseille,Ligue 1,19,2001,1.6,0,4,0,0.0,2.47,0.00,0.00,,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1
Nathan Aké,NED,DF,Manchester City,Premier League,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1.00,16.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9
Paul Akouokou,CIV,MF,Betis,La Liga,22,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27,1992,11.7,0,12,1,8.3,1.02,0.09,0.00,0.00,15.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25,1995,13.2,1,2,2,100.0,0.15,0.15,0.50,0.50,19.7,0,0,0,0.1,0.1,0.03,+0.9,+0.9
David Alaba,AUT,DF,Bayern Munich,Bundesliga,28,1992,29.7,2,21,6,28.6,0.71,0.20,0.10,0.33,22.3,3,0,0,1.3,1.3,0.06,+0.7,+0.7
Sofiane Alakouch,MAR,DF,Nîmes,Ligue 1,22,1998,16.7,0,5,0,0.0,0.30,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Jony Álamo,ESP,MF,Elche,La Liga,18,2001,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27,1992,13.8,11,37,18,48.6,2.67,1.30,0.24,0.50,12.6,0,2,2,6.5,5.0,0.14,+4.5,+4.0
Jordi Alba,ESP,DF,Barcelona,La Liga,31,1989,33.6,3,27,11,40.7,0.80,0.33,0.11,0.27,19.6,1,0,0,2.4,2.4,0.09,+0.6,+0.6
Luis Alberto,ESP,MF,Lazio,Serie A,27,1992,29.1,9,69,29,42.0,2.37,1.00,0.13,0.31,20.3,3,0,0,5.5,5.4,0.08,+3.5,+3.6
Raúl Albiol,ESP,DF,Villarreal,La Liga,34,1985,34.6,0,8,1,12.5,0.23,0.03,0.00,0.00,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Marc Albrighton,ENG,DF,Leicester City,Premier League,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,20.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Paco Alcácer,ESP,FW,Villarreal,La Liga,26,1993,17.2,6,36,18,50.0,2.10,1.05,0.14,0.28,13.7,3,1,2,8.3,6.7,0.20,-2.3,-1.7
Pedro Alcalá,ESP,DF,Cádiz,La Liga,31,1989,10.1,0,2,0,0.0,0.20,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Thiago Alcántara,ESP,MF,Liverpool,Premier League,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.20,21.0,1,0,0,1.4,1.4,0.06,-0.4,-0.4
Rubén Alcaraz,ESP,MF,Valladolid,La Liga,29,1991,24.1,1,27,3,11.1,1.12,0.12,0.04,0.33,24.2,6,0,0,1.7,1.7,0.06,-0.7,-0.7
Omar Alderete,PAR,DF,Hertha BSC,Bundesliga,23,1996,14.4,0,7,2,28.6,0.48,0.14,0.00,0.00,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Toby Alderweireld,BEL,DF,Tottenham,Premier League,31,1989,24.9,1,11,3,27.3,0.44,0.12,0.09,0.33,7.6,0,0,0,0.8,0.8,0.08,+0.2,+0.2
Iván Alejo,ESP,MF,Cádiz,La Liga,25,1995,9.2,1,13,3,23.1,1.41,0.33,0.08,0.33,17.8,1,0,0,1.0,1.0,0.07,0.0,0.0
Carles Aleñá,ESP,MF,Barcelona,La Liga,22,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Carles Aleñá,ESP,MF,Getafe,La Liga,22,1998,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,21.0,0,0,0,1.9,1.9,0.06,+0.1,+0.1
Rúnar Alex Rúnarsson,ISL,GK,Arsenal,Premier League,25,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,21,1998,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8
Alfon,ESP,MF,Celta Vigo,La Liga,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0
Mohamed Ali Cho,FRA,FW,Angers,Ligue 1,16,2004,3.9,0,10,0,0.0,2.59,0.00,0.00,,12.4,0,0,0,1.4,1.4,0.14,-1.4,-1.4
Ezgjan Alioski,MKD,DF,Leeds United,Premier League,28,1992,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,18.6,0,0,0,1.5,1.5,0.06,+0.5,+0.5
Rachid Alioui,MAR,FW,Angers,Ligue 1,28,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alisson,BRA,GK,Liverpool,Premier League,27,1992,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,6.0,0,0,0,0.1,0.1,0.10,+0.9,+0.9
Saturnin Allagbé,BEN,GK,Dijon,Ligue 1,26,1993,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Allan,BRA,MF,Everton,Premier League,29,1991,22.8,0,7,2,28.6,0.31,0.09,0.00,0.00,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Dele Alli,ENG,MF,Tottenham,Premier League,24,1996,6.9,0,12,4,33.3,1.74,0.58,0.00,0.00,14.2,0,0,0,1.3,1.3,0.11,-1.3,-1.3
Miguel Almirón,PAR,MF,Newcastle Utd,Premier League,26,1994,27.0,4,33,13,39.4,1.22,0.48,0.12,0.31,18.4,1,0,0,3.2,3.2,0.10,+0.8,+0.8
Marcos Alonso,ESP,DF,Chelsea,Premier League,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.2,5,0,0,1.7,1.7,0.08,+0.3,+0.3
Sergio Álvarez,ESP,MF,Eibar,La Liga,28,1992,17.4,0,6,2,33.3,0.34,0.11,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,25,1995,21.6,1,11,1,9.1,0.51,0.05,0.09,1.00,14.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5
Bruno Alves,POR,DF,Parma,Serie A,38,1981,18.1,1,10,3,30.0,0.55,0.17,0.10,0.33,22.0,3,0,0,0.3,0.3,0.03,+0.7,+0.7
Steven Alzate,COL,MF,Brighton,Premier League,21,1998,10.0,1,7,2,28.6,0.70,0.20,0.14,0.50,17.2,0,0,0,0.7,0.7,0.10,+0.3,+0.3
Ibrahim Amadou,FRA,MF,Angers,Ligue 1,27,1993,16.7,0,15,5,33.3,0.90,0.30,0.00,0.00,19.0,0,0,0,2.1,2.1,0.14,-2.1,-2.1
Romain Amalfitano,FRA,FW,Dijon,Ligue 1,30,1989,1.3,0,2,0,0.0,1.55,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Emmanuel Amankwaa Akurugu,GHA,DF,Getafe,La Liga,18,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Amartey,GHA,DF,Leicester City,Premier League,25,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,10.8,0,0,0,0.4,0.4,0.13,+0.6,+0.6
Jordan Amavi,FRA,DF,Marseille,Ligue 1,26,1994,9.0,1,4,1,25.0,0.44,0.11,0.25,1.00,10.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8
Thierry Ambrose,GLP,FW,Metz,Ligue 1,23,1997,8.4,0,19,7,36.8,2.27,0.84,0.00,0.00,19.8,0,0,0,1.4,1.4,0.07,-1.4,-1.4
Wisdom Amey,ITA,DF,Bologna,Serie A,14,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,23,1996,21.0,2,43,14,32.6,2.05,0.67,0.05,0.14,23.5,3,0,0,2.1,2.1,0.05,-0.1,-0.1
Ethan Ampadu,WAL,DF,Sheffield Utd,Premier League,19,2000,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,23,1996,27.1,0,9,3,33.3,0.33,0.11,0.00,0.00,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Jon Ander Garrido,ESP,MF,Cádiz,La Liga,30,1989,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Joachim Andersen,DEN,DF,Lyon,Ligue 1,24,1996,2.1,0,5,0,0.0,2.34,0.00,0.00,,20.0,1,0,0,0.3,0.3,0.06,-0.3,-0.3
Joachim Andersen,DEN,DF,Fulham,Premier League,24,1996,30.3,1,13,3,23.1,0.43,0.10,0.08,0.33,15.4,1,0,0,1.1,1.1,0.08,-0.1,-0.1
Djavan Anderson,NED,DF,Lazio,Serie A,25,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Felipe Anderson,BRA,FW,West Ham,Premier League,27,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sebastian Andersson,SWE,FW,Köln,Bundesliga,29,1991,12.5,3,39,14,35.9,3.12,1.12,0.05,0.14,12.4,0,1,1,5.5,4.7,0.12,-2.5,-2.7
Nícolas Andrade,BRA,GK,Udinese,Serie A,32,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Benjamin André,FRA,MF,Lille,Ligue 1,29,1990,32.1,0,20,7,35.0,0.62,0.22,0.00,0.00,13.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Robert Andrich,GER,MF,Union Berlin,Bundesliga,25,1994,28.1,5,40,9,22.5,1.43,0.32,0.13,0.56,22.2,4,0,0,2.5,2.5,0.06,+2.5,+2.5
Victorien Angban,CIV,MF,Metz,Ligue 1,23,1996,18.6,0,6,1,16.7,0.32,0.05,0.00,0.00,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Ángel,ESP,GK,Granada,La Liga,18,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Ángel,ESP,DF,Eibar,La Liga,30,1989,10.0,0,2,0,0.0,0.20,0.00,0.00,,27.6,0,0,0,0.0,0.0,0.01,0.0,0.0
Miguel Ángel Rubio,ESP,DF,Valladolid,La Liga,22,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Angeliño,ESP,DF,RB Leipzig,Bundesliga,23,1997,24.0,4,35,13,37.1,1.46,0.54,0.11,0.31,15.8,4,0,0,3.8,3.8,0.11,+0.2,+0.2
Davide Angelo Ghislandi,ITA,DF,Atalanta,Serie A,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Philip Ankhrah,GHA,MF,Hellas Verona,Serie A,17,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristian Ansaldi,ARG,DF,Torino,Serie A,33,1986,21.6,1,16,6,37.5,0.74,0.28,0.00,0.00,23.9,2,1,1,1.7,0.9,0.06,-0.7,-0.9
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,24,1996,30.1,0,12,4,33.3,0.40,0.13,0.00,0.00,14.2,0,0,0,1.2,1.2,0.10,-1.2,-1.2
Michail Antonio,JAM,FW,West Ham,Premier League,30,1990,21.9,10,64,23,35.9,2.92,1.05,0.16,0.43,12.8,0,0,0,11.4,11.4,0.18,-1.4,-1.4
José Antonio Miranda,EQG,MF,Getafe,La Liga,22,1998,0.3,0,2,0,0.0,6.92,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2
Valentin Antov,BUL,DF,Bologna,Serie A,19,2000,2.6,0,1,0,0.0,0.39,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,22,1998,19.8,7,71,25,35.2,3.59,1.26,0.07,0.20,15.9,0,2,2,10.3,8.8,0.12,-3.3,-3.8
Adil Aouchiche,FRA,MF,Saint-Étienne,Ligue 1,18,2002,19.2,2,27,12,44.4,1.40,0.62,0.07,0.17,20.7,2,0,0,3.3,3.3,0.12,-1.3,-1.3
Dennis Appiah,FRA,DF,Nantes,Ligue 1,28,1992,17.3,0,7,0,0.0,0.40,0.00,0.00,,18.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Aritz Arambarri,ESP,DF,Real Sociedad,La Liga,22,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1
Mauro Arambarri,URU,MF,Getafe,La Liga,24,1995,33.1,3,47,9,19.1,1.42,0.27,0.06,0.33,25.5,6,0,0,2.2,2.2,0.05,+0.8,+0.8
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,31,1989,18.5,0,4,2,50.0,0.22,0.11,0.00,0.00,9.7,0,0,0,0.7,0.7,0.17,-0.7,-0.7
Luiz Araújo,BRA,MF,Lille,Ligue 1,24,1996,16.6,4,50,10,20.0,3.01,0.60,0.08,0.40,22.6,1,0,0,3.7,3.7,0.07,+0.3,+0.3
Néstor Araujo,MEX,DF,Celta Vigo,La Liga,28,1991,27.0,0,6,0,0.0,0.22,0.00,0.00,,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Ronald Araújo,URU,DF,Barcelona,La Liga,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.50,10.2,0,0,0,1.6,1.6,0.13,+0.4,+0.4
Anaitz Arbilla,ESP,DF,Eibar,La Liga,33,1987,31.2,0,27,2,7.4,0.87,0.06,0.00,0.00,26.8,5,0,0,1.2,1.2,0.05,-1.2,-1.2
Alphonse Areola,FRA,GK,Fulham,Premier League,27,1993,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Santiago Arias,COL,DF,Leverkusen,Bundesliga,28,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Karim Aribi,ALG,FW,Nîmes,Ligue 1,26,1994,3.3,0,9,2,22.2,2.76,0.61,0.00,0.00,12.3,0,0,0,1.0,1.0,0.11,-1.0,-1.0
Unai Arietaleanizbeaskoa,ESP,FW,Eibar,La Liga,21,1999,0.5,0,1,0,0.0,1.91,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Nicolò Armini,ITA,DF,Lazio,Serie A,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Stuart Armstrong,SCO,MF,Southampton,Premier League,28,1992,30.7,4,54,12,22.2,1.76,0.39,0.07,0.33,20.8,0,0,0,3.0,3.0,0.05,+1.0,+1.0
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,26,1994,28.7,3,54,16,29.6,1.88,0.56,0.06,0.19,28.5,12,0,0,2.0,2.0,0.04,+1.0,+1.0
Toluwalas Arokodare,NGA,FW,Köln,Bundesliga,19,2000,1.2,0,4,1,25.0,3.21,0.80,0.00,0.00,9.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4
Sergio Arribas,ESP,FW,Real Madrid,La Liga,18,2001,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,25,1994,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tolgay Arslan,GER,MF,Udinese,Serie A,29,1990,20.2,3,22,6,27.3,1.09,0.30,0.14,0.50,20.8,0,0,0,1.0,1.0,0.05,+2.0,+2.0
Kwadwo Asamoah,GHA,DF,Cagliari,Serie A,31,1988,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,21.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Santiago Ascacíbar,ARG,MF,Hertha BSC,Bundesliga,23,1997,8.5,1,7,3,42.9,0.83,0.35,0.14,0.33,18.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4
Sergio Asenjo,ESP,GK,Villarreal,La Liga,31,1989,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marco Asensio,ESP,FW,Real Madrid,La Liga,24,1996,20.8,5,42,11,26.2,2.02,0.53,0.12,0.45,18.2,3,0,0,4.8,4.8,0.11,+0.2,+0.2
Kristoffer Askildsen,NOR,MF,Sampdoria,Serie A,19,2001,1.1,0,1,0,0.0,0.95,0.00,0.00,,25.6,0,0,0,0.0,0.0,0.01,0.0,0.0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,32,1987,31.8,14,43,22,51.2,1.35,0.69,0.21,0.41,15.7,5,5,5,12.5,8.7,0.20,+1.5,+0.3
Roger Assalé,CIV,FW,Dijon,Ligue 1,26,1993,9.2,1,11,5,45.5,1.20,0.54,0.09,0.20,16.7,0,0,0,0.8,0.8,0.07,+0.2,+0.2
Youcef Atal,ALG,DF,Nice,Ligue 1,24,1996,10.6,1,8,5,62.5,0.75,0.47,0.13,0.20,17.6,0,0,0,0.6,0.6,0.07,+0.4,+0.4
Miguel Atienza,ESP,MF,Eibar,La Liga,21,1999,9.3,0,5,0,0.0,0.54,0.00,0.00,,14.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,31,1989,25.9,10,56,19,33.9,2.16,0.73,0.14,0.42,13.5,0,2,2,10.6,9.1,0.16,-0.6,-1.1
Emil Audero,ITA,GK,Sampdoria,Serie A,23,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tommaso Augello,ITA,DF,Sampdoria,Serie A,25,1994,35.7,1,8,2,25.0,0.22,0.06,0.13,0.50,19.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7
Jean-Kévin Augustin,FRA,FW,Nantes,Ligue 1,23,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,26,1994,21.7,0,17,6,35.3,0.78,0.28,0.00,0.00,17.9,3,0,0,0.9,0.9,0.05,-0.9,-0.9
