Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Ismael Aaneba,FRA,FW,Strasbourg,Ligue 1,21,1999,0.1,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,1323,72,405,643,344,38,1126,9,21,42.9,9,0,733,3522,1907,114,30,9,13,16,835,775,92.8,46
Issah Abbas,GHA,DF,Mainz 05,Bundesliga,21,1998,0.2,18,0,5,6,8,1,15,1,2,50.0,2,0,11,47,40,2,1,0,0,1,12,11,91.7,2
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,2085,279,1203,986,41,21,2030,12,20,60.0,13,1,1339,7561,4188,58,8,1,8,15,1407,1365,97.0,7
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,17,0,2,11,6,0,17,1,3,33.3,1,0,11,46,22,1,1,0,0,0,10,8,80.0,1
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,871,26,223,551,174,13,825,23,32,71.9,23,0,595,3486,1689,60,22,1,6,18,628,565,90.0,14
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,1973,40,513,1270,309,17,1932,22,31,71.0,22,0,1362,5793,2893,107,34,3,41,46,1427,1321,92.6,47
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,20,2000,10.1,345,9,41,165,158,44,330,12,27,44.4,14,0,209,968,504,27,11,4,35,25,492,253,51.4,66
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,1,0,0,0,1,0,1,1,1,100.0,1,0,2,7,3,0,0,0,0,0,1,1,100.0,0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,856,141,518,369,25,16,830,5,6,83.3,5,0,456,3013,1651,16,1,0,2,1,472,461,97.7,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1261,44,9,0,3,0,473,454,96.0,8
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,356,21,40,167,166,66,347,6,19,31.6,6,2,177,709,252,13,5,4,26,13,491,251,51.1,96
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,31,3,11,14,7,0,31,0,0,,0,0,14,56,29,0,0,0,0,2,21,17,81.0,0
Gennaro Acampora,ITA,MF,Spezia,Serie A,26,1994,4.9,290,8,33,172,115,8,286,5,12,41.7,7,1,219,1432,601,28,14,1,8,12,247,210,85.0,14
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,2382,348,1231,1170,195,19,2279,11,12,91.7,11,0,1448,9813,5208,116,32,1,14,8,1592,1549,97.3,21
Ragnar Ache,GER,FW,Eint Frankfurt,Bundesliga,22,1998,1.1,54,1,2,32,24,11,54,0,0,,0,0,25,83,57,4,2,0,7,4,75,41,54.7,15
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,2027,73,704,915,525,31,1760,41,60,68.3,43,5,1309,5909,3793,133,34,8,33,33,1437,1356,94.4,56
Che Adams,SCO,FW,Southampton,Premier League,24,1996,29.6,976,22,98,444,492,110,965,25,44,56.8,28,0,630,2627,1169,67,27,10,74,52,1474,734,49.8,189
Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,1615,57,394,961,372,20,1520,18,21,85.7,18,0,1067,5237,2594,106,34,4,18,31,1188,1088,91.6,47
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,27,1993,5.3,249,3,26,89,160,42,244,3,11,27.3,4,1,177,1256,742,31,17,3,19,11,257,188,73.2,51
