Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Vs Dribbles Tkl,Vs Dribbles Att,Vs Dribbles Tkl%,Vs Dribbles Past,Pressures Press,Pressures Succ,Pressures %,Pressures Def 3rd,Pressures Mid 3rd,Pressures Att 3rd,Blocks Blocks,Blocks Sh,Blocks ShSv,Blocks Pass,Blocks Int,Blocks Tkl+Int,Blocks Clr,Blocks Err
Ismael Aaneba,FRA,FW,Strasbourg,Ligue 1,21,1999,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1
Issah Abbas,GHA,DF,Mainz 05,Bundesliga,21,1998,0.2,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,71,45,51,20,0,15,37,40.5,22,379,146,38.5,252,110,17,51,20,2,31,56,127,170,0
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,1,0,0,1,0,0,1,0.0,1,16,4,25.0,5,8,3,0,0,0,0,1,2,1,0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,160,108,65,79,16,53,179,29.6,126,958,269,28.1,323,539,96,51,6,1,45,46,206,13,0
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,20,2000,10.1,7,4,6,1,0,5,14,35.7,9,224,57,25.4,24,106,94,7,1,0,6,7,14,6,0
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,22,11,16,6,0,9,17,52.9,8,107,45,42.1,73,29,5,16,5,0,11,32,54,142,2
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,33,0
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0
