Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Ismael Aaneba,FRA,FW,Strasbourg,Ligue 1,21,1999,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,2,0,0,13,3,3,34,34,19,0,0,0,179,10,11,47.6
Issah Abbas,GHA,DF,Mainz 05,Bundesliga,21,1998,0.2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,4,1,0,37,20,0,0,56,45,0,0,0,289,93,49,65.5
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,1,0,0,2,1,0,1,1,0,0,0,0,5,1,1,50.0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,5,0,0,38,23,1,21,23,24,0,0,0,146,12,19,38.7
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,5,0,0,47,40,0,18,46,108,1,0,0,298,8,19,29.6
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,20,2000,10.1,1,0,0,21,9,7,4,7,4,0,0,0,40,36,62,36.7
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,1,0,0,11,8,1,1,32,11,0,0,0,127,57,15,79.2
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,5,1,1,9,6,1,8,15,13,0,0,0,176,39,26,60.0
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,0,0,0,26,19,5,4,2,4,1,0,0,47,39,28,58.2
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
Gennaro Acampora,ITA,MF,Spezia,Serie A,26,1994,4.9,2,0,0,11,15,1,7,4,7,0,0,0,49,0,9,0.0
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,9,1,1,34,25,2,26,62,38,0,0,0,368,77,26,74.8
Ragnar Ache,GER,FW,Eint Frankfurt,Bundesliga,22,1998,1.1,1,0,0,5,1,1,0,0,0,0,0,0,7,13,4,76.5
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,5,0,0,49,34,2,81,25,47,0,2,0,215,19,31,38.0
