Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Ismael Aaneba,FRA,FW,Strasbourg,Ligue 1,21,1999,0.1,2,2,100.0,57,15,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29,1990,19.7,889,1127,78.9,14909,6947,454,512,88.7,339,417,81.3,79,152,52.0,1,0.8,+0.2,11,68,26,4,112
Issah Abbas,GHA,DF,Mainz 05,Bundesliga,21,1998,0.2,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,32.1,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73.0,0,0.3,-0.3,4,81,1,0,91
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,0.7,7,12,58.3,133,9,2,2,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,0,1,0,1
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,14.7,616,725,85.0,12193,2951,247,263,93.9,250,284,88.0,103,154,66.9,0,0.8,-0.8,12,60,7,4,42
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,32.9,1330,1592,83.5,25834,6519,530,603,87.9,575,639,90.0,200,289,69.2,1,1.4,-0.4,21,113,17,4,111
Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,20,2000,10.1,144,214,67.3,1899,334,84,109,77.1,37,52,71.2,6,20,30.0,2,0.3,+1.7,8,9,5,0,11
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14.0,505,624,80.9,12189,4391,125,134,93.3,242,274,88.3,132,205,64.4,0,0.1,-0.1,3,30,2,0,31
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,13.6,564,689,81.9,12077,4254,177,204,86.8,277,310,89.4,106,161,65.8,0,0.5,-0.5,2,50,3,2,43
Tammy Abraham,ENG,FW,Chelsea,Premier League,22,1997,11.6,149,218,68.3,2057,327,92,118,78.0,39,64,60.9,9,15,60.0,1,0.9,+0.1,8,12,2,0,11
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30,1990,0.7,18,22,81.8,295,27,7,9,77.8,9,10,90.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0
Gennaro Acampora,ITA,MF,Spezia,Serie A,26,1994,4.9,189,225,84.0,3834,625,75,84,89.3,79,93,84.9,33,43,76.7,0,0.0,0.0,1,14,3,1,16
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,31.3,1804,2035,88.6,38629,10443,558,605,92.2,867,918,94.4,344,456,75.4,1,1.0,0.0,12,115,20,9,99
Ragnar Ache,GER,FW,Eint Frankfurt,Bundesliga,22,1998,1.1,19,35,54.3,228,29,13,21,61.9,5,9,55.6,0,0,,0,0.0,0.0,0,1,0,0,1
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,25.9,1426,1771,80.5,28082,11413,558,612,91.2,656,750,87.5,196,359,54.6,2,2.8,-0.8,33,110,36,18,122
Che Adams,SCO,FW,Southampton,Premier League,24,1996,29.6,443,633,70.0,7359,1633,227,302,75.2,143,184,77.7,51,73,69.9,5,5.8,-0.8,34,27,25,2,61
Tyler Adams,USA,DF,RB Leipzig,Bundesliga,21,1999,20.6,1184,1375,86.1,19562,5363,587,648,90.6,488,542,90.0,88,140,62.9,1,0.9,+0.1,13,85,19,2,90
Sargis Adamyan,ARM,FW,Hoffenheim,Bundesliga,27,1993,5.3,120,167,71.9,1955,473,61,79,77.2,42,51,82.4,12,20,60.0,3,1.8,+1.2,12,6,8,1,14
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22,1997,32.8,1594,1824,87.4,37337,11928,304,340,89.4,934,985,94.8,346,470,73.6,0,0.4,-0.4,5,68,5,1,73
Bobby Adekanye,NED,FW,Cádiz,La Liga,21,1999,0.4,7,10,70.0,99,1,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,26.9,1346,1629,82.6,27385,6812,507,569,89.1,561,646,86.8,245,347,70.6,5,4.7,+0.3,53,148,24,4,142
Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
Adrián,ESP,GK,Liverpool,Premier League,33,1987,3.0,76,99,76.8,2031,1135,16,16,100.0,37,38,97.4,21,43,48.8,0,0.0,0.0,0,0,0,0,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,24,1996,17.3,520,727,71.5,9660,4691,229,273,83.9,225,299,75.3,57,121,47.1,1,0.9,+0.1,12,40,16,8,45
Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,8.9,443,494,89.7,8945,1965,159,170,93.5,201,219,91.8,74,92,80.4,0,0.1,-0.1,2,39,4,0,36
Felix Agu,GER,DF,Werder Bremen,Bundesliga,20,1999,7.8,210,289,72.7,3403,1143,117,136,86.0,74,101,73.3,14,35,40.0,0,0.4,-0.4,3,9,4,3,10
Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,15.1,232,320,72.5,4192,919,109,133,82.0,88,115,76.5,29,49,59.2,2,0.7,+1.3,11,18,12,0,30
