Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,26,1990,24.3,41,1.69,22,11,5,1,1,1,3,0.12,2,0,1,0,0,0
Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,3,0.52,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rolando Aarons,ENG,FW,Newcastle Utd,Premier League,21,1995,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ignazio Abate,ITA,DF,Milan,Serie A,30,1986,11.7,26,2.21,22,2,0,2,0,0,4,0.34,3,0,0,1,0,0
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,27,1989,5.5,1,0.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aly Abeid,MTN,DF,Levante,La Liga,19,1997,0.9,3,3.51,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,24,1992,13.1,15,1.15,11,1,0,2,0,1,1,0.08,1,0,0,0,0,0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,31,1986,25.6,16,0.63,12,1,0,3,0,0,2,0.08,1,0,0,1,0,0
Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,35,1.83,17,0,11,3,3,1,2,0.10,1,0,0,1,0,0
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,27,1990,9.4,12,1.27,10,0,0,0,2,0,1,0.11,1,0,0,0,0,0
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38.0,28,0.74,25,0,0,0,2,1,0,0.00,0,0,0,0,0,0
Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,10.6,15,1.44,11,0,1,1,2,0,0,0.00,0,0,0,0,0,0
Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,19,4.17,8,3,2,1,3,2,1,0.22,1,0,0,0,0,0
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,4,0.13,4,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Aday,ESP,DF,Girona,La Liga,29,1987,20.4,52,2.55,37,3,3,4,5,0,3,0.15,3,0,0,0,0,0
Khaled Adénon,BEN,DF,Amiens,Ligue 1,32,1985,32.5,7,0.22,4,1,0,0,1,1,1,0.03,1,0,0,0,0,0
