Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types Drib,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types Drib,GCA Types Sh,GCA Types Fld,GCA Types Def
Claud Adjapong,ITA,DF,Sassuolo,Serie A,19,1998,13.6,23,1.70,16,0,2,2,2,1,3,0.22,1,0,0,1,1,0
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,2,0.14,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yacine Adli,FRA,FW,Paris S-G,Ligue 1,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Adnan Kadhim,IRQ,DF,Udinese,Serie A,23,1993,18.6,33,1.78,24,8,0,0,1,0,5,0.27,4,0,0,0,1,0
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,3,0.16,2,1,0,0,0,0,1,0.05,0,1,0,0,0,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,36,1981,23.9,33,1.38,17,1,3,5,6,1,2,0.08,2,0,0,0,0,0
Ibrahim Afellay,NED,MF,Stoke City,Premier League,31,1986,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,6.8,8,1.34,5,0,1,1,1,0,1,0.17,0,0,0,0,1,0
Martin Agirregabiria,ESP,DF,Alavés,La Liga,21,1996,20.3,21,1.03,16,4,1,0,0,0,4,0.20,4,0,0,0,0,0
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,3,1.16,1,0,0,1,1,0,2,0.78,0,0,0,1,1,0
Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,78,3.58,59,0,7,6,3,3,13,0.60,10,0,2,0,0,1
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,27.3,60,2.20,45,7,1,3,3,1,6,0.22,5,0,0,1,0,0
Matías Aguirregaray,URU,DF,Las Palmas,La Liga,28,1989,12.8,18,1.41,17,0,0,1,0,0,1,0.08,0,0,0,1,0,0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,33.4,32,0.96,24,0,0,5,3,0,7,0.21,4,0,0,1,2,0
Ailton,BRA,DF,Stuttgart,Bundesliga,22,1995,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youssef Aït Bennasser,MAR,MF,Caen,Ligue 1,21,1996,22.7,50,2.20,40,1,2,1,5,1,1,0.04,1,0,0,0,0,0
Arlind Ajeti,ALB,DF,Crotone,Serie A,23,1993,14.1,11,0.78,7,0,0,1,1,2,2,0.14,1,0,0,1,0,0
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,22,1995,10.0,6,0.60,4,0,1,0,0,1,1,0.10,1,0,0,0,0,0
Nathan Aké,NED,DF,Bournemouth,Premier League,22,1995,37.3,18,0.48,16,0,1,0,1,0,4,0.11,4,0,0,0,0,0
Ager Aketxe,ESP,MF,Athletic Club,La Liga,23,1993,0.4,3,7.30,3,0,0,0,0,0,1,2.43,1,0,0,0,0,0
Chadrac Akolo,COD,FW,Stuttgart,Bundesliga,22,1995,12.2,28,2.29,22,0,1,3,1,1,2,0.16,0,0,0,1,1,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,22,1995,18.8,14,0.75,14,0,0,0,0,0,1,0.05,1,0,0,0,0,0
David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,42,2.43,35,4,1,2,0,0,3,0.17,3,0,0,0,0,0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,24,1992,17.2,38,2.21,25,0,5,1,5,2,7,0.41,4,0,1,0,1,1
David Alba,ESP,DF,Getafe,La Liga,18,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordi Alba,ESP,DF,Barcelona,La Liga,28,1989,30.5,58,1.90,56,0,0,1,0,1,11,0.36,10,0,0,1,0,0
Raúl Albentosa,ESP,DF,La Coruña,La Liga,28,1988,19.4,7,0.36,4,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Luis Alberto,ESP,MF,Lazio,Serie A,24,1992,29.7,163,5.50,99,49,9,3,2,1,26,0.88,14,8,3,0,1,0
Raúl Albiol,ESP,DF,Napoli,Serie A,31,1985,30.5,24,0.79,22,0,0,2,0,0,2,0.07,1,0,0,1,0,0
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,26,1990,7.8,15,1.92,12,0,0,1,2,0,3,0.38,3,0,0,0,0,0
Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,28.2,67,2.38,49,12,2,1,1,2,12,0.43,10,1,0,0,0,1
Paco Alcácer,ESP,MF,Barcelona,La Liga,23,1993,7.7,17,2.20,13,0,0,3,1,0,6,0.78,3,0,0,2,1,0
Pedro Alcalá,ESP,DF,Girona,La Liga,28,1989,7.7,6,0.78,4,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,26,1991,13.9,54,3.90,47,2,1,0,2,2,3,0.22,3,0,0,0,0,0
David Alcibiade,FRA,DF,Nantes,Ligue 1,25,1991,2.3,2,0.87,2,0,0,0,0,0,1,0.43,1,0,0,0,0,0
Toby Alderweireld,BEL,DF,Tottenham,Premier League,28,1989,13.1,12,0.92,8,0,2,1,0,1,0,0.00,0,0,0,0,0,0
Steve Aldo One,CMR,DF,La Coruña,La Liga,22,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Álex Alegría,ESP,FW,Levante,La Liga,24,1992,7.0,10,1.43,5,0,0,1,4,0,2,0.29,1,0,0,0,1,0
Iván Alejo,ESP,MF,Eibar,La Liga,22,1995,12.2,30,2.45,24,0,2,0,4,0,3,0.25,3,0,0,0,0,0
Alexander,ARG,MF,Leganés,La Liga,28,1988,11.8,27,2.29,20,0,1,2,4,0,3,0.25,2,0,0,0,1,0
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,18,1998,17.5,40,2.29,28,8,0,3,0,1,3,0.17,2,0,0,1,0,0
Alexis,ESP,DF,Alavés,La Liga,31,1985,24.3,13,0.54,11,2,0,0,0,0,1,0.04,1,0,0,0,0,0
Alisson,BRA,GK,Roma,Serie A,24,1992,37.0,5,0.14,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Allan,BRA,MF,Napoli,Serie A,26,1991,31.7,97,3.06,74,1,6,3,7,6,15,0.47,12,0,0,0,1,2
Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,34.9,64,1.83,52,4,1,2,3,2,11,0.32,7,1,0,0,2,1
Dele Alli,ENG,MF,Tottenham,Premier League,21,1996,32.9,124,3.77,90,1,6,7,17,3,20,0.61,14,0,0,4,2,0
Júnior Alonso,PAR,DF,Lille,Ligue 1,24,1993,30.9,21,0.68,19,2,0,0,0,0,2,0.06,2,0,0,0,0,0
José Alonso Lara,ESP,FW,Sevilla,La Liga,17,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,26,1990,31.7,75,2.36,61,4,3,4,2,1,5,0.16,5,0,0,0,0,0
Ricky Álvarez,ARG,MF,Sampdoria,Serie A,29,1988,3.0,13,4.42,7,3,0,2,0,1,1,0.34,0,0,0,0,0,1
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,16.4,3,0.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,22,1995,7.5,9,1.20,7,1,0,0,1,0,1,0.13,1,0,0,0,0,0
Dani Alves,BRA,DF,Paris S-G,Ligue 1,34,1983,22.9,84,3.66,72,4,0,7,1,0,12,0.52,12,0,0,0,0,0
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,26.7,22,0.82,19,0,0,1,2,0,0,0.00,0,0,0,0,0,0
Eloi Amagat,ESP,FW,Girona,La Liga,32,1985,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Morgan Amalfitano,FRA,MF,Rennes,Ligue 1,32,1985,8.3,15,1.81,12,0,0,3,0,0,2,0.24,1,0,0,1,0,0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,27,1989,30.0,56,1.86,43,3,1,1,4,4,4,0.13,3,1,0,0,0,0
Daniel Amartey,GHA,DF,Leicester City,Premier League,22,1994,5.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordi Amat,ESP,DF,Betis,La Liga,25,1992,22.7,16,0.70,15,0,1,0,0,0,1,0.04,1,0,0,0,0,0
Amath,SEN,MF,Getafe,La Liga,21,1996,31.8,56,1.76,35,0,8,3,9,1,4,0.13,2,0,1,1,0,0
Jordan Amavi,FRA,DF,Marseille,Ligue 1,23,1994,24.4,46,1.89,32,1,5,5,2,1,9,0.37,7,1,0,1,0,0
Stephan Ambrosius,GHA,DF,Hamburger SV,Bundesliga,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,19,1998,35.0,27,0.77,20,5,2,0,0,0,3,0.09,2,0,1,0,0,0
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,20,1996,19.4,66,3.42,45,7,6,6,2,0,5,0.26,5,0,0,0,0,0
Ethan Ampadu,WAL,DF,Chelsea,Premier League,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nordin Amrabat,MAR,FW,Watford,Premier League,30,1987,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Nordin Amrabat,MAR,FW,Leganés,La Liga,30,1987,18.0,50,2.77,34,1,7,4,4,0,7,0.39,5,1,1,0,0,0
Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joachim Andersen,DEN,DF,Sampdoria,Serie A,21,1996,6.1,4,0.66,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Felipe Anderson,BRA,MF,Lazio,Serie A,24,1993,12.9,69,5.35,47,10,10,2,0,0,13,1.01,11,1,1,0,0,0
Florin Andone,ROU,FW,La Coruña,La Liga,24,1993,18.2,21,1.16,11,0,0,7,2,1,5,0.28,3,0,0,1,1,0
Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36.0,7,0.19,4,3,0,0,0,0,1,0.03,1,0,0,0,0,0
Benjamin André,FRA,MF,Rennes,Ligue 1,26,1990,33.5,67,2.00,61,0,2,2,1,1,6,0.18,6,0,0,0,0,0
Marco Andreolli,ITA,DF,Cagliari,Serie A,31,1986,20.3,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yoann Andreu,FRA,DF,Angers,Ligue 1,28,1989,23.0,38,1.65,30,3,2,0,1,2,4,0.17,3,0,0,0,1,0
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,27,1990,16.0,25,1.56,19,0,2,3,1,0,6,0.37,3,0,0,2,1,0
José Ángel,ESP,DF,Eibar,La Liga,27,1989,27.0,65,2.41,31,24,4,2,2,2,11,0.41,5,4,1,1,0,0
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,8.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Ángel Rubio,ESP,DF,Getafe,La Liga,19,1998,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gabriele Angella,ITA,DF,Udinese,Serie A,28,1989,9.9,11,1.11,9,0,0,0,1,1,0,0.00,0,0,0,0,0,0
Cristian Ansaldi,ARG,DF,Torino,Serie A,30,1986,20.8,51,2.45,30,1,10,3,4,3,7,0.34,5,0,0,1,1,0
Luca Antei,ITA,DF,Benevento,Serie A,25,1992,6.6,2,0.31,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Mirco Antenucci,ITA,FW,SPAL,Serie A,32,1984,28.6,66,2.31,45,0,5,7,8,1,11,0.38,7,0,0,3,1,0
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,21,1996,25.3,11,0.43,9,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Luca Antonelli,ITA,DF,Milan,Serie A,30,1987,1.6,1,0.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio,JAM,FW,West Ham,Premier League,27,1990,15.0,31,2.06,18,1,4,1,7,0,5,0.33,1,0,2,1,1,0
Mirko Antonucci,ITA,FW,Roma,Serie A,18,1999,0.3,2,6.00,2,0,0,0,0,0,1,3.00,1,0,0,0,0,0
Vitorino Antunes,POR,DF,Getafe,La Liga,30,1987,31.1,54,1.74,27,21,2,1,0,3,3,0.10,2,1,0,0,0,0
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,30,1987,21.7,40,1.84,26,13,0,1,0,0,6,0.28,2,3,0,1,0,0
Houssem Aouar,FRA,MF,Lyon,Ligue 1,19,1998,27.0,99,3.66,73,1,6,6,9,4,12,0.44,10,0,0,2,0,0
Alberto Aquilani,ITA,MF,Las Palmas,La Liga,33,1984,14.4,21,1.46,20,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Mauro Arambarri,URU,MF,Getafe,La Liga,21,1995,23.6,19,0.81,12,0,0,2,3,2,2,0.08,1,0,0,1,0,0
Guilherme Arana,BRA,DF,Sevilla,La Liga,20,1997,2.1,2,0.93,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,28,1989,25.6,59,2.31,49,4,0,2,1,3,6,0.23,4,1,0,0,0,1
Luiz Araújo,BRA,FW,Lille,Ligue 1,21,1996,22.4,52,2.32,38,2,5,5,2,0,7,0.31,6,0,0,0,1,0
Sergio Araujo,ARG,MF,Las Palmas,La Liga,25,1992,0.4,2,4.62,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Anaitz Arbilla,ESP,DF,Eibar,La Liga,30,1987,26.8,29,1.08,22,3,1,2,0,1,4,0.15,3,0,0,1,0,0
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,24,1993,34.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Scott Arfield,CAN,MF,Burnley,Premier League,28,1988,14.8,21,1.42,12,0,3,3,3,0,3,0.20,1,0,1,0,1,0
Samuel Armenteros,SWE,FW,Benevento,Serie A,27,1990,4.8,3,0.63,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yoël Armougom,FRA,MF,Caen,Ligue 1,19,1998,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
José Arnaiz,ESP,MF,Barcelona,La Liga,22,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Arnautović,AUT,FW,West Ham,Premier League,28,1989,25.7,65,2.53,39,2,14,3,4,3,14,0.54,6,0,5,2,0,1
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,23,1994,27.3,72,2.64,46,19,1,1,4,1,3,0.11,2,1,0,0,0,0
Jann-Fiete Arp,GER,FW,Hamburger SV,Bundesliga,17,2000,9.4,13,1.38,5,0,4,1,1,2,1,0.11,0,0,1,0,0,0
Alejandro Arribas,ESP,DF,La Coruña,La Liga,28,1989,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kepa Arrizabalaga,ESP,GK,Athletic Club,La Liga,22,1994,30.0,6,0.20,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Harry Arter,IRL,MF,Bournemouth,Premier League,27,1989,10.7,18,1.69,15,1,0,0,0,2,1,0.09,0,0,0,0,0,1
Aythami Artiles,ESP,DF,Las Palmas,La Liga,31,1986,2.0,1,0.49,1,0,0,0,0,0,1,0.49,1,0,0,0,0,0
Kwadwo Asamoah,GHA,DF,Juventus,Serie A,28,1988,17.4,31,1.78,27,1,1,0,2,0,4,0.23,3,0,1,0,0,0
Takuma Asano,JPN,FW,Stuttgart,Bundesliga,22,1994,8.0,19,2.37,16,0,2,0,0,1,1,0.12,1,0,0,0,0,0
Santiago Ascacíbar,ARG,MF,Stuttgart,Bundesliga,20,1997,26.5,25,0.95,17,0,1,2,4,1,1,0.04,0,0,0,1,0,0
Sergio Asenjo,ESP,GK,Villarreal,La Liga,28,1989,23.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,21,1996,20.5,100,4.88,80,9,5,4,2,0,12,0.59,12,0,0,0,0,0
Iago Aspas,ESP,FW,Celta Vigo,La Liga,29,1987,32.6,113,3.46,90,5,9,1,4,4,14,0.43,11,0,3,0,0,0
Benoît Assou-Ekotto,CMR,DF,Metz,Ligue 1,33,1984,11.7,15,1.28,11,3,1,0,0,0,0,0.00,0,0,0,0,0,0
Simon Asta,GER,MF,Augsburg,Bundesliga,16,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Davide Astori,ITA,DF,Fiorentina,Serie A,30,1987,25.0,19,0.76,18,0,0,0,0,1,1,0.04,1,0,0,0,0,0
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,25,1992,19.8,46,2.32,34,1,6,1,4,0,6,0.30,3,0,1,1,1,0
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,28,1989,11.7,24,2.04,20,0,2,2,0,0,7,0.60,6,0,0,1,0,0
Pierre-Emerick Aubameyang,GAB,FW,Dortmund,Bundesliga,28,1989,15.7,34,2.16,23,0,3,6,1,1,10,0.64,4,0,2,3,1,0
Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,20,1997,14.1,33,2.34,21,0,5,3,4,0,8,0.57,7,0,0,0,1,0
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,23,1994,28.1,56,1.99,38,12,0,5,1,0,2,0.07,0,1,0,1,0,0
Yann Aurel Bisseck,GER,DF,Köln,Bundesliga,16,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Serge Aurier,CIV,DF,Tottenham,Premier League,24,1992,15.9,32,2.02,26,1,1,3,1,0,4,0.25,1,0,1,1,1,0
Charlie Austin,ENG,FW,Southampton,Premier League,28,1989,11.5,20,1.74,11,0,4,4,0,1,2,0.17,1,0,0,1,0,0
Danilo Avelar,BRA,DF,Amiens,Ligue 1,28,1989,19.2,28,1.46,23,3,0,0,2,0,4,0.21,4,0,0,0,0,0
Felipe Avenatti,URU,FW,Bologna,Serie A,24,1993,5.2,5,0.96,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Durel Avounou,CGO,MF,Caen,Ligue 1,19,1997,7.2,6,0.83,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Chidozie Awaziem,NGA,DF,Nantes,Ligue 1,20,1997,16.8,11,0.65,7,0,1,2,1,0,1,0.06,1,0,0,0,0,0
André Ayew,GHA,MF,West Ham,Premier League,27,1989,9.9,13,1.31,7,0,4,0,2,0,4,0.40,3,0,1,0,0,0
André Ayew,GHA,FW,Swansea City,Premier League,27,1989,10.6,21,1.99,16,1,1,1,1,1,4,0.38,2,0,0,1,1,0
Jordan Ayew,GHA,FW,Swansea City,Premier League,25,1991,31.7,63,1.99,27,1,10,10,8,7,3,0.09,0,0,1,2,0,0
Karim Azamoum,FRA,MF,Troyes,Ligue 1,27,1990,25.0,48,1.92,31,9,0,3,0,5,1,0.04,1,0,0,0,0,0
César Azpilicueta,ESP,DF,Chelsea,Premier League,27,1989,37.0,57,1.54,55,0,0,1,0,1,8,0.22,8,0,0,0,0,0
Ludovic Baal,GUF,DF,Rennes,Ligue 1,31,1986,12.9,17,1.32,14,1,1,0,0,1,2,0.16,2,0,0,0,0,0
Khouma Babacar,SEN,FW,Sassuolo,Serie A,24,1993,8.3,15,1.80,9,0,2,1,3,0,2,0.24,2,0,0,0,0,0
Khouma Babacar,SEN,FW,Fiorentina,Serie A,24,1993,5.0,16,3.22,11,0,1,3,1,0,1,0.20,0,0,0,0,1,0
Carlos Bacca,COL,FW,Villarreal,La Liga,30,1986,27.7,72,2.60,51,0,15,3,2,1,14,0.50,8,0,5,0,0,1
Milan Badelj,CRO,MF,Fiorentina,Serie A,28,1989,26.1,81,3.10,70,0,3,3,2,3,2,0.08,0,0,0,2,0,0
Holger Badstuber,GER,DF,Stuttgart,Bundesliga,28,1989,24.1,4,0.17,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Dylan Bahamboula,CGO,MF,Dijon,Ligue 1,22,1995,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Farès Bahlouli,FRA,MF,Lille,Ligue 1,22,1995,3.4,16,4.69,6,7,3,0,0,0,0,0.00,0,0,0,0,0,0
Stéphane Bahoken,CMR,FW,Strasbourg,Ligue 1,25,1992,18.5,34,1.84,24,0,1,6,2,1,2,0.11,1,0,1,0,0,0
Daniel Baier,GER,MF,Augsburg,Bundesliga,33,1984,28.2,63,2.23,47,3,1,5,6,1,6,0.21,4,1,0,1,0,0
Leon Bailey,JAM,FW,Leverkusen,Bundesliga,19,1997,24.6,110,4.47,62,22,18,5,3,0,11,0.45,6,2,3,0,0,0
Eric Bailly,CIV,DF,Manchester Utd,Premier League,23,1994,11.1,3,0.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leighton Baines,ENG,DF,Everton,Premier League,32,1984,21.2,42,1.98,33,9,0,0,0,0,4,0.19,3,1,0,0,0,0
Riad Bajić,BIH,FW,Udinese,Serie A,23,1994,0.9,4,4.50,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Marvin Bakalorz,GER,MF,Hannover 96,Bundesliga,27,1989,22.8,38,1.66,24,0,2,4,6,2,5,0.22,3,0,0,1,0,1
Cédric Bakambu,COD,FW,Villarreal,La Liga,26,1991,14.0,25,1.78,15,0,4,4,2,0,1,0.07,0,0,1,0,0,0
Tiemoué Bakayoko,FRA,MF,Chelsea,Premier League,22,1994,23.6,40,1.69,33,0,1,2,1,3,4,0.17,4,0,0,0,0,0
Zakaria Bakkali,BEL,FW,La Coruña,La Liga,21,1996,10.1,27,2.67,20,1,3,1,2,0,2,0.20,0,1,0,1,0,0
Ridle Baku,GER,MF,Mainz 05,Bundesliga,19,1998,2.6,4,1.55,2,0,1,0,1,0,1,0.39,0,0,1,0,0,0
Keita Baldé,SEN,FW,Monaco,Ligue 1,22,1995,16.4,35,2.14,22,1,7,2,3,0,7,0.43,5,0,1,1,0,0
Sam Baldock,ENG,MF,Brighton,Premier League,28,1989,0.4,1,2.81,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gareth Bale,WAL,FW,Real Madrid,La Liga,28,1989,20.0,67,3.35,58,0,3,3,3,0,9,0.45,5,0,1,1,2,0
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,29,1988,17.2,17,0.99,14,1,0,0,1,1,2,0.12,2,0,0,0,0,0
Andrija Balić,CRO,MF,Udinese,Serie A,19,1997,12.0,33,2.74,20,6,4,0,2,1,2,0.17,0,1,0,0,1,0
Iván Balliu,ALB,DF,Metz,Ligue 1,25,1992,21.7,35,1.61,29,2,1,1,2,0,4,0.18,4,0,0,0,0,0
Fodé Ballo-Touré,SEN,DF,Lille,Ligue 1,20,1997,22.8,23,1.01,18,2,1,0,2,0,0,0.00,0,0,0,0,0,0
Florent Balmont,FRA,MF,Dijon,Ligue 1,37,1980,9.6,26,2.72,22,0,1,0,2,1,3,0.31,3,0,0,0,0,0
Leon Balogun,NGA,DF,Mainz 05,Bundesliga,29,1988,13.0,7,0.54,5,1,0,0,0,1,1,0.08,1,0,0,0,0,0
Mario Balotelli,ITA,FW,Nice,Ligue 1,26,1990,25.2,83,3.29,49,3,6,9,14,2,8,0.32,3,0,1,3,1,0
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,27,1990,17.0,16,0.94,13,2,0,0,1,0,2,0.12,1,0,0,0,1,0
Jonathan Bamba,FRA,FW,Saint-Étienne,Ligue 1,21,1996,28.6,95,3.32,60,15,8,8,4,0,14,0.49,6,1,1,3,3,0
Yacine Bammou,MAR,MF,Nantes,Ligue 1,25,1991,8.1,18,2.23,13,0,0,2,0,3,0,0.00,0,0,0,0,0,0
Éver Banega,ARG,MF,Sevilla,La Liga,29,1988,26.7,137,5.14,89,34,5,1,4,4,6,0.23,1,5,0,0,0,0
Mattia Bani,ITA,DF,Chievo,Serie A,23,1993,14.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Beni Baningime,COD,MF,Everton,Premier League,18,1998,2.2,1,0.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Léo Baptistão,BRA,FW,Espanyol,La Liga,24,1992,29.7,61,2.05,39,1,7,6,4,4,10,0.34,7,1,1,0,0,1
