Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,53,3,0,7,4,41.3,0.30,-7.7,-0.26,212,523,40.5,965,113,42.0,36.5,199,59.3,45.4,298,30,10.1,14,0.47,13.5
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,18,1,0,5,0,18.5,0.36,+0.5,+0.03,84,218,38.5,296,40,48.0,40.7,90,84.4,61.3,130,9,6.9,12,0.86,15.9
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,29,1,1,8,1,27.3,0.28,-0.7,-0.04,159,470,33.8,387,47,78.0,54.1,186,90.3,61.9,197,12,6.1,14,0.74,13.9
Alisson,BRA,GK,Roma,Serie A,24,1992,37.0,28,3,0,2,0,38.8,0.26,+10.8,+0.29,245,443,55.3,994,198,35.7,35.2,181,48.6,45.3,306,25,8.2,49,1.32,17.5
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,16.4,29,1,0,4,1,26.7,0.35,-1.3,-0.08,105,267,39.3,458,36,43.0,38.2,98,71.4,54.3,145,13,9.0,12,0.73,14.3
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,26.7,2,1,0,0,0,0.8,0.19,-1.2,-0.04,0,0,,0,0,,,0,,,0,0,,0,0.00,
Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1.0,2,0,0,0,0,2.5,0.28,+0.5,+0.53,5,24,20.8,21,1,85.7,61.5,6,100.0,77.5,9,2,22.2,0,0.00,15.5
Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36.0,71,6,4,9,2,75.2,0.30,+6.2,+0.17,371,904,41.0,995,222,59.2,44.5,362,87.0,59.9,466,48,10.3,22,0.61,13.9
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,8.5,8,2,0,2,0,9.8,0.25,+1.8,+0.21,69,131,52.7,241,10,46.5,38.9,31,61.3,44.8,88,12,13.6,7,0.82,16.4
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,24,1993,34.0,25,1,2,6,0,26.1,0.23,+1.1,+0.03,48,95,50.5,504,90,13.9,24.3,80,31.3,34.3,299,24,8.0,31,0.91,16.8
Kepa Arrizabalaga,ESP,GK,Athletic Club,La Liga,22,1994,30.0,43,1,3,6,3,41.7,0.29,+1.7,+0.06,318,636,50.0,789,87,63.1,46.7,161,85.7,60.6,263,19,7.2,15,0.50,14.6
