Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
Saido Berahino,BDI,FW,Stoke City,Premier League,23,1993,15,3,494,5.5,0,1,0,0,1,0,0,0.00,0.18,0.18,0.00,0.18,1.7,0.9,0.5,1.5,0.31,0.10,0.41,0.17,0.27
Domenico Berardi,ITA,FW,Sassuolo,Serie A,22,1994,31,29,2296,25.5,4,2,2,2,4,8,1,0.16,0.08,0.24,0.08,0.16,8.9,5.9,5.2,11.1,0.35,0.20,0.55,0.23,0.44
Yuri Berchiche,ESP,DF,Paris S-G,Ligue 1,27,1990,22,19,1716,19.1,2,4,2,0,0,4,0,0.10,0.21,0.31,0.10,0.31,0.6,0.6,2.2,2.8,0.03,0.12,0.15,0.03,0.15
Álex Berenguer,ESP,FW,Torino,Serie A,22,1995,22,11,1043,11.6,1,3,1,0,0,1,0,0.09,0.26,0.35,0.09,0.35,1.2,1.2,1.8,3.0,0.10,0.16,0.26,0.10,0.26
Bartosz Bereszyński,POL,DF,Sampdoria,Serie A,25,1992,31,28,2480,27.6,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.2,0.2,0.7,0.9,0.01,0.03,0.03,0.01,0.03
Jóhann Berg Guðmundsson,ISL,MF,Burnley,Premier League,26,1990,35,32,2833,31.5,2,8,2,0,0,2,0,0.06,0.25,0.32,0.06,0.32,3.7,3.7,4.8,8.5,0.12,0.15,0.27,0.12,0.27
Markel Bergara,ESP,MF,Getafe,La Liga,31,1986,18,18,1463,16.3,4,1,4,0,0,5,0,0.25,0.06,0.31,0.25,0.31,2.9,2.9,0.1,2.9,0.18,0.00,0.18,0.18,0.18
Emil Berggreen,DEN,FW,Mainz 05,Bundesliga,24,1993,14,6,669,7.4,4,2,4,0,0,2,0,0.54,0.27,0.81,0.54,0.81,2.0,2.0,0.4,2.4,0.27,0.06,0.32,0.27,0.32
Robert Berić,SVN,FW,Saint-Étienne,Ligue 1,26,1991,15,12,1042,11.6,7,1,6,1,2,0,0,0.60,0.09,0.69,0.52,0.60,5.1,3.6,1.1,4.8,0.44,0.10,0.54,0.31,0.41
Kévin Bérigaud,FRA,MF,Montpellier,Ligue 1,29,1988,5,4,271,3.0,0,2,0,0,0,0,0,0.00,0.66,0.66,0.00,0.66,0.7,0.7,0.8,1.5,0.22,0.28,0.50,0.22,0.50
Etrit Berisha,ALB,GK,Atalanta,Serie A,28,1989,31,31,2790,31.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
