Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,26,1990,24.3,7,0,0,23,13,3,42,45,35,0,0,0,213,7,10,41.2
Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,0,0,0,9,12,0,6,1,9,0,0,0,22,7,15,31.8
Rolando Aarons,ENG,FW,Newcastle Utd,Premier League,21,1995,1.5,0,0,0,1,3,1,3,2,4,0,0,0,13,2,3,40.0
Ignazio Abate,ITA,DF,Milan,Serie A,30,1986,11.7,3,0,0,14,9,3,26,4,15,0,0,0,106,5,4,55.6
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,27,1989,5.5,3,0,0,8,6,0,0,2,6,0,0,0,57,3,0,100.0
Aly Abeid,MTN,DF,Levante,La Liga,19,1997,0.9,0,0,0,1,0,0,2,1,1,0,0,0,8,0,2,0.0
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,24,1992,13.1,2,0,0,34,17,2,7,15,14,0,0,0,142,3,5,37.5
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,31,1986,25.6,3,0,0,13,22,0,6,23,28,0,0,1,378,62,26,70.5
Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,0,0,0,16,30,9,14,5,6,0,0,0,66,53,87,37.9
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,27,1990,9.4,2,0,0,23,29,0,4,11,26,0,0,0,137,21,19,52.5
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38.0,4,0,0,36,33,0,9,47,34,0,1,1,520,103,32,76.3
Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,10.6,4,2,1,21,15,0,8,10,7,0,0,0,105,12,13,48.0
Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,2,1,0,8,8,0,11,6,6,0,0,0,60,10,3,76.9
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,4,0,0,1,4,0,0,0,0,0,0,0,131,0,0,
Aday,ESP,DF,Girona,La Liga,29,1987,20.4,10,0,0,43,16,6,104,26,8,0,0,1,170,32,15,68.1
Khaled Adénon,BEN,DF,Amiens,Ligue 1,32,1985,32.5,9,0,0,55,39,1,1,50,27,0,1,0,394,23,22,51.1
Claud Adjapong,ITA,DF,Sassuolo,Serie A,19,1998,13.6,5,1,0,23,19,2,24,11,19,0,0,0,134,15,11,57.7
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,0,0,0,1,4,0,0,0,0,0,1,0,79,0,1,0.0
Yacine Adli,FRA,FW,Paris S-G,Ligue 1,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ali Adnan Kadhim,IRQ,DF,Udinese,Serie A,23,1993,18.6,4,0,0,24,27,1,53,31,23,0,0,1,174,49,32,60.5
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,2,0,0,1,3,0,0,0,0,0,0,0,116,0,0,
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,36,1981,23.9,5,0,0,48,42,35,14,7,8,0,0,0,62,90,80,52.9
Ibrahim Afellay,NED,MF,Stoke City,Premier League,31,1986,1.8,1,0,0,1,0,0,0,1,2,0,0,0,19,1,1,50.0
Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,6.8,0,0,0,10,15,4,0,2,3,1,0,0,25,24,48,33.3
Martin Agirregabiria,ESP,DF,Alavés,La Liga,21,1996,20.3,4,0,0,19,17,0,32,30,23,0,0,0,228,8,7,53.3
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,0,0,0,1,4,1,0,1,0,1,0,0,9,8,6,57.1
Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,2,0,0,12,20,16,14,14,8,0,0,0,90,12,26,31.6
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,27.3,2,0,0,28,51,3,83,33,27,0,0,0,211,9,14,39.1
Matías Aguirregaray,URU,DF,Las Palmas,La Liga,28,1989,12.8,3,0,0,20,23,1,16,20,16,0,0,0,105,5,10,33.3
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,33.4,4,0,0,42,51,1,1,71,42,0,0,0,405,20,14,58.8
Ailton,BRA,DF,Stuttgart,Bundesliga,22,1995,1.2,0,0,0,2,1,0,4,1,2,0,0,0,7,2,3,40.0
Youssef Aït Bennasser,MAR,MF,Caen,Ligue 1,21,1996,22.7,4,0,0,22,29,0,9,37,28,0,0,0,298,6,13,31.6
Arlind Ajeti,ALB,DF,Crotone,Serie A,23,1993,14.1,7,0,0,19,10,0,1,13,24,0,1,0,147,23,24,48.9
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,22,1995,10.0,2,0,0,12,4,0,2,7,12,0,0,0,105,17,17,50.0
Nathan Aké,NED,DF,Bournemouth,Premier League,22,1995,37.3,5,0,0,30,22,2,5,58,31,0,0,0,356,129,99,56.6
Ager Aketxe,ESP,MF,Athletic Club,La Liga,23,1993,0.4,1,0,0,1,0,0,3,1,0,0,0,0,6,1,1,50.0
Chadrac Akolo,COD,FW,Stuttgart,Bundesliga,22,1995,12.2,2,0,0,13,12,9,18,7,10,0,0,0,67,9,21,30.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,22,1995,18.8,1,0,0,25,20,1,6,24,29,0,0,1,172,31,28,52.5
David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,1,0,0,10,7,2,72,10,15,0,0,0,170,15,15,50.0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,24,1992,17.2,4,1,0,40,44,14,8,6,10,1,0,0,67,48,79,37.8
David Alba,ESP,DF,Getafe,La Liga,18,1999,0.7,0,0,0,3,0,0,0,0,1,0,0,0,7,0,2,0.0
Jordi Alba,ESP,DF,Barcelona,La Liga,28,1989,30.5,7,0,0,39,23,16,71,66,35,0,0,0,267,13,20,39.4
Raúl Albentosa,ESP,DF,La Coruña,La Liga,28,1988,19.4,5,0,0,20,13,1,2,16,13,0,1,0,213,27,17,61.4
Luis Alberto,ESP,MF,Lazio,Serie A,24,1992,29.7,5,0,0,20,40,3,53,10,28,1,0,0,205,10,29,25.6
Raúl Albiol,ESP,DF,Napoli,Serie A,31,1985,30.5,7,0,0,31,20,2,3,12,25,0,0,0,455,73,51,58.9
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,26,1990,7.8,1,0,0,12,17,0,16,5,13,0,0,0,73,14,18,43.8
Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,28.2,5,1,0,24,32,1,121,40,42,0,1,0,240,20,26,43.5
Paco Alcácer,ESP,MF,Barcelona,La Liga,23,1993,7.7,0,0,0,3,10,7,8,6,2,0,0,0,44,4,13,23.5
Pedro Alcalá,ESP,DF,Girona,La Liga,28,1989,7.7,4,0,0,10,4,2,1,9,4,0,0,0,89,15,11,57.7
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,26,1991,13.9,3,0,0,28,19,1,12,20,26,1,0,0,139,17,19,47.2
David Alcibiade,FRA,DF,Nantes,Ligue 1,25,1991,2.3,0,0,0,2,3,1,5,4,1,0,0,0,25,1,1,50.0
Toby Alderweireld,BEL,DF,Tottenham,Premier League,28,1989,13.1,3,0,0,10,1,0,4,6,10,0,0,0,131,26,35,42.6
Steve Aldo One,CMR,DF,La Coruña,La Liga,22,1995,1.0,0,0,0,2,0,0,0,1,0,0,0,0,5,1,0,100.0
Álex Alegría,ESP,FW,Levante,La Liga,24,1992,7.0,1,0,0,14,17,5,1,5,2,0,0,0,28,35,39,47.3
Iván Alejo,ESP,MF,Eibar,La Liga,22,1995,12.2,5,0,0,22,46,3,83,8,12,0,0,0,94,12,22,35.3
Alexander,ARG,MF,Leganés,La Liga,28,1988,11.8,1,0,0,19,21,8,30,28,12,1,0,0,71,4,9,30.8
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,18,1998,17.5,3,0,0,13,4,3,62,53,22,0,0,0,177,8,19,29.6
Alexis,ESP,DF,Alavés,La Liga,31,1985,24.3,6,0,0,24,15,2,4,41,21,0,0,1,185,30,16,65.2
Alisson,BRA,GK,Roma,Serie A,24,1992,37.0,1,0,0,1,4,0,0,0,0,0,0,0,230,0,0,
Allan,BRA,MF,Napoli,Serie A,26,1991,31.7,2,0,0,41,52,0,22,19,80,0,0,0,296,9,32,22.0
Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,34.9,8,0,0,58,56,0,18,63,64,0,0,0,423,49,72,40.5
Dele Alli,ENG,MF,Tottenham,Premier League,21,1996,32.9,7,0,0,45,103,5,30,31,40,1,0,0,259,33,71,31.7
Júnior Alonso,PAR,DF,Lille,Ligue 1,24,1993,30.9,3,0,0,35,8,0,6,42,26,0,0,1,420,49,17,74.2
José Alonso Lara,ESP,FW,Sevilla,La Liga,17,2000,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Marcos Alonso,ESP,DF,Chelsea,Premier League,26,1990,31.7,6,0,0,31,35,8,83,61,32,0,0,0,257,67,62,51.9
Ricky Álvarez,ARG,MF,Sampdoria,Serie A,29,1988,3.0,0,0,0,6,5,0,11,2,3,0,0,0,26,4,11,26.7
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,16.4,0,0,0,0,4,0,0,0,0,0,0,0,68,0,0,
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,22,1995,7.5,2,0,0,14,9,0,1,8,4,0,0,0,95,10,7,58.8
Dani Alves,BRA,DF,Paris S-G,Ligue 1,34,1983,22.9,7,1,0,38,35,4,73,28,52,0,0,0,231,9,8,52.9
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,26.7,3,1,0,29,19,0,4,31,30,0,1,0,263,16,13,55.2
Eloi Amagat,ESP,FW,Girona,La Liga,32,1985,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Morgan Amalfitano,FRA,MF,Rennes,Ligue 1,32,1985,8.3,2,2,1,6,14,0,15,8,1,0,0,0,57,0,3,0.0
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,27,1989,30.0,5,0,0,40,51,0,18,68,34,0,0,0,308,6,12,33.3
Daniel Amartey,GHA,DF,Leicester City,Premier League,22,1994,5.4,1,2,1,5,7,0,0,8,2,0,0,0,53,11,8,57.9
Jordi Amat,ESP,DF,Betis,La Liga,25,1992,22.7,7,2,1,37,9,0,0,33,16,0,1,1,217,30,26,53.6
Amath,SEN,MF,Getafe,La Liga,21,1996,31.8,9,0,0,81,68,10,24,30,44,0,0,0,233,19,50,27.5
Jordan Amavi,FRA,DF,Marseille,Ligue 1,23,1994,24.4,7,0,0,32,25,1,46,49,22,0,1,0,288,19,9,67.9
Stephan Ambrosius,GHA,DF,Hamburger SV,Bundesliga,18,1998,0.5,0,0,0,0,0,1,0,0,1,0,0,0,4,1,2,33.3
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,19,1998,35.0,3,1,0,28,19,0,31,36,24,0,0,0,298,14,18,43.8
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,20,1996,19.4,4,0,0,49,39,3,34,17,16,0,0,0,194,9,13,40.9
Ethan Ampadu,WAL,DF,Chelsea,Premier League,16,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3
Nordin Amrabat,MAR,FW,Watford,Premier League,30,1987,2.2,0,0,0,6,2,2,9,0,4,0,0,0,13,1,10,9.1
Nordin Amrabat,MAR,FW,Leganés,La Liga,30,1987,18.0,6,1,1,52,46,25,53,6,9,0,1,0,90,9,26,25.7
Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Joachim Andersen,DEN,DF,Sampdoria,Serie A,21,1996,6.1,0,0,0,3,4,0,0,5,4,0,0,0,72,15,4,78.9
Felipe Anderson,BRA,MF,Lazio,Serie A,24,1993,12.9,0,0,0,12,18,0,52,10,19,0,0,0,110,3,8,27.3
Florin Andone,ROU,FW,La Coruña,La Liga,24,1993,18.2,6,0,0,59,23,18,20,4,8,0,0,0,69,25,69,26.6
Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36.0,2,1,0,1,9,0,0,0,0,0,1,0,194,0,0,
