Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Seydou Sy,SEN,GK,Monaco,Ligue 1,21,1995,3,2,255,2.8,4,1.41,16,13,81.3,1,0,1,1,50.0,1,1,0,0,0.0
Wojciech Szczęsny,POL,GK,Juventus,Serie A,27,1990,17,17,1530,17.0,9,0.53,34,24,73.5,13,3,1,11,64.7,0,0,0,0,
Ciprian Tătărușanu,ROU,GK,Nantes,Ligue 1,31,1986,37,37,3330,37.0,38,1.03,133,97,72.9,14,10,13,12,32.4,3,2,0,1,0.0
Marc-André ter Stegen,GER,GK,Barcelona,La Liga,25,1992,37,37,3330,37.0,28,0.76,126,100,79.4,27,9,1,19,51.4,2,2,0,0,0.0
Kevin Trapp,GER,GK,Paris S-G,Ligue 1,27,1990,4,4,360,4.0,4,1.00,16,14,87.5,3,0,1,1,25.0,2,2,0,0,0.0
Philipp Tschauner,GER,GK,Hannover 96,Bundesliga,31,1985,31,31,2790,31.0,45,1.45,152,107,71.7,9,9,13,5,16.1,3,2,0,1,0.0
Przemysław Tytoń,POL,GK,La Coruña,La Liga,30,1987,2,1,97,1.1,4,3.71,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,28,1988,29,29,2610,29.0,26,0.90,79,57,68.4,23,3,3,12,41.4,5,1,4,0,80.0
Francis Uzoho,NGA,GK,La Coruña,La Liga,18,1998,2,2,180,2.0,2,1.00,9,8,88.9,0,1,1,1,50.0,1,1,0,0,0.0
Koke Vegas,ESP,GK,Levante,La Liga,21,1995,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
Rémy Vercoutre,FRA,GK,Caen,Ligue 1,37,1980,35,35,3103,34.5,48,1.39,133,93,66.9,9,7,19,11,31.4,4,4,0,0,0.0
Emiliano Viviano,ITA,GK,Sampdoria,Serie A,31,1985,27,27,2430,27.0,43,1.59,129,89,68.2,11,4,12,6,22.2,6,2,4,0,66.7
Michel Vorm,NED,GK,Tottenham,Premier League,33,1983,1,1,90,1.0,1,1.00,4,4,75.0,0,1,0,0,0.0,0,0,0,0,
Roman Weidenfeller,GER,GK,Dortmund,Bundesliga,36,1980,2,1,91,1.0,4,3.96,7,2,42.9,0,1,0,0,0.0,0,0,0,0,
Axel Werner,ARG,GK,Atlético Madrid,La Liga,21,1996,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Yoel,ESP,GK,Eibar,La Liga,28,1988,1,1,90,1.0,0,0.00,5,5,100.0,0,1,0,1,100.0,0,0,0,0,
Erwin Zelazny,FRA,GK,Troyes,Ligue 1,25,1991,17,17,1530,17.0,28,1.65,94,68,72.3,3,3,11,3,17.6,2,2,0,0,0.0
Robin Zentner,GER,GK,Mainz 05,Bundesliga,22,1994,15,15,1350,15.0,27,1.80,66,44,65.2,3,5,7,2,13.3,4,4,0,0,0.0
Luca Zidane,FRA,GK,Real Madrid,La Liga,19,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
Ron-Robert Zieler,GER,GK,Stuttgart,Bundesliga,28,1989,34,34,3060,34.0,36,1.06,146,113,78.1,15,6,13,12,35.3,6,4,2,0,33.3
