Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
Ben Hamer,ENG,GK,Leicester City,Premier League,29,1987,4,3,275,3.1,7,2.29,12,6,50.0,0,1,2,1,33.3,1,1,0,0,0.0
Samir Handanović,SVN,GK,Inter,Serie A,33,1984,38,38,3420,38.0,30,0.79,119,94,76.5,20,12,6,17,44.7,2,2,0,0,0.0
Joe Hart,ENG,GK,West Ham,Premier League,30,1987,19,19,1710,19.0,39,2.05,84,47,58.3,3,6,10,4,21.1,5,4,1,0,20.0
Tom Heaton,ENG,GK,Burnley,Premier League,31,1986,4,4,305,3.4,4,1.18,13,9,69.2,1,1,1,0,0.0,0,0,0,0,
Wayne Hennessey,WAL,GK,Crystal Palace,Premier League,30,1987,27,27,2430,27.0,41,1.52,127,89,68.5,8,6,13,7,25.9,1,1,0,0,0.0
Iago Herrerín,ESP,GK,Athletic Club,La Liga,29,1988,8,8,720,8.0,6,0.75,26,22,84.6,3,4,1,4,50.0,3,2,1,0,33.3
Marwin Hitz,SUI,GK,Augsburg,Bundesliga,29,1987,32,32,2880,32.0,42,1.31,159,118,74.2,10,10,12,9,28.1,2,1,1,0,50.0
Timo Horn,GER,GK,Köln,Bundesliga,24,1993,34,34,3060,34.0,70,2.06,197,135,68.5,5,7,22,5,14.7,9,8,1,0,11.1
Lukáš Hrádecký,FIN,GK,Eint Frankfurt,Bundesliga,27,1989,34,34,3060,34.0,45,1.32,133,91,67.7,14,7,13,7,20.6,3,2,0,1,0.0
Gorka Iraizoz,ESP,GK,Girona,La Liga,36,1981,9,8,765,8.5,13,1.53,36,25,63.9,1,3,4,2,25.0,0,0,0,0,
Eldin Jakupović,SUI,GK,Leicester City,Premier League,32,1984,2,2,180,2.0,6,3.00,12,7,50.0,1,0,1,0,0.0,0,0,0,0,
Rune Jarstein,NOR,GK,Hertha BSC,Bundesliga,32,1984,31,31,2790,31.0,44,1.42,130,92,70.0,10,10,11,7,22.6,6,5,0,1,0.0
Karl-Johan Johnsson,SWE,GK,Guingamp,Ligue 1,27,1990,38,38,3420,38.0,59,1.55,169,116,68.0,12,11,15,11,28.9,7,5,2,0,28.6
Bingourou Kamara,SEN,GK,Strasbourg,Ligue 1,20,1996,19,19,1692,18.8,32,1.70,90,60,66.7,4,6,9,2,10.5,2,2,0,0,0.0
Loris Karius,GER,GK,Liverpool,Premier League,24,1993,19,19,1710,19.0,14,0.74,41,28,70.7,11,5,3,10,52.6,3,2,1,0,33.3
Orestis Karnezis,GRE,GK,Watford,Premier League,32,1985,15,14,1292,14.4,24,1.67,54,33,61.1,4,3,7,4,28.6,3,3,0,0,0.0
Eiji Kawashima,JPN,GK,Metz,Ligue 1,34,1983,29,29,2569,28.5,60,2.10,172,113,65.1,5,7,17,2,6.9,2,0,2,0,100.0
Hervé Koffi,BFA,GK,Lille,Ligue 1,20,1996,4,4,360,4.0,11,2.75,19,10,47.4,0,1,3,0,0.0,1,1,0,0,0.0
Tomáš Koubek,CZE,GK,Rennes,Ligue 1,24,1992,34,34,3060,34.0,36,1.06,130,98,73.8,16,8,10,10,29.4,3,2,1,0,33.3
Maksym Koval,UKR,GK,La Coruña,La Liga,24,1992,2,2,121,1.3,3,2.23,5,2,40.0,0,1,1,0,0.0,0,0,0,0,
Thomas Kraft,GER,GK,Hertha BSC,Bundesliga,29,1988,3,3,270,3.0,2,0.67,12,11,91.7,0,3,0,1,33.3,1,1,0,0,0.0
Alban Lafont,FRA,GK,Toulouse,Ligue 1,18,1999,38,38,3420,38.0,54,1.42,161,113,70.2,9,10,19,12,31.6,6,6,0,0,0.0
Eugenio Lamanna,ITA,GK,Genoa,Serie A,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,26,1991,38,38,3420,38.0,33,0.87,121,93,76.9,11,18,9,14,36.8,6,5,0,1,0.0
Bernd Leno,GER,GK,Leverkusen,Bundesliga,25,1992,33,33,2970,33.0,40,1.21,104,68,66.3,15,10,8,10,30.3,5,5,0,0,0.0
