Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,26,1990,24.3,5,33,11,33.3,1.36,0.45,0.15,0.45,22.3,4,0,0,3.4,3.4,0.10,+1.6,+1.6
Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,0,3,0,0.0,0.52,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Rolando Aarons,ENG,FW,Newcastle Utd,Premier League,21,1995,1.5,0,2,0,0.0,1.29,0.00,0.00,,20.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Ignazio Abate,ITA,DF,Milan,Serie A,30,1986,11.7,1,4,2,50.0,0.34,0.17,0.25,0.50,17.9,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,27,1989,5.5,0,2,1,50.0,0.36,0.18,0.00,0.00,11.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Aly Abeid,MTN,DF,Levante,La Liga,19,1997,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,24,1992,13.1,0,21,6,28.6,1.61,0.46,0.00,0.00,24.7,2,0,0,1.0,1.0,0.05,-1.0,-1.0
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,31,1986,25.6,0,12,1,8.3,0.47,0.04,0.00,0.00,13.6,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,5,42,13,31.0,2.19,0.68,0.12,0.38,12.3,0,0,0,6.7,6.7,0.16,-1.7,-1.7
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,27,1990,9.4,0,5,0,0.0,0.53,0.00,0.00,,20.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38.0,0,15,2,13.3,0.39,0.05,0.00,0.00,15.6,0,0,0,1.5,1.5,0.10,-1.5,-1.5
Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,10.6,1,9,3,33.3,0.85,0.28,0.11,0.33,22.9,0,0,0,0.6,0.6,0.07,+0.4,+0.4
Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,0,10,2,20.0,2.19,0.44,0.00,0.00,32.8,3,0,1,1.2,0.4,0.04,-1.2,-0.4
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aday,ESP,DF,Girona,La Liga,29,1987,20.4,2,34,14,41.2,1.67,0.69,0.03,0.07,22.6,6,1,2,2.7,1.2,0.03,-0.7,-0.2
Khaled Adénon,BEN,DF,Amiens,Ligue 1,32,1985,32.5,0,5,1,20.0,0.15,0.03,0.00,0.00,6.3,0,0,0,0.5,0.5,0.10,-0.5,-0.5
Claud Adjapong,ITA,DF,Sassuolo,Serie A,19,1998,13.6,0,15,3,20.0,1.11,0.22,0.00,0.00,21.1,0,0,0,0.6,0.6,0.04,-0.6,-0.6
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yacine Adli,FRA,FW,Paris S-G,Ligue 1,17,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ali Adnan Kadhim,IRQ,DF,Udinese,Serie A,23,1993,18.6,0,11,3,27.3,0.59,0.16,0.00,0.00,28.0,4,0,0,0.4,0.4,0.04,+0.6,+0.6
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,36,1981,23.9,9,57,25,43.9,2.38,1.05,0.11,0.24,12.4,0,3,5,11.7,8.1,0.14,-2.7,-2.1
Ibrahim Afellay,NED,MF,Stoke City,Premier League,31,1986,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,6.8,0,8,3,37.5,1.18,0.44,0.00,0.00,7.9,0,0,0,1.2,1.2,0.16,-1.2,-1.2
Martin Agirregabiria,ESP,DF,Alavés,La Liga,21,1996,20.3,0,4,1,25.0,0.20,0.05,0.00,0.00,35.9,0,0,0,0.0,0.0,0.01,0.0,0.0
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,0,5,2,40.0,1.94,0.78,0.00,0.00,10.3,0,0,0,1.2,1.2,0.23,-1.2,-1.2
Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,21,90,38,42.2,4.13,1.74,0.19,0.45,13.7,1,4,4,17.5,14.4,0.16,+3.5,+2.6
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,27.3,0,15,5,33.3,0.55,0.18,0.00,0.00,17.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7
Matías Aguirregaray,URU,DF,Las Palmas,La Liga,28,1989,12.8,0,9,0,0.0,0.70,0.00,0.00,,20.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,33.4,5,44,7,15.9,1.32,0.21,0.11,0.71,21.4,0,0,0,3.0,3.0,0.07,+2.0,+2.0
Ailton,BRA,DF,Stuttgart,Bundesliga,22,1995,1.2,0,1,0,0.0,0.83,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Youssef Aït Bennasser,MAR,MF,Caen,Ligue 1,21,1996,22.7,0,24,3,12.5,1.06,0.13,0.00,0.00,29.9,0,0,0,0.7,0.7,0.03,-0.7,-0.7
Arlind Ajeti,ALB,DF,Crotone,Serie A,23,1993,14.1,0,8,0,0.0,0.57,0.00,0.00,,19.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,22,1995,10.0,0,5,2,40.0,0.50,0.20,0.00,0.00,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Nathan Aké,NED,DF,Bournemouth,Premier League,22,1995,37.3,2,20,6,30.0,0.54,0.16,0.10,0.33,9.2,0,0,0,2.4,2.4,0.12,-0.4,-0.4
Ager Aketxe,ESP,MF,Athletic Club,La Liga,23,1993,0.4,0,2,0,0.0,4.86,0.00,0.00,,25.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Chadrac Akolo,COD,FW,Stuttgart,Bundesliga,22,1995,12.2,5,32,15,46.9,2.61,1.23,0.16,0.33,16.6,0,0,1,4.8,4.0,0.13,+0.2,+1.0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,22,1995,18.8,0,5,2,40.0,0.27,0.11,0.00,0.00,20.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,2,24,7,29.2,1.39,0.41,0.08,0.29,25.6,8,0,0,1.0,1.0,0.04,+1.0,+1.0
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,24,1992,17.2,9,58,21,36.2,3.37,1.22,0.14,0.38,12.1,1,1,2,10.9,9.4,0.16,-1.9,-1.4
David Alba,ESP,DF,Getafe,La Liga,18,1999,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordi Alba,ESP,DF,Barcelona,La Liga,28,1989,30.5,2,15,5,33.3,0.49,0.16,0.13,0.40,14.7,0,0,0,2.1,2.1,0.14,-0.1,-0.1
Raúl Albentosa,ESP,DF,La Coruña,La Liga,28,1988,19.4,1,13,3,23.1,0.67,0.15,0.08,0.33,8.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2
Luis Alberto,ESP,MF,Lazio,Serie A,24,1992,29.7,11,81,28,34.6,2.73,0.94,0.12,0.36,21.0,8,1,2,7.9,6.4,0.08,+3.1,+3.6
Raúl Albiol,ESP,DF,Napoli,Serie A,31,1985,30.5,3,16,7,43.8,0.53,0.23,0.19,0.43,10.8,0,0,0,1.8,1.8,0.11,+1.2,+1.2
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,26,1990,7.8,0,4,1,25.0,0.51,0.13,0.00,0.00,14.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,28.2,2,20,6,30.0,0.71,0.21,0.10,0.33,20.0,1,0,0,1.6,1.6,0.08,+0.4,+0.4
Paco Alcácer,ESP,MF,Barcelona,La Liga,23,1993,7.7,4,16,7,43.8,2.07,0.91,0.25,0.57,11.9,0,0,0,3.0,3.0,0.19,+1.0,+1.0
Pedro Alcalá,ESP,DF,Girona,La Liga,28,1989,7.7,1,7,2,28.6,0.91,0.26,0.14,0.50,16.8,0,0,0,0.8,0.8,0.12,+0.2,+0.2
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,26,1991,13.9,2,23,7,30.4,1.66,0.51,0.09,0.29,19.0,1,0,0,2.3,2.3,0.10,-0.3,-0.3
David Alcibiade,FRA,DF,Nantes,Ligue 1,25,1991,2.3,0,2,0,0.0,0.87,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Toby Alderweireld,BEL,DF,Tottenham,Premier League,28,1989,13.1,0,10,1,10.0,0.76,0.08,0.00,0.00,20.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Steve Aldo One,CMR,DF,La Coruña,La Liga,22,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Álex Alegría,ESP,FW,Levante,La Liga,24,1992,7.0,0,15,2,13.3,2.15,0.29,0.00,0.00,16.9,0,0,0,1.2,1.2,0.08,-1.2,-1.2
Iván Alejo,ESP,MF,Eibar,La Liga,22,1995,12.2,1,12,3,25.0,0.98,0.25,0.08,0.33,21.3,0,0,0,0.4,0.4,0.04,+0.6,+0.6
Alexander,ARG,MF,Leganés,La Liga,28,1988,11.8,2,19,5,26.3,1.61,0.42,0.05,0.20,17.6,1,1,1,2.4,1.6,0.09,-0.4,-0.6
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,18,1998,17.5,1,13,6,46.2,0.74,0.34,0.08,0.17,21.9,1,0,0,1.2,1.2,0.10,-0.2,-0.2
Alexis,ESP,DF,Alavés,La Liga,31,1985,24.3,1,12,3,25.0,0.49,0.12,0.08,0.33,13.0,0,0,0,0.7,0.7,0.06,+0.3,+0.3
Alisson,BRA,GK,Roma,Serie A,24,1992,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Allan,BRA,MF,Napoli,Serie A,26,1991,31.7,4,37,12,32.4,1.17,0.38,0.11,0.33,21.0,0,0,0,4.3,4.3,0.12,-0.3,-0.3
Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,34.9,2,25,4,16.0,0.72,0.11,0.08,0.50,17.6,0,0,0,2.0,2.0,0.08,0.0,0.0
Dele Alli,ENG,MF,Tottenham,Premier League,21,1996,32.9,9,72,17,23.6,2.19,0.52,0.13,0.53,14.9,0,0,0,8.8,8.8,0.13,+0.2,+0.2
Júnior Alonso,PAR,DF,Lille,Ligue 1,24,1993,30.9,2,16,4,25.0,0.52,0.13,0.13,0.50,14.6,0,0,0,0.9,0.9,0.06,+1.1,+1.1
José Alonso Lara,ESP,FW,Sevilla,La Liga,17,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcos Alonso,ESP,DF,Chelsea,Premier League,26,1990,31.7,7,65,23,35.4,2.05,0.73,0.11,0.30,16.7,9,0,0,4.2,4.2,0.06,+2.8,+2.8
