Player,Nation,Pos,Squad,Comp,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
Ricky Álvarez,ARG,MF,Sampdoria,Serie A,29,1988,3.0,1,9,3,33.3,3.03,1.01,0.11,0.33,24.1,1,0,0,0.4,0.4,0.05,+0.6,+0.6
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,16.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,22,1995,7.5,0,1,0,0.0,0.13,0.00,0.00,,4.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Dani Alves,BRA,DF,Paris S-G,Ligue 1,34,1983,22.9,1,30,6,20.0,1.31,0.26,0.03,0.17,25.5,9,0,0,1.4,1.4,0.05,-0.4,-0.4
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,26.7,0,19,3,15.8,0.71,0.11,0.00,0.00,18.6,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Eloi Amagat,ESP,FW,Girona,La Liga,32,1985,0.2,0,2,0,0.0,12.00,0.00,0.00,,9.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Morgan Amalfitano,FRA,MF,Rennes,Ligue 1,32,1985,8.3,0,11,2,18.2,1.33,0.24,0.00,0.00,13.3,0,0,0,1.1,1.1,0.10,-1.1,-1.1
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,27,1989,30.0,0,13,1,7.7,0.43,0.03,0.00,0.00,25.8,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Daniel Amartey,GHA,DF,Leicester City,Premier League,22,1994,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordi Amat,ESP,DF,Betis,La Liga,25,1992,22.7,0,7,1,14.3,0.31,0.04,0.00,0.00,15.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Amath,SEN,MF,Getafe,La Liga,21,1996,31.8,3,43,14,32.6,1.35,0.44,0.07,0.21,16.5,0,0,0,5.3,5.3,0.13,-2.3,-2.3
Jordan Amavi,FRA,DF,Marseille,Ligue 1,23,1994,24.4,0,20,5,25.0,0.82,0.21,0.00,0.00,26.0,0,0,0,0.5,0.5,0.02,-0.5,-0.5
Stephan Ambrosius,GHA,DF,Hamburger SV,Bundesliga,18,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,19,1998,35.0,1,16,6,37.5,0.46,0.17,0.06,0.17,19.2,0,0,0,0.9,0.9,0.06,+0.1,+0.1
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,20,1996,19.4,2,45,16,35.6,2.32,0.83,0.04,0.13,20.1,1,0,0,2.7,2.7,0.06,-0.7,-0.7
Ethan Ampadu,WAL,DF,Chelsea,Premier League,16,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nordin Amrabat,MAR,FW,Watford,Premier League,30,1987,2.2,0,1,0,0.0,0.45,0.00,0.00,,12.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Nordin Amrabat,MAR,FW,Leganés,La Liga,30,1987,18.0,2,40,17,42.5,2.22,0.94,0.05,0.12,21.9,0,0,0,3.4,3.4,0.09,-1.4,-1.4
Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joachim Andersen,DEN,DF,Sampdoria,Serie A,21,1996,6.1,0,3,0,0.0,0.49,0.00,0.00,,14.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Felipe Anderson,BRA,MF,Lazio,Serie A,24,1993,12.9,4,25,11,44.0,1.94,0.85,0.16,0.36,18.8,1,0,0,2.1,2.1,0.08,+1.9,+1.9
Florin Andone,ROU,FW,La Coruña,La Liga,24,1993,18.2,7,56,20,35.7,3.08,1.10,0.13,0.35,12.0,0,0,1,10.9,10.1,0.18,-3.9,-3.1
Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Benjamin André,FRA,MF,Rennes,Ligue 1,26,1990,33.5,3,32,9,28.1,0.96,0.27,0.09,0.33,13.0,0,0,0,3.7,3.7,0.12,-0.7,-0.7
Marco Andreolli,ITA,DF,Cagliari,Serie A,31,1986,20.3,0,4,1,25.0,0.20,0.05,0.00,0.00,10.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Yoann Andreu,FRA,DF,Angers,Ligue 1,28,1989,23.0,1,6,2,33.3,0.26,0.09,0.17,0.50,22.1,0,0,0,0.2,0.2,0.04,+0.8,+0.8
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,27,1990,16.0,4,30,10,33.3,1.87,0.62,0.13,0.40,13.3,1,0,1,5.0,4.2,0.14,-1.0,-0.2
José Ángel,ESP,DF,Eibar,La Liga,27,1989,27.0,0,16,0,0.0,0.59,0.00,0.00,,27.3,4,0,0,0.4,0.4,0.03,-0.4,-0.4
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,8.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Miguel Ángel Rubio,ESP,DF,Getafe,La Liga,19,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gabriele Angella,ITA,DF,Udinese,Serie A,28,1989,9.9,0,4,1,25.0,0.40,0.10,0.00,0.00,8.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Cristian Ansaldi,ARG,DF,Torino,Serie A,30,1986,20.8,1,18,6,33.3,0.87,0.29,0.06,0.17,19.7,0,0,0,0.7,0.7,0.04,+0.3,+0.3
Luca Antei,ITA,DF,Benevento,Serie A,25,1992,6.6,0,1,1,100.0,0.15,0.15,0.00,0.00,12.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Mirco Antenucci,ITA,FW,SPAL,Serie A,32,1984,28.6,11,61,21,34.4,2.14,0.74,0.10,0.29,18.0,0,5,5,8.7,4.9,0.08,+2.3,+1.1
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,21,1996,25.3,1,23,5,21.7,0.91,0.20,0.04,0.20,17.2,0,0,0,1.8,1.8,0.08,-0.8,-0.8
Luca Antonelli,ITA,DF,Milan,Serie A,30,1987,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michail Antonio,JAM,FW,West Ham,Premier League,27,1990,15.0,3,35,15,42.9,2.33,1.00,0.09,0.20,20.9,0,0,0,2.6,2.6,0.07,+0.4,+0.4
Mirko Antonucci,ITA,FW,Roma,Serie A,18,1999,0.3,0,1,0,0.0,2.90,0.00,0.00,,2.0,0,0,0,0.5,0.5,0.50,-0.5,-0.5
Vitorino Antunes,POR,DF,Getafe,La Liga,30,1987,31.1,0,30,3,10.0,0.96,0.10,0.00,0.00,30.5,10,0,1,1.6,0.8,0.03,-1.6,-0.8
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,30,1987,21.7,0,16,1,6.3,0.74,0.05,0.00,0.00,19.9,2,0,0,0.9,0.9,0.05,-0.9,-0.9
Houssem Aouar,FRA,MF,Lyon,Ligue 1,19,1998,27.0,6,52,18,34.6,1.92,0.67,0.12,0.33,16.5,0,0,0,5.3,5.3,0.10,+0.7,+0.7
Alberto Aquilani,ITA,MF,Las Palmas,La Liga,33,1984,14.4,0,12,4,33.3,0.83,0.28,0.00,0.00,21.6,1,0,0,0.7,0.7,0.06,-0.7,-0.7
Mauro Arambarri,URU,MF,Getafe,La Liga,21,1995,23.6,1,22,3,13.6,0.93,0.13,0.05,0.33,21.9,1,0,0,1.3,1.3,0.06,-0.3,-0.3
Guilherme Arana,BRA,DF,Sevilla,La Liga,20,1997,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,28,1989,25.6,1,34,5,14.7,1.33,0.20,0.03,0.20,22.4,7,0,0,2.9,2.9,0.09,-1.9,-1.9
Luiz Araújo,BRA,FW,Lille,Ligue 1,21,1996,22.4,5,51,16,31.4,2.27,0.71,0.10,0.31,20.8,1,0,0,3.8,3.8,0.07,+1.2,+1.2
Sergio Araujo,ARG,MF,Las Palmas,La Liga,25,1992,0.4,0,2,0,0.0,4.62,0.00,0.00,,19.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Anaitz Arbilla,ESP,DF,Eibar,La Liga,30,1987,26.8,2,17,4,23.5,0.63,0.15,0.12,0.50,22.5,8,0,0,0.7,0.7,0.04,+1.3,+1.3
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,24,1993,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Scott Arfield,CAN,MF,Burnley,Premier League,28,1988,14.8,2,19,7,36.8,1.28,0.47,0.11,0.29,16.7,0,0,0,2.1,2.1,0.12,-0.1,-0.1
Samuel Armenteros,SWE,FW,Benevento,Serie A,27,1990,4.8,1,5,2,40.0,1.05,0.42,0.20,0.50,9.9,0,0,0,1.1,1.1,0.22,-0.1,-0.1
Yoël Armougom,FRA,MF,Caen,Ligue 1,19,1998,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Arnaiz,ESP,MF,Barcelona,La Liga,22,1995,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marko Arnautović,AUT,FW,West Ham,Premier League,28,1989,25.7,11,69,32,46.4,2.68,1.25,0.16,0.34,13.7,0,0,0,10.4,10.4,0.15,+0.6,+0.6
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,23,1994,27.3,2,33,11,33.3,1.21,0.40,0.06,0.18,27.1,10,0,1,2.2,1.4,0.04,-0.2,+0.6
Jann-Fiete Arp,GER,FW,Hamburger SV,Bundesliga,17,2000,9.4,2,18,7,38.9,1.91,0.74,0.11,0.29,13.7,0,0,0,2.3,2.3,0.13,-0.3,-0.3
Alejandro Arribas,ESP,DF,La Coruña,La Liga,28,1989,3.0,0,2,0,0.0,0.67,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Kepa Arrizabalaga,ESP,GK,Athletic Club,La Liga,22,1994,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Harry Arter,IRL,MF,Bournemouth,Premier League,27,1989,10.7,1,11,1,9.1,1.03,0.09,0.09,1.00,25.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4
Aythami Artiles,ESP,DF,Las Palmas,La Liga,31,1986,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kwadwo Asamoah,GHA,DF,Juventus,Serie A,28,1988,17.4,0,7,1,14.3,0.40,0.06,0.00,0.00,23.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Takuma Asano,JPN,FW,Stuttgart,Bundesliga,22,1994,8.0,1,17,4,23.5,2.12,0.50,0.06,0.25,14.1,0,0,0,1.7,1.7,0.10,-0.7,-0.7
Santiago Ascacíbar,ARG,MF,Stuttgart,Bundesliga,20,1997,26.5,0,11,2,18.2,0.42,0.08,0.00,0.00,24.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Sergio Asenjo,ESP,GK,Villarreal,La Liga,28,1989,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marco Asensio,ESP,FW,Real Madrid,La Liga,21,1996,20.5,6,55,22,40.0,2.68,1.07,0.11,0.27,18.2,3,0,0,4.7,4.7,0.09,+1.3,+1.3
Iago Aspas,ESP,FW,Celta Vigo,La Liga,29,1987,32.6,22,89,40,44.9,2.73,1.23,0.22,0.50,15.5,6,2,3,17.0,14.7,0.17,+5.0,+5.3
Benoît Assou-Ekotto,CMR,DF,Metz,Ligue 1,33,1984,11.7,0,2,0,0.0,0.17,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.01,0.0,0.0
Simon Asta,GER,MF,Augsburg,Bundesliga,16,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Davide Astori,ITA,DF,Fiorentina,Serie A,30,1987,25.0,1,11,2,18.2,0.44,0.08,0.09,0.50,8.4,0,0,0,0.8,0.8,0.07,+0.2,+0.2
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,25,1992,19.8,2,35,13,37.1,1.77,0.66,0.06,0.15,16.8,0,0,0,3.8,3.8,0.11,-1.8,-1.8
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,28,1989,11.7,10,28,16,57.1,2.38,1.36,0.32,0.56,13.7,1,1,2,9.0,7.5,0.27,+1.0,+1.5
Pierre-Emerick Aubameyang,GAB,FW,Dortmund,Bundesliga,28,1989,15.7,13,54,23,42.6,3.43,1.46,0.19,0.43,11.7,0,3,4,15.1,12.1,0.23,-2.1,-2.1
Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,20,1997,14.1,9,35,16,45.7,2.49,1.14,0.23,0.50,14.5,0,1,2,7.1,5.6,0.16,+1.9,+3.4
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,23,1994,28.1,1,24,6,25.0,0.85,0.21,0.04,0.17,17.6,1,0,0,1.4,1.4,0.06,-0.4,-0.4
Yann Aurel Bisseck,GER,DF,Köln,Bundesliga,16,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Serge Aurier,CIV,DF,Tottenham,Premier League,24,1992,15.9,2,17,6,35.3,1.07,0.38,0.12,0.33,21.1,0,0,0,0.7,0.7,0.04,+1.3,+1.3
Charlie Austin,ENG,FW,Southampton,Premier League,28,1989,11.5,7,49,25,51.0,4.25,2.17,0.12,0.24,14.6,0,1,1,8.6,7.8,0.16,-1.6,-1.8
Danilo Avelar,BRA,DF,Amiens,Ligue 1,28,1989,19.2,1,8,1,12.5,0.42,0.05,0.13,1.00,17.7,0,0,0,0.4,0.4,0.06,+0.6,+0.6
Felipe Avenatti,URU,FW,Bologna,Serie A,24,1993,5.2,0,2,1,50.0,0.38,0.19,0.00,0.00,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Durel Avounou,CGO,MF,Caen,Ligue 1,19,1997,7.2,0,7,1,14.3,0.97,0.14,0.00,0.00,24.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Chidozie Awaziem,NGA,DF,Nantes,Ligue 1,20,1997,16.8,1,14,2,14.3,0.83,0.12,0.07,0.50,15.2,1,0,0,0.8,0.8,0.06,+0.2,+0.2
André Ayew,GHA,MF,West Ham,Premier League,27,1989,9.9,3,12,5,41.7,1.21,0.50,0.25,0.60,12.9,0,0,1,2.9,2.2,0.18,+0.1,+0.8
André Ayew,GHA,FW,Swansea City,Premier League,27,1989,10.6,0,14,7,50.0,1.33,0.66,0.00,0.00,12.8,0,0,0,2.0,2.0,0.15,-2.0,-2.0
Jordan Ayew,GHA,FW,Swansea City,Premier League,25,1991,31.7,7,64,19,29.7,2.02,0.60,0.09,0.32,18.2,4,1,1,7.0,6.2,0.10,0.0,-0.2
Karim Azamoum,FRA,MF,Troyes,Ligue 1,27,1990,25.0,1,22,7,31.8,0.88,0.28,0.05,0.14,20.4,4,0,0,1.4,1.4,0.06,-0.4,-0.4
