Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Dribbles Succ,Dribbles Att,Dribbles Succ%,Dribbles #Pl,Dribbles Megs,Carries Carries,Carries TotDist,Carries PrgDist,Carries Prog,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Targ,Receiving Rec,Receiving Rec%,Receiving Prog
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,26,1990,24.3,1431,98,446,647,419,36,1157,21,33,63.6,23,0,774,4067,2209,117,37,9,20,19,781,706,90.4,48
Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,173,2,20,82,87,7,167,9,18,50.0,11,0,136,660,391,14,6,1,10,15,212,126,59.4,31
Rolando Aarons,ENG,FW,Newcastle Utd,Premier League,21,1995,1.5,68,0,15,31,27,5,68,3,4,75.0,3,1,45,215,117,10,2,0,5,5,62,39,62.9,4
Ignazio Abate,ITA,DF,Milan,Serie A,30,1986,11.7,870,40,231,464,226,12,757,1,5,20.0,2,0,552,2419,1419,66,21,1,3,6,605,565,93.4,22
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,27,1989,5.5,359,34,224,160,5,2,358,1,1,100.0,1,0,269,1828,762,11,1,0,0,0,267,259,97.0,0
Aly Abeid,MTN,DF,Levante,La Liga,19,1997,0.9,46,3,20,19,11,0,39,0,0,,0,0,25,136,93,3,2,0,1,0,21,20,95.2,1
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,24,1992,13.1,762,30,257,453,129,16,749,11,22,50.0,13,1,551,3340,1512,40,13,1,14,17,537,493,91.8,29
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,31,1986,25.6,1561,151,830,844,43,13,1526,13,14,92.9,13,0,955,6028,3395,78,11,0,5,6,903,890,98.6,6
Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,556,12,40,281,266,72,527,30,60,50.0,32,1,369,1302,595,32,10,5,58,44,833,406,48.7,128
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,27,1990,9.4,471,28,122,288,80,9,467,5,11,45.5,7,0,277,1150,507,25,9,1,9,14,266,230,86.5,19
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38.0,2089,331,1099,959,156,26,1994,15,20,75.0,16,0,1150,7171,3116,96,35,2,19,13,1047,1004,95.9,25
Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,10.6,573,11,101,398,127,6,568,14,22,63.6,15,0,449,2818,1442,58,23,1,8,18,435,406,93.3,24
Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,342,12,65,219,86,7,318,8,10,80.0,8,2,193,868,416,20,8,0,3,5,232,213,91.8,9
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,1269,1105,1265,4,1,0,987,3,3,100.0,3,0,709,3529,2205,0,1,0,0,1,683,682,99.9,0
Aday,ESP,DF,Girona,La Liga,29,1987,20.4,1242,51,261,548,524,44,1063,27,40,67.5,28,0,781,5388,2918,153,43,9,26,22,850,750,88.2,76
Khaled Adénon,BEN,DF,Amiens,Ligue 1,32,1985,32.5,1504,262,1045,535,17,10,1464,1,3,33.3,1,0,778,4515,2233,27,0,0,5,6,709,691,97.5,9
Claud Adjapong,ITA,DF,Sassuolo,Serie A,19,1998,13.6,693,42,210,319,222,34,631,16,25,64.0,18,0,443,2460,1365,56,23,8,17,26,455,379,83.3,36
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,442,334,440,3,0,0,333,0,0,,0,0,237,1236,652,0,0,0,0,0,171,171,100.0,1
Yacine Adli,FRA,FW,Paris S-G,Ligue 1,17,2000,0.1,7,0,1,3,3,0,7,0,0,,0,0,6,51,20,0,0,0,0,0,6,6,100.0,0
Ali Adnan Kadhim,IRQ,DF,Udinese,Serie A,23,1993,18.6,1145,99,355,536,313,7,938,25,32,78.1,25,0,562,2791,1545,71,33,2,17,17,602,548,91.0,27
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,640,570,633,8,0,0,403,0,0,,0,0,242,1659,1052,0,0,0,0,0,175,174,99.4,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,36,1981,23.9,735,16,43,350,384,117,710,24,39,61.5,27,3,446,1814,819,48,21,8,48,23,1056,572,54.2,177
Ibrahim Afellay,NED,MF,Stoke City,Premier League,31,1986,1.8,90,0,19,65,10,0,88,1,4,25.0,1,0,62,280,64,2,0,0,1,1,77,65,84.4,3
Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,6.8,237,7,22,109,120,31,223,7,9,77.8,8,0,138,694,313,17,2,5,31,9,338,169,50.0,53
Martin Agirregabiria,ESP,DF,Alavés,La Liga,21,1996,20.3,1062,86,383,476,250,6,891,18,31,58.1,21,1,578,2741,1521,62,15,5,16,13,524,483,92.2,25
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,76,2,7,42,33,11,75,3,4,75.0,3,1,52,128,54,3,2,0,5,3,99,58,58.6,18
Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,944,8,42,381,594,183,912,39,61,63.9,47,1,692,3681,1999,128,34,33,58,61,1230,757,61.5,253
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,27.3,1796,62,507,825,616,34,1519,19,39,48.7,24,1,1078,6460,4295,180,71,6,27,30,1145,1039,90.7,72
