Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,26,1990,24.3,887,1157,76.7,15736,7219,401,438,91.6,389,489,79.6,81,179,45.3,1,1.8,-0.8,17,66,25,6,97
Rolando Aarons,ENG,MF,Hellas Verona,Serie A,21,1995,5.7,81,115,70.4,1095,304,50,63,79.4,22,34,64.7,3,8,37.5,0,0.2,-0.2,3,5,6,1,9
Rolando Aarons,ENG,FW,Newcastle Utd,Premier League,21,1995,1.5,30,43,69.8,411,98,22,26,84.6,6,9,66.7,2,4,50.0,0,0.0,0.0,0,0,1,1,0
Ignazio Abate,ITA,DF,Milan,Serie A,30,1986,11.7,625,774,80.7,11501,4742,255,280,91.1,294,337,87.2,69,133,51.9,0,0.6,-0.6,11,58,20,8,62
Aymen Abdennour,TUN,DF,Marseille,Ligue 1,27,1989,5.5,304,336,90.5,6306,1794,90,99,90.9,166,174,95.4,45,56,80.4,0,0.0,0.0,0,11,0,0,7
Aly Abeid,MTN,DF,Levante,La Liga,19,1997,0.9,29,38,76.3,521,188,15,16,93.8,10,11,90.9,4,9,44.4,0,0.2,-0.2,2,0,2,1,2
Mehdi Abeid,ALG,MF,Dijon,Ligue 1,24,1992,13.1,519,611,84.9,10250,2390,177,196,90.3,250,281,89.0,81,109,74.3,1,0.2,+0.8,6,48,2,0,47
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,31,1986,25.6,1081,1313,82.3,25128,7959,241,275,87.6,588,655,89.8,243,369,65.9,2,0.4,+1.6,6,66,3,2,91
Tammy Abraham,ENG,FW,Swansea City,Premier League,19,1997,19.2,217,305,71.1,3217,700,122,154,79.2,63,91,69.2,18,30,60.0,1,1.0,0.0,9,14,10,5,22
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,27,1990,9.4,260,335,77.6,4482,1183,124,157,79.0,104,124,83.9,26,42,61.9,0,0.5,-0.5,4,20,4,1,30
Francesco Acerbi,ITA,DF,Sassuolo,Serie A,29,1988,38.0,1359,1643,82.7,30660,9085,362,427,84.8,683,760,89.9,301,425,70.8,0,0.8,-0.8,13,104,6,3,97
Afriyie Acquah,GHA,MF,Torino,Serie A,25,1992,10.6,403,480,84.0,7022,1590,185,208,88.9,172,195,88.2,40,63,63.5,0,0.1,-0.1,3,42,2,0,35
Charlie Adam,SCO,MF,Stoke City,Premier League,31,1985,4.6,170,286,59.4,4227,1546,43,57,75.4,72,91,79.1,54,130,41.5,0,1.1,-1.1,7,23,8,4,28
Antonio Adán,ESP,GK,Betis,La Liga,30,1987,30.0,813,1164,69.8,24538,15491,108,109,99.1,404,414,97.6,299,638,46.9,2,0.5,+1.5,2,9,0,0,0
Aday,ESP,DF,Girona,La Liga,29,1987,20.4,721,1021,70.6,13624,4478,310,371,83.6,309,407,75.9,95,208,45.7,0,1.4,-1.4,23,44,29,21,63
Khaled Adénon,BEN,DF,Amiens,Ligue 1,32,1985,32.5,958,1168,82.0,21066,7904,254,295,86.1,503,565,89.0,189,278,68.0,1,0.3,+0.7,3,39,1,0,44
Claud Adjapong,ITA,DF,Sassuolo,Serie A,19,1998,13.6,360,514,70.0,5818,2379,194,225,86.2,134,197,68.0,27,70,38.6,0,0.7,-0.7,9,25,6,2,32
René Adler,GER,GK,Mainz 05,Bundesliga,32,1985,14.0,241,386,62.4,8770,5681,20,22,90.9,97,102,95.1,124,262,47.3,0,0.4,-0.4,1,8,0,0,0
Yacine Adli,FRA,FW,Paris S-G,Ligue 1,17,2000,0.1,7,7,100.0,211,57,1,1,100.0,3,3,100.0,3,3,100.0,0,0.0,0.0,0,3,0,0,3
Ali Adnan Kadhim,IRQ,DF,Udinese,Serie A,23,1993,18.6,588,902,65.2,10954,5194,258,315,81.9,236,348,67.8,84,202,41.6,1,1.7,-0.7,21,37,18,11,68
Adrián,ESP,GK,West Ham,Premier League,30,1987,19.0,258,573,45.0,12278,9667,8,8,100.0,57,59,96.6,193,506,38.1,0,0.0,0.0,0,11,1,0,0
Aritz Aduriz,ESP,FW,Athletic Club,La Liga,36,1981,23.9,334,505,66.1,4888,1101,204,282,72.3,102,161,63.4,19,40,47.5,1,1.1,-0.1,10,37,12,1,33
Ibrahim Afellay,NED,MF,Stoke City,Premier League,31,1986,1.8,70,81,86.4,1413,268,28,31,90.3,32,36,88.9,10,14,71.4,0,0.0,0.0,0,5,0,0,5
Benik Afobe,COD,FW,Bournemouth,Premier League,24,1993,6.8,116,150,77.3,1458,141,78,98,79.6,29,38,76.3,3,4,75.0,0,0.1,-0.1,2,5,3,0,6
Martin Agirregabiria,ESP,DF,Alavés,La Liga,21,1996,20.3,603,871,69.2,10628,5439,284,362,78.5,251,340,73.8,62,135,45.9,4,1.1,+2.9,11,50,11,7,63
Imanol Agirretxe,ESP,FW,Real Sociedad,La Liga,30,1987,2.6,35,55,63.6,543,88,16,23,69.6,17,25,68.0,1,4,25.0,0,0.1,-0.1,1,1,0,0,3
Sergio Agüero,ARG,FW,Manchester City,Premier League,29,1988,21.8,528,643,82.1,6912,1225,363,410,88.5,136,170,80.0,13,19,68.4,6,7.4,-1.4,40,24,24,0,38
Ruben Aguilar,FRA,DF,Montpellier,Ligue 1,24,1993,27.3,1114,1478,75.4,18488,8970,558,631,88.4,428,564,75.9,99,215,46.0,2,2.6,-0.6,31,90,30,20,125
Matías Aguirregaray,URU,DF,Las Palmas,La Liga,28,1989,12.8,489,667,73.3,8690,3823,233,263,88.6,199,272,73.2,53,119,44.5,0,0.6,-0.6,7,38,18,5,54
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,23,1994,33.4,1147,1346,85.2,22056,4826,440,498,88.4,500,552,90.6,178,239,74.5,0,0.6,-0.6,11,97,9,0,91
Ailton,BRA,DF,Stuttgart,Bundesliga,22,1995,1.2,45,62,72.6,884,297,20,26,76.9,16,18,88.9,8,15,53.3,0,0.2,-0.2,2,3,2,2,3
Youssef Aït Bennasser,MAR,MF,Caen,Ligue 1,21,1996,22.7,938,1145,81.9,20283,5737,303,337,89.9,420,491,85.5,198,279,71.0,0,1.0,-1.0,16,135,6,1,129
Arlind Ajeti,ALB,DF,Crotone,Serie A,23,1993,14.1,286,365,78.4,6321,2365,75,90,83.3,152,178,85.4,56,87,64.4,1,1.1,-0.1,5,19,2,0,26
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,22,1995,10.0,521,604,86.3,11385,3396,141,161,87.6,290,314,92.4,88,122,72.1,0,0.1,-0.1,1,39,3,0,39
Nathan Aké,NED,DF,Bournemouth,Premier League,22,1995,37.3,1339,1564,85.6,28014,9652,404,452,89.4,696,783,88.9,221,294,75.2,3,1.9,+1.1,6,62,2,0,75
Ager Aketxe,ESP,MF,Athletic Club,La Liga,23,1993,0.4,30,40,75.0,461,99,19,20,95.0,7,8,87.5,4,10,40.0,0,0.0,0.0,0,3,0,0,3
