Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Long Ast,Long xA,Long A-xA,Long KP,Long 1/3,Long PPA,Long CrsPA,Long Prog
Chadrac Akolo,COD,FW,Stuttgart,Bundesliga,22,1995,12.2,242,316,76.6,3879,930,122,148,82.4,97,122,79.5,20,38,52.6,0,1.7,-1.7,13,13,13,7,27
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,22,1995,18.8,866,1010,85.7,16641,5402,296,323,91.6,467,495,94.3,97,173,56.1,1,1.5,-0.5,7,72,4,0,67
David Alaba,AUT,DF,Bayern Munich,Bundesliga,25,1992,17.2,1120,1320,84.8,18467,5870,574,631,91.0,459,522,87.9,73,124,58.9,2,2.2,-0.2,20,73,25,13,75
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,24,1992,17.2,302,400,75.5,3999,726,185,230,80.4,84,112,75.0,13,21,61.9,4,1.7,+2.3,11,19,6,0,25
David Alba,ESP,DF,Getafe,La Liga,18,1999,0.7,6,11,54.5,171,97,0,3,0.0,3,5,60.0,3,3,100.0,0,0.0,0.0,0,1,0,0,2
Jordi Alba,ESP,DF,Barcelona,La Liga,28,1989,30.5,2042,2371,86.1,32217,11136,1096,1187,92.3,795,918,86.6,113,178,63.5,8,4.4,+3.6,38,100,38,9,155
Raúl Albentosa,ESP,DF,La Coruña,La Liga,28,1988,19.4,600,780,76.9,14788,5088,112,141,79.4,317,372,85.2,168,255,65.9,0,0.1,-0.1,3,32,3,0,34
Luis Alberto,ESP,MF,Lazio,Serie A,24,1992,29.7,1339,1824,73.4,25102,9173,592,697,84.9,517,636,81.3,203,421,48.2,14,10.1,+3.9,91,184,79,4,242
Raúl Albiol,ESP,DF,Napoli,Serie A,31,1985,30.5,2223,2510,88.6,51015,16364,631,684,92.3,978,1075,91.0,576,696,82.8,1,1.2,-0.2,7,221,3,0,171
Miiko Albornoz,CHI,DF,Hannover 96,Bundesliga,26,1990,7.8,324,423,76.6,5925,2939,143,158,90.5,124,154,80.5,48,90,53.3,0,1.2,-1.2,7,18,11,6,28
Marc Albrighton,ENG,MF,Leicester City,Premier League,27,1989,28.2,757,1254,60.4,15755,6986,322,403,79.9,266,392,67.9,157,399,39.3,7,5.1,+1.9,45,96,37,15,117
Paco Alcácer,ESP,MF,Barcelona,La Liga,23,1993,7.7,193,238,81.1,2741,578,105,123,85.4,66,78,84.6,10,18,55.6,3,2.1,+0.9,10,5,10,3,17
Pedro Alcalá,ESP,DF,Girona,La Liga,28,1989,7.7,214,308,69.5,5516,1675,43,55,78.2,111,130,85.4,60,118,50.8,0,0.3,-0.3,3,25,1,0,17
Thiago Alcántara,ESP,MF,Bayern Munich,Bundesliga,26,1991,13.9,1190,1309,90.9,23716,5730,497,532,93.4,479,514,93.2,200,241,83.0,2,2.4,-0.4,29,145,18,0,117
David Alcibiade,FRA,DF,Nantes,Ligue 1,25,1991,2.3,69,94,73.4,1326,645,28,30,93.3,27,34,79.4,12,28,42.9,1,0.2,+0.8,2,5,2,1,9
Toby Alderweireld,BEL,DF,Tottenham,Premier League,28,1989,13.1,801,933,85.9,19614,6339,185,195,94.9,413,443,93.2,199,285,69.8,0,0.3,-0.3,3,98,8,1,76
Steve Aldo One,CMR,DF,La Coruña,La Liga,22,1995,1.0,18,22,81.8,385,193,5,6,83.3,9,11,81.8,4,5,80.0,0,0.0,0.0,0,0,0,0,0
Álex Alegría,ESP,FW,Levante,La Liga,24,1992,7.0,111,154,72.1,1349,143,74,93,79.6,28,42,66.7,1,3,33.3,0,0.1,-0.1,2,7,2,0,4
Iván Alejo,ESP,MF,Eibar,La Liga,22,1995,12.2,192,354,54.2,3265,1121,97,146,66.4,69,116,59.5,20,64,31.3,3,1.3,+1.7,19,11,29,20,17
Alexander,ARG,MF,Leganés,La Liga,28,1988,11.8,225,337,66.8,3196,1078,145,186,78.0,61,90,67.8,12,39,30.8,2,2.4,-0.4,13,12,16,7,23
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,18,1998,17.5,959,1282,74.8,18589,6795,415,457,90.8,385,484,79.5,147,291,50.5,1,2.2,-1.2,26,61,33,7,102
Alexis,ESP,DF,Alavés,La Liga,31,1985,24.3,543,734,74.0,11432,5393,177,202,87.6,268,352,76.1,94,169,55.6,0,0.1,-0.1,4,29,3,0,37
Alisson,BRA,GK,Roma,Serie A,24,1992,37.0,959,1175,81.6,30238,18872,98,98,100.0,436,444,98.2,423,631,67.0,0,0.0,0.0,1,12,0,0,0
Allan,BRA,MF,Napoli,Serie A,26,1991,31.7,1558,1821,85.6,24416,6223,893,990,90.2,522,602,86.7,123,178,69.1,5,4.3,+0.7,32,182,51,2,170
Joe Allen,WAL,MF,Stoke City,Premier League,27,1990,34.9,1101,1374,80.1,19238,5284,481,562,85.6,493,580,85.0,100,162,61.7,6,2.7,+3.3,33,108,28,2,125
Dele Alli,ENG,MF,Tottenham,Premier League,21,1996,32.9,998,1280,78.0,15953,4270,514,607,84.7,371,449,82.6,80,135,59.3,10,7.9,+2.1,59,93,52,3,135
Júnior Alonso,PAR,DF,Lille,Ligue 1,24,1993,30.9,1495,1875,79.7,34187,14235,366,425,86.1,797,903,88.3,324,516,62.8,1,0.6,+0.4,9,101,6,2,100
José Alonso Lara,ESP,FW,Sevilla,La Liga,17,2000,0.1,3,4,75.0,45,11,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
Marcos Alonso,ESP,DF,Chelsea,Premier League,26,1990,31.7,1339,1711,78.3,23592,7137,622,707,88.0,569,684,83.2,129,229,56.3,2,2.7,-0.7,33,47,29,13,117
Ricky Álvarez,ARG,MF,Sampdoria,Serie A,29,1988,3.0,131,174,75.3,2034,552,79,95,83.2,34,46,73.9,13,26,50.0,1,0.3,+0.7,5,10,6,3,9
Sergio Álvarez,ESP,GK,Celta Vigo,La Liga,30,1986,16.4,377,556,67.8,12277,7986,41,43,95.3,195,199,98.0,140,313,44.7,0,0.3,-0.3,2,5,0,0,0
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,22,1995,7.5,359,437,82.2,8368,2911,82,98,83.7,185,209,88.5,89,125,71.2,0,0.0,0.0,1,37,1,0,30
Dani Alves,BRA,DF,Paris S-G,Ligue 1,34,1983,22.9,1686,1987,84.9,27933,11149,919,997,92.2,530,618,85.8,186,284,65.5,7,5.7,+1.3,48,139,63,20,176
Ibrahim Amadou,FRA,MF,Lille,Ligue 1,24,1993,26.7,1339,1539,87.0,29079,8431,372,417,89.2,699,749,93.3,251,342,73.4,0,0.5,-0.5,11,118,3,1,104
Eloi Amagat,ESP,FW,Girona,La Liga,32,1985,0.2,7,8,87.5,137,61,3,3,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,2,0,0,1
Morgan Amalfitano,FRA,MF,Rennes,Ligue 1,32,1985,8.3,207,260,79.6,3038,894,116,128,90.6,72,84,85.7,11,34,32.4,0,0.5,-0.5,5,16,5,0,22
Romain Amalfitano,FRA,MF,Dijon,Ligue 1,27,1989,30.0,1129,1400,80.6,24956,6440,347,404,85.9,545,604,90.2,222,345,64.3,3,2.1,+0.9,26,138,25,5,121
Daniel Amartey,GHA,DF,Leicester City,Premier League,22,1994,5.4,244,308,79.2,4578,1916,102,113,90.3,104,126,82.5,34,61,55.7,0,0.0,0.0,0,14,0,0,20
Jordi Amat,ESP,DF,Betis,La Liga,25,1992,22.7,1417,1579,89.7,30247,7798,374,407,91.9,815,869,93.8,222,280,79.3,0,0.1,-0.1,5,87,3,0,76
Amath,SEN,MF,Getafe,La Liga,21,1996,31.8,410,624,65.7,6706,2042,212,294,72.1,148,208,71.2,40,82,48.8,3,2.0,+1.0,22,37,19,4,63
Jordan Amavi,FRA,DF,Marseille,Ligue 1,23,1994,24.4,1050,1324,79.3,19323,6392,432,493,87.6,480,569,84.4,124,215,57.7,5,1.4,+3.6,19,65,21,13,72
Stephan Ambrosius,GHA,DF,Hamburger SV,Bundesliga,18,1998,0.5,30,33,90.9,654,116,6,6,100.0,20,20,100.0,4,7,57.1,0,0.0,0.0,0,0,0,0,0
Kelvin Amian,FRA,DF,Toulouse,Ligue 1,19,1998,35.0,962,1252,76.8,17603,7531,410,470,87.2,414,506,81.8,113,210,53.8,1,0.9,+0.1,11,80,18,10,74
Nadiem Amiri,GER,MF,Hoffenheim,Bundesliga,20,1996,19.4,676,875,77.3,12100,3339,307,365,84.1,270,325,83.1,85,146,58.2,3,3.1,-0.1,30,66,29,3,101
Ethan Ampadu,WAL,DF,Chelsea,Premier League,16,2000,0.1,19,19,100.0,462,106,2,2,100.0,14,14,100.0,3,3,100.0,0,0.0,0.0,0,1,0,0,2
Nordin Amrabat,MAR,FW,Watford,Premier League,30,1987,2.2,46,76,60.5,745,222,27,34,79.4,12,25,48.0,6,11,54.5,0,0.2,-0.2,2,6,3,2,6
Nordin Amrabat,MAR,FW,Leganés,La Liga,30,1987,18.0,308,484,63.6,4878,1100,172,224,76.8,111,174,63.8,20,61,32.8,4,2.9,+1.1,21,18,20,8,31
Jon Ander Serantes,ESP,GK,Leganés,La Liga,27,1989,1.0,8,27,29.6,393,338,1,1,100.0,1,1,100.0,6,25,24.0,0,0.0,0.0,0,1,0,0,0
Joachim Andersen,DEN,DF,Sampdoria,Serie A,21,1996,6.1,369,420,87.9,7876,2083,106,111,95.5,198,210,94.3,63,91,69.2,0,0.0,0.0,1,19,1,0,24
Felipe Anderson,BRA,MF,Lazio,Serie A,24,1993,12.9,504,709,71.1,8701,2919,234,292,80.1,203,261,77.8,49,107,45.8,6,4.0,+2.0,36,39,43,7,79
Florin Andone,ROU,FW,La Coruña,La Liga,24,1993,18.2,197,310,63.5,2750,298,123,163,75.5,68,103,66.0,2,17,11.8,3,1.0,+2.0,8,3,6,3,9
Nícolas Andrade,BRA,GK,Hellas Verona,Serie A,29,1988,36.0,796,1357,58.7,32125,21016,55,57,96.5,257,266,96.6,483,1030,46.9,0,0.0,0.0,0,9,0,0,1
Benjamin André,FRA,MF,Rennes,Ligue 1,26,1990,33.5,1453,1866,77.9,24773,5877,702,850,82.6,569,694,82.0,136,225,60.4,3,1.7,+1.3,28,150,23,5,148
Marco Andreolli,ITA,DF,Cagliari,Serie A,31,1986,20.3,681,847,80.4,15703,5003,151,169,89.3,385,426,90.4,137,237,57.8,0,0.0,0.0,1,38,4,0,36
Yoann Andreu,FRA,DF,Angers,Ligue 1,28,1989,23.0,910,1176,77.4,15622,7141,429,480,89.4,375,458,81.9,84,189,44.4,2,1.8,+0.2,19,67,19,15,94
Miguel Ángel Guerrero,ESP,FW,Leganés,La Liga,27,1990,16.0,283,364,77.7,3929,520,180,216,83.3,83,115,72.2,12,15,80.0,3,1.7,+1.3,14,10,5,2,8
José Ángel,ESP,DF,Eibar,La Liga,27,1989,27.0,1002,1633,61.4,23129,10331,317,414,76.6,424,581,73.0,250,579,43.2,8,3.1,+4.9,45,99,39,23,109
Miguel Ángel Moyá,ESP,GK,Real Sociedad,La Liga,33,1984,8.5,204,272,75.0,7021,3967,11,12,91.7,94,95,98.9,98,164,59.8,0,0.0,0.0,0,3,0,0,0
Miguel Ángel Rubio,ESP,DF,Getafe,La Liga,19,1998,0.3,3,7,42.9,40,39,2,3,66.7,1,3,33.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1
Gabriele Angella,ITA,DF,Udinese,Serie A,28,1989,9.9,408,494,82.6,9984,3434,77,96,80.2,224,249,90.0,104,144,72.2,0,0.0,0.0,2,24,2,0,33
Cristian Ansaldi,ARG,DF,Torino,Serie A,30,1986,20.8,695,972,71.5,14251,5247,277,319,86.8,290,378,76.7,118,243,48.6,3,3.2,-0.2,19,51,28,15,79
Luca Antei,ITA,DF,Benevento,Serie A,25,1992,6.6,315,371,84.9,6951,2289,64,69,92.8,191,203,94.1,55,91,60.4,0,0.0,0.0,0,20,0,0,22
Mirco Antenucci,ITA,FW,SPAL,Serie A,32,1984,28.6,475,647,73.4,6950,1042,281,350,80.3,145,206,70.4,30,47,63.8,4,2.1,+1.9,30,26,14,6,28
Waldemar Anton,GER,DF,Hannover 96,Bundesliga,21,1996,25.3,961,1190,80.8,20564,5993,278,335,83.0,504,578,87.2,171,250,68.4,0,0.0,0.0,2,67,3,2,84
Luca Antonelli,ITA,DF,Milan,Serie A,30,1987,1.6,79,95,83.2,1165,412,47,52,90.4,30,34,88.2,2,8,25.0,0,0.0,0.0,1,7,1,0,7
Michail Antonio,JAM,FW,West Ham,Premier League,27,1990,15.0,291,482,60.4,5097,1592,158,208,76.0,80,130,61.5,40,105,38.1,1,0.8,+0.2,14,20,15,9,24
Mirko Antonucci,ITA,FW,Roma,Serie A,18,1999,0.3,11,15,73.3,192,41,5,6,83.3,4,5,80.0,1,3,33.3,1,0.2,+0.8,2,0,1,1,1
Vitorino Antunes,POR,DF,Getafe,La Liga,30,1987,31.1,852,1349,63.2,17007,9269,342,406,84.2,353,498,70.9,144,403,35.7,2,2.4,-0.4,26,87,35,15,103
Dennis Aogo,GER,MF,Stuttgart,Bundesliga,30,1987,21.7,964,1192,80.9,19547,4760,367,410,89.5,406,461,88.1,182,297,61.3,6,1.7,+4.3,24,49,14,2,74
Houssem Aouar,FRA,MF,Lyon,Ligue 1,19,1998,27.0,1313,1539,85.3,22797,5695,567,626,90.6,557,638,87.3,143,192,74.5,5,3.9,+1.1,35,138,20,1,138
Alberto Aquilani,ITA,MF,Las Palmas,La Liga,33,1984,14.4,854,1014,84.2,16994,3978,359,401,89.5,340,387,87.9,145,205,70.7,0,0.5,-0.5,11,82,6,0,65
Mauro Arambarri,URU,MF,Getafe,La Liga,21,1995,23.6,449,648,69.3,10679,2581,121,164,73.8,200,260,76.9,121,199,60.8,1,0.9,+0.1,8,56,3,0,56
Guilherme Arana,BRA,DF,Sevilla,La Liga,20,1997,2.1,107,130,82.3,1712,625,50,54,92.6,49,57,86.0,5,13,38.5,0,0.1,-0.1,1,3,1,1,2
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,28,1989,25.6,1485,1731,85.8,29192,8591,588,651,90.3,670,745,89.9,215,304,70.7,3,1.6,+1.4,23,165,25,2,197
Luiz Araújo,BRA,FW,Lille,Ligue 1,21,1996,22.4,533,757,70.4,10652,2688,218,284,76.8,214,286,74.8,91,148,61.5,3,2.3,+0.7,26,43,30,12,60
Sergio Araujo,ARG,MF,Las Palmas,La Liga,25,1992,0.4,21,21,100.0,326,57,13,13,100.0,7,7,100.0,1,1,100.0,0,0.0,0.0,0,4,0,0,2
Anaitz Arbilla,ESP,DF,Eibar,La Liga,30,1987,26.8,1244,1565,79.5,32254,11015,307,356,86.2,535,616,86.9,390,563,69.3,1,0.5,+0.5,10,145,8,2,136
Alphonse Areola,FRA,GK,Paris S-G,Ligue 1,24,1993,34.0,524,584,89.7,11958,6052,118,120,98.3,309,312,99.0,93,147,63.3,0,0.0,0.0,0,1,0,0,0
Scott Arfield,CAN,MF,Burnley,Premier League,28,1988,14.8,250,367,68.1,3675,941,144,174,82.8,95,142,66.9,8,31,25.8,1,0.4,+0.6,7,17,6,1,26
Samuel Armenteros,SWE,FW,Benevento,Serie A,27,1990,4.8,66,84,78.6,912,128,43,53,81.1,19,26,73.1,3,4,75.0,0,0.0,0.0,1,2,1,0,4
Yoël Armougom,FRA,MF,Caen,Ligue 1,19,1998,1.5,48,81,59.3,780,428,24,36,66.7,21,30,70.0,3,10,30.0,0,0.1,-0.1,1,2,3,1,6
José Arnaiz,ESP,MF,Barcelona,La Liga,22,1995,0.1,3,3,100.0,44,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
Marko Arnautović,AUT,FW,West Ham,Premier League,28,1989,25.7,501,757,66.2,6933,1607,320,399,80.2,127,210,60.5,33,79,41.8,6,4.0,+2.0,30,30,18,6,36
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,23,1994,27.3,1121,1425,78.7,23646,6440,386,429,90.0,497,584,85.1,229,383,59.8,0,3.7,-3.7,37,106,21,6,116
Jann-Fiete Arp,GER,FW,Hamburger SV,Bundesliga,17,2000,9.4,91,154,59.1,1504,198,51,76,67.1,28,43,65.1,9,16,56.3,0,0.7,-0.7,3,3,2,0,6
Alejandro Arribas,ESP,DF,La Coruña,La Liga,28,1989,3.0,106,122,86.9,2424,688,24,27,88.9,58,61,95.1,22,32,68.8,0,0.0,0.0,0,3,1,0,8
Kepa Arrizabalaga,ESP,GK,Athletic Club,La Liga,22,1994,30.0,619,950,65.2,26191,19748,34,36,94.4,203,207,98.1,382,706,54.1,0,0.2,-0.2,1,27,0,0,0
Harry Arter,IRL,MF,Bournemouth,Premier League,27,1989,10.7,505,587,86.0,9794,2242,207,220,94.1,222,241,92.1,69,108,63.9,0,0.2,-0.2,2,51,6,1,44
Aythami Artiles,ESP,DF,Las Palmas,La Liga,31,1986,2.0,80,94,85.1,1873,485,12,13,92.3,48,50,96.0,19,29,65.5,0,0.0,0.0,0,1,0,0,3
Kwadwo Asamoah,GHA,DF,Juventus,Serie A,28,1988,17.4,1118,1276,87.6,20951,5838,445,483,92.1,551,606,90.9,113,162,69.8,0,1.1,-1.1,14,95,15,8,87
Takuma Asano,JPN,FW,Stuttgart,Bundesliga,22,1994,8.0,134,185,72.4,2153,525,71,98,72.4,57,62,91.9,5,12,41.7,0,1.1,-1.1,9,7,8,2,15
Santiago Ascacíbar,ARG,MF,Stuttgart,Bundesliga,20,1997,26.5,964,1160,83.1,17155,3940,408,468,87.2,437,508,86.0,103,149,69.1,1,0.2,+0.8,9,79,8,1,90
Sergio Asenjo,ESP,GK,Villarreal,La Liga,28,1989,23.0,318,536,59.3,11396,7832,38,39,97.4,123,127,96.9,155,368,42.1,0,0.0,0.0,0,5,0,0,0
Marco Asensio,ESP,FW,Real Madrid,La Liga,21,1996,20.5,1040,1237,84.1,17416,4017,557,612,91.0,376,438,85.8,91,147,61.9,6,5.3,+0.7,53,104,44,12,99
Iago Aspas,ESP,FW,Celta Vigo,La Liga,29,1987,32.6,991,1308,75.8,16481,3501,519,625,83.0,336,439,76.5,103,161,64.0,5,6.7,-1.7,60,62,54,8,105
Benoît Assou-Ekotto,CMR,DF,Metz,Ligue 1,33,1984,11.7,436,606,71.9,10200,5030,133,149,89.3,189,241,78.4,110,202,54.5,0,0.3,-0.3,8,57,7,4,50
Simon Asta,GER,MF,Augsburg,Bundesliga,16,2001,0.1,5,7,71.4,103,38,1,1,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
Davide Astori,ITA,DF,Fiorentina,Serie A,30,1987,25.0,1306,1507,86.7,27670,8553,391,415,94.2,671,725,92.6,231,339,68.1,1,0.2,+0.8,6,86,7,0,79
Christian Atsu,GHA,FW,Newcastle Utd,Premier League,25,1992,19.8,355,507,70.0,5088,1547,211,250,84.4,105,155,67.7,22,56,39.3,2,2.7,-0.7,24,16,16,6,30
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,Premier League,28,1989,11.7,222,324,68.5,2879,526,139,176,79.0,60,90,66.7,7,25,28.0,4,1.2,+2.8,14,11,6,2,18
Pierre-Emerick Aubameyang,GAB,FW,Dortmund,Bundesliga,28,1989,15.7,240,339,70.8,3301,512,146,193,75.6,74,103,71.8,12,25,48.0,3,1.9,+1.1,15,16,9,3,17
Jean-Kévin Augustin,FRA,FW,RB Leipzig,Bundesliga,20,1997,14.1,223,293,76.1,3066,532,142,172,82.6,58,84,69.0,11,16,68.8,5,2.4,+2.6,14,12,9,2,9
Ludwig Augustinsson,SWE,DF,Werder Bremen,Bundesliga,23,1994,28.1,1113,1435,77.6,20237,8148,479,551,86.9,501,607,82.5,123,216,56.9,1,2.6,-1.6,28,87,28,19,97
Yann Aurel Bisseck,GER,DF,Köln,Bundesliga,16,2000,1.7,75,81,92.6,1608,400,16,19,84.2,44,44,100.0,15,18,83.3,0,0.0,0.0,0,8,1,0,9
Serge Aurier,CIV,DF,Tottenham,Premier League,24,1992,15.9,786,1036,75.9,12876,4636,388,462,84.0,325,419,77.6,56,110,50.9,2,1.9,+0.1,14,37,24,7,71
Charlie Austin,ENG,FW,Southampton,Premier League,28,1989,11.5,174,247,70.4,2664,477,94,117,80.3,60,87,69.0,12,24,50.0,0,0.4,-0.4,2,14,1,0,17
