Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Press,Pass Types Sw,Pass Types Crs,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Height Ground,Height Low,Height High,Body Parts Left,Body Parts Right,Body Parts Head,Body Parts TI,Body Parts Other,Outcomes Cmp,Outcomes Off,Outcomes Out,Outcomes Int,Outcomes Blocks
Jonathan Martins Pereira,FRA,DF,Guingamp,Ligue 1,31,1986,12.6,702,587,115,16,0,127,5,29,0,0,0,0,440,79,183,17,547,30,99,0,557,1,21,18,21
Adam Marušić,MNE,DF,Lazio,Serie A,24,1992,28.0,1195,993,202,5,0,215,21,84,0,0,0,0,707,242,246,122,800,54,197,5,925,1,11,23,69
Omar Mascarell,ESP,MF,Eint Frankfurt,Bundesliga,24,1993,8.6,482,465,17,15,2,66,23,2,0,0,0,0,282,105,95,89,356,21,2,1,404,1,10,8,6
Javier Mascherano,ARG,DF,Barcelona,La Liga,33,1984,6.0,438,425,13,10,3,40,27,0,0,0,0,0,334,23,81,34,386,13,3,0,399,5,4,6,3
Andrea Masiello,ITA,DF,Atalanta,Serie A,31,1986,30.1,1924,1817,107,37,1,235,125,3,2,0,0,0,1217,256,451,382,1338,96,68,9,1624,4,57,21,23
Adam Masina,MAR,DF,Bologna,Serie A,23,1994,31.4,1677,1392,285,19,0,299,18,41,1,0,0,0,869,351,457,1053,154,113,265,3,1286,7,39,34,42
Eden Massouema,CGO,MF,Dijon,Ligue 1,20,1997,2.1,66,66,0,0,1,10,2,2,0,0,0,0,53,3,10,11,47,5,0,1,50,0,2,1,2
Arthur Masuaku,COD,DF,West Ham,Premier League,23,1993,20.8,927,775,152,7,2,177,29,69,0,0,0,0,564,184,179,710,36,19,145,0,677,5,15,24,55
Juan Mata,ESP,FW,Manchester Utd,Premier League,29,1988,21.4,1347,1232,115,38,3,178,52,60,52,32,12,3,962,156,229,1155,161,13,16,1,1099,4,11,36,29
Christian Mathenia,GER,GK,Hamburger SV,Bundesliga,25,1992,24.0,688,439,249,68,0,41,16,0,0,0,0,0,225,39,424,29,539,0,0,73,373,6,21,0,2
Nemanja Matić,SRB,MF,Manchester Utd,Premier League,28,1988,34.6,2594,2486,108,93,3,353,108,8,1,0,0,0,2021,240,333,2078,375,83,14,7,2282,13,29,62,42
Joël Matip,CMR,DF,Liverpool,Premier League,25,1991,22.2,1617,1584,33,31,1,92,30,1,0,0,0,0,1325,127,165,135,1399,57,2,6,1461,3,16,24,4
